0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34131 24572	9	 * 	270.76	DCR|4VULN|2DUR|2AART|2LIT	16AART|29DUR|3MBVNT|479aVULN|59LIT|8RCR|9BPWR
2	34136 24181	4	 * 	269.25	DCR|4VULN|2DUR|2ASPD|1AART	1AART|2aDUR|3MBVNT|458aVULN|6RCR|7aASPD|9BBNT|aBPWR
3	34131 14574	9	 * 	268.00	DCR|4VULN|2DUR|3LIT|1AART	1AART|29DUR|3MBVNT|479aVULN|569LIT|8RCR|9BPWR
4	34136 22514	4	 * 	268.00	DCR|4VULN|2DUR|1DMG|1AART	1AART|27DUR|3MBVNT|459aVULN|6RCR|8DMG
5	34164 32414	5	 * 	265.52	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	1AART|27DUR|3MBVNT|4LHND|57CDMG|679VULN|7BPWR|8DMG|aRCR
6	43362 12114	4	 * 	265.37	DCR|3VULN|3DUR|2CDMG|1TLV	1RCVC|257DUR|3TLV|47CDMG|679VULN|7BPWR|8LWND|aRCR
7	31636 32314	6	 * 	264.42	DCR|4VULN|2CDMG|1DUR|1ASPD|1AART	1AART|27DUST|3DUR|478aVULN|57CDMG|6RCR|7BPWR|9ASPD
8	34136 24114	4	 * 	263.89	DCR|5VULN|1DUR|1ASPD|1AART	1AART|2DUR|3MBVNT|4589aVULN|6RCR|7ASPD
9	34166 24114	3	   	263.89	DCR|5VULN|1DUR|1ASPD|1AART	1AART|2DUR|3MBVNT|4589aVULN|6RCR|7ASPD
10	35631 23314	4	   	263.35	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1AART|2BEXP|3DUR|489aVULN|5TLV|6CDMG|7RCR
11	31631 23314	4	   	263.25	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1AART|2DUST|3DUR|489aVULN|5TLV|6CDMG|7RCR
