0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23311 62663	7	 * 	272.47	DCR|3VULN|2DMG|2ASPD|2LIT|1CDMG	19LIT|2RPLT|346VULN|59ASPD|7RCR|89DMG|9BPWR|aCDMG
2	31525 12162	1	 * 	268.40	DCR|3VULN|3DMG|1DUR|1CDMG	189LWND|2ERES|389VULN|4BEXP|5DUR|6RCR|789DMG|89BPWR|aCDMG
3	31535 12162	1	   	268.40	DCR|3VULN|3DMG|1DUR|1CDMG	189LWND|2ERES|389VULN|4FEWX|5DUR|6RCR|789DMG|89BPWR|aCDMG
4	23316 13266	6	 * 	266.66	DCR|4VULN|3DUR|2LIT	19LIT|25RPLT|349aVULN|689DUR|7RCR|9BPWR
5	64131 15133	9	 * 	266.62	DCR|3VULN|3DUR|2ASPD|1TLV	1RCVC|268DUR|38ASPD|4TLV|5ZMB|789VULN|8BPWR|aRCR
6	23155 32513	2	 * 	263.98	DCR|3VULN|3DUR|2TLV|2LIT	1aLIT|2RPLT|368DUR|4aTLV|59aVULN|7RCR|aBPWR
7	53122 11116	10	 * 	263.54	DCR|2VULN|3DMG|2DUR|2ASPD	18CGEN|289DMG|35ASPD|47VULN|68DUR|8BPWR|aRCR
8	23311 62651	7	 * 	263.16	DCR|4VULN|1DMG|1TLV|1ASPD	1LIT|2RPLT|346aVULN|5ASPD|7RCR|8DMG|9TLV
9	35332 63471	3	   	263.03	DCR|4VULN|2DUR|1TLV	19LWND|29DUR|3MBVNT|4LIT|5TLV|6RCR|789aVULN|9BPWR
10	23311 62211	9	 * 	262.64	DCR|5VULN|1DUR|1ASPD	1LIT|2RPLT|3469aVULN|5ASPD|7RCR|8DUR
11	23311 62221	7	   	262.64	DCR|5VULN|1DUR|1ASPD	1LIT|2RPLT|3469aVULN|5ASPD|7RCR|8DUR
12	23311 62221	8	   	262.64	DCR|5VULN|1DUR|1ASPD	1LIT|2RPLT|3469aVULN|5ASPD|7RCR|8DUR
13	23313 63156	4	   	261.82	DCR|4VULN|1DMG|1DUR|1AART	1LIT|2RPLT|348aVULN|5DUR|6AART|7DMG|9RCR
14	24314 52222	1	   	260.82	DCR|3VULN|2DMG|2LIT|1CDMG|1AART	19LIT|2CDMG|349VULN|59DMG|6RPLT|7AART|8BBNT|9BPWR|aRCR
15	23311 62643	7	   	260.56	DCR|4VULN|1DMG|1CDMG|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DMG|aCDMG
16	62241 12212	1	 * 	260.15	DCR|4VULN|2DMG|2LIT	1RCVC|2369VULN|39BPWR|49DMG|5LWND|7ERES|89LIT|aRCR
17	62245 12212	1	   	260.15	DCR|4VULN|2DMG|2LIT	1RCVC|2369VULN|39BPWR|49DMG|5BEXP|7ERES|89LIT|aRCR
18	33116 31511	3	 * 	259.99	DCR|3VULN|3DUR|3ASPD	129LWND|356ASPD|459VULN|59BPWR|789DUR|aRCR
