0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25221 21345	1	 * 	276.89	ACR|5VULN|3DMG|1TLV|2ASPD	1RCR|2346aVULN|5TLV|7aASPD|89aDMG|aBPWR
2	55221 22126	1	 * 	275.85	DCR|5VULN|1TLV|1DMG|1DUR	1DUR|2346aVULN|5TLV|7DMG|8BELT|9RCR
3	56231 22361	7	 * 	273.51	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	158DUR|28ASPD|3TLV|47VULN|68DMG|8BPWR|9RCR|aBELT
4	56231 22363	7	   	273.51	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	158DUR|28ASPD|3TLV|47VULN|68DMG|8BPWR|9RCR|aLHND
5	56231 22362	7	   	273.41	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	158DUR|28ASPD|3TLV|47VULN|68DMG|8BPWR|9RCR|aLEGI
6	56231 22212	7	 * 	267.19	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	15DUR|2aASPD|3TLV|479VULN|6DMG|8RCR
7	25221 11242	1	 * 	266.35	ACR|5VULN|3DUR|1TLV|2LIT	1RCR|2348aVULN|5TLV|68LIT|789DUR|8BPWR
8	55231 13253	1	 * 	265.41	DCR|3VULN|3DUR|2DMG|1AART	178DUR|237VULN|4LHND|5ERES|67DMG|7BPWR|9RCR|aAART
9	55221 21126	1	   	264.09	DCR|5VULN|1TLV|1DUR	1DUR|2346aVULN|5TLV|7ASPD|8BELT|9RCR
10	55226 22331	1	 * 	263.43	DCR|4VULN|2DMG|2DUR|1SELL	1aDUR|2346VULN|5aCGEN|7aDMG|8SELL|9RCR|aBPWR
11	55224 22331	1	 * 	263.23	DCR|4VULN|2DMG|2DUR|1SELL	1aDUR|2346VULN|5aERES|7aDMG|8SELL|9RCR|aBPWR
12	25221 11216	1	   	262.79	ACR|5VULN|2DUR|1TLV|2LIT|1AART	1RCR|2348aVULN|5TLV|68LIT|78DUR|8BPWR|9AART
13	32225 13366	1	 * 	262.04	DCR|3VULN|3DUR|2TLV|1AART	1aTLV|2BBNT|36aVULN|49aDUR|5AART|7RMIN|8RCR|aBPWR
14	36612 21323	8	 * 	261.59	DCR|2VULN|3DMG|2TLV|1DUR	1aTLV|2ASPD|36aDMG|4FEWX|5DUR|7RCR|8aVULN|9RMIN|aBPWR
15	36612 21353	9	   	261.59	DCR|2VULN|3DMG|2TLV|1DUR	1aTLV|2ASPD|36aDMG|4FEWX|5DUR|7RCR|8aVULN|9RMIN|aBPWR
16	56231 22522	9	   	261.53	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	15aDUR|2ASPD|3TLV|47VULN|6DMG|8CDMG|9RCR
17	33323 11311	1	 * 	260.69	DCR|3VULN|3DUR|3TLV	156TLV|28aDUR|3MLV|456VULN|56BPWR|7LIT|9RCR
18	34123 11311	1	   	260.69	DCR|3VULN|3DUR|3TLV	156TLV|2CGEN|38aDUR|456VULN|56BPWR|7LIT|9RCR
19	36123 11311	1	   	260.69	DCR|3VULN|3DUR|3TLV	156TLV|2MLV|38aDUR|456VULN|56BPWR|7LIT|9RCR
20	56233 71313	7	 * 	260.42	DCR|2VULN|2DMG|2TLV|2DUR	1aDUR|2ASPD|3aTLV|48VULN|5MBVNT|6ZMB|7RCR|9aDMG|aBPWR
21	11222 26426	7	 * 	260.20	DCR|4VULN|2TLV|2DUR|1NUKE	1BELT|2RCVC|378aVULN|47TLV|5NUKE|67DUR|7BPWR|9RCR
22	32243 63221	1	 * 	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	14TLV|2BBNT|348VULN|4BPWR|5aDMG|6CDMG|7ZMB|9RCR
23	32243 65221	1	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	14TLV|2BBNT|348VULN|4BPWR|5aDMG|6CDMG|7RMIN|9RCR
24	35243 63221	1	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	14TLV|2TBNT|348VULN|4BPWR|5aDMG|6CDMG|7ZMB|9RCR
25	32243 64221	1	   	259.42	DCR|3VULN|2DMG|2TLV|1CDMG	14TLV|2BBNT|348VULN|4BPWR|5aDMG|6CDMG|7ERES|9RCR
26	32245 61121	1	   	259.42	DCR|3VULN|2DMG|2TLV|1CDMG	14TLV|2BBNT|345VULN|4BPWR|6CDMG|7ERES|8aDMG|9RCR
27	56231 22211	7	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2ASPD|3TLV|479VULN|6DMG|8RCR|aBELT
28	56231 22213	7	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2ASPD|3TLV|479VULN|6DMG|8RCR|aBEXP
29	56231 22214	7	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2ASPD|3TLV|479VULN|6DMG|8RCR|aFEWX
30	56231 22215	7	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2ASPD|3TLV|479VULN|6DMG|8RCR|aDMSP
31	56231 22223	7	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2ASPD|3TLV|47aVULN|6DMG|8RCR|9CGEN
32	56231 22253	7	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2ASPD|3TLV|47aVULN|6DMG|8RCR|9RPLT
33	34353 21612	4	 * 	259.32	DCR|3VULN|2TLV|2DUR|1DMG	17TLV|2LWND|37DUR|4CGEN|5MLV|67aVULN|7BPWR|8RCR|9DMG
34	56231 22216	7	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2ASPD|3TLV|479VULN|6DMG|8RCR|aBBNT
35	34351 21612	4	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	17TLV|2LWND|37DUR|4CGEN|5ERES|67aVULN|7BPWR|8RCR|9DMG
36	35351 21612	4	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	17TLV|2LHND|37DUR|4CGEN|5ERES|67aVULN|7BPWR|8RCR|9DMG
37	33323 14221	1	 * 	258.28	DCR|3VULN|3TLV|1DMG|1DUR|1CDMG	156TLV|2DUR|37MLV|456VULN|56BPWR|8DMG|9RCR|aCDMG
38	34123 15221	1	   	258.28	DCR|3VULN|3TLV|1DMG|1DUR|1CDMG	156TLV|27CGEN|3DUR|456VULN|56BPWR|8DMG|9RCR|aCDMG
39	36123 14221	1	   	258.28	DCR|3VULN|3TLV|1DMG|1DUR|1CDMG	156TLV|27MLV|3DUR|456VULN|56BPWR|8DMG|9RCR|aCDMG
40	36365 21123	7	 * 	258.20	DCR|2VULN|2TLV|2DUR|3ASPD|2CDMG	1aTLV|245ASPD|35CDMG|5aBPWR|6aVULN|7RCVC|8RCR|9aDUR
41	56231 22522	10	   	257.96	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG|1AART	15DUR|2ASPD|3TLV|47VULN|6DMG|8CDMG|9RCR|aAART
42	56231 22523	9	   	257.96	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG|1AART	15DUR|2ASPD|3TLV|47VULN|6DMG|8CDMG|9RCR|aAART
43	24221 41813	1	 * 	257.94	ACR|3VULN|3DUR|2DMG|2TLV	1RCR|27aDUR|38aVULN|4MBVNT|57FEWX|67TLV|7aBPWR|9aDMG
44	32523 61151	1	 * 	257.87	DCR|3DMG|1VULN|2TLV|2DUR|2CDMG	17TLV|2BBNT|34DUR|578DMG|67CDMG|7BPWR|9RCR|aVULN
45	25212 24241	1	 * 	257.81	ACR|4VULN|2TLV|2DUR|2ASPD|1CDMG	1RCR|236aVULN|4aASPD|58DUR|7CDMG|9aTLV|aBPWR
46	55221 22121	1	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2346VULN|5TLV|7DMG|8BELT|9RCR|aLHND
47	55221 22122	1	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2346VULN|5TLV|7DMG|8BELT|9RCR|aLWND
48	55221 22123	1	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2346VULN|5TLV|7DMG|8BELT|9RCR|aMLV
49	55221 22125	1	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2346VULN|5TLV|7DMG|8BELT|9RCR|aBEXP
50	24221 47813	1	 * 	257.48	ACR|4VULN|2DMG|2DUR|1TLV	1RCR|2aDUR|378aVULN|4MBVNT|5FEWX|6TLV|9aDMG|aBPWR
51	25221 51113	1	   	257.48	ACR|4VULN|2DMG|2DUR|1TLV	1RCR|234aVULN|5TLV|6aDUR|7DUST|8FEWX|9aDMG|aBPWR
52	55221 22124	1	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2346VULN|5TLV|7DMG|8BELT|9RCR|aERES
