0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22153 12114	8	 * 	308.57	DCR|3VULN|3DMG|3DUR|3CDMG|1NUKE	137DMG|2NUKE|49aVULN|59aDUR|6RCR|89aCDMG|9aBPWR
2	33151 15112	9	 * 	305.63	DCR|4VULN|3DMG|2DUR|1CDMG	167aVULN|24aDMG|3CDMG|56LWND|6aBPWR|8RCR|9aDUR
3	33151 15162	8	   	305.63	DCR|4VULN|3DMG|2DUR|1CDMG	167aVULN|24aDMG|3CDMG|56LWND|6aBPWR|8RCR|9aDUR
4	33153 15132	8	   	305.63	DCR|4VULN|3DMG|2DUR|1CDMG	167aVULN|24aDMG|3CDMG|56DUR|6aBPWR|8RCR|9aLHND
5	33153 15162	9	   	305.63	DCR|4VULN|3DMG|2DUR|1CDMG	167aVULN|24aDMG|3CDMG|56DUR|6aBPWR|8RCR|9aLHND
6	33156 15112	9	   	305.63	DCR|4VULN|3DMG|2DUR|1CDMG	167aVULN|24aDMG|3CDMG|56FEWX|6aBPWR|8RCR|9aDUR
7	33324 32152	4	   	305.56	DCR|4VULN|3DMG|2TLV|1DUR	145aVULN|27aDMG|3LIT|6RCR|8DUR|9aTLV|aBPWR
8	33364 32152	3	   	305.56	DCR|4VULN|3DMG|2TLV|1DUR	145aVULN|27aDMG|3LIT|6RCR|8DUR|9aTLV|aBPWR
9	33153 15122	9	   	305.43	DCR|4VULN|3DMG|2DUR|1CDMG	167aVULN|24aDMG|3CDMG|56DUR|6aBPWR|8RCR|9aDUST
10	33424 13315	7	 * 	305.20	DCR|4VULN|3DMG|3DUR	149aVULN|29aDMG|3MBVNT|5RMIN|6RCR|7RPLT|89aDUR|9aBPWR
11	33424 13415	8	   	305.20	DCR|4VULN|3DMG|3DUR	149aVULN|29aDMG|3MBVNT|5RMIN|6RCR|7RPLT|89aDUR|9aBPWR
12	33325 12425	10	   	304.16	DCR|3VULN|3DMG|2DUR|2CDMG|2LIT	14aVULN|256DMG|36LIT|6aBPWR|7aDUR|8aCDMG|9RCR
13	22366 33632	3	 * 	301.80	DCR|5VULN|3DMG|2ASPD|1NUKE	16aDMG|2NUKE|3468aVULN|5RPLT|6aBPWR|7RCR|9aASPD
14	33324 34532	4	   	300.08	DCR|4VULN|3DMG|2DUR	145aVULN|29aDMG|3LIT|6RCR|7ERES|8aDUR|aBPWR
15	33535 15112	9	   	296.29	DCR|4VULN|2DMG|2DUR|2CDMG	167aVULN|2aDMG|3FEWX|46CDMG|5RCVC|6aBPWR|8RCR|9aDUR
16	33153 15133	10	   	296.09	DCR|4VULN|2DMG|2DUR|2CDMG	167aVULN|24DMG|39CDMG|56DUR|6BPWR|8RCR
17	33153 15136	9	   	296.09	DCR|4VULN|2DMG|2DUR|2CDMG	167aVULN|24DMG|39CDMG|56DUR|6BPWR|8RCR
18	33153 15113	8	   	296.01	DCR|3VULN|3DMG|3DUR|1CDMG	167VULN|249DMG|3CDMG|56aDUR|6BPWR|8RCR
19	31116 33351	1	   	295.93	DCR|3VULN|3DMG|2ASPD|2TLV|1DUR	12aVULN|36aDMG|46ASPD|5RPLT|6aBPWR|7RCR|8DUR|9aTLV
20	33316 33351	2	   	295.93	DCR|3VULN|3DMG|2ASPD|2TLV|1DUR	13aVULN|26aDMG|46ASPD|5RPLT|6aBPWR|7RCR|8DUR|9aTLV
21	21463 31234	1	 * 	295.66	DCR|5VULN|2DMG|3ASPD	1aDMG|2RPLT|3678aVULN|456ASPD|6aBPWR|9RCR
22	33324 32651	4	   	295.44	DCR|5VULN|3DMG|2LIT	14589VULN|279DMG|39LIT|6RCR|9BPWR|aRPLT
23	33324 32652	4	   	295.44	DCR|5VULN|3DMG|2LIT	14589VULN|279DMG|39LIT|6RCR|9BPWR|aBELT
24	33324 32653	4	   	295.44	DCR|5VULN|3DMG|2LIT	14589VULN|279DMG|39LIT|6RCR|9BPWR|aFEWX
25	31111 65522	1	   	295.28	DCR|3VULN|3DMG|2TLV|1DUR|1ASPD	128VULN|358DMG|4ASPD|6DUR|78TLV|8BPWR|9AART|aRCR
26	33311 65522	2	   	295.28	DCR|3VULN|3DMG|2TLV|1DUR|1ASPD	138VULN|258DMG|4ASPD|6DUR|78TLV|8BPWR|9AART|aRCR
27	33324 31452	4	   	293.20	DCR|5VULN|2DMG|2TLV	1458aVULN|2aDMG|3LIT|6RCR|7LWND|9aTLV|aBPWR
28	33324 33452	4	   	293.20	DCR|5VULN|2DMG|2TLV	1458aVULN|2aDMG|3LIT|6RCR|7FEWX|9aTLV|aBPWR
29	31116 23351	1	   	292.61	DCR|4VULN|2DMG|2TLV|1DUR|1ASPD	126aVULN|3aDMG|4ASPD|5RPLT|7RCR|8DUR|9aTLV|aBPWR
30	33316 23351	2	   	292.61	DCR|4VULN|2DMG|2TLV|1DUR|1ASPD	136aVULN|2aDMG|4ASPD|5RPLT|7RCR|8DUR|9aTLV|aBPWR
31	22361 12622	7	   	292.05	DCR|4VULN|3DMG|1TLV|2LIT|1NUKE	157DMG|2NUKE|378aVULN|47LIT|6RCR|7BPWR|9TLV
32	22155 12622	7	   	292.05	DCR|4VULN|3DMG|1TLV|2LIT|1NUKE	137DMG|2NUKE|478aVULN|57LIT|6RCR|7BPWR|9TLV
33	11622 22362	7	   	292.01	DCR|4VULN|3DMG|3LIT|1ASPD	179LIT|2479VULN|3ASPD|5LHND|679DMG|79BPWR|8TBNT|aRCR
34	31116 33634	1	 * 	291.78	DCR|4VULN|3DMG|3ASPD	128aVULN|369DMG|46aASPD|5RPLT|6aBPWR|7RCR
35	33316 33634	2	   	291.78	DCR|4VULN|3DMG|3ASPD	138aVULN|269DMG|46aASPD|5RPLT|6aBPWR|7RCR
36	24252 15112	9	   	291.73	DCR|4VULN|3DMG|2DUR|1SELL	14aDMG|26BEXP|3SELL|567aVULN|6aBPWR|8RCR|9aDUR
37	26252 15112	9	   	291.73	DCR|4VULN|3DMG|2DUR|1SELL	14aDMG|26LWND|3SELL|567aVULN|6aBPWR|8RCR|9aDUR
38	33112 13264	4	   	291.04	DCR|4VULN|3DMG|1DUR|1CDMG	189aVULN|28aDMG|3CDMG|4DUR|5TBNT|6RCR|78aLWND|8aBPWR
39	22361 12335	10	   	290.77	DCR|3VULN|3DMG|3LIT|1TLV|1DUR|1NUKE	157DMG|2NUKE|378VULN|478LIT|6RCR|78BPWR|9TLV|aDUR
40	22155 12335	10	   	290.77	DCR|3VULN|3DMG|3LIT|1TLV|1DUR|1NUKE	137DMG|2NUKE|478VULN|578LIT|6RCR|78BPWR|9TLV|aDUR
41	33163 15132	8	   	289.97	DCR|4VULN|2DMG|2DUR|1CDMG	167aVULN|2aDMG|3CDMG|4RCVC|56DUR|6aBPWR|8RCR|9aLHND
42	33163 15162	9	   	289.97	DCR|4VULN|2DMG|2DUR|1CDMG	167aVULN|2aDMG|3CDMG|4RCVC|56DUR|6aBPWR|8RCR|9aLHND
43	34251 15112	9	   	289.97	DCR|4VULN|2DMG|2DUR|1CDMG	167aVULN|2aZMB|3CDMG|46DMG|5RMIN|6aBPWR|8RCR|9aDUR
44	33161 15112	9	   	289.97	DCR|4VULN|2DMG|2DUR|1CDMG	167aVULN|2aDMG|3CDMG|4RCVC|56LWND|6aBPWR|8RCR|9aDUR
45	33161 15162	8	   	289.97	DCR|4VULN|2DMG|2DUR|1CDMG	167aVULN|2aDMG|3CDMG|4RCVC|56LWND|6aBPWR|8RCR|9aDUR
46	33166 15112	9	   	289.97	DCR|4VULN|2DMG|2DUR|1CDMG	167aVULN|2aDMG|3CDMG|4RCVC|56FEWX|6aBPWR|8RCR|9aDUR
47	33163 15116	8	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	167aVULN|29DMG|3CDMG|4RCVC|56DUR|6BPWR|8RCR
48	33163 15122	9	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	167aVULN|2aDMG|3CDMG|4RCVC|56DUR|6aBPWR|8RCR|9aDUST
49	33324 32152	3	   	289.47	DCR|3VULN|3DMG|2TLV|1DUR|2LIT	15aVULN|27aDMG|34LIT|6RCR|8DUR|9aTLV|aBPWR
50	22153 14632	8	   	289.42	DCR|3VULN|3DMG|2ASPD|1DUR|1CDMG|1NUKE	13aDMG|2NUKE|47aVULN|5DUR|6RCR|8CDMG|9aASPD|aBPWR
51	33324 32452	4	   	289.31	DCR|4VULN|3DMG|2TLV	145aVULN|27aDMG|3LIT|6RCR|8BEXP|9aTLV|aBPWR
52	33324 32552	4	   	289.31	DCR|4VULN|3DMG|2TLV	145aVULN|27aDMG|3LIT|6RCR|8LHND|9aTLV|aBPWR
53	33325 31452	5	   	289.31	DCR|4VULN|3DMG|2TLV	148aVULN|25aDMG|3LIT|6RCR|7LWND|9aTLV|aBPWR
54	33325 33452	5	   	289.31	DCR|4VULN|3DMG|2TLV	148aVULN|25aDMG|3LIT|6RCR|7FEWX|9aTLV|aBPWR
55	22366 33351	3	   	289.20	DCR|3VULN|3DMG|2DUR|2TLV|1NUKE	16aDMG|2NUKE|346VULN|5RPLT|6aBPWR|7RCR|8aDUR|9aTLV
56	22153 12113	8	   	289.10	DCR|3VULN|3DMG|2DUR|2CDMG|1NUKE	137DMG|2NUKE|49aVULN|59DUR|6RCR|89CDMG|9BPWR
57	33153 15131	9	   	289.10	DCR|3VULN|3DMG|2DUR|2CDMG	167VULN|24aDMG|39CDMG|56DUR|6BPWR|8RCR
58	33325 12625	10	   	288.96	DCR|3VULN|3DMG|2DUR|3LIT|1SELL	14aVULN|256DMG|36aLIT|6aBPWR|7aDUR|8SELL|9RCR
