0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52232 13244	9	 * 	285.51	DCR|4VULN|3DUR|1TLV|1DMG	168aVULN|29aDUR|3TLV|4DMG|5aBEXP|7RCR|aBPWR
2	51635 31133	1	 * 	282.08	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG|1AART	189VULN|29DUR|35ASPD|4CDMG|6AART|79DMG|9BPWR|aRCR
3	52635 31133	3	   	282.08	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG|1AART	189VULN|29DUR|35ASPD|4CDMG|6AART|79DMG|9BPWR|aRCR
4	52635 31133	2	   	282.08	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG|1AART	189VULN|29DUR|35ASPD|4CDMG|6AART|79DMG|9BPWR|aRCR
5	52232 16421	6	   	280.59	DCR|4VULN|2DUR|1TLV|1DMG	167aVULN|27DUR|3TLV|4DMG|57BEXP|7BPWR|8LIT|9RCR
6	52232 36421	5	   	280.59	DCR|4VULN|2DUR|1TLV|1DMG	167aVULN|27DUR|3TLV|4DMG|57BEXP|7BPWR|8LIT|9RCR
7	52311 42221	8	 * 	277.13	DCR|3VULN|2DMG|2DUR|1TLV	16aVULN|24DUR|34LHND|46BPWR|56DMG|7LIT|8TLV|9RCR
8	52411 42221	8	   	277.13	DCR|3VULN|2DMG|2DUR|1TLV	16aVULN|24DUR|34FEWX|46BPWR|56DMG|7LIT|8TLV|9RCR
9	53611 42221	8	   	277.13	DCR|3VULN|2DMG|2DUR|1TLV	16aVULN|24FEWX|34DUR|46BPWR|56DMG|7LIT|8TLV|9RCR
10	52321 42221	8	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	16aVULN|24DUR|3LHND|56DMG|6BPWR|7LIT|8TLV|9RCR
11	52421 42221	8	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	16aVULN|24DUR|3FEWX|56DMG|6BPWR|7LIT|8TLV|9RCR
