0	Index      	 *	Score 	Summary	Detail	
1	21431 61162	 * 	238.25	DCR|2VULN|2DMG|2ASPD|1AART|1ZMB|1DUR	18VULN|2LEGI|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9AART|aDUR
2	33431 61162	 * 	234.43	DCR|2VULN|2DMG|1AART|1ASPD|3DUR|1ZMB	18aDUR|2ASPD|38VULN|4ZMB|5FEWX|6RCR|78DMG|8BPWR|9AART
3	62332 61124	 * 	233.98	DCR|3VULN|2DMG|1MDPS|2ASPD|1CDMG|1AAC	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9RMIN|aCDMG
4	26431 61121	 * 	233.30	DCR|3DMG|2VULN|1MDPS|2ASPD|1ZMB|1DUR	18VULN|2DUR|38aDMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9MDPS
5	26431 61122	   	233.30	DCR|2VULN|2DMG|1MDPS|2ASPD|1CDMG|1ZMB|1DUR	18VULN|2DUR|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9MDPS|aCDMG
6	26431 61123	   	233.30	DCR|2VULN|2DMG|1MDPS|2ASPD|1ZMB|1DUR|1MSE	18VULN|2DUR|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9MDPS|aMSE
7	21431 61124	   	231.76	DCR|2VULN|2DMG|1MDPS|2ASPD|1AAC|1ZMB	18VULN|2LEGI|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9MDPS|aAAC
8	21431 61163	   	229.94	DCR|2VULN|2DMG|2ASPD|1AART|1ZMB	18VULN|2LEGI|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9AART|aBEXP
9	21431 61161	   	229.84	DCR|2VULN|2DMG|2ASPD|1AART|1ZMB	18VULN|2LEGI|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9AART|aTLV
10	62332 61114	   	229.81	DCR|3VULN|2DMG|1MDPS|2ASPD|1CDMG|1AAC	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9MLV|aCDMG
11	62332 61134	   	229.71	DCR|3VULN|1MDPS|2DMG|2ASPD|1CDMG|1AAC	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9ERES|aCDMG
12	33431 61161	   	229.27	DCR|2VULN|2DMG|1AART|1ASPD|2DUR|1ZMB	18DUR|2ASPD|38VULN|4ZMB|5FEWX|6RCR|78DMG|8BPWR|9AART|aTLV
13	33431 61163	   	229.27	DCR|2VULN|2DMG|1AART|1ASPD|2DUR|1ZMB	18DUR|2ASPD|38VULN|4ZMB|5FEWX|6RCR|78DMG|8BPWR|9AART|aERES
14	32433 61162	 * 	228.26	DCR|2DMG|2ASPD|1VULN|1AART|3DUR|1ZMB	18aDUR|2BEXP|38DMG|4ZMB|5VULN|6RCR|78ASPD|8BPWR|9AART
15	24432 12233	 * 	227.51	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	134VULN|2TLV|57DMG|6RCR|8DUR|9CDMG|aAART
16	23432 15314	 * 	227.31	DCR|4VULN|2DMG|2CDMG|1DUR	134aVULN|2CGEN|5aDMG|6RCR|7LHND|8DUR|9aCDMG|aBPWR
17	21431 61115	   	224.99	DCR|2VULN|1MDPS|2DMG|2ASPD|1ZMB	18VULN|2LEGI|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9MLV|aMDPS
18	63431 61121	   	224.99	DCR|3DMG|2VULN|1MDPS|2ASPD|1ZMB	18aDMG|2LWND|38VULN|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9MDPS
19	63431 61122	   	224.99	DCR|2VULN|2DMG|1MDPS|2ASPD|1CDMG|1ZMB	18DMG|2LWND|38VULN|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9MDPS|aCDMG
20	63431 61123	   	224.99	DCR|2VULN|2DMG|1MDPS|2ASPD|1ZMB|1MSE	18DMG|2LWND|38VULN|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9MDPS|aMSE
21	21431 61121	   	224.89	DCR|3DMG|2VULN|1MDPS|2ASPD|1ZMB	18VULN|2LEGI|38aDMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9MDPS
22	21431 61122	   	224.89	DCR|2VULN|2DMG|1MDPS|2ASPD|1CDMG|1ZMB	18VULN|2LEGI|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9MDPS|aCDMG
23	21431 61123	   	224.89	DCR|2VULN|2DMG|1MDPS|2ASPD|1ZMB|1MSE	18VULN|2LEGI|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9MDPS|aMSE
24	21431 61125	   	224.89	DCR|2VULN|2DMG|1MDPS|2ASPD|1ZMB	18VULN|2LEGI|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9MDPS|aRPLT
25	21431 61126	   	224.89	DCR|2VULN|1MDPS|2DMG|2ASPD|1ZMB	18VULN|2LEGI|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9MDPS|aTLV
26	21431 61135	   	224.89	DCR|2VULN|2DMG|1MDPS|2ASPD|1ZMB	18VULN|2LEGI|38DMG|4ZMB|5FEWX|6RCR|78ASPD|8BPWR|9ERES|aMDPS
27	21434 61121	   	224.79	DCR|3DMG|2VULN|1MDPS|2ASPD|1ZMB	18VULN|2LEGI|38aDMG|4ZMB|5DUST|6RCR|78ASPD|8BPWR|9MDPS
28	21434 61122	   	224.79	DCR|2VULN|2DMG|1MDPS|2ASPD|1CDMG|1ZMB	18VULN|2LEGI|38DMG|4ZMB|5DUST|6RCR|78ASPD|8BPWR|9MDPS|aCDMG
29	21434 61123	   	224.79	DCR|2VULN|2DMG|1MDPS|2ASPD|1ZMB|1MSE	18VULN|2LEGI|38DMG|4ZMB|5DUST|6RCR|78ASPD|8BPWR|9MDPS|aMSE
30	23432 12354	 * 	224.53	DCR|4VULN|3DMG|2DUR	134aVULN|2CGEN|57aDMG|6RCR|8RPLT|9aDUR|aBPWR
31	33431 61121	   	224.32	DCR|3DMG|2VULN|1MDPS|1ASPD|2DUR|1ZMB	18DUR|2ASPD|38VULN|4ZMB|5FEWX|6RCR|78aDMG|8BPWR|9MDPS
32	33431 61122	   	224.32	DCR|2VULN|2DMG|1MDPS|1ASPD|1CDMG|2DUR|1ZMB	18DUR|2ASPD|38VULN|4ZMB|5FEWX|6RCR|78DMG|8BPWR|9MDPS|aCDMG
33	33434 61121	   	224.22	DCR|3DMG|2VULN|1MDPS|1ASPD|2DUR|1ZMB	18DUR|2ASPD|38VULN|4ZMB|5DUST|6RCR|78aDMG|8BPWR|9MDPS
34	33434 61122	   	224.22	DCR|2VULN|1MDPS|2DMG|1ASPD|1CDMG|2DUR|1ZMB	18DUR|2ASPD|38VULN|4ZMB|5DUST|6RCR|78DMG|8BPWR|9MDPS|aCDMG
35	62332 61151	   	223.90	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC|1ZMB	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9ZMB|aAME
36	62332 61152	   	223.90	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC|1ZMB	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9ZMB|aRPLT
37	62332 61153	   	223.80	DCR|3VULN|2DMG|1MDPS|2ASPD|1AAC|1ZMB	18DMG|2MDPS|3AAC|458VULN|6RCR|78ASPD|8BPWR|9ZMB|aTLV
38	32433 61161	   	223.11	DCR|2DMG|2ASPD|1VULN|1AART|2DUR|1ZMB	18DUR|2BEXP|38DMG|4ZMB|5VULN|6RCR|78ASPD|8BPWR|9AART|aTLV
39	32433 61163	   	223.11	DCR|2DMG|2ASPD|1VULN|1AART|2DUR|1ZMB	18DUR|2BEXP|38DMG|4ZMB|5VULN|6RCR|78ASPD|8BPWR|9AART|aERES
40	33432 51216	   	222.51	DCR|2VULN|1AART|1ASPD|1DMG|3DUR|2ZMB	178DUR|2ASPD|38VULN|48ZMB|5RCVC|6RCR|8BPWR|9DMG|aAART
41	33162 51216	   	222.51	DCR|2VULN|1AART|1ASPD|1DMG|3DUR|2ZMB	178DUR|2ASPD|38ZMB|48VULN|5RCVC|6RCR|8BPWR|9DMG|aAART
