0	Index      	 *	Score 	Summary	Detail	
1	61112 26213	 * 	209.02	DCR|2VULN|3CDMG|1ASPD|1DMG|1NUKE	138CDMG|238CGEN|38BPWR|4DMG|5ASPD|6RMIN|78VULN|9RCR|aNUKE
2	11362 11643	 * 	208.86	DCR|2AART|2DMG|2ASPD|1VULN|1SELL	1SELL|24DMG|35ASPD|6aAART|7VULN|8TLV|9RCR
3	11252 26262	 * 	207.42	DCR|3VULN|2DMG|2ASPD|1SELL	1SELL|28DMG|3ERES|4RCVC|58ASPD|6RMIN|78aVULN|8BPWR|9RCR
4	11366 31216	 * 	207.17	DCR|3DMG|2VULN|1ASPD|1CDMG|1SELL	1SELL|247DMG|3ASPD|5FEWX|6CDMG|8aVULN|9RCR
5	61112 26216	 * 	206.79	DCR|3VULN|3CDMG|1ASPD|1DMG	138CDMG|238CGEN|38BPWR|4DMG|5ASPD|6RMIN|78aVULN|9RCR
6	62312 23214	 * 	206.44	DCR|2VULN|2DMG|3CDMG|1ASPD	168CDMG|28FEWX|34VULN|5CGEN|78DMG|8BPWR|9RCR|aASPD
7	62311 23214	   	206.34	DCR|2VULN|2DMG|3CDMG|1ASPD	168CDMG|28FEWX|34VULN|5TLV|78DMG|8BPWR|9RCR|aASPD
8	62312 23215	 * 	205.21	DCR|2VULN|2DMG|1MDPS|3CDMG	168CDMG|28FEWX|34VULN|5CGEN|78DMG|8BPWR|9RCR|aMDPS
9	62311 23215	   	205.11	DCR|2VULN|1MDPS|2DMG|3CDMG	168CDMG|28FEWX|34VULN|5TLV|78DMG|8BPWR|9RCR|aMDPS
10	26414 23323	 * 	204.53	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1DUR	1DUR|2LWND|3VULN|4MLV|5ASPD|6DMG|78AART|9RCR|aMDPS
11	11562 24122	 * 	203.94	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	1SELL|29DMG|37VULN|49ASPD|5CGEN|6CDMG|89AME|9BPWR|aRCR
12	11561 24122	 * 	203.84	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	1SELL|29DMG|37VULN|49ASPD|5TLV|6CDMG|89AME|9BPWR|aRCR
13	61112 26214	 * 	203.18	DCR|2VULN|2ASPD|3CDMG|1DMG	138CDMG|238CGEN|38BPWR|4DMG|5aASPD|6RMIN|78VULN|9RCR
14	66312 23213	   	203.08	DCR|2VULN|2ASPD|3CDMG|1DMG	168CDMG|28LHND|34VULN|5CGEN|78ASPD|8BPWR|9RCR|aDMG
15	65312 23213	   	202.88	DCR|2VULN|2ASPD|3CDMG|1DMG	168CDMG|28DUST|34VULN|5CGEN|78ASPD|8BPWR|9RCR|aDMG
16	61115 26213	 * 	202.04	DCR|3DMG|2VULN|3CDMG|1AAC	138CDMG|23CGEN|38BPWR|48aDMG|5AAC|6RMIN|78VULN|9RCR
17	62312 23213	   	202.04	DCR|3DMG|2VULN|3CDMG	168CDMG|28FEWX|34VULN|5CGEN|78aDMG|8BPWR|9RCR
18	11366 31214	 * 	201.01	DCR|3DMG|2ASPD|1VULN|1CDMG|1SELL	1SELL|247DMG|3aASPD|5FEWX|6CDMG|8VULN|9RCR
19	66312 23216	 * 	200.85	DCR|3VULN|2ASPD|3CDMG	168CDMG|28LHND|34aVULN|5CGEN|78ASPD|8BPWR|9RCR
20	66311 23216	   	200.75	DCR|3VULN|2ASPD|3CDMG	168CDMG|28LHND|34aVULN|5TLV|78ASPD|8BPWR|9RCR
21	65312 23216	   	200.65	DCR|3VULN|2ASPD|3CDMG	168CDMG|28DUST|34aVULN|5CGEN|78ASPD|8BPWR|9RCR
22	65311 23216	   	200.55	DCR|3VULN|2ASPD|3CDMG	168CDMG|28DUST|34aVULN|5TLV|78ASPD|8BPWR|9RCR
23	13233 66232	 * 	199.29	DCR|2DMG|2ASPD|1VULN|2CDMG|1DUR|1SELL	1SELL|2LIT|39DMG|4DUR|5FEWX|69CDMG|7VULN|89ASPD|9BPWR|aRCR
24	13131 21611	 * 	199.13	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1SELL|2LIT|3AART|49DMG|5CDMG|6MBVNT|7RCR|8aVULN
25	11362 32143	 * 	197.68	DCR|3DMG|3ASPD|1VULN|1SELL	1SELL|246DMG|35aASPD|7LIT|8VULN|9RCR
26	66312 23214	 * 	195.94	DCR|3ASPD|2VULN|3CDMG	168CDMG|28LHND|34VULN|5CGEN|78aASPD|8BPWR|9RCR
27	26252 61144	 * 	195.91	DCR|2VULN|1AART|1DMG|1NUKE|1DUR	1DUR|2LWND|3MBVNT|4DMG|5AART|6RCR|7MLV|89VULN|aNUKE
28	26212 67144	   	195.91	DCR|2VULN|1AART|1DMG|1NUKE|1DUR	1DUR|2LWND|3MBVNT|4MLV|5AART|6RCR|7DMG|89VULN|aNUKE
29	66311 23214	   	195.84	DCR|3ASPD|2VULN|3CDMG	168CDMG|28LHND|34VULN|5TLV|78aASPD|8BPWR|9RCR
30	65312 23214	   	195.74	DCR|3ASPD|2VULN|3CDMG	168CDMG|28DUST|34VULN|5CGEN|78aASPD|8BPWR|9RCR
31	13153 21265	 * 	195.71	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1SELL	1SELL|2LIT|3AART|4CDMG|56VULN|7BEXP|8DMG|9ASPD|aRCR
32	65311 23214	   	195.64	DCR|3ASPD|2VULN|3CDMG	168CDMG|28DUST|34VULN|5TLV|78aASPD|8BPWR|9RCR
33	13121 28681	 * 	195.38	DCR|3VULN|1AART|1ASPD|1CDMG|1SELL	1SELL|2LIT|3AART|4ASPD|5CDMG|6MBVNT|78aVULN|9RCR
34	25134 21382	 * 	195.14	ACR|2VULN|2ASPD|1DMG|3DUR|1CDMG|1ZMB	127DUR|27BPWR|3MBVNT|4RCR|57VULN|67ASPD|8CDMG|9ZMB|aDMG
35	25136 21382	   	195.14	ACR|2VULN|2ASPD|1DMG|3DUR|1CDMG|1ZMB	127DUR|27BPWR|3MBVNT|4RCR|57ASPD|67VULN|8CDMG|9ZMB|aDMG
36	11366 31213	 * 	195.09	DCR|3DMG|1VULN|1ASPD|1CDMG|1DUR|1SELL	1SELL|247DMG|3ASPD|5FEWX|6CDMG|8VULN|9RCR|aDUR
37	25624 21542	 * 	194.56	DCR|2VULN|2ASPD|1AART|3DUR	127DUR|27BPWR|3LHND|4MBVNT|57VULN|67ASPD|8LWND|9RCR|aAART
38	25624 21644	   	194.56	DCR|2VULN|2ASPD|1AART|3DUR	127DUR|27BPWR|3LHND|4MBVNT|57VULN|67ASPD|8BEXP|9RCR|aAART
39	11513 23615	 * 	194.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1SELL	1SELL|2DMG|34VULN|5DUR|6CDMG|7AART|8LIT|9ZMB|aRCR
40	13121 62515	 * 	194.28	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR|1SELL	1SELL|2LIT|3AART|4ASPD|5CDMG|6DUR|78VULN|9ZMB|aRCR
41	13131 62515	 * 	194.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1SELL	1SELL|2LIT|3AART|4DMG|5CDMG|6DUR|78VULN|9ZMB|aRCR
