0	Index      	 *	Score 	Summary	Detail	
1	26522 13511	 * 	208.27	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8aVULN|9BEXP
2	26522 15312	 * 	208.27	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7RPLT|8aVULN|9ASPD
3	26522 13531	 * 	207.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	19LIT|2DUR|34AART|5CDMG|6RCR|7DMG|8VULN|aASPD
4	26522 13122	 * 	205.38	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|7aDMG|8CANSTR|9VULN
5	21152 23243	 * 	203.84	DCR|4VULN|1ASPD|1DMG|1AAC|1ZMB	1LIT|2ZMB|3569VULN|4AAC|7ASPD|8RCR|aDMG
6	21615 53323	 * 	203.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LIT|2ZMB|37DMG|4DUST|5CDMG|6AART|89VULN|aRCR
7	26522 13613	 * 	202.61	DCR|2AART|1MDPS|2DMG|1NUKE|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|78DMG|9NUKE|aMDPS
8	26522 13623	 * 	202.51	DCR|2AART|2DMG|1ASPD|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|78DMG|9RCVC|aASPD
9	21152 22256	 * 	202.21	DCR|3VULN|2ASPD|1DMG|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7DMG|8RCR|9aASPD
10	21152 23253	   	202.21	DCR|3VULN|2ASPD|1DMG|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|79ASPD|8RCR|aDMG
11	26522 13611	   	202.00	DCR|2AART|2DMG|1NUKE|1CDMG|1AAC|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|78DMG|9NUKE|aAAC
12	26522 13612	   	201.66	DCR|2AART|2DMG|1NUKE|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|78DMG|9NUKE|aAME
13	26522 13631	   	201.66	DCR|2AART|2DMG|1ASPD|1CDMG|1DUR	1LIT|2DUR|34AART|5CDMG|6RCR|78DMG|9MBVNT|aASPD
14	21152 22243	 * 	201.36	DCR|4VULN|2DMG|1AAC|1ZMB	1LIT|2ZMB|3569VULN|4AAC|7aDMG|8RCR
15	21152 22236	 * 	201.07	DCR|3VULN|1MDPS|1AART|1DMG|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7DMG|8RCR|9AART|aMDPS
16	21152 23236	 * 	201.07	DCR|3VULN|1MDPS|1AART|1ASPD|1AAC|1ZMB	1LIT|2ZMB|356VULN|4AAC|7ASPD|8RCR|9AART|aMDPS
17	21152 22235	   	200.01	DCR|3VULN|1AART|1DMG|1AAC|1ZMB|1DUR	1LIT|2ZMB|356VULN|4AAC|7DMG|8RCR|9AART|aDUR
18	21152 23235	   	200.01	DCR|3VULN|1AART|1ASPD|1AAC|1ZMB|1DUR	1LIT|2ZMB|356VULN|4AAC|7ASPD|8RCR|9AART|aDUR
19	22522 13511	   	199.96	DCR|2VULN|2AART|1DMG|1CDMG	1LIT|2LHND|34AART|5CDMG|6RCR|7DMG|8aVULN|9BEXP
20	22522 13561	   	199.96	DCR|2VULN|2AART|1DMG|1CDMG	1LIT|2LHND|34AART|5CDMG|6RCR|7DMG|8aVULN|9FEWX
21	22522 15312	   	199.96	DCR|2VULN|2AART|1ASPD|1CDMG	1LIT|2LHND|34AART|5CDMG|6RCR|7RPLT|8aVULN|9ASPD
22	22522 13531	   	199.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	19LIT|2LHND|34AART|5CDMG|6RCR|7DMG|8VULN|aASPD
