0	Index      	 *	Score 	Summary	Detail	
1	14112 41233	 * 	244.21	DCR|3VULN|1SPLARM|2DMG|1AART|1CDMG|1SELL	146VULN|24DMG|3AART|4BPWR|5ERES|7CDMG|8RCR|9SELL|aSPLARM
2	14116 11233	 * 	242.45	DCR|1SPLARM|2VULN|2AART|2DMG|1CDMG|1SELL	14VULN|24DMG|35AART|4BPWR|6ERES|7CDMG|8RCR|9SELL|aSPLARM
3	11234 35114	 * 	234.99	DCR|3VULN|1SPLARM|1AART|1ASPD|1DMG|1DUR	126VULN|3ASPD|4DUR|5AART|7DMG|8SPLARM|9RPLT|aRCR
4	14113 43143	 * 	234.61	DCR|3VULN|1SPLARM|2DMG|1AART|1DUR	146VULN|24DMG|3AART|4BPWR|5RMIN|7LWND|8SPLARM|9RCR|aDUR
5	14115 41232	 * 	234.13	DCR|3VULN|1MDPS|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5TLV|7CDMG|8RCR|9MLV|aMDPS
6	14113 41222	   	234.13	DCR|3VULN|1MDPS|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9TLV|aMDPS
7	14113 41242	   	234.13	DCR|3VULN|1MDPS|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9ERES|aMDPS
8	14112 41222	   	234.03	DCR|3VULN|1MDPS|2DMG|1AART|1CDMG	146VULN|24DMG|3AART|4BPWR|5ERES|7CDMG|8RCR|9TLV|aMDPS
9	14113 41214	 * 	233.17	DCR|3VULN|2DMG|1AART|2CDMG|1ZMB	146VULN|24DMG|3AART|4BPWR|5RMIN|79CDMG|8RCR|aZMB
10	14112 41214	   	233.07	DCR|3VULN|2DMG|1AART|2CDMG|1ZMB	146VULN|24DMG|3AART|4BPWR|5ERES|79CDMG|8RCR|aZMB
11	14112 25316	 * 	232.89	DCR|3VULN|3DMG|2AART	14aVULN|24aDMG|39AART|4aBPWR|5ERES|6DUST|7RCR|8aAME
12	14116 61232	 * 	232.38	DCR|2VULN|2AART|1MDPS|2DMG|1CDMG	14VULN|24DMG|35AART|4BPWR|6TLV|7CDMG|8RCR|9MLV|aMDPS
13	14111 51121	 * 	232.36	DCR|3VULN|3DMG|1MDPS|1AART|2ZMB	14aVULN|24aDMG|3AART|4aBPWR|5MDPS|6RCR|7LWND|8TLV|9aZMB
14	14111 51421	   	232.36	DCR|3VULN|3DMG|1MDPS|1AART|2ZMB	14aVULN|24aDMG|3AART|4aBPWR|5MDPS|6RCR|7LWND|8ERES|9aZMB
15	14111 55121	   	232.36	DCR|3VULN|3DMG|1MDPS|1AART|2ZMB	14aVULN|24aDMG|3AART|4aBPWR|5MDPS|6RCR|7LHND|8TLV|9aZMB
16	14111 56121	   	232.36	DCR|3VULN|3DMG|1MDPS|1AART|2ZMB	14aVULN|24aDMG|3AART|4aBPWR|5MDPS|6RCR|7BEXP|8TLV|9aZMB
17	14116 11222	   	232.28	DCR|2VULN|2AART|1MDPS|2DMG|1CDMG	14VULN|24DMG|35AART|4BPWR|6ERES|7CDMG|8RCR|9TLV|aMDPS
18	14116 11214	 * 	231.31	DCR|2VULN|2AART|2DMG|2CDMG|1ZMB	14VULN|24DMG|35AART|4BPWR|6ERES|79CDMG|8RCR|aZMB
19	14113 41261	 * 	231.26	DCR|4VULN|2DMG|1AART|1CDMG	146aVULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9LWND
20	14113 41251	   	231.16	DCR|4VULN|2DMG|1AART|1CDMG	146aVULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9MBVNT
21	14116 11234	   	231.14	DCR|3VULN|2AART|2DMG|1CDMG|1SELL	14aVULN|24DMG|35AART|4BPWR|6ERES|7CDMG|8RCR|9SELL
22	14113 41234	   	231.01	DCR|4VULN|2DMG|1AART|1CDMG|1SELL	146aVULN|24DMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9SELL
23	14113 41254	   	230.96	DCR|3VULN|3DMG|1AART|1CDMG	146VULN|24aDMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9MBVNT
24	14112 41234	   	230.91	DCR|4VULN|2DMG|1AART|1CDMG|1SELL	146aVULN|24DMG|3AART|4BPWR|5ERES|7CDMG|8RCR|9SELL
25	14113 41231	   	230.82	DCR|3VULN|3DMG|1AART|1CDMG|1SELL	146VULN|24aDMG|3AART|4BPWR|5RMIN|7CDMG|8RCR|9SELL
26	14112 41231	   	230.72	DCR|3VULN|3DMG|1AART|1CDMG|1SELL	146VULN|24aDMG|3AART|4BPWR|5ERES|7CDMG|8RCR|9SELL
27	11463 13242	 * 	230.59	DCR|3VULN|1MDPS|2CDMG|1ASPD|1DMG|1ZMB	123VULN|4ZMB|5DMG|67CDMG|8RCR|9ASPD|aMDPS
28	14111 54122	 * 	230.35	DCR|1SPLARM|2VULN|2AART|2DMG|1MDPS	14VULN|24DMG|3aAART|4BPWR|5MDPS|6RCR|7BELT|8SPLARM|9DUST
