0	Index      	 *	Score 	Summary	Detail	
1	11143 21362	 * 	246.19	DCR|3DMG|3ASPD|2VULN|1AART	1DMSP|289DMG|3CANARM|49VULN|569ASPD|7RCR|9BPWR|aAART
2	52312 15263	   	232.49	DCR|3DMG|2VULN|1AART|1ASPD|2DUR	18DUR|29VULN|345DMG|6AART|7RCR|aASPD
3	52223 16252	 * 	228.65	DCR|3VULN|3DMG|1NUKE|2DUR	19DUR|269VULN|3LIT|4ERES|569DMG|69BPWR|7RCR|8RCVC|aNUKE
4	24324 13224	 * 	223.53	DCR|3VULN|1MDPS|2ASPD|1AART|2CDMG|1DUR|1SELL	19ASPD|2SELL|3DUR|459VULN|6MDPS|7AART|89CDMG|9BPWR|aRCR
5	52312 15315	   	222.76	DCR|3DMG|2VULN|1AART|2DUR|1ZMB	1aDUR|29VULN|345DMG|6AART|7RCR|8ZMB
6	52222 16252	 * 	222.56	DCR|3VULN|3ASPD|1NUKE|2DUR	19DUR|269VULN|3LIT|4ERES|569ASPD|69BPWR|7RCR|8RCVC|aNUKE
7	11143 21361	   	222.41	DCR|3DMG|3ASPD|2VULN	1DMSP|289DMG|3CANARM|49VULN|569ASPD|7RCR|9BPWR|aCGEN
8	11143 21364	   	222.41	DCR|3DMG|3ASPD|2VULN	1DMSP|289DMG|3CANARM|49VULN|569ASPD|7RCR|9BPWR|aFEWX
9	11143 21366	   	222.41	DCR|3DMG|3ASPD|2VULN	1DMSP|289DMG|3CANARM|49VULN|569ASPD|7RCR|9BPWR|aAME
10	11143 21363	   	222.31	DCR|3DMG|3ASPD|2VULN	1DMSP|289DMG|3CANARM|49VULN|569ASPD|7RCR|9BPWR|aDUST
11	32312 15242	 * 	221.78	DCR|3DMG|1MDPS|1VULN|1AART|1CDMG|1DUR	1DUST|2VULN|345DMG|6AART|7RCR|8DUR|9CDMG|aMDPS
12	32331 63431	   	221.34	DCR|3DMG|2VULN|1AART|1CDMG|1DUR	1DUST|27VULN|36aDMG|4AART|5DUR|8RCR|9CDMG
13	32312 15563	   	220.75	DCR|3DMG|2VULN|1AART|1ASPD	1DUST|29VULN|345DMG|6AART|7RCR|8RCVC|aASPD
14	11143 61343	   	218.84	DCR|3DMG|2VULN|1AART|1ASPD	1DMSP|268DMG|3CANARM|4aVULN|5ASPD|7RCR|9AART
15	52312 15311	   	217.52	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1DUR|29VULN|345DMG|6AART|7RCR|8ZMB|aAME
16	52312 15312	   	217.52	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1DUR|29VULN|345DMG|6AART|7RCR|8ZMB|aLHND
17	52312 15316	   	217.52	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1DUR|29VULN|345DMG|6AART|7RCR|8ZMB|aFEWX
18	52312 15331	   	217.52	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1DUR|2aVULN|345DMG|6AART|7RCR|8ZMB|9LWND
19	52312 15361	   	217.52	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1DUR|2aVULN|345DMG|6AART|7RCR|8ZMB|9BEXP
20	55312 15311	   	217.42	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1DUR|2LEGI|345DMG|6AART|7RCR|8ZMB|9aVULN
21	32312 15261	   	217.42	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1DUST|2aVULN|345DMG|6AART|7RCR|8DUR|9ZMB
22	52312 15313	   	217.42	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1DUR|29VULN|345DMG|6AART|7RCR|8ZMB|aTLV
23	52312 15314	   	217.42	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1DUR|29VULN|345DMG|6AART|7RCR|8ZMB|aERES
24	52312 15351	   	217.42	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1DUR|2aVULN|345DMG|6AART|7RCR|8ZMB|9DUST
25	52312 15215	 * 	217.17	DCR|3DMG|1VULN|1AART|1ASPD|3DUR	18aDUR|2VULN|345DMG|6AART|7RCR|9ASPD
26	32312 15516	 * 	216.44	DCR|3DMG|2AART|1VULN|1ASPD	1DUST|2VULN|345DMG|6aAART|7RCR|8RCVC|9ASPD
