0	Index      	 *	Score 	Summary	Detail	
1	61332 41333	 * 	207.52	DCR|3VULN|2DMG|1MDPS|1AART	1MDPS|27aVULN|37CGEN|47aFEWX|5AART|6RCR|7aBPWR|8aDMG|9RMIN
2	61232 41333	   	207.32	DCR|3VULN|1MDPS|2DMG|1AART	1MDPS|27aVULN|37TLV|47aFEWX|5AART|6RCR|7aBPWR|8aDMG|9RMIN
3	61622 41333	   	207.22	DCR|3VULN|1MDPS|2DMG|1AART	1MDPS|27aVULN|37FEWX|47aTLV|5AART|6RCR|7aBPWR|8aDMG|9RMIN
4	23236 21265	 * 	206.21	DCR|3VULN|2DMG|3CDMG	1MLV|2DMSP|356CDMG|456VULN|56BPWR|7RPLT|8RCR|9aDMG
5	61332 43333	 * 	205.57	DCR|2VULN|2AART|2DMG|1MDPS	1MDPS|2aVULN|3CGEN|4aFEWX|57AART|6RCR|8aDMG|9RMIN|aBPWR
6	61232 43333	   	205.47	DCR|2VULN|2AART|1MDPS|2DMG	1MDPS|2aVULN|3TLV|4aFEWX|57AART|6RCR|8aDMG|9RMIN|aBPWR
7	61622 43333	   	205.37	DCR|2VULN|2AART|1MDPS|2DMG	1MDPS|2aVULN|3FEWX|4aTLV|57AART|6RCR|8aDMG|9RMIN|aBPWR
8	61642 31233	   	203.32	DCR|3VULN|1MDPS|2DMG|1AART	1MDPS|27aVULN|3FEWX|4aMLV|5AART|6aDMG|8RCR|9RMIN|aBPWR
9	61232 31233	   	203.22	DCR|3VULN|1MDPS|2DMG|1AART	1MDPS|27aVULN|3TLV|4aFEWX|5AART|6aDMG|8RCR|9RMIN|aBPWR
10	61622 31233	   	203.12	DCR|3VULN|1MDPS|2DMG|1AART	1MDPS|27aVULN|3FEWX|4aTLV|5AART|6aDMG|8RCR|9RMIN|aBPWR
11	61642 31213	 * 	201.43	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	1MDPS|279VULN|3FEWX|4MLV|5AART|6DMG|8RCR|aASPD
12	61332 36233	 * 	201.14	DCR|3DMG|2VULN|1MDPS|1AART	1MDPS|2aVULN|3CGEN|4aFEWX|5AART|67aDMG|8RCR|9RMIN|aBPWR
13	61232 36233	   	201.04	DCR|3DMG|2VULN|1MDPS|1AART	1MDPS|2aVULN|3TLV|4aFEWX|5AART|67aDMG|8RCR|9RMIN|aBPWR
14	61622 36233	   	200.94	DCR|3DMG|2VULN|1MDPS|1AART	1MDPS|2aVULN|3FEWX|4aTLV|5AART|67aDMG|8RCR|9RMIN|aBPWR
15	32613 41214	 * 	199.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1LWND|2CDMG|3DUST|4VULN|5LIT|6RCR|78AART|9ASPD|aDMG
16	12213 31772	 * 	198.70	DCR|3DMG|3ZMB|1AART|2CDMG	179FEWX|25CDMG|379ZMB|479DMG|6MBVNT|79BPWR|8AART|aRCR
17	12234 31772	   	198.70	DCR|3DMG|3ZMB|1AART|2CDMG	179FEWX|24CDMG|379ZMB|579DMG|6MBVNT|79BPWR|8AART|aRCR
18	32212 16641	 * 	198.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|2CDMG|3ZMB|4DMG|5CGEN|69VULN|7AART|8RCR|aDUR
19	61642 31212	 * 	197.22	DCR|4VULN|1MDPS|1AART|1DMG	1MDPS|279aVULN|3FEWX|4MLV|5AART|6DMG|8RCR
20	25236 21261	   	196.53	DCR|3VULN|3CDMG|1DMG	1MLV|2RCVC|356CDMG|456VULN|56BPWR|7RPLT|8RCR|9DMG|aRMIN
21	61332 41313	   	195.90	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1MDPS|279VULN|37CGEN|47FEWX|5AART|6RCR|7BPWR|8DMG|aZMB
22	64312 31235	   	195.87	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1MDPS|2ZMB|37aVULN|4LWND|5AART|6DMG|8RCR|9RMIN
23	61232 41313	   	195.70	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1MDPS|279VULN|37TLV|47FEWX|5AART|6RCR|7BPWR|8DMG|aZMB
24	61622 41313	   	195.70	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1MDPS|279VULN|37FEWX|47TLV|5AART|6RCR|7BPWR|8DMG|aZMB
25	32316 53621	 * 	194.71	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1LWND|2CDMG|3ERES|4DMG|5DUR|6ASPD|7ZMB|8RCR|9aVULN
26	64222 34112	 * 	194.43	DCR|2VULN|1MDPS|2ASPD|3ZMB|1CDMG	1MDPS|27aZMB|3MLV|47ASPD|57VULN|6BELT|7BPWR|8CDMG|9RCR
27	61332 43313	   	193.95	DCR|2VULN|2AART|1MDPS|1DMG|1ZMB	1MDPS|29VULN|3CGEN|4FEWX|57AART|6RCR|8DMG|aZMB
28	21516 32126	 * 	193.90	DCR|3VULN|2CDMG|1ASPD|1ZMB	1aMLV|2BELT|3FEWX|49aVULN|5ASPD|6ZMB|7RCR|8aCDMG|aBPWR
29	61332 41312	   	193.88	DCR|3VULN|1MDPS|1AART|1DMG|1DUR	1MDPS|279VULN|37CGEN|47FEWX|5AART|6RCR|7BPWR|8DMG|aDUR
30	61232 43313	   	193.85	DCR|2VULN|2AART|1MDPS|1DMG|1ZMB	1MDPS|29VULN|3TLV|4FEWX|57AART|6RCR|8DMG|aZMB
