0	Index      	 *	Score 	Summary	Detail	
1	15322 31213	 * 	240.75	DCR|3VULN|3ASPD|2AART|1DMG	135ASPD|269VULN|48AART|7DMG|aRCR
2	15322 32513	 * 	240.53	DCR|4VULN|3ASPD|1AART|1DMG	135ASPD|2679VULN|4AART|8DMG|aRCR
3	15651 13311	 * 	225.54	DCR|3VULN|1SPLARM|2ASPD|1CDMG|1ZMB	1aASPD|257VULN|3ERES|4ZMB|6SPLARM|8CDMG|9RCR
4	45351 13311	   	225.54	DCR|3VULN|1SPLARM|2ASPD|1CDMG|1ZMB	1ERES|257VULN|3aASPD|4ZMB|6SPLARM|8CDMG|9RCR
5	15331 63143	   	224.88	DCR|3VULN|3ASPD|1AART|1DMG	137ASPD|257VULN|47BEXP|6RCVC|7BPWR|8AART|9DMG|aRCR
6	15322 32443	   	224.68	DCR|3VULN|3ASPD|1AART|1DMG	135ASPD|267VULN|4AART|8LWND|9DMG|aRCR
7	15322 32523	   	224.68	DCR|3VULN|3ASPD|1AART|1DMG	135ASPD|267VULN|4AART|8DMG|9LWND|aRCR
8	15322 32533	   	224.68	DCR|3VULN|3ASPD|1AART|1DMG	135ASPD|267VULN|4AART|8DMG|9FEWX|aRCR
9	15322 32563	   	224.68	DCR|3VULN|3ASPD|1AART|1DMG	135ASPD|267VULN|4AART|8DMG|9LHND|aRCR
10	15322 32343	   	224.58	DCR|3VULN|3ASPD|1AART|1DMG	135ASPD|267VULN|4AART|8DUST|9DMG|aRCR
11	15322 31343	 * 	224.33	DCR|3ASPD|2VULN|2DMG|1AART	135ASPD|26VULN|4AART|79DMG|8ERES|aRCR
12	15322 31223	   	222.92	DCR|3ASPD|2VULN|2AART|1DMG	135ASPD|26VULN|48AART|7DMG|9LWND|aRCR
13	15322 31233	   	222.92	DCR|3ASPD|2VULN|2AART|1DMG	135ASPD|26VULN|48AART|7DMG|9FEWX|aRCR
14	15322 31263	   	222.92	DCR|3ASPD|2VULN|2AART|1DMG	135ASPD|26VULN|48AART|7DMG|9LHND|aRCR
15	15314 12123	   	217.18	DCR|3ASPD|2VULN|1AART|1DMG|1ZMB	135ASPD|26VULN|4RMIN|7DMG|8AART|9ZMB|aRCR
16	15322 31123	   	217.18	DCR|3ASPD|2VULN|1AART|1DMG|1ZMB	135ASPD|26VULN|4AART|7DMG|8CGEN|9ZMB|aRCR
17	15354 12123	   	217.18	DCR|3ASPD|2VULN|1AART|1DMG|1ZMB	135ASPD|26VULN|4AME|7DMG|8AART|9ZMB|aRCR
18	15322 31323	   	217.08	DCR|3ASPD|2VULN|1AART|1DMG|1ZMB	135ASPD|26VULN|4AART|7DMG|8ERES|9ZMB|aRCR
19	15322 32163	   	216.95	DCR|3VULN|3ASPD|1AART|1ZMB	135ASPD|267VULN|4AART|8RPLT|9RCR|aZMB
20	15651 13231	 * 	215.14	DCR|3VULN|1SPLARM|1ASPD|1DMG|1ZMB	1ASPD|257VULN|3ERES|4ZMB|6SPLARM|8LIT|9RCR|aDMG
21	45351 13231	   	215.14	DCR|3VULN|1SPLARM|1ASPD|1DMG|1ZMB	1ERES|257VULN|3ASPD|4ZMB|6SPLARM|8LIT|9RCR|aDMG
22	15651 13313	   	214.54	DCR|3VULN|1SPLARM|1ASPD|1CDMG|2ZMB	1ASPD|257VULN|3ERES|4aZMB|6SPLARM|8CDMG|9RCR
23	45351 13313	   	214.54	DCR|3VULN|1SPLARM|1ASPD|1CDMG|2ZMB	1ERES|257VULN|3ASPD|4aZMB|6SPLARM|8CDMG|9RCR
24	15322 61252	 * 	213.81	DCR|3ASPD|2VULN|1AART|1CDMG|1AAC	135ASPD|29VULN|4AART|6CDMG|7AME|8RCR|aAAC
25	15322 62252	   	213.71	DCR|3ASPD|2VULN|1AART|1CDMG|1AAC	135ASPD|29VULN|4AART|6CDMG|7ERES|8RCR|aAAC
26	15322 32162	   	213.39	DCR|3VULN|3ASPD|1AART|1AAC	135ASPD|267VULN|4AART|8RPLT|9RCR|aAAC
27	15651 13233	   	211.32	DCR|3VULN|1SPLARM|1ASPD|1CDMG|1ZMB	1ASPD|257VULN|3ERES|4ZMB|6SPLARM|8LIT|9RCR|aCDMG
28	15651 13312	   	211.32	DCR|3VULN|1SPLARM|1ASPD|1CDMG|1ZMB	1ASPD|257VULN|3ERES|4ZMB|6SPLARM|8CDMG|9RCR|aLWND
29	45351 13233	   	211.32	DCR|3VULN|1SPLARM|1ASPD|1CDMG|1ZMB	1ERES|257VULN|3ASPD|4ZMB|6SPLARM|8LIT|9RCR|aCDMG
30	45351 13312	   	211.32	DCR|3VULN|1SPLARM|1ASPD|1CDMG|1ZMB	1ERES|257VULN|3ASPD|4ZMB|6SPLARM|8CDMG|9RCR|aLWND
