0	Index      	 *	Score 	Summary	Detail	
1	42111 11321	 * 	219.77	DCR|3VULN|1SPLARM|1MDPS|1AART|2DUR	14DUR|268VULN|3LIT|5AART|7RCR|9SPLARM|aMDPS
2	31255 12333	 * 	217.76	DCR|4VULN|2DMG|1AART	17aLWND|2AART|37CGEN|467aVULN|5RCVC|7aBPWR|8RCR|9aDMG
3	42141 11321	   	217.41	DCR|3VULN|1SPLARM|1MDPS|1AART|1DUR	1DUR|268VULN|3LIT|4RCVC|5AART|7RCR|9SPLARM|aMDPS
4	31663 12333	 * 	215.53	DCR|3VULN|2AART|2DMG	17aLWND|24AART|367VULN|57aCGEN|7aBPWR|8RCR|9aDMG
5	31661 12333	   	215.23	DCR|3VULN|2AART|2DMG	17aLWND|24AART|367VULN|57aERES|7aBPWR|8RCR|9aDMG
6	42121 11321	   	214.53	DCR|3VULN|1SPLARM|1MDPS|1AART|1DUR	1DUR|268VULN|34LIT|5AART|7RCR|9SPLARM|aMDPS
7	31663 12331	 * 	214.00	DCR|3VULN|2AART|1DMG|1CDMG	17LWND|24AART|367VULN|57CGEN|7BPWR|8RCR|9DMG|aCDMG
8	31661 12331	   	213.80	DCR|3VULN|2AART|1DMG|1CDMG	17LWND|24AART|367VULN|57ERES|7BPWR|8RCR|9DMG|aCDMG
9	42221 66211	 * 	213.60	DCR|4VULN|2ASPD|2DUR|1ZMB|1SELL	18DUR|248aVULN|3CGEN|5ZMB|68ASPD|7RCR|8BPWR|9SELL
10	26121 11334	 * 	211.74	DCR|3VULN|2CDMG|1ASPD|1DMG|1DUR	1BEXP|2ASPD|3DUR|48aVULN|59CDMG|6DMG|7RCR
11	36121 11334	   	211.74	DCR|3VULN|2CDMG|1ASPD|1DMG|1DUR	1LWND|2ASPD|3DUR|48aVULN|59CDMG|6DMG|7RCR
12	65131 14723	 * 	211.41	DCR|2VULN|2DMG|2ASPD|1AART|1AAC	1AAC|2MBVNT|38DMG|4AART|5ERES|68VULN|78ASPD|8BPWR|9CGEN|aRCR
13	65131 14713	   	211.31	DCR|2VULN|2DMG|2ASPD|1AART|1AAC	1AAC|2MBVNT|38DMG|4AART|5ERES|68VULN|78ASPD|8BPWR|9TLV|aRCR
14	36121 11145	 * 	210.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2ASPD|3DUR|4aVULN|5CDMG|6DMG|7RCR|8TLV|9AART
15	22141 11321	   	209.10	DCR|3VULN|1SPLARM|1MDPS|1AART	1BEXP|268VULN|3LIT|4RCVC|5AART|7RCR|9SPLARM|aMDPS
16	16132 61133	 * 	209.10	DCR|2VULN|2DMG|1AART|2CDMG	1RPLT|2AART|38CDMG|4LIT|58DMG|6RCR|78AELBLL|8BPWR|9aVULN
17	64231 12252	 * 	208.92	DCR|2SPLARM|3VULN|3ASPD|1AAC	1AAC|249ASPD|34SPLARM|49BPWR|59FEWX|6RCR|79aVULN|8DLOT
18	16132 64112	 * 	208.79	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	1RPLT|2AART|38CDMG|478LIT|58DMG|6RCR|8BPWR|9ASPD|aVULN
19	15322 27221	 * 	208.63	DCR|2DMG|3ZMB|1VULN|1AART|2CDMG	1RPLT|2MBVNT|38CDMG|4VULN|58DMG|678ZMB|8BPWR|9RCR|aAART
20	31663 12332	   	208.08	DCR|3VULN|2AART|1DMG|1ZMB	17LWND|24AART|367VULN|57CGEN|7BPWR|8RCR|9DMG|aZMB
21	62121 11363	   	207.93	DCR|3VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2FEWX|3DUR|48aVULN|5CDMG|6DMG|7RCR|9AART
22	31661 12332	   	207.88	DCR|3VULN|2AART|1DMG|1ZMB	17LWND|24AART|367VULN|57ERES|7BPWR|8RCR|9DMG|aZMB
23	64231 12521	 * 	207.44	DCR|2SPLARM|3ASPD|2VULN|1CDMG|1AAC	1AAC|248ASPD|34SPLARM|48BPWR|58FEWX|6RCR|78VULN|9LIT|aCDMG
24	36121 11146	   	207.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1LWND|2ASPD|3DUR|4VULN|5CDMG|6aDMG|7RCR|8TLV|9AART
25	24123 41511	 * 	207.19	DCR|3DMG|2VULN|1AART|1DUR	1BEXP|268DMG|3DUR|49VULN|5LWND|7RCR|aAART
26	42111 11331	 * 	207.06	DCR|5VULN|1AART|2DUR	14DUR|2689aVULN|3LIT|5AART|7RCR
27	15322 14882	   	206.80	DCR|2VULN|2DMG|1AART|2CDMG	1RPLT|2MBVNT|39CDMG|4aVULN|59DMG|69TLV|7RCR|8AART|9BPWR
28	36123 53214	 * 	206.51	DCR|2VULN|1AART|1ASPD|1DMG|3DUR	158LWND|2ASPD|378DUR|48VULN|6RCR|8BPWR|9DMG|aAART
29	44133 21242	 * 	206.33	DCR|3VULN|2DMG|3DUR|1CDMG	139DUR|29DMG|4CDMG|56CGEN|789VULN|9BPWR|aRCR
30	64231 12511	 * 	206.25	DCR|2SPLARM|3ASPD|2VULN|1MDPS|1AAC	1AAC|248ASPD|34SPLARM|48BPWR|58FEWX|6RCR|78VULN|9RCVC|aMDPS
31	16133 22366	 * 	205.07	DCR|2VULN|1AART|2CDMG|1ASPD|2DUR	1RPLT|2AART|3aCDMG|4LIT|5aDUR|6RCR|7CGEN|8ASPD|9aVULN|aBPWR
32	42141 11331	   	204.71	DCR|5VULN|1AART|1DUR	1DUR|2689aVULN|3LIT|4RCVC|5AART|7RCR
33	16133 23343	 * 	204.49	DCR|3VULN|1SPLARM|1AART|1CDMG|1DUR	1RPLT|2AART|3CDMG|4LIT|5DUR|6RCR|7SPLARM|89aVULN
34	26121 11631	 * 	204.36	DCR|3CDMG|1VULN|1AART|1ASPD|1DMG|1DUR	1BEXP|2ASPD|3DUR|4VULN|589CDMG|6DMG|7RCR|aAART
35	14421 11312	 * 	204.28	DCR|3DMG|1AART|1VULN|2CDMG	1RPLT|279DMG|3MSLFST|49AME|5AART|6RCR|89CDMG|9BPWR|aVULN
36	26121 11353	   	204.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1BEXP|2ASPD|3DUR|48aVULN|5CDMG|6DMG|7RCR|9ERES
37	36121 11353	   	204.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|2ASPD|3DUR|48aVULN|5CDMG|6DMG|7RCR|9ERES
38	61123 66221	 * 	203.61	DCR|3VULN|2ASPD|1CDMG|2DUR|1AAC	1AAC|248VULN|39DUR|58TLV|68ASPD|7RCR|8BPWR|aCDMG
39	36321 11334	   	203.43	DCR|3VULN|2CDMG|1ASPD|1DMG	1LWND|2ASPD|3FEWX|48aVULN|59CDMG|6DMG|7RCR
40	31255 14333	   	203.27	DCR|3VULN|2DMG|1AART	1aLWND|2AART|3CGEN|46aVULN|57RCVC|8RCR|9aDMG|aBPWR
41	42221 66221	 * 	203.05	DCR|3VULN|2ASPD|3DUR|1ZMB	189DUR|248VULN|3CGEN|5ZMB|68ASPD|7RCR|8BPWR|aLHND
