0	Index      	 *	Score 	Summary	Detail	
1	22464 31212	 * 	236.20	DCR|2SPLARM|3DMG|3ASPD|1MDPS|1AART|1AAC	1AAC|27SPLARM|367DMG|467ASPD|5MDPS|67BPWR|8AART|9LHND|aRCR
2	41232 16743	 * 	234.98	DCR|3VULN|3DMG|2CDMG|1ASPD	169MLV|29aVULN|3MBVNT|4ASPD|5aCDMG|79aDMG|8RCR|9aBPWR
3	22213 53253	 * 	222.84	DCR|1SPLARM|2ASPD|1AART|1VULN|1DMG|1CDMG|1AAC	1AAC|2SPLARM|3CDMG|4VULN|56ASPD|7LIT|8RCR|9DMG|aAART
4	61232 33745	   	219.80	DCR|3VULN|2DMG|1ASPD|1CDMG|1DUR	19TLV|279VULN|3MBVNT|4ASPD|5CDMG|69DMG|8RCR|9BPWR|aDUR
5	61232 33748	   	218.27	DCR|3VULN|2DMG|1ASPD|1CDMG|1AAC	19TLV|279VULN|3MBVNT|4ASPD|5CDMG|69DMG|8RCR|9BPWR|aAAC
6	12345 32413	 * 	214.62	DCR|3VULN|1SPLARM|1AART|1ASPD	1RMIN|2SPLARM|3VENFST|478VULN|5ASPD|6RCR|9AME|aAART
7	61232 33742	   	212.80	DCR|3VULN|2DMG|1ASPD|1CDMG	19TLV|279VULN|3MBVNT|4ASPD|5CDMG|69DMG|8RCR|9BPWR|aRCVC
8	13443 22122	   	212.60	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB|1DUR	1RMIN|2CDMG|3aVULN|4ASPD|5ZMB|6aDMG|7DUR|8RCR|9aFEWX|aBPWR
9	33332 32343	 * 	212.17	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1LWND|2CGEN|38VULN|4aASPD|5CDMG|6DMG|7AART|9RCR
10	35332 32343	   	212.17	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1LWND|28VULN|3CGEN|4aASPD|5CDMG|6DMG|7AART|9RCR
11	22213 53251	 * 	211.98	DCR|1SPLARM|3ASPD|1VULN|1DMG|1CDMG|1AAC	1AAC|2SPLARM|3CDMG|4VULN|56aASPD|7LIT|8RCR|9DMG
12	61232 33741	   	211.49	DCR|3VULN|2DMG|1ASPD|1CDMG	19TLV|279VULN|3MBVNT|4ASPD|5CDMG|69DMG|8RCR|9BPWR|aLHND
13	61232 33743	   	211.49	DCR|3VULN|2DMG|1ASPD|1CDMG	19TLV|279VULN|3MBVNT|4ASPD|5CDMG|69DMG|8RCR|9BPWR|aAME
14	61232 33746	   	211.49	DCR|3VULN|2DMG|1ASPD|1CDMG	19TLV|279VULN|3MBVNT|4ASPD|5CDMG|69DMG|8RCR|9BPWR|aBEXP
15	61232 33747	   	211.49	DCR|3VULN|2DMG|1ASPD|1CDMG	19TLV|279VULN|3MBVNT|4ASPD|5CDMG|69DMG|8RCR|9BPWR|aCGEN
16	61232 33744	   	211.39	DCR|3VULN|2DMG|1ASPD|1CDMG	19TLV|279VULN|3MBVNT|4ASPD|5CDMG|69DMG|8RCR|9BPWR|aCANARM
17	12345 32341	   	209.48	DCR|3VULN|1SPLARM|1ASPD|1ZMB|1DUR	1RMIN|2SPLARM|3VENFST|47aVULN|5ASPD|6RCR|8DUR|9ZMB
18	41232 46742	 * 	209.38	DCR|2VULN|2DMG|2ASPD|1CDMG	19MLV|29VULN|3MBVNT|46ASPD|5CDMG|79DMG|8RCR|9BPWR|aRCVC
19	61232 37742	   	209.18	DCR|2VULN|2DMG|2ASPD|1CDMG	19TLV|29VULN|3MBVNT|47ASPD|5CDMG|69DMG|8RCR|9BPWR|aRCVC
20	41232 46741	   	208.08	DCR|2VULN|2DMG|2ASPD|1CDMG	19MLV|29VULN|3MBVNT|46ASPD|5CDMG|79DMG|8RCR|9BPWR|aLHND
21	41232 46743	   	208.08	DCR|2VULN|2DMG|2ASPD|1CDMG	19MLV|29VULN|3MBVNT|46ASPD|5CDMG|79DMG|8RCR|9BPWR|aAME
22	41232 46744	   	207.98	DCR|2VULN|2DMG|2ASPD|1CDMG	19MLV|29VULN|3MBVNT|46ASPD|5CDMG|79DMG|8RCR|9BPWR|aCANARM
23	61232 37741	   	207.88	DCR|2VULN|2DMG|2ASPD|1CDMG	19TLV|29VULN|3MBVNT|47ASPD|5CDMG|69DMG|8RCR|9BPWR|aLHND
24	61232 37743	   	207.88	DCR|2VULN|2DMG|2ASPD|1CDMG	19TLV|29VULN|3MBVNT|47ASPD|5CDMG|69DMG|8RCR|9BPWR|aAME
25	61232 37744	   	207.78	DCR|2VULN|2DMG|2ASPD|1CDMG	19TLV|29VULN|3MBVNT|47ASPD|5CDMG|69DMG|8RCR|9BPWR|aCANARM
26	61232 33735	 * 	206.37	DCR|2VULN|1ASPD|1DMG|1NUKE|1CDMG|1ZMB	1TLV|27VULN|3MBVNT|4ASPD|5CDMG|6DMG|8RCR|9ZMB|aNUKE
