0	Index      	 *	Score 	Summary	Detail	
1	31633 62151	 * 	213.71	DCR|3VULN|2ASPD|1AART|1DMG|1SELL	1SELL|27ASPD|3AME|47BEXP|567VULN|7BPWR|8AART|9RCR|aDMG
2	11251 21514	 * 	207.36	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	17FEWX|27CDMG|3DUR|4ZMB|57DMG|6RCR|7BPWR|8LIT|9VULN|aAART
3	31462 15133	 * 	205.32	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE|1AAC|1SELL	1SELL|2ASPD|3DLOT|4AAC|56VULN|7RCR|8DMG|9AART|aNUKE
4	12136 52151	 * 	203.35	DCR|3VULN|1AART|2CDMG|1DMG	17FEWX|2RMIN|3AME|457VULN|67CDMG|7BPWR|8AART|9RCR|aDMG
5	11561 51233	 * 	203.10	DCR|2VULN|2DMG|1AART|2CDMG	1FEWX|2aCDMG|3CGEN|4BEXP|5aDMG|6MLV|7aVULN|8AART|9RCR|aBPWR
6	32133 62151	 * 	199.49	DCR|3VULN|1AART|1ASPD|1DMG|1SELL	1SELL|27AME|3ASPD|47BEXP|567VULN|7BPWR|8AART|9RCR|aDMG
7	32153 62151	 * 	199.49	DCR|3VULN|1AART|1ASPD|1DMG|1SELL	1SELL|27AME|3ASPD|47FEWX|567VULN|7BPWR|8AART|9RCR|aDMG
8	31333 64151	 * 	199.29	DCR|3VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2ASPD|3CGEN|4BEXP|567VULN|8AART|9RCR|aDMG
9	32133 64151	 * 	199.29	DCR|3VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2AME|3ASPD|4BEXP|567VULN|8AART|9RCR|aDMG
10	32143 62151	 * 	199.29	DCR|3VULN|1AART|1ASPD|1DMG|1SELL	1SELL|27AME|3ASPD|47DUST|567VULN|7BPWR|8AART|9RCR|aDMG
11	35133 62151	 * 	199.29	DCR|3VULN|1AART|1ASPD|1DMG|1SELL	1SELL|27TLV|3ASPD|47BEXP|567VULN|7BPWR|8AART|9RCR|aDMG
12	31622 42151	 * 	198.98	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	1SELL|27ASPD|3AME|4RCVC|57VULN|67BEXP|7BPWR|8AART|9RCR|aDMG
