0	Index      	 *	Score 	Summary	Detail	
1	23433 36321	 * 	206.10	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|2LIT|3DUR|47ASPD|5DMG|6RCR|8CDMG|9AART|aVULN
2	14663 11323	 * 	203.61	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1SELL	1LEGI|2SELL|3BEXP|4ASPD|5CDMG|6RCR|78VULN|9DMG|aAART
3	53151 44351	 * 	202.57	DCR|3ASPD|2VULN|1AART|2DUR	19DUR|25BEXP|3MBVNT|459ASPD|59BPWR|6RCVC|79VULN|8AART|aRCR
4	22266 11123	 * 	202.12	DCR|2VULN|2ASPD|1AART|1DMG	1DMSP|28ASPD|38BEXP|4LHND|5AME|6RCR|78VULN|8BPWR|9DMG|aAART
5	22246 11123	   	202.02	DCR|2VULN|2ASPD|1AART|1DMG	1DMSP|28ASPD|38BEXP|4ERES|5LWND|6RCR|78VULN|8BPWR|9DMG|aAART
6	23112 56431	 * 	201.39	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD	1DMSP|29LIT|3LHND|4AART|5MDPS|69DMG|79VULN|8RCR|9BPWR|aASPD
7	22226 84351	   	200.53	DCR|3ASPD|2VULN|1AART|2DUR	1DMSP|259ASPD|35BEXP|4MBVNT|59BPWR|69DUR|79VULN|8AART|aRCR
8	22222 34351	   	200.43	DCR|3ASPD|2VULN|1AART|2DUR	1DMSP|279ASPD|3BEXP|4MBVNT|59DUR|69VULN|8AART|9BPWR|aRCR
9	53153 34351	   	200.43	DCR|3ASPD|2VULN|1AART|2DUR	19DUR|2BEXP|3MBVNT|479ASPD|5DMSP|69VULN|8AART|9BPWR|aRCR
10	53181 34351	   	200.43	DCR|3ASPD|2VULN|1AART|2DUR	19DUR|24BEXP|3MBVNT|579ASPD|69VULN|8AART|9BPWR|aRCR
11	22132 51313	   	200.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMSP|2ASPD|3CDMG|4DMG|5VULN|6DUST|7RCR|8ZMB|9AART|aDUR
12	23433 36324	 * 	199.90	DCR|2DMG|2ASPD|1AART|1CDMG|1DUR	1DMSP|2LIT|3DUR|47ASPD|5aDMG|6RCR|8CDMG|9AART
13	22156 44732	 * 	199.59	DCR|3VULN|2ASPD|2CDMG	1DMSP|2aASPD|3aCDMG|4CGEN|5MBVNT|6RCR|7DUST|89aVULN|aBPWR
14	22134 66333	 * 	198.72	DCR|3ASPD|2DMG|1VULN|1CDMG	18DMSP|257ASPD|3CDMG|47DMG|67CGEN|7BPWR|9RCR|aVULN
15	22134 26533	   	198.52	DCR|3ASPD|2DMG|1VULN|1CDMG	1DMSP|256ASPD|3CDMG|48DMG|7CGEN|9RCR|aVULN
