0	Index      	 *	Score 	Summary	Detail	
1	54332 22523	 * 	213.96	DCR|3VULN|2ASPD|1DMG|2DUR|1ZMB	13DUR|25ASPD|45aVULN|5BPWR|6DMG|7ZMB|8LWND|9RCR
2	54332 22521	 * 	213.71	DCR|2VULN|2DMG|2ASPD|2DUR|1ZMB	13DUR|25ASPD|45VULN|5BPWR|6aDMG|7ZMB|8LWND|9RCR
3	24214 22316	 * 	212.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2ASPD|3ZMB|4MLV|5AART|6DMG|7RCR|8aVULN|9CDMG
4	24234 22316	   	212.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2ASPD|3ZMB|4AME|5AART|6DMG|7RCR|8aVULN|9CDMG
5	54332 24122	 * 	210.68	DCR|3VULN|2ASPD|1DMG|3DUR	139DUR|25ASPD|457VULN|5BPWR|6DMG|8RCR|aAELBLL
6	54332 24123	   	210.68	DCR|3VULN|2ASPD|1DMG|3DUR	139DUR|25ASPD|457VULN|5BPWR|6DMG|8RCR|aRMIN
7	54332 24121	   	210.58	DCR|3VULN|2ASPD|1DMG|3DUR|1MSE	139DUR|25ASPD|457VULN|5BPWR|6DMG|8RCR|aMSE
8	32222 23333	 * 	209.03	DCR|3DMG|2VULN|1AART|1CDMG	1LHND|28VULN|3DLOT|456DMG|7AART|9CDMG|aRCR
9	54332 16313	   	207.53	DCR|3VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45aVULN|5BPWR|6BEXP|7RCR|8ERES|9DMG
10	52226 42323	 * 	207.52	DCR|4VULN|1AART|1DMG|1DUR	1DUR|258aVULN|3DLOT|4DMG|6MLV|7RCR|9AART
11	54332 16211	   	207.38	DCR|2VULN|2DMG|2ASPD|2DUR	13DUR|25ASPD|45VULN|5BPWR|6BEXP|7RCR|8RMIN|9aDMG
12	54332 16311	   	207.28	DCR|2VULN|2DMG|2ASPD|2DUR	13DUR|25ASPD|45VULN|5BPWR|6BEXP|7RCR|8ERES|9aDMG
13	24242 22316	 * 	206.44	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1LWND|26ASPD|3ZMB|4AART|5BEXP|7RCR|8aVULN|9CDMG
14	34316 36213	 * 	206.10	DCR|3VULN|2ASPD|1AART|1DUR	1LHND|26ASPD|3DUR|4FEWX|56aVULN|6BPWR|7RCR|8RMIN|9AART
15	54332 16221	 * 	206.04	DCR|2VULN|2ASPD|1NUKE|1CDMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6BEXP|7RCR|8RMIN|9CDMG|aNUKE
16	34316 36313	   	206.00	DCR|3VULN|2ASPD|1AART|1DUR	1LHND|26ASPD|3DUR|4FEWX|56aVULN|6BPWR|7RCR|8ERES|9AART
17	54332 16321	   	205.94	DCR|2VULN|2ASPD|1NUKE|1CDMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6BEXP|7RCR|8ERES|9CDMG|aNUKE
18	54332 21126	 * 	205.77	DCR|3ASPD|2VULN|1DMG|3DUR	139DUR|25aASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR
19	54332 24111	   	205.63	DCR|3VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|457VULN|5BPWR|6DMG|8RCR|9BEXP|aCGEN
20	54332 24112	   	205.63	DCR|3VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|457VULN|5BPWR|6DMG|8RCR|9aBEXP
21	54332 24113	   	205.63	DCR|3VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|457VULN|5BPWR|6DMG|8RCR|9BEXP|aRMIN
