0	Index      	 *	Score 	Summary	Detail	
1	54322 23251	 * 	213.84	DCR|3VULN|1AART|1DMG|1NUKE|1DUR	1DMSP|234VULN|5LWND|6RCR|7AART|8DUR|9DMG|aNUKE
2	24222 13412	 * 	211.71	DCR|1SPLARM|2VULN|1ASPD|1DMG|1ZMB|1DUR	1CGEN|2LIT|3DMG|48VULN|5ASPD|6RCR|7ZMB|9SPLARM|aDUR
3	54322 23253	 * 	209.85	DCR|3VULN|2AART|1DMG|1DUR	1DMSP|234VULN|5LWND|6RCR|7aAART|8DUR|9DMG
4	13312 54351	 * 	208.44	DCR|2VULN|1MDPS|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DUR|2AELBLL|39VULN|4CDMG|5MDPS|6RCR|7DMG|8ASPD|aNUKE
5	22315 13623	 * 	208.36	DCR|3VULN|1MDPS|1AART|1DMG|1DUR|1SELL	1CGEN|239VULN|4DUR|5SELL|6AART|7DMG|8RCR|aMDPS
6	13311 13623	 * 	207.02	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1DUR	1DUR|2AELBLL|39VULN|4CDMG|5CGEN|6AART|7DMG|8RCR|aMDPS
7	54322 22311	 * 	205.86	DCR|3VULN|2DMG|1CDMG|1ZMB	1DMSP|234VULN|5LWND|6RCR|79DMG|8ZMB|aCDMG
8	22315 13626	 * 	205.78	DCR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1CGEN|239VULN|4DUR|5SELL|6AART|7DMG|8RCR|aCDMG
9	54322 22161	   	205.53	DCR|3VULN|1AART|1DMG|1NUKE	1DMSP|234VULN|5LWND|6RCR|7DMG|8BEXP|9AART|aNUKE
10	54322 23151	   	205.53	DCR|3VULN|1AART|1DMG|1NUKE	1DMSP|234VULN|5LWND|6RCR|7AART|8FEWX|9DMG|aNUKE
11	54322 23423	 * 	204.20	DCR|3VULN|1MDPS|1AART|1NUKE|1SELL	1DMSP|234VULN|5LWND|6RCR|7AART|8SELL|9NUKE|aMDPS
12	54322 22331	 * 	204.12	DCR|4VULN|1DMG|1CDMG|1ZMB	1DMSP|2349VULN|5LWND|6RCR|7DMG|8ZMB|aCDMG
13	34232 53423	 * 	203.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1BEXP|2DUST|3ZMB|4AART|59VULN|67DMG|8CDMG|aRCR
14	15111 41263	   	203.37	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR|2ZMB|1AAC	17DUR|2AAC|37ZMB|4CDMG|5CGEN|67VULN|7BPWR|8RCR|9ASPD|aDMG
15	22312 53423	 * 	202.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|239VULN|4DUR|5LHND|6AART|7DMG|8CDMG|aRCR
16	54322 22163	   	201.55	DCR|3VULN|2AART|1DMG	1DMSP|234VULN|5LWND|6RCR|7DMG|8BEXP|9aAART
17	23341 22431	 * 	200.97	DCR|2VULN|2DMG|1ASPD|1CDMG	138CGEN|2ERES|4RCVC|58VULN|6RCR|78DMG|8BPWR|9ASPD|aCDMG
18	23141 22431	   	200.87	DCR|2VULN|2DMG|1ASPD|1CDMG	18CGEN|23ERES|4RCVC|58VULN|6RCR|78DMG|8BPWR|9ASPD|aCDMG
19	22312 53453	 * 	200.27	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CGEN|23VULN|4DUR|5LHND|69AART|7DMG|8CDMG|aRCR
20	22335 13623	 * 	200.05	DCR|3VULN|1MDPS|1AART|1DMG|1SELL	1CGEN|239VULN|4FEWX|5SELL|6AART|7DMG|8RCR|aMDPS
21	54322 22412	 * 	199.24	DCR|3VULN|2DMG|1ASPD	1DMSP|234VULN|5LWND|6RCR|79DMG|8AIRARM|aASPD
22	24222 13425	   	198.86	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	1CGEN|2LIT|3DMG|489VULN|5ASPD|6RCR|7ZMB|aAAC
23	23325 22431	   	197.86	DCR|2VULN|2DMG|1ASPD|1CDMG	1358CGEN|2ERES|48VULN|6RCR|78DMG|8BPWR|9ASPD|aCDMG
24	23125 22431	   	197.76	DCR|2VULN|2DMG|1ASPD|1CDMG	158CGEN|23ERES|48VULN|6RCR|78DMG|8BPWR|9ASPD|aCDMG
25	54322 23522	 * 	197.73	DCR|3VULN|2AART|1CDMG	1DMSP|234VULN|5LWND|6RCR|78AART|9MLV|aCDMG
26	22335 13626	   	197.48	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1CGEN|239VULN|4FEWX|5SELL|6AART|7DMG|8RCR|aCDMG
27	54322 23512	   	196.73	DCR|3VULN|2AART|1DUR	1DMSP|234VULN|5LWND|6RCR|78AART|9SPLREG|aDUR
28	13311 13626	 * 	195.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1DUR|2AELBLL|39VULN|4aCDMG|5CGEN|6AART|7DMG|8RCR
29	11132 16112	 * 	195.41	DCR|2VULN|2ASPD|1AART|2DUR	14DUR|2LHND|3LIT|5aASPD|6RCR|7AART|89VULN
30	24222 13422	   	195.31	DCR|3VULN|1ASPD|1DMG|2ZMB	1CGEN|2LIT|3DMG|489VULN|5ASPD|6RCR|7aZMB
31	24222 13642	   	195.16	DCR|2VULN|2DMG|1ASPD|2ZMB	1CGEN|2LIT|3aDMG|4aVULN|5ASPD|6RCR|7aZMB|8TLV|9AME|aBPWR
32	23341 22435	   	195.05	DCR|2VULN|2DMG|1ASPD|1ZMB	138CGEN|2ERES|4RCVC|58VULN|6RCR|78DMG|8BPWR|9ASPD|aZMB
33	22315 23264	   	194.99	DCR|3VULN|2AART|2DUR|1SELL	1aCGEN|23aVULN|4aDUR|5SELL|6RCR|7RPLT|89AART|aBPWR
34	23141 22435	   	194.95	DCR|2VULN|2DMG|1ASPD|1ZMB	18CGEN|23ERES|4RCVC|58VULN|6RCR|78DMG|8BPWR|9ASPD|aZMB
35	22116 63123	   	194.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CGEN|29VULN|3ZMB|4CDMG|5AART|6MLV|7DMG|8DUR|aRCR
