0	Index      	 *	Score 	Summary	Detail	
1	21363 62163	 * 	219.72	DCR|3DMG|2VULN|2ASPD|1ZMB	19VULN|2LWND|39ASPD|48ERES|5ZMB|69aDMG|7RCR|9BPWR
2	22342 31552	 * 	218.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	18VULN|28LHND|3ASPD|4CDMG|5RCVC|68DMG|7RPLT|8BPWR|9RCR|aAART
3	26113 32374	 * 	211.76	DCR|3VULN|3DMG|1MDPS	149VULN|2ERES|3MBVNT|59LWND|689DMG|7RCR|9BPWR|aMDPS
4	26116 32374	   	211.76	DCR|3VULN|3DMG|1MDPS	149VULN|2ERES|3MBVNT|59BEXP|689DMG|7RCR|9BPWR|aMDPS
5	21433 35214	 * 	211.39	DCR|4VULN|2DMG|1ASPD	137aVULN|235LWND|37BPWR|47DMG|6RPLT|8RCR|9ASPD
6	21433 35216	 * 	211.20	DCR|3VULN|3DMG|1ASPD	137VULN|235LWND|37BPWR|47aDMG|6RPLT|8RCR|9ASPD
7	21316 14252	 * 	211.03	DCR|3VULN|2ASPD|1DMG|1CDMG	14aVULN|2LWND|36ASPD|5RCVC|7CDMG|8RCR|9DMG
8	22316 14252	   	211.03	DCR|3VULN|2ASPD|1DMG|1CDMG	14aVULN|2LHND|36ASPD|5RCVC|7CDMG|8RCR|9DMG
9	21341 31553	 * 	210.79	DCR|2VULN|2DMG|1MDPS|1ASPD|1CDMG	18VULN|258LWND|3ASPD|4CDMG|68DMG|7RPLT|8BPWR|9RCR|aMDPS
10	21313 14256	 * 	210.46	DCR|2VULN|2ASPD|1DMG|1NUKE|1CDMG	14VULN|25LWND|36ASPD|7CDMG|8RCR|9DMG|aNUKE
11	21233 12415	   	209.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1VULN|2LWND|3AME|4DUR|5AART|6RCR|7aDMG|8CDMG|9ASPD
12	63233 12415	   	209.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1LWND|2VULN|3AME|4DUR|5AART|6RCR|7aDMG|8CDMG|9ASPD
13	21533 12415	   	209.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1VULN|2LWND|3ERES|4DUR|5AART|6RCR|7aDMG|8CDMG|9ASPD
14	62333 12415	   	209.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1LWND|2TLV|3VULN|4DUR|5AART|6RCR|7aDMG|8CDMG|9ASPD
15	26113 32377	 * 	209.18	DCR|3VULN|3DMG|1CDMG	149VULN|2ERES|3MBVNT|59LWND|689DMG|7RCR|9BPWR|aCDMG
16	21313 14252	   	208.22	DCR|3VULN|2ASPD|1DMG|1CDMG	14aVULN|25LWND|36ASPD|7CDMG|8RCR|9DMG
17	63313 14252	   	208.22	DCR|3VULN|2ASPD|1DMG|1CDMG	15LWND|24aVULN|36ASPD|7CDMG|8RCR|9DMG
18	21315 62363	   	207.88	DCR|3VULN|2DMG|1ASPD|1ZMB	149VULN|29LWND|3ASPD|58BEXP|69DMG|7RCR|9BPWR|aZMB
19	22315 62363	   	207.88	DCR|3VULN|2DMG|1ASPD|1ZMB	149VULN|29LHND|3ASPD|58BEXP|69DMG|7RCR|9BPWR|aZMB
20	26133 32374	   	207.48	DCR|3DMG|2VULN|1MDPS|2DUR	19VULN|2ERES|3MBVNT|49DUR|5DMSP|689DMG|7RCR|9BPWR|aMDPS
21	22363 62163	   	207.28	DCR|2VULN|2DMG|2ASPD|2ZMB	19VULN|2LHND|39ASPD|48ERES|5aZMB|69DMG|7RCR|9BPWR
22	22342 31553	   	205.10	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	18VULN|28LHND|3ASPD|4CDMG|5RCVC|68DMG|7RPLT|8BPWR|9RCR|aZMB
23	26133 32377	   	204.90	DCR|3DMG|2VULN|1CDMG|2DUR	19VULN|2ERES|3MBVNT|49DUR|5DMSP|689DMG|7RCR|9BPWR|aCDMG
24	25314 32612	   	204.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	14VULN|2BEXP|3ASPD|5ZMB|6DUR|7RCR|8LWND|9DMG|aAART
25	21363 62161	   	204.06	DCR|2VULN|2DMG|2ASPD|1ZMB	19VULN|2LWND|39ASPD|48ERES|5ZMB|69DMG|7RCR|9BPWR|aLHND
26	21363 62162	   	204.06	DCR|2VULN|2DMG|2ASPD|1ZMB	19VULN|2LWND|39ASPD|48ERES|5ZMB|69DMG|7RCR|9BPWR|aBEXP
27	22363 62161	   	204.06	DCR|2VULN|2DMG|2ASPD|1ZMB	19VULN|2aLHND|39ASPD|48ERES|5ZMB|69DMG|7RCR|9BPWR
28	22363 62162	   	203.96	DCR|2VULN|2DMG|2ASPD|1ZMB|1MSE	19VULN|2LHND|39ASPD|48ERES|5ZMB|69DMG|7RCR|9BPWR|aMSE
29	21143 32363	   	203.56	DCR|4VULN|2DMG|1AAC|1ZMB	1489VULN|2LWND|39BEXP|5AAC|69DMG|7RCR|9BPWR|aZMB
30	22143 62363	   	203.56	DCR|4VULN|2DMG|1AAC|1ZMB	1489VULN|2LHND|39BEXP|5AAC|69DMG|7RCR|9BPWR|aZMB
31	21112 62366	   	203.49	DCR|2VULN|2DMG|1AART|1ASPD	19VULN|259LWND|38BEXP|4ASPD|69DMG|7RCR|9BPWR|aAART
32	35163 32141	   	203.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1CGEN|26DMG|3ASPD|4CDMG|5MLV|7AART|8VULN|9RCR|aDUR
33	31123 46162	 * 	202.93	DCR|2VULN|2ASPD|2CDMG|1DMG|1AAC	1CGEN|2AAC|36ASPD|4RCVC|56CDMG|6BPWR|7RCR|8DMG|9aVULN
34	11123 46162	   	202.83	DCR|2VULN|2ASPD|2CDMG|1DMG|1AAC	1TLV|2AAC|36ASPD|4RCVC|56CDMG|6BPWR|7RCR|8DMG|9aVULN
35	21433 35211	   	202.32	DCR|3VULN|2DMG|1ASPD|1AAC	137VULN|235LWND|37BPWR|47DMG|6RPLT|8RCR|9ASPD|aAAC
36	63433 35211	   	202.32	DCR|3VULN|2DMG|1ASPD|1AAC	135LWND|237VULN|37BPWR|47DMG|6RPLT|8RCR|9ASPD|aAAC
37	21415 81444	   	201.63	DCR|4VULN|2DMG|1DUR	1389VULN|239LWND|39BPWR|4RPLT|5MBVNT|69DMG|7RCR|aDUR
38	21123 12553	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2LWND|3BEXP|4CGEN|5AART|6RCR|79DMG|aCDMG
39	21133 12553	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2LWND|3BEXP|4MLV|5AART|6RCR|79DMG|aCDMG
40	22123 12553	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2LHND|3BEXP|4CGEN|5AART|6RCR|79DMG|aCDMG
41	22133 12553	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2LHND|3BEXP|4MLV|5AART|6RCR|79DMG|aCDMG
42	63123 12553	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|28VULN|3BEXP|4CGEN|5AART|6RCR|79DMG|aCDMG
43	63133 12553	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|28VULN|3BEXP|4MLV|5AART|6RCR|79DMG|aCDMG
44	62213 12553	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|2TLV|3BEXP|48VULN|5AART|6RCR|79DMG|aCDMG
45	21123 12415	   	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1VULN|2LWND|3BEXP|4CGEN|5AART|6RCR|7aDMG|8CDMG|9ASPD
46	21133 12415	   	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1VULN|2LWND|3BEXP|4MLV|5AART|6RCR|7aDMG|8CDMG|9ASPD
47	63123 12415	   	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1LWND|2VULN|3BEXP|4CGEN|5AART|6RCR|7aDMG|8CDMG|9ASPD
48	63133 12415	   	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1LWND|2VULN|3BEXP|4MLV|5AART|6RCR|7aDMG|8CDMG|9ASPD
49	23113 32773	 * 	201.06	DCR|3VULN|2DMG|1AART	149VULN|2TLV|3MBVNT|589LWND|69DMG|7RCR|9BPWR|aAART
50	51213 12415	   	201.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1DUST|2LWND|3AME|4VULN|5AART|6RCR|7aDMG|8CDMG|9ASPD
51	62213 12415	   	201.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1LWND|2TLV|3BEXP|4VULN|5AART|6RCR|7aDMG|8CDMG|9ASPD
52	24114 82183	   	200.41	DCR|3VULN|2ASPD|1DMG|1ZMB	147VULN|2RMIN|3MBVNT|57ASPD|67AME|7BPWR|8ZMB|9RCR|aDMG
53	24114 52183	   	200.21	DCR|3VULN|2ASPD|1DMG|1ZMB	147VULN|2RMIN|3MBVNT|57ASPD|67TLV|7BPWR|8ZMB|9RCR|aDMG
54	31133 46162	   	199.82	DCR|2VULN|2ASPD|2CDMG|1DMG|1AAC	14CGEN|2AAC|36ASPD|56CDMG|6BPWR|7RCR|8DMG|9aVULN
55	21233 12465	   	199.73	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB|1DUR	1VULN|2LWND|3AME|4DUR|5AART|6RCR|7aDMG|8CDMG|9ZMB
56	21316 14234	 * 	199.39	DCR|2VULN|1MDPS|2ASPD|2CDMG	14VULN|2LWND|36ASPD|5RCVC|79CDMG|8RCR|aMDPS
57	22316 14234	   	199.39	DCR|2VULN|1MDPS|2ASPD|2CDMG	14VULN|2LHND|36ASPD|5RCVC|79CDMG|8RCR|aMDPS
58	21313 14254	   	197.82	DCR|2VULN|2ASPD|2CDMG|1DMG	14VULN|25LWND|36ASPD|7aCDMG|8RCR|9DMG
59	21415 84244	   	197.63	DCR|4VULN|2DMG|1DUR	1378VULN|237LWND|37BPWR|4RPLT|5MBVNT|67DMG|9RCR|aDUR
60	21112 62364	   	197.54	DCR|3VULN|2DMG|1ASPD	19aVULN|259LWND|38BEXP|4ASPD|69DMG|7RCR|9BPWR
61	21315 62361	   	197.54	DCR|3VULN|2DMG|1ASPD	149VULN|29LWND|3ASPD|58BEXP|69DMG|7RCR|9BPWR|aLHND
62	21315 62362	   	197.54	DCR|3VULN|2DMG|1ASPD	149VULN|29LWND|3ASPD|58aBEXP|69DMG|7RCR|9BPWR
63	22315 62361	   	197.54	DCR|3VULN|2DMG|1ASPD	149VULN|29aLHND|3ASPD|58BEXP|69DMG|7RCR|9BPWR
64	25313 62361	   	197.54	DCR|3VULN|2DMG|1ASPD	149VULN|289BEXP|3ASPD|5aLWND|69DMG|7RCR|9BPWR
65	25313 62362	   	197.54	DCR|3VULN|2DMG|1ASPD	149VULN|289BEXP|3ASPD|5LWND|69DMG|7RCR|9BPWR|aAME
66	22315 62362	   	197.44	DCR|3VULN|2DMG|1ASPD|1MSE	149VULN|29LHND|3ASPD|58BEXP|69DMG|7RCR|9BPWR|aMSE
67	22423 62312	   	197.44	DCR|3VULN|2DMG|1ASPD	13aVULN|23LHND|3BPWR|4ASPD|5LWND|69DMG|7RCR|8BEXP
68	25313 62363	   	197.44	DCR|3VULN|2DMG|1ASPD	149VULN|289BEXP|3ASPD|5LWND|69DMG|7RCR|9BPWR|aDUST
69	22313 62312	   	197.34	DCR|3VULN|2DMG|1ASPD	14aVULN|2LHND|3ASPD|5LWND|69DMG|7RCR|8BEXP
70	22315 62612	   	197.34	DCR|3VULN|2DMG|1ASPD	14aVULN|2LHND|3ASPD|5BEXP|69DMG|7RCR|8LWND
71	21313 35541	   	196.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	14VULN|25LWND|3ASPD|6ZMB|7AART|8CDMG|9RCR|aDUR
