0	Index      	 *	Score 	Summary	Detail	
1	34123 26612	 * 	243.45	DCR|5VULN|1MDPS|2ASPD|1AART|2DUR	1235aVULN|4MDPS|6RCR|7aDUR|8AART|9aASPD|aBPWR
2	26322 13651	 * 	239.86	ACR|3VULN|3ASPD|1MDPS|1AART|1DMG|1CDMG	1AART|289LHND|389VULN|4RCR|5DMG|6CDMG|789ASPD|89BPWR|aMDPS
3	21322 13452	 * 	236.88	ACR|4VULN|3ASPD|1AART|1DMG|1CDMG	1AART|29aFEWX|389aVULN|4RCR|5DMG|6CDMG|79aASPD|9aBPWR
4	26322 13452	   	236.88	ACR|4VULN|3ASPD|1AART|1DMG|1CDMG	1AART|29aLHND|389aVULN|4RCR|5DMG|6CDMG|79aASPD|9aBPWR
5	34151 71122	 * 	236.55	DCR|5VULN|2DMG|1MDPS|1ZMB	12348VULN|5MBVNT|68DMG|7RCR|8BPWR|9ZMB|aMDPS
6	31123 26612	   	232.89	DCR|4VULN|1MDPS|2ASPD|1AART|2DUR	135aVULN|2RCVC|4MDPS|6RCR|7aDUR|8AART|9aASPD|aBPWR
7	31152 26612	   	232.89	DCR|4VULN|1MDPS|2ASPD|1AART|2DUR	134aVULN|2RCVC|5MDPS|6RCR|7aDUR|8AART|9aASPD|aBPWR
8	34223 26612	   	232.59	DCR|4VULN|1MDPS|2ASPD|1AART|2DUR	125aVULN|3RCVC|4MDPS|6RCR|7aDUR|8AART|9aASPD|aBPWR
9	42533 23363	 * 	230.34	DCR|2VULN|2DMG|1MDPS|1ASPD|1CDMG|2ZMB	17ZMB|2LWND|3RPLT|47DMG|57VULN|6RCR|7BPWR|8ASPD|9CDMG|aMDPS
10	34123 23612	   	229.90	DCR|5VULN|1MDPS|2ASPD|1AART	1235aVULN|4MDPS|6RCR|7aBEXP|8AART|9aASPD|aBPWR
11	34152 23612	   	229.90	DCR|5VULN|1MDPS|2ASPD|1AART	1234aVULN|5MDPS|6RCR|7aBEXP|8AART|9aASPD|aBPWR
12	42533 23343	 * 	228.31	DCR|2VULN|2DMG|1MDPS|2ASPD|2ZMB	17ZMB|2LWND|3RPLT|47DMG|57VULN|6RCR|7BPWR|89ASPD|aMDPS
13	42533 23342	 * 	227.31	DCR|3VULN|2DMG|2ASPD|2ZMB	17ZMB|2LWND|3RPLT|47DMG|57aVULN|6RCR|7BPWR|89ASPD
14	21322 13456	 * 	225.50	ACR|3VULN|2DMG|2ASPD|1AART|1CDMG	1AART|29FEWX|389VULN|4RCR|5aDMG|6CDMG|79ASPD|9BPWR
15	34151 71134	 * 	224.35	DCR|5VULN|3DMG	12348VULN|5MBVNT|689DMG|7RCR|8BPWR|aRCVC
16	34151 71131	   	223.04	DCR|5VULN|3DMG	12348VULN|5MBVNT|689DMG|7RCR|8BPWR|aBEXP
17	34151 71132	   	223.04	DCR|5VULN|3DMG	12348VULN|5MBVNT|689DMG|7RCR|8BPWR|aRMIN
18	34151 71133	   	223.04	DCR|5VULN|3DMG	12348VULN|5MBVNT|689DMG|7RCR|8BPWR|aLWND
19	21322 13552	   	222.94	ACR|3VULN|3ASPD|1AART|1DMG|1CDMG	1AART|29aFEWX|39aVULN|4RCR|5DMG|6CDMG|79aASPD|8RCVC|9aBPWR
20	21322 13252	   	221.03	ACR|3VULN|3ASPD|1AART|1DMG|1CDMG	1AART|29aFEWX|39aVULN|4RCR|5DMG|6CDMG|79aASPD|8DMSP|9aBPWR
21	26322 13252	   	221.03	ACR|3VULN|3ASPD|1AART|1DMG|1CDMG	1AART|29aLHND|39aVULN|4RCR|5DMG|6CDMG|79aASPD|8DMSP|9aBPWR
22	26322 13662	   	221.03	ACR|3VULN|3ASPD|1AART|1DMG|1CDMG	1AART|289aLHND|38aVULN|4RCR|5DMG|6CDMG|78aASPD|8aBPWR
23	34151 71113	   	220.94	DCR|5VULN|2DMG|2DUR	12348VULN|5MBVNT|68DMG|7RCR|8BPWR|9aDUR
24	34151 71121	   	220.94	DCR|5VULN|2DMG|2ZMB	12348VULN|5MBVNT|68DMG|7RCR|8BPWR|9aZMB
25	26322 13652	   	220.93	ACR|3VULN|3ASPD|1AART|1DMG|1CDMG	1AART|289LHND|389VULN|4RCR|5DMG|6CDMG|789ASPD|89BPWR|aDUST
26	26322 13653	   	220.93	ACR|3VULN|3ASPD|1AART|1DMG|1CDMG|1MSE	1AART|289LHND|389VULN|4RCR|5DMG|6CDMG|789ASPD|89BPWR|aMSE
27	31223 26612	   	220.32	DCR|3VULN|1MDPS|2ASPD|1AART|2DUR	15aVULN|23RCVC|4MDPS|6RCR|7aDUR|8AART|9aASPD|aBPWR
28	31252 26612	   	220.32	DCR|3VULN|1MDPS|2ASPD|1AART|2DUR	14aVULN|23RCVC|5MDPS|6RCR|7aDUR|8AART|9aASPD|aBPWR
29	31162 26612	   	220.02	DCR|3VULN|1MDPS|2ASPD|1AART|2DUR	13aVULN|24RCVC|5MDPS|6RCR|7aDUR|8AART|9aASPD|aBPWR
30	33533 13452	 * 	219.78	4VULN|3DMG|3ASPD|1AART|1CDMG	189aVULN|2BEXP|39aDMG|4LWND|5AART|6CDMG|79aASPD|9aBPWR
31	32513 13651	 * 	219.67	3VULN|3DMG|3ASPD|1AART|2CDMG|1DUR	189VULN|2DUR|389DMG|4BEXP|5AART|6aCDMG|789ASPD|89BPWR
32	31123 23612	   	219.34	DCR|4VULN|1MDPS|2ASPD|1AART	135aVULN|2RCVC|4MDPS|6RCR|7aBEXP|8AART|9aASPD|aBPWR
33	31152 23612	   	219.34	DCR|4VULN|1MDPS|2ASPD|1AART	134aVULN|2RCVC|5MDPS|6RCR|7aBEXP|8AART|9aASPD|aBPWR
34	34223 23612	   	219.04	DCR|4VULN|1MDPS|2ASPD|1AART	125aVULN|3RCVC|4MDPS|6RCR|7aBEXP|8AART|9aASPD|aBPWR
35	34252 23612	   	219.04	DCR|4VULN|1MDPS|2ASPD|1AART	124aVULN|3RCVC|5MDPS|6RCR|7aBEXP|8AART|9aASPD|aBPWR
36	34123 22435	 * 	218.81	DCR|4VULN|1MDPS|2DMG|1AART	1235VULN|4MDPS|6RCR|7CGEN|89DMG|aAART
37	34162 23612	   	218.74	DCR|4VULN|1MDPS|2ASPD|1AART	123aVULN|4RCVC|5MDPS|6RCR|7aBEXP|8AART|9aASPD|aBPWR
38	34151 71123	   	217.72	DCR|5VULN|2DMG|1ZMB	12348VULN|5MBVNT|68DMG|7RCR|8BPWR|9ZMB|aLHND
39	34151 71124	   	217.72	DCR|5VULN|2DMG|1ZMB	12348VULN|5MBVNT|68DMG|7RCR|8BPWR|9ZMB|aCGEN
40	42533 23521	   	217.70	DCR|2VULN|2DMG|1MDPS|1AART|2ZMB	17ZMB|2LWND|3RPLT|47DMG|57VULN|6RCR|7BPWR|8DUST|9AART|aMDPS
41	31151 71143	   	217.13	DCR|4VULN|2DMG|1MDPS	1348VULN|29RCVC|5MBVNT|68DMG|7RCR|8BPWR|aMDPS
42	42533 23143	   	217.05	DCR|2VULN|2DMG|1MDPS|1CDMG|2ZMB|1AAC	17ZMB|2LWND|3RPLT|47DMG|57VULN|6RCR|7BPWR|8CDMG|9AAC|aMDPS
43	34251 71143	   	216.83	DCR|4VULN|2DMG|1MDPS	1248VULN|39RCVC|5MBVNT|68DMG|7RCR|8BPWR|aMDPS
44	34161 71143	   	216.53	DCR|4VULN|2DMG|1MDPS	1238VULN|49RCVC|5MBVNT|68DMG|7RCR|8BPWR|aMDPS
45	21322 13451	   	216.22	ACR|3VULN|2ASPD|1AART|1DMG|1CDMG|1DUR	1AART|29FEWX|389VULN|4RCR|5DMG|6CDMG|79ASPD|9BPWR|aDUR
46	26322 13451	   	216.22	ACR|3VULN|2ASPD|1AART|1DMG|1CDMG|1DUR	1AART|29LHND|389VULN|4RCR|5DMG|6CDMG|79ASPD|9BPWR|aDUR
