0	Index      	 *	Score 	Summary	Detail	
1	36261 51311	 * 	220.53	ACR|4VULN|3ASPD|1AART|1DMG	18CGEN|2AART|368ASPD|4RCR|5678VULN|68BPWR|9LHND|aDMG
2	36261 51321	 * 	219.30	ACR|4VULN|3ASPD|1MDPS|1AART	18CGEN|2AART|368ASPD|4RCR|5678VULN|68BPWR|9LIT|aMDPS
3	14133 63413	 * 	215.64	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	13AME|23VULN|3BPWR|4aDMG|5CDMG|6AART|7ASPD|8LHND|9RCR
4	34133 63413	   	215.64	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	13CGEN|23VULN|3BPWR|4aDMG|5CDMG|6AART|7ASPD|8LHND|9RCR
5	36261 51211	   	212.79	ACR|3VULN|3ASPD|1AART|1DMG|1DUR	1CGEN|2AART|369ASPD|4RCR|567VULN|6BPWR|8DUR|aDMG
6	36261 51313	   	210.80	ACR|4VULN|3ASPD|1AART|1ZMB	18CGEN|2AART|368ASPD|4RCR|5678VULN|68BPWR|9LHND|aZMB
7	24441 22313	 * 	210.71	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1BEXP|2CDMG|3ASPD|46aDMG|5AART|7TLV|8VULN|9RCR
8	24431 26313	 * 	209.38	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	1BEXP|2CDMG|37ASPD|4AME|5AART|6aDMG|8VULN|9RCR
9	42533 63313	   	208.61	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|2ZMB	1LEGI|23ZMB|3BPWR|4aDMG|5CDMG|6AART|7ASPD|8VULN|9RCR
10	36144 77143	 * 	207.57	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1CGEN|2AART|3MBVNT|48VULN|5ERES|6RCR|7ASPD|9DMG|aNUKE
11	36261 51323	   	207.24	ACR|4VULN|3ASPD|1AART|1AAC	18CGEN|2AART|368ASPD|4RCR|5678VULN|68BPWR|9LIT|aAAC
12	36261 51111	   	204.48	ACR|3VULN|3ASPD|1AART|1DMG	1CGEN|2AART|369ASPD|4RCR|567VULN|6BPWR|8BEXP|aDMG
13	34435 42111	 * 	203.75	DCR|3VULN|2DMG|1ASPD|1DUR	17CGEN|27aVULN|3LIT|4MBVNT|5ASPD|67DMG|7BPWR|8RCR|9DUR
14	36261 51213	   	203.06	ACR|3VULN|3ASPD|1AART|1ZMB|1DUR	1CGEN|2AART|369ASPD|4RCR|567VULN|6BPWR|8DUR|aZMB
15	24431 24313	 * 	202.59	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD	1BEXP|27CDMG|3ASPD|4AME|5AART|6aDMG|8VULN|9RCR
16	54133 26122	 * 	202.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	13ERES|239VULN|3BPWR|4DMG|5CDMG|6FEWX|7DUR|8RCR|aASPD
