0	Index      	 *	Score 	Summary	Detail	
1	32223 33662	 * 	219.41	DCR|2VULN|2DMG|1MDPS|1AART|2ZMB|1AAC	1AART|2RCVC|39VULN|4BEXP|59DMG|69ZMB|7RCR|8AAC|9BPWR|aMDPS
2	34633 13126	 * 	217.39	DCR|3DMG|1MDPS|1VULN|1AART|1NUKE	1AART|2RMIN|358DMG|4VULN|6DMSP|7RCR|9MDPS|aNUKE
3	32223 33666	 * 	216.24	DCR|3DMG|2VULN|1AART|2ZMB|1AAC	1AART|2RCVC|39VULN|4BEXP|59aDMG|69ZMB|7RCR|8AAC|9BPWR
4	31432 33325	 * 	215.35	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|4ZMB|5LWND|67VULN|8ASPD|9RCR|aMDPS
5	34236 11236	 * 	215.34	DCR|3ASPD|2VULN|1AART|1CDMG|1DUR	1AART|2RMIN|39aASPD|46VULN|5DUR|7CDMG|8RCR
6	34633 13412	 * 	213.62	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	1AART|2RMIN|35DMG|49VULN|6DMSP|7RCR|8ZMB|aASPD
7	34234 11334	 * 	213.43	DCR|1SPLARM|2VULN|1AART|1ASPD|1ZMB|1DUR	1AART|2RMIN|3ASPD|4aVULN|5SPLARM|6FEWX|7RCR|8ZMB|9DUR
8	34234 11321	 * 	213.11	DCR|1SPLARM|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1AART|2RMIN|3ASPD|4VULN|5SPLARM|6FEWX|7RCR|8ZMB|9DMG|aDUR
9	34623 21234	 * 	212.89	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD|1DUR	1AART|2RMIN|35DMG|4DUR|6VULN|7aCDMG|8RCR|9ASPD
10	34233 31734	 * 	212.76	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	1AART|2RMIN|3ASPD|49VULN|5DMG|6ZMB|7MBVNT|8RCR|aMDPS
11	31432 33322	 * 	212.60	DCR|2VULN|2AART|1ASPD|1CDMG|1ZMB|1DUR	1aAART|2DUR|3CDMG|4ZMB|5LWND|67VULN|8ASPD|9RCR
12	31453 32623	 * 	212.48	DCR|2VULN|2AART|1MDPS|1CDMG|2DUR	18AART|29DUR|3CDMG|49VULN|59BEXP|6RCR|7RMIN|9BPWR|aMDPS
13	32425 25113	 * 	212.41	DCR|3VULN|1AART|1ASPD|1DMG	1AART|23RCVC|49aVULN|5TLV|6RCR|7ASPD|8DMG
14	31432 33332	 * 	212.36	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2DUR|3CDMG|4ZMB|5LWND|679VULN|8ASPD|aRCR
15	32425 25112	   	212.17	DCR|2VULN|2DMG|1AART|1ASPD	1AART|23RCVC|49VULN|5TLV|6RCR|7ASPD|8aDMG
16	32264 11153	   	211.72	DCR|1SPLARM|1VULN|1AART|1ASPD|1DMG|2DUR	1AART|2RCVC|3VULN|48DUR|5SPLARM|6FEWX|7RCR|9ASPD|aDMG
17	31432 33443	   	211.37	DCR|2VULN|2AART|1MDPS|1CDMG|1ZMB|1DUR	18AART|2DUR|3CDMG|4ZMB|5LWND|67VULN|9RCR|aMDPS
18	32425 25111	 * 	210.83	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|23RCVC|49VULN|5TLV|6RCR|7ASPD|8DMG|aCDMG
