0	Index      	 *	Score 	Summary	Detail	
1	31326 32322	 * 	296.51	橙橙1等级1雷电1易伤1伤害	1基地爆炸2低血量敌人3额外掉落4易伤5等级6赏金塔79核8伤害a雷电
2	13126 42215	 * 	294.42	橙橙2易伤1等级1伤害	1赏金邻近236技能点3序列升级4伤害5a易伤79核8等级
3	31326 32324	   	290.62	橙橙2易伤1等级1伤害	1基地爆炸2低血量敌人3额外掉落4a易伤5等级6赏金塔79核8伤害
4	12535 22215	   	284.22	橙橙2易伤1等级	1赏金邻近2技能3挖青4a易伤5时间6金币生成79核8等级
5	12535 12215	   	284.12	橙橙2易伤1等级	1赏金邻近2技能3挖青4a易伤5时间6技能点79核8等级
6	11463 15213	 * 	279.62	紫橙3易伤1等级1伤害	1赏金邻近2掉矿39核4双倍秒伤56a易伤7伤害8等级
7	25633 13532	 * 	279.38	橙2等级2雷电2伤害1矿等1暴击	1随机矿2a伤害3暴击4技能5a雷电6矿等7挖尘8核9a等级a序列升级
8	31326 32321	   	278.06	橙橙1等级1易伤1伤害1攻速	1基地爆炸2低血量敌人3额外掉落4易伤5等级6赏金塔79核8伤害a攻速
9	31326 32326	   	274.07	橙橙1等级1易伤1伤害	1基地爆炸2低血量敌人3额外掉落4易伤5等级6赏金塔79核8伤害a赏金邻近
10	13126 42216	   	273.77	橙橙1等级1易伤1伤害	1赏金邻近236技能点3序列升级4伤害5易伤79核8等级a赏金塔
11	12535 42213	 * 	273.39	橙橙1等级1易伤1矿等	1赏金邻近2技能3挖青4易伤5时间6矿等79核8等级a随机矿
12	12535 42211	   	273.29	橙橙1等级1易伤1矿等	1赏金邻近2技能3挖青4易伤5时间6矿等79核8等级a双倍物品
13	12535 42212	   	273.29	橙橙1等级1易伤1矿等	1赏金邻近2技能3挖青4易伤5时间6矿等79核8等级a掉矿
14	25223 54222	 * 	270.95	橙2易伤2伤害1等级1雷电2暴击	1随机矿2a伤害3激光对绿4a暴击5技能6雷电7等级8a易伤9核a序列升级
15	13126 42213	   	268.22	橙橙1等级1易伤1伤害	1赏金邻近236技能点3序列升级4伤害5易伤79核8等级a随机矿
16	13126 42214	   	268.22	橙橙1等级1易伤1伤害	1赏金邻近236技能点3序列升级4伤害5易伤79核8等级a最后敌人
17	13126 42211	   	268.12	橙橙1等级1易伤1伤害	1赏金邻近236技能点3序列升级4伤害5易伤79核8等级a双倍物品
18	13126 42212	   	268.12	橙橙1等级1易伤1伤害	1赏金邻近236技能点3序列升级4伤害5易伤79核8等级a掉矿
19	11362 51533	 * 	266.79	橙2易伤2雷电1等级3时间	1赏金邻近2掉矿35雷电457时间5序列升级6a易伤8等级9核
20	13362 51533	   	266.79	橙2易伤2雷电1等级3时间	1赏金邻近2技能点35雷电457时间5序列升级6a易伤8等级9核
