0	Index      	 *	Score 	Summary	Detail	
1	22421 55122	 * 	205.46	紫1基础对甲2伤害1攻速1基地爆炸1卖塔	1金币生成2卖塔3雷电4核59伤害6基地爆炸7攻速8最后敌人a基础对甲
2	26334 33263	 * 	202.31	紫1基础对甲2攻速1易伤1基地爆炸	12金币生成2序列升级3雷电4核5基础对甲6核弹7a攻速8基地爆炸9易伤
3	26334 15223	 * 	201.47	紫1基础对甲1易伤1伤害1全技能1基地爆炸	12金币生成2序列升级3雷电4核5基础对甲6敌人爆炸7基地爆炸8易伤9全技能a伤害
4	22421 66222	 * 	197.75	紫1基础对甲2伤害3暴击1卖塔	1金币生成2卖塔3雷电4核59伤害678暴击a基础对甲
5	22421 51612	 * 	196.18	紫1基础对甲1攻速1伤害1基地爆炸1技能1卖塔	1金币生成2卖塔3雷电4核5伤害6基地爆炸7随机矿8技能9攻速a基础对甲
6	26334 15222	 * 	192.04	紫1基础对甲2易伤1全技能1基地爆炸	12金币生成2序列升级3雷电4核5基础对甲6敌人爆炸7基地爆炸8a易伤9全技能
7	22421 35122	 * 	191.81	紫1基础对甲2伤害1攻速1卖塔	1金币生成2卖塔3雷电4核59伤害6低血量敌人7攻速8最后敌人a基础对甲
8	22421 45122	 * 	191.81	紫1基础对甲2伤害1攻速1卖塔	1金币生成2卖塔3雷电4核59伤害6敌人爆炸7攻速8最后敌人a基础对甲
9	22421 12122	 * 	191.71	紫1基础对甲2伤害1攻速1卖塔	1金币生成2卖塔3雷电4核59伤害6攻速7挖尘8最后敌人a基础对甲
10	22421 12422	 * 	191.71	紫1基础对甲2伤害1攻速1卖塔	1金币生成2卖塔3雷电4核59伤害6攻速7挖尘8低血量敌人a基础对甲
11	62421 35122	 * 	191.71	紫1基础对甲2伤害1攻速1卖塔	1掉矿2卖塔3雷电4核59伤害6低血量敌人7攻速8最后敌人a基础对甲
12	62421 12122	 * 	191.61	紫1基础对甲2伤害1攻速1卖塔	1掉矿2卖塔3雷电4核59伤害6攻速7挖尘8最后敌人a基础对甲
13	62421 12422	 * 	191.61	紫1基础对甲2伤害1攻速1卖塔	1掉矿2卖塔3雷电4核59伤害6攻速7挖尘8低血量敌人a基础对甲
14	56363 12323	 * 	190.13	紫2基地爆炸1攻速1伤害1易伤1全技能	17最后敌人27敌人爆炸3攻速4核5低血量敌人67基地爆炸7序列升级8全技能9伤害a易伤
15	26334 21211	 * 	188.76	紫1基础对甲3基地爆炸1易伤	12金币生成2序列升级3雷电4核5基础对甲6双倍秒伤789基地爆炸a易伤
16	26334 24323	   	188.56	紫1基础对甲2攻速1易伤	12金币生成2序列升级3雷电4核5基础对甲6双倍秒伤7导弹对毒8a攻速9易伤
17	26334 33136	   	188.56	紫1基础对甲2攻速1易伤	12金币生成2序列升级3雷电4核5基础对甲6核弹79攻速8磁铁减费a易伤
18	26334 33363	   	188.56	紫1基础对甲2攻速1易伤	12金币生成2序列升级3雷电4核5基础对甲6核弹7a攻速8挖尘9易伤
19	22351 12365	   	188.28	紫1基础对甲1易伤1伤害1全技能1卖塔	1金币生成2卖塔3掉矿4核5易伤6挖尘7伤害8全技能9等级a基础对甲
20	26334 33251	 * 	188.02	紫1基础对甲1攻速1伤害1基地爆炸	12金币生成2序列升级3a雷电4核5基础对甲6核弹7攻速8基地爆炸9伤害
21	26334 33252	   	188.02	紫1基础对甲1攻速1伤害1基地爆炸	12金币生成2序列升级3雷电4核5基础对甲6核弹7攻速8基地爆炸9伤害a最后敌人
22	22421 55211	   	187.78	紫1基础对甲1攻速1伤害1基地爆炸1卖塔	1金币生成2卖塔3雷电4核5伤害6基地爆炸7攻速8平台9基础对甲a磁铁减费
23	22421 55212	   	187.78	紫1基础对甲1攻速1伤害1基地爆炸1卖塔	1金币生成2卖塔3雷电4核5伤害6基地爆炸7攻速8平台9基础对甲a双倍秒伤
24	22421 55213	   	187.78	紫1基础对甲1攻速1伤害1基地爆炸1卖塔	1金币生成2卖塔3雷电4核5伤害6基地爆炸7攻速8平台9基础对甲a挖尘
25	22421 52112	   	187.68	紫1基础对甲1攻速1伤害1基地爆炸1卖塔	1金币生成2卖塔3雷电4核5伤害6基地爆炸7磁铁减费8挖尘9攻速a基础对甲
26	22421 53112	   	187.68	紫1基础对甲1攻速1伤害1基地爆炸1卖塔	1金币生成2卖塔3雷电4核5伤害6基地爆炸7火球减费8挖尘9攻速a基础对甲
27	22421 54312	   	187.68	紫1基础对甲1攻速1伤害1基地爆炸1卖塔	1金币生成2卖塔3雷电4核5伤害6基地爆炸78挖尘9攻速a基础对甲
28	62421 52112	   	187.58	紫1基础对甲1攻速1伤害1基地爆炸1卖塔	1掉矿2卖塔3雷电4核5伤害6基地爆炸7磁铁减费8挖尘9攻速a基础对甲
29	62421 53112	   	187.58	紫1基础对甲1攻速1伤害1基地爆炸1卖塔	1掉矿2卖塔3雷电4核5伤害6基地爆炸7火球减费8挖尘9攻速a基础对甲
30	62421 15232	   	187.43	紫1基础对甲1攻速1伤害1基地爆炸2卖塔	17掉矿29卖塔3雷电4核5伤害6攻速8基地爆炸a基础对甲
31	26334 23631	 * 	186.72	紫1基础对甲1攻速1易伤1全技能	12金币生成2序列升级3雷电4核5基础对甲6双倍秒伤7策反8攻速9易伤a全技能
32	26334 43133	 * 	185.64	紫1基础对甲2伤害1基地爆炸	12金币生成2序列升级3雷电4核5基础对甲6平台7a伤害8基地爆炸9敌人爆炸
33	26334 33213	   	185.54	紫1基础对甲2攻速1基地爆炸	129金币生成2序列升级3雷电4核5基础对甲6核弹7a攻速8基地爆炸
34	26334 33223	   	185.54	紫1基础对甲2攻速1基地爆炸	12金币生成2序列升级3雷电4核5基础对甲6核弹7a攻速8基地爆炸9低血量敌人
35	26334 33135	   	185.44	紫1基础对甲2攻速1基地爆炸	12金币生成2序列升级3雷电4核5基础对甲6核弹79攻速8磁铁减费a基地爆炸
36	22421 51122	   	185.40	紫1基础对甲2伤害1基地爆炸1卖塔	1金币生成2卖塔3雷电4核59伤害6基地爆炸7随机矿8最后敌人a基础对甲
37	22421 51422	   	185.40	紫1基础对甲2伤害1基地爆炸1卖塔	1金币生成2卖塔3雷电4核59伤害6基地爆炸7随机矿8低血量敌人a基础对甲
38	22421 64122	   	185.40	紫1基础对甲2伤害1暴击1卖塔	1金币生成2卖塔3雷电4核59伤害6暴击7平台8最后敌人a基础对甲
39	62421 51122	   	185.30	紫1基础对甲2伤害1基地爆炸1卖塔	1掉矿2卖塔3雷电4核59伤害6基地爆炸7随机矿8最后敌人a基础对甲
40	26334 11325	   	184.82	紫1基础对甲1攻速1易伤1暴击	12金币生成2序列升级3雷电4核5基础对甲6敌人爆炸7暴击8低血量敌人9易伤a攻速
41	26334 11225	   	184.72	紫1基础对甲1攻速1易伤1暴击	12金币生成2序列升级3雷电4核5基础对甲6敌人爆炸7暴击8挖尘9易伤a攻速
42	26334 12325	   	184.72	紫1基础对甲1攻速1易伤1暴击	12金币生成2序列升级3雷电4核5基础对甲6敌人爆炸7挖青8暴击9易伤a攻速
43	26334 13326	   	184.72	紫1基础对甲1攻速1易伤1暴击	12金币生成2序列升级3雷电4核5基础对甲6敌人爆炸7加一8暴击9易伤a攻速
44	26334 33511	   	184.62	紫1基础对甲1攻速1易伤1暴击	12金币生成2序列升级3雷电4核5基础对甲6核弹7攻速8喷火对黄9暴击a易伤
45	26334 43131	   	183.82	紫1基础对甲1伤害1易伤1基地爆炸	12金币生成2序列升级3雷电4核5基础对甲6平台7伤害8基地爆炸9敌人爆炸a易伤
46	26334 33211	   	183.72	紫1基础对甲1攻速1易伤1基地爆炸	129金币生成2序列升级3雷电4核5基础对甲6核弹7攻速8基地爆炸a易伤
47	26334 33225	   	183.72	紫1基础对甲1攻速1易伤1基地爆炸	12金币生成2序列升级3雷电4核5基础对甲6核弹7攻速8基地爆炸9低血量敌人a易伤
48	26334 33261	   	183.72	紫1基础对甲1攻速1易伤1基地爆炸	12金币生成2序列升级3雷电4核5基础对甲6核弹7攻速8基地爆炸9易伤a双倍矿
49	26334 33262	   	183.72	紫1基础对甲1攻速1易伤1基地爆炸	12金币生成2序列升级3雷电4核5基础对甲6核弹7攻速8基地爆炸9易伤a敌人爆炸
50	26333 34322	 * 	183.61	紫1基础对甲2易伤1攻速	12金币生成2序列升级3雷电4核5立即金币69易伤7平台8基础对甲a攻速
51	26334 43332	   	182.78	紫1基础对甲1攻速1伤害1技能	128金币生成2序列升级3雷电4核5基础对甲6平台7伤害9技能a攻速
52	26334 22131	   	182.61	紫1基础对甲1攻速1全技能1暴击	12金币生成2序列升级3雷电4核5基础对甲6双倍秒伤7平台8暴击9攻速a全技能
53	26334 23531	   	182.61	紫1基础对甲1攻速1全技能1基地爆炸	12金币生成2序列升级3雷电4核5基础对甲6双倍秒伤7策反8基地爆炸9攻速a全技能
54	26334 23611	   	182.61	紫1基础对甲1攻速1全技能1基地爆炸	12金币生成2序列升级3雷电4核5基础对甲6双倍秒伤7策反8攻速9基地爆炸a全技能
55	26334 42131	   	182.61	紫1基础对甲1攻速1全技能1暴击	12金币生成2序列升级3雷电4核5基础对甲6平台7双倍秒伤8暴击9攻速a全技能
56	22421 41612	   	182.53	紫1基础对甲1攻速1伤害1技能1卖塔	1金币生成2卖塔3雷电4核5伤害6敌人爆炸7随机矿8技能9攻速a基础对甲
57	26334 21323	   	181.61	紫1基础对甲1伤害1基地爆炸1暴击	12金币生成2序列升级3雷电4核5基础对甲6双倍秒伤7基地爆炸8暴击9随机矿a伤害
58	26334 32633	   	181.61	紫1基础对甲1攻速1基地爆炸1暴击	127金币生成2序列升级3雷电4核5基础对甲6核弹8暴击9基地爆炸a攻速
59	26334 21343	   	181.51	紫1基础对甲1伤害1基地爆炸1暴击	12金币生成2序列升级3雷电4核5基础对甲6双倍秒伤7基地爆炸8暴击9等级a伤害
60	22421 63342	   	181.36	紫1基础对甲1伤害1基地爆炸1暴击1卖塔	1金币生成2卖塔3雷电4核5伤害6暴击7挖尘8基地爆炸9敌人爆炸a基础对甲
61	22421 63352	   	181.36	紫1基础对甲1伤害1基地爆炸1暴击1卖塔	1金币生成2卖塔3雷电4核5伤害6暴击7挖尘8基地爆炸9时间a基础对甲
62	26334 12233	   	180.70	紫1基础对甲2易伤1攻速	12金币生成2序列升级3雷电4核5基础对甲6敌人爆炸7挖青89易伤a攻速
63	26334 15221	   	180.31	紫1基础对甲1易伤1全技能1基地爆炸	12金币生成2序列升级3雷电4核5基础对甲6敌人爆炸7基地爆炸8易伤9全技能a掉矿
64	56362 21322	 * 	179.93	紫2伤害1攻速1易伤1全技能	1最后敌人2敌人爆炸3攻速4核5金币生成6挖尘79伤害8全技能a易伤
65	26334 15231	   	179.41	紫1基础对甲1易伤1全技能1基地爆炸	12金币生成2序列升级3雷电4核5基础对甲6敌人爆炸7基地爆炸8易伤9时间a全技能
66	26334 13211	   	179.31	紫1基础对甲1易伤1全技能1基地爆炸	12金币生成2序列升级3雷电4核5基础对甲6敌人爆炸7加一8易伤9基地爆炸a全技能
67	26334 15213	   	178.90	紫1基础对甲2基地爆炸1易伤	12金币生成2序列升级3雷电4核5基础对甲6敌人爆炸79基地爆炸8易伤a立即金币
68	26334 15323	   	178.71	紫1基础对甲1易伤1基地爆炸1暴击	12金币生成2序列升级3雷电4核5基础对甲6敌人爆炸7基地爆炸8暴击9易伤a立即金币
69	22421 14123	   	177.79	紫2伤害1易伤1攻速1全技能1卖塔	1金币生成2卖塔3雷电4核59伤害6攻速7易伤8最后敌人a全技能
70	22421 14423	   	177.79	紫2伤害1易伤1攻速1全技能1卖塔	1金币生成2卖塔3雷电4核59伤害6攻速7易伤8低血量敌人a全技能
71	22421 35523	   	177.79	紫2伤害1易伤1攻速1全技能1卖塔	1金币生成2卖塔3雷电4核59伤害6低血量敌人7攻速8易伤a全技能
72	62421 14123	   	177.69	紫2伤害1易伤1攻速1全技能1卖塔	1掉矿2卖塔3雷电4核59伤害6攻速7易伤8最后敌人a全技能
73	26334 15211	   	177.60	紫1基础对甲2基地爆炸1易伤	12金币生成2序列升级3雷电4核5基础对甲6敌人爆炸79基地爆炸8易伤a双倍矿
74	26334 15212	   	177.60	紫1基础对甲2基地爆炸1易伤	12金币生成2序列升级3雷电4核5基础对甲6a敌人爆炸79基地爆炸8易伤
75	26334 21225	   	177.50	紫1基础对甲2基地爆炸1易伤	12金币生成2序列升级3雷电4核5基础对甲6双倍秒伤78基地爆炸9双倍矿a易伤
76	26334 12216	   	177.50	紫1基础对甲2基地爆炸1易伤	12金币生成2序列升级3雷电4核5基础对甲6敌人爆炸7挖青8易伤9a基地爆炸
77	26334 15321	   	177.41	紫1基础对甲1易伤1基地爆炸1暴击	12金币生成2序列升级3雷电4核5基础对甲6a敌人爆炸7基地爆炸8暴击9易伤
78	26334 21231	 * 	177.38	紫1基础对甲2基地爆炸1全技能	12金币生成2序列升级3雷电4核5基础对甲6双倍秒伤78基地爆炸9时间a全技能
79	26334 21241	   	177.38	紫1基础对甲2基地爆炸1全技能	12金币生成2序列升级3雷电4核5基础对甲6双倍秒伤78基地爆炸9敌人爆炸a全技能
80	26334 13214	   	177.31	紫1基础对甲1易伤1基地爆炸1暴击	12金币生成2序列升级3雷电4核5基础对甲6敌人爆炸7加一8易伤9基地爆炸a暴击
81	26334 15322	   	177.31	紫1基础对甲1易伤1基地爆炸1暴击	12金币生成2序列升级3雷电4核5基础对甲6敌人爆炸7基地爆炸8暴击9易伤a磁铁减费
82	26334 21321	   	177.31	紫1基础对甲1易伤1基地爆炸1暴击	12金币生成2序列升级3雷电4核5基础对甲6双倍秒伤7基地爆炸8暴击9随机矿a易伤
83	26333 44312	   	177.27	紫1基础对甲1攻速1伤害	12金币生成2序列升级3雷电4核5立即金币6最后敌人7平台8伤害9攻速a基础对甲
84	26334 21341	   	177.21	紫1基础对甲1易伤1基地爆炸1暴击	12金币生成2序列升级3雷电4核5基础对甲6双倍秒伤7基地爆炸8暴击9等级a易伤
85	26333 34321	   	177.19	紫1基础对甲2易伤1暴击	12金币生成2序列升级3雷电4核5立即金币69易伤7平台8基础对甲a暴击
86	26334 43331	   	176.36	紫1基础对甲1伤害1暴击1技能	128金币生成2序列升级3雷电4核5基础对甲6平台7伤害9技能a暴击
87	26334 22132	   	176.26	紫1基础对甲1攻速1暴击1技能	12金币生成2序列升级3雷电4核5基础对甲6双倍秒伤7平台8暴击9攻速a技能
88	26334 34213	   	176.26	紫1基础对甲1攻速1基地爆炸1技能	129金币生成2序列升级3雷电4核5基础对甲6核弹7技能8基地爆炸a攻速
89	26334 34223	   	176.26	紫1基础对甲1攻速1基地爆炸1技能	12金币生成2序列升级3雷电4核5基础对甲6核弹7技能8基地爆炸9低血量敌人a攻速
90	26334 42132	   	176.26	紫1基础对甲1攻速1暴击1技能	12金币生成2序列升级3雷电4核5基础对甲6平台7双倍秒伤8暴击9攻速a技能
91	26334 21313	   	176.19	紫1基础对甲1全技能1基地爆炸1暴击	12金币生成2序列升级3雷电4核5基础对甲6双倍秒伤7基地爆炸8暴击9最后敌人a全技能
92	26334 34132	   	176.16	紫1基础对甲1攻速1基地爆炸1技能	12金币生成2序列升级3雷电4核5基础对甲6核弹7技能8磁铁减费9攻速a基地爆炸
93	26334 21314	 * 	176.13	紫2基础对甲1基地爆炸1暴击	12金币生成2序列升级3雷电4核5a基础对甲6双倍秒伤7基地爆炸8暴击9最后敌人
94	26334 21334	   	176.13	紫2基础对甲1基地爆炸1暴击	12金币生成2序列升级3雷电4核5a基础对甲6双倍秒伤7基地爆炸8暴击9敌人爆炸
95	22421 51212	   	176.12	紫1基础对甲1伤害1基地爆炸1技能1卖塔	1金币生成2卖塔3雷电4核5伤害6基地爆炸7随机矿8平台9基础对甲a技能
96	62421 51212	   	176.02	紫1基础对甲1伤害1基地爆炸1技能1卖塔	1掉矿2卖塔3雷电4核5伤害6基地爆炸7随机矿8平台9基础对甲a技能
