0	Index      	 *	Score 	Summary	Detail	
1	61463 32213	 * 	228.39	紫2攻速2伤害1易伤2暴击1全技能	18暴击2雷电3核48攻速58伤害6额外掉落7全技能8序列升级9立即金币a易伤
2	61463 13212	 * 	206.57	紫1基础对甲1攻速1伤害1基地爆炸1暴击	1暴击2雷电3核4攻速5伤害6狙击对毒7基地爆炸8等级9策反a基础对甲
3	61463 32212	   	205.62	紫2攻速2伤害2暴击1全技能	18暴击2雷电3核48攻速58伤害6额外掉落7全技能8序列升级9立即金币a矿等
4	61463 32211	   	205.52	紫2攻速2伤害2暴击1全技能	18暴击2雷电3核48攻速58伤害6额外掉落7全技能8序列升级9立即金币a等级
5	61463 32231	   	204.02	紫2攻速2伤害2暴击1全技能	18暴击2雷电3核48攻速58伤害6额外掉落7全技能8序列升级9金币生成a随机矿
6	61463 32233	   	204.02	紫2攻速2伤害2暴击1全技能	18暴击2雷电3核48攻速58伤害6额外掉落7全技能8序列升级9金币生成a低血量敌人
7	61463 32232	   	203.92	紫2攻速2伤害2暴击1全技能	18暴击2雷电3核48攻速58伤害6额外掉落7全技能8序列升级9金币生成a散射对甲
8	61461 12223	 * 	202.86	紫1基础对甲1攻速2技能1基地爆炸1暴击	1暴击2雷电3核4攻速5时间67技能8双倍矿9基地爆炸a基础对甲
9	61462 23133	   	201.16	紫1基础对甲1攻速1全技能1基地爆炸1暴击	1暴击2雷电3核4攻速5基地爆炸6时间7技能点8挖青9基础对甲a全技能
10	61463 32113	 * 	201.15	紫2全技能1易伤1攻速1伤害1暴击	1暴击2雷电3核4攻速5伤害6额外掉落78全技能9立即金币a易伤
11	61451 13113	 * 	200.14	紫1易伤1伤害2暴击1全技能2技能1基地爆炸	18暴击2雷电3核4易伤5全技能67技能9基地爆炸a伤害
