0	Index      	 *	Score 	Summary	Detail	
1	14515 23131	 * 	226.25	紫3攻速2伤害1易伤2暴击	1立即金币27暴击3核4低血量敌人578攻速67伤害7序列升级9双倍矿a易伤
2	14361 23134	 * 	220.94	紫2易伤2攻速2伤害2暴击	1立即金币27暴击38攻速4核57低血量敌人67伤害7序列升级9a易伤
3	14361 23522	 * 	220.16	紫2攻速2伤害2基地爆炸3暴击	1立即金币27a暴击3a攻速4核57低血量敌人67伤害7a序列升级8技能9a基地爆炸
4	14515 23113	   	219.83	紫3攻速2伤害2暴击1全技能	1立即金币27暴击3核4低血量敌人578攻速67伤害7序列升级9金币生成a全技能
5	14361 23124	   	217.98	紫2攻速2伤害1易伤2暴击1基地爆炸	1立即金币27暴击38攻速4核57低血量敌人67伤害7序列升级9基地爆炸a易伤
6	14361 22315	 * 	214.91	紫3易伤2攻速1伤害2暴击1卖塔	1立即金币2a暴击3a攻速4核5低血量敌人6伤害78a易伤9卖塔a序列升级
7	14513 43321	 * 	214.87	紫1基础对甲2攻速1基础对冰1暴击	1立即金币2暴击3核45低血量敌人6基础对冰7时间8a攻速9基础对甲
8	14361 23125	   	214.02	紫2攻速2伤害2基地爆炸2暴击	1立即金币27暴击38攻速4核57低血量敌人67伤害7序列升级9a基地爆炸
9	14515 23313	   	213.63	紫2攻速2伤害2暴击1基地爆炸1技能	18立即金币27暴击3核4低血量敌人57攻速67伤害7序列升级9技能a基地爆炸
10	14361 23114	   	212.64	紫2攻速2伤害1易伤2暴击1技能	1立即金币27暴击38攻速4核57低血量敌人67伤害7序列升级9技能a易伤
11	14515 23213	   	212.39	紫2攻速2伤害2暴击1基地爆炸1技能	1立即金币27暴击3核4低血量敌人57攻速67伤害7序列升级8磁铁减费9技能a基地爆炸
12	14361 23136	 * 	211.63	紫2攻速2伤害3暴击1易伤	1立即金币27a暴击38攻速4核57低血量敌人67伤害7序列升级9易伤
13	14515 23332	   	210.48	紫2攻速2伤害1易伤2暴击	18立即金币27暴击3核4低血量敌人57攻速67伤害7序列升级9易伤a敌人爆炸
14	14525 23332	   	210.48	紫2攻速2伤害1易伤2暴击	18立即金币27暴击3核4时间57攻速67伤害7序列升级9易伤a敌人爆炸
15	14515 23331	   	210.38	紫2攻速2伤害1易伤2暴击	18立即金币27暴击3核4低血量敌人57攻速67伤害7序列升级9易伤a等级
16	14515 23333	   	210.38	紫2攻速2伤害1易伤2暴击	18立即金币27暴击3核4低血量敌人57攻速67伤害7序列升级9易伤a掉矿
17	14525 23331	   	210.38	紫2攻速2伤害1易伤2暴击	18立即金币27暴击3核4时间57攻速67伤害7序列升级9易伤a等级
18	14525 23333	   	210.38	紫2攻速2伤害1易伤2暴击	18立即金币27暴击3核4时间57攻速67伤害7序列升级9易伤a掉矿
19	14361 23115	   	209.49	紫3攻速2伤害2暴击1技能	1立即金币27暴击38a攻速4核57低血量敌人67伤害7序列升级9技能
20	14515 23232	   	209.23	紫2攻速2伤害1易伤2暴击	1立即金币27暴击3核4低血量敌人57攻速67伤害7序列升级8磁铁减费9易伤a敌人爆炸
21	14525 23232	   	209.23	紫2攻速2伤害1易伤2暴击	1立即金币27暴击3核4时间57攻速67伤害7序列升级8磁铁减费9易伤a敌人爆炸
22	14515 23231	   	209.13	紫2伤害2攻速1易伤2暴击	1立即金币27暴击3核4低血量敌人57攻速67伤害7序列升级8磁铁减费9易伤a等级
23	14515 23233	   	209.13	紫2伤害2攻速1易伤2暴击	1立即金币27暴击3核4低血量敌人57攻速67伤害7序列升级8磁铁减费9易伤a掉矿
24	14525 23231	   	209.13	紫2攻速2伤害1易伤2暴击	1立即金币27暴击3核4时间57攻速67伤害7序列升级8磁铁减费9易伤a等级
25	14525 23233	   	209.13	紫2攻速2伤害1易伤2暴击	1立即金币27暴击3核4时间57攻速67伤害7序列升级8磁铁减费9易伤a掉矿
26	14516 23122	   	207.57	紫2伤害2基地爆炸3暴击1攻速	1立即金币27a暴击3核47a低血量敌人5技能67伤害7a序列升级8攻速9a基地爆炸
27	14526 23122	   	207.57	紫2伤害2基地爆炸3暴击1攻速	1立即金币27a暴击3核47a时间5技能67伤害7a序列升级8攻速9a基地爆炸
28	14361 23113	   	207.49	紫2攻速2伤害2暴击1基地爆炸1技能	1立即金币27暴击38攻速4核57低血量敌人67伤害7序列升级9技能a基地爆炸
29	14364 23113	   	207.49	紫2攻速2伤害2暴击1基地爆炸1技能	1立即金币27暴击38攻速4核57最后敌人67伤害7序列升级9技能a基地爆炸
30	14515 23111	   	206.18	紫3攻速2伤害2暴击	1立即金币27暴击3核4低血量敌人578攻速67伤害7序列升级9金币生成a平台
31	14515 23112	   	206.18	紫3攻速2伤害2暴击	1立即金币27暴击3核4低血量敌人578攻速67伤害7序列升级9金币生成a时间
32	14515 23132	   	206.18	紫3攻速2伤害2暴击	1立即金币27暴击3核4低血量敌人578攻速67伤害7序列升级9双倍矿a雷电
33	14515 23133	   	206.18	紫3攻速2伤害2暴击	1立即金币27暴击3核4低血量敌人578攻速67伤害7序列升级9双倍矿a敌人爆炸
34	14525 23111	   	206.18	紫3攻速2伤害2暴击	1立即金币27暴击3核4时间578攻速67伤害7序列升级9金币生成a平台
35	14525 23112	   	206.18	紫3攻速2伤害2暴击	1立即金币27暴击3核4a时间578攻速67伤害7序列升级9金币生成
36	14525 23113	   	206.18	紫3攻速2伤害2暴击	1立即金币27暴击3核4时间578攻速67伤害7序列升级9金币生成a矿等
37	14525 23121	   	206.18	紫3攻速2伤害2暴击	1立即金币27暴击3核4时间578攻速67伤害7序列升级9a低血量敌人
38	14525 23122	   	206.18	紫3攻速2伤害2暴击	1立即金币27暴击3核4时间578攻速67伤害7序列升级9低血量敌人a雷电
39	14525 23123	   	206.18	紫3攻速2伤害2暴击	1立即金币27暴击3核4时间578攻速67伤害7序列升级9低血量敌人a敌人爆炸
40	14515 23121	   	206.08	紫3攻速2伤害2暴击	1立即金币27暴击3核4a低血量敌人578攻速67伤害7序列升级9挖青
41	14515 23122	   	206.08	紫3攻速2伤害2暴击	1立即金币27暴击3核4低血量敌人578攻速67伤害7序列升级9挖青a雷电
42	14515 23123	   	206.08	紫3攻速2伤害2暴击	1立即金币27暴击3核4低血量敌人578攻速67伤害7序列升级9挖青a敌人爆炸
43	14525 23131	   	206.08	紫3攻速2伤害2暴击	1立即金币27暴击3核4a时间578攻速67伤害7序列升级9双倍秒伤
44	14525 23133	   	206.08	紫3攻速2伤害2暴击	1立即金币27暴击3核4时间578攻速67伤害7序列升级9双倍秒伤a低血量敌人
45	14525 23132	   	205.98	紫3攻速2伤害2暴击	1立即金币27暴击3核4时间578攻速67伤害7序列升级9双倍秒伤a挖尘
46	12164 31523	 * 	205.73	紫1基础对甲1攻速1伤害1基地爆炸1全技能	1立即金币2挖尘3全技能4核5伤害6激光对冰7基地爆炸8基础对甲9时间a攻速
47	12164 31533	   	205.73	紫1基础对甲1攻速1伤害1基地爆炸1全技能	1立即金币2挖尘3全技能4核5伤害6激光对冰7基地爆炸8基础对甲9最后敌人a攻速
48	14515 23322	   	205.32	紫2攻速2伤害2暴击1基地爆炸	18立即金币27暴击3核4低血量敌人57攻速67伤害7序列升级9基地爆炸a敌人爆炸
49	14525 23322	   	205.32	紫2攻速2伤害2暴击1基地爆炸	18立即金币27暴击3核4时间57攻速67伤害7序列升级9基地爆炸a敌人爆炸
50	14515 23321	   	205.22	紫2攻速2伤害2暴击1基地爆炸	18立即金币27暴击3核4低血量敌人57攻速67伤害7序列升级9基地爆炸a等级
51	14515 23323	   	205.22	紫2攻速2伤害2暴击1基地爆炸	18立即金币27暴击3核4低血量敌人57攻速67伤害7序列升级9基地爆炸a掉矿
52	14525 23321	   	205.22	紫2攻速2伤害2暴击1基地爆炸	18立即金币27暴击3核4时间57攻速67伤害7序列升级9基地爆炸a等级
53	14525 23323	   	205.22	紫2攻速2伤害2暴击1基地爆炸	18立即金币27暴击3核4时间57攻速67伤害7序列升级9基地爆炸a掉矿
54	14361 23126	   	205.22	紫2攻速2伤害3暴击1基地爆炸	1立即金币27a暴击38攻速4核57低血量敌人67伤害7序列升级9基地爆炸
55	14361 23132	   	204.33	紫2攻速2伤害1易伤2暴击	1立即金币27暴击38攻速4核57低血量敌人67伤害7序列升级9易伤a敌人爆炸
56	14361 23135	   	204.33	紫2攻速2伤害1易伤2暴击	1立即金币27暴击38攻速4核57低血量敌人67伤害7序列升级9易伤a时间
57	14361 23153	   	204.33	紫2攻速2伤害1易伤2暴击	1立即金币27暴击38攻速4核57低血量敌人67伤害7序列升级9雷电a易伤
58	14364 23132	   	204.33	紫2攻速2伤害1易伤2暴击	1立即金币27暴击38攻速4核57最后敌人67伤害7序列升级9易伤a敌人爆炸
59	14366 23132	   	204.33	紫2攻速2伤害1易伤2暴击	1立即金币27暴击38攻速4核57a敌人爆炸67伤害7序列升级9易伤
60	14366 23133	   	204.33	紫2攻速2伤害1易伤2暴击	1立即金币27暴击38攻速4核57敌人爆炸67伤害7序列升级9易伤a随机矿
61	14361 23131	   	204.23	紫2攻速2伤害1易伤2暴击	1立即金币27暴击38攻速4核57低血量敌人67伤害7序列升级9易伤a等级
62	14361 23133	   	204.23	紫2攻速2伤害1易伤2暴击	1立即金币27暴击38攻速4核57低血量敌人67伤害7序列升级9易伤a掉矿
63	14364 23131	   	204.23	紫2攻速2伤害1易伤2暴击	1立即金币27暴击38攻速4核57最后敌人67伤害7序列升级9易伤a等级
64	14364 23133	   	204.23	紫2攻速2伤害1易伤2暴击	1立即金币27暴击38攻速4核57最后敌人67伤害7序列升级9易伤a掉矿
65	14366 23131	   	204.23	紫2攻速2伤害1易伤2暴击	1立即金币27暴击38攻速4核57敌人爆炸67伤害7序列升级9易伤a等级
66	14515 23222	   	204.08	紫2攻速2伤害2暴击1基地爆炸	1立即金币27暴击3核4低血量敌人57攻速67伤害7序列升级8磁铁减费9基地爆炸a敌人爆炸
67	14525 23222	   	204.08	紫2攻速2伤害2暴击1基地爆炸	1立即金币27暴击3核4时间57攻速67伤害7序列升级8磁铁减费9基地爆炸a敌人爆炸
68	14515 23221	   	203.98	紫2攻速2伤害2暴击1基地爆炸	1立即金币27暴击3核4低血量敌人57攻速67伤害7序列升级8磁铁减费9基地爆炸a等级
69	14515 23223	   	203.98	紫2攻速2伤害2暴击1基地爆炸	1立即金币27暴击3核4低血量敌人57攻速67伤害7序列升级8磁铁减费9基地爆炸a掉矿
70	14525 23221	   	203.98	紫2攻速2伤害2暴击1基地爆炸	1立即金币27暴击3核4时间57攻速67伤害7序列升级8磁铁减费9基地爆炸a等级
71	14525 23223	   	203.98	紫2攻速2伤害2暴击1基地爆炸	1立即金币27暴击3核4时间57攻速67伤害7序列升级8磁铁减费9基地爆炸a掉矿
72	22543 22222	 * 	203.95	橙3攻速1基础对甲2伤害1基地爆炸	1低血量敌人24伤害349攻速4序列升级5双倍秒伤6矿等7基地爆炸8基础对甲a核
73	42543 22222	   	203.95	橙3攻速1基础对甲2伤害1基地爆炸	1最后敌人24伤害349攻速4序列升级5双倍秒伤6矿等7基地爆炸8基础对甲a核
74	11164 31511	 * 	203.36	紫1基础对甲2伤害1全技能1基地爆炸	1立即金币2敌人爆炸3全技能4核59伤害6激光对冰7基地爆炸8基础对甲a最后敌人
75	11164 31512	   	203.36	紫1基础对甲2伤害1基地爆炸1全技能	1立即金币2敌人爆炸3全技能4核59伤害6激光对冰7基地爆炸8基础对甲a金币生成
76	11164 31513	   	203.36	紫1基础对甲2伤害1基地爆炸1全技能	1立即金币2敌人爆炸3全技能4核59伤害6激光对冰7基地爆炸8基础对甲a平台
77	12164 31511	   	203.26	紫1基础对甲2伤害1基地爆炸1全技能	1立即金币2挖尘3全技能4核59伤害6激光对冰7基地爆炸8基础对甲a最后敌人
78	12164 31512	   	203.26	紫1基础对甲2伤害1基地爆炸1全技能	1立即金币2挖尘3全技能4核59伤害6激光对冰7基地爆炸8基础对甲a金币生成
79	12164 31513	   	203.26	紫1基础对甲2伤害1基地爆炸1全技能	1立即金币2挖尘3全技能4核59伤害6激光对冰7基地爆炸8基础对甲a平台
80	14261 23122	   	202.67	紫2伤害2基地爆炸3暴击1攻速	1立即金币27a暴击3策反4核57a低血量敌人67伤害7a序列升级8攻速9a基地爆炸
81	14264 23122	   	202.67	紫2伤害2基地爆炸3暴击1攻速	1立即金币27a暴击3策反4核57a最后敌人67伤害7a序列升级8攻速9a基地爆炸
82	14266 23122	   	202.67	紫2伤害2基地爆炸3暴击1攻速	1立即金币27a暴击3策反4核57a敌人爆炸67伤害7a序列升级8攻速9a基地爆炸
83	22562 24222	   	202.51	紫2攻速2伤害1易伤1基地爆炸1全技能	1678低血量敌人27伤害37攻速4全技能5核7序列升级9易伤a基地爆炸
84	14361 23334	   	202.23	紫2易伤2伤害1攻速2暴击	18立即金币27暴击3攻速4核57低血量敌人67伤害7序列升级9a易伤
85	14261 23115	   	201.08	紫2易伤2伤害1攻速2暴击	1立即金币27暴击3策反4核57低血量敌人67伤害7序列升级8攻速9a易伤
86	14361 23234	   	200.98	紫2易伤2伤害1攻速2暴击	1立即金币27暴击3攻速4核57低血量敌人67伤害7序列升级8磁铁减费9a易伤
87	11162 31561	 * 	200.63	紫1基础对甲1伤害1易伤1基地爆炸1全技能	1立即金币2敌人爆炸3全技能4核5技能6激光对冰7基地爆炸8基础对甲9易伤a伤害
88	12162 31561	   	200.53	紫1基础对甲1伤害1易伤1基地爆炸1全技能	1立即金币2挖尘3全技能4核5技能6激光对冰7基地爆炸8基础对甲9易伤a伤害
89	14515 23311	   	200.28	紫2攻速2伤害2暴击1技能	18a立即金币27暴击3核4低血量敌人57攻速67伤害7序列升级9技能
90	14525 23311	   	200.28	紫2攻速2伤害2暴击1技能	18a立即金币27暴击3核4时间57攻速67伤害7序列升级9技能
91	14361 23324	   	200.27	紫2伤害2暴击1攻速1易伤1基地爆炸	18立即金币27暴击3攻速4核57低血量敌人67伤害7序列升级9基地爆炸a易伤
92	14525 23312	   	199.98	紫2攻速2伤害2暴击1技能	18立即金币27暴击3核4时间57攻速67伤害7序列升级9技能a低血量敌人
93	14515 23312	   	199.88	紫2攻速2伤害2暴击1技能	18立即金币27暴击3核4低血量敌人57攻速67伤害7序列升级9技能a挖青
94	14525 23313	   	199.88	紫2攻速2伤害2暴击1技能	18立即金币27暴击3核4时间57攻速67伤害7序列升级9技能a狙击对黄
95	32163 23443	   	199.72	紫2攻速2伤害2基地爆炸1暴击	19时间2雷电39攻速4暴击5核6a基地爆炸79伤害8立即金币9序列升级
96	14363 22116	   	199.42	紫1基础对甲1攻速1基地爆炸1全技能1暴击	1立即金币2暴击3攻速4核5全技能6最后敌人7基地爆炸8挖尘9时间a基础对甲
97	11152 28147	 * 	199.39	紫2基础对甲3易伤1全技能	1立即金币2a敌人爆炸3全技能4加一5核6低血量敌人78a易伤9a基础对甲a序列升级
98	22562 24213	 * 	199.36	紫3伤害2攻速1全技能1基地爆炸	1678低血量敌人279伤害37攻速4全技能5核7序列升级a基地爆炸
99	14261 23143	   	199.18	紫2攻速2伤害2暴击1基地爆炸	1立即金币27暴击3策反4核57低血量敌人67伤害7序列升级89攻速a基地爆炸
100	14361 23122	   	199.18	紫2攻速2伤害2暴击1基地爆炸	1立即金币27暴击38攻速4核57低血量敌人67伤害7序列升级9基地爆炸a敌人爆炸
101	14364 23122	   	199.18	紫2攻速2伤害2暴击1基地爆炸	1立即金币27暴击38攻速4核57最后敌人67伤害7序列升级9基地爆炸a敌人爆炸
102	14366 23122	   	199.18	紫2攻速2伤害2暴击1基地爆炸	1立即金币27暴击38攻速4核57a敌人爆炸67伤害7序列升级9基地爆炸
103	14366 23123	   	199.18	紫2攻速2伤害2暴击1基地爆炸	1立即金币27暴击38攻速4核57敌人爆炸67伤害7序列升级9基地爆炸a随机矿
104	14261 23125	   	199.13	紫2伤害1攻速2暴击1易伤1基地爆炸	1立即金币27暴击3策反4核57低血量敌人67伤害7序列升级8攻速9基地爆炸a易伤
105	14361 23121	   	199.08	紫2攻速2伤害2暴击1基地爆炸	1立即金币27暴击38攻速4核57低血量敌人67伤害7序列升级9基地爆炸a等级
106	14361 23123	   	199.08	紫2攻速2伤害2暴击1基地爆炸	1立即金币27暴击38攻速4核57低血量敌人67伤害7序列升级9基地爆炸a掉矿
