0	Index      	 *	Score 	Summary	Detail	
1	63636 23332	 * 	218.91	紫1基础对甲2攻速1伤害1全技能1基地爆炸1卖塔	16等级2卖塔3技能4核56攻速6序列升级7全技能8基地爆炸9基础对甲a伤害
2	21436 23532	 * 	218.14	紫2基础对甲3伤害1易伤	1平台2技能368最后敌人4核568伤害68序列升级78基础对甲9立即金币a易伤
3	21436 23511	   	217.29	紫2基础对甲3伤害1易伤	1平台2技能368最后敌人4核568伤害68序列升级78基础对甲9易伤a磁铁减费
4	21436 23513	   	217.29	紫2基础对甲3伤害1易伤	1平台2技能368最后敌人4核568伤害68序列升级78基础对甲9易伤a挖尘
5	21436 23512	   	217.14	紫2基础对甲3伤害1易伤1卖塔	1平台2技能368最后敌人4核568伤害68序列升级78基础对甲9易伤a卖塔
6	21436 23221	   	210.45	紫3伤害1基础对甲1易伤2技能	1平台29技能36最后敌人4核56a伤害6序列升级7基础对甲8易伤
7	21436 23225	   	209.74	紫1基础对甲2伤害1易伤1全技能2技能	1平台29技能36最后敌人4核56伤害6序列升级7基础对甲8易伤a全技能
8	21436 23131	   	203.78	紫3伤害1基础对甲1易伤	1平台2技能36最后敌人4核56a伤害6序列升级7基础对甲8立即金币9易伤
9	21436 23531	   	203.19	紫2基础对甲3伤害	1平台2技能368最后敌人4核568伤害68序列升级78基础对甲9立即金币a时间
10	21436 23533	   	203.09	紫2基础对甲3伤害	1平台2技能368最后敌人4核568伤害68序列升级78基础对甲9立即金币a双倍物品
11	21436 23135	   	203.07	紫1基础对甲2伤害1易伤1全技能	1平台2技能36最后敌人4核56伤害6序列升级7基础对甲8立即金币9易伤a全技能
12	21436 23522	   	202.66	紫2基础对甲3伤害	1平台2技能368最后敌人4核568伤害68序列升级78基础对甲9等级a立即金币
13	21436 23523	   	202.33	紫2基础对甲3伤害	1平台2技能368最后敌人4核568伤害68序列升级78基础对甲9等级a时间
14	21436 23521	   	202.23	紫2基础对甲3伤害	1平台2技能368最后敌人4核568伤害68序列升级78基础对甲9等级a挖尘
