0	Index      	 *	Score 	Summary	Detail	
1	35111 55222	 * 	265.06	紫2基础对甲2易伤2攻速2伤害	1双倍物品2核39基础对甲49攻速5a易伤6策反79伤害8双倍秒伤9序列升级
2	35141 13521	 * 	262.07	紫3易伤2基础对甲2基地爆炸1攻速1全技能	1双倍物品2核39基础对甲4雷电579易伤69基地爆炸8全技能9序列升级a攻速
3	16214 62424	 * 	261.57	紫4易伤3攻速3伤害	189伤害289a易伤3核4矿等5雷电6加一789攻速89序列升级
4	35113 62221	 * 	259.12	紫2基础对甲3攻速2易伤1全技能	1双倍物品2核39基础对甲49a攻速5策反6全技能7雷电89易伤9序列升级
5	35114 35321	 * 	258.88	紫2基础对甲2攻速2基地爆炸1伤害1暴击	1双倍物品2核39基础对甲49攻速5暴击6伤害79基地爆炸8额外掉落9序列升级a双倍矿
6	35114 35322	   	258.78	紫2基础对甲2攻速2基地爆炸1伤害1暴击	1双倍物品2核39基础对甲49攻速5暴击6伤害79基地爆炸8额外掉落9序列升级a掉矿
7	35114 35323	   	258.78	紫2基础对甲2攻速2基地爆炸1伤害1暴击	1双倍物品2核39基础对甲49攻速5暴击6伤害79基地爆炸8额外掉落9序列升级a散射对绿
8	35113 62226	   	257.12	紫2基础对甲2易伤2攻速1全技能1暴击	1双倍物品2核39基础对甲49攻速5策反6全技能7雷电89易伤9序列升级a暴击
9	35113 62225	   	254.81	紫2基础对甲2易伤2攻速1全技能1基地爆炸	1双倍物品2核39基础对甲49攻速5策反6全技能7雷电89易伤9序列升级a基地爆炸
10	35112 26261	   	254.47	紫2基础对甲3攻速2易伤1基地爆炸	1双倍物品2核3a基础对甲48a攻速5平台6雷电7基地爆炸9a易伤a序列升级
11	35116 32334	 * 	254.15	紫1基础对甲2攻速2全技能1伤害1基地爆炸1暴击	1双倍物品2核3基础对甲45攻速6伤害7a全技能8基地爆炸9暴击
12	35114 33223	 * 	252.01	紫2基础对甲3伤害1攻速2暴击1卖塔	1双倍物品2核38基础对甲4攻速58暴击68a伤害7双倍秒伤8序列升级9卖塔
13	35111 55221	   	250.38	紫2基础对甲2攻速2伤害1易伤	1双倍物品2核39基础对甲49攻速5易伤6策反79伤害8双倍秒伤9序列升级a挖尘
14	35111 55223	   	250.38	紫2基础对甲2攻速2伤害1易伤	1双倍物品2核39基础对甲49攻速5易伤6策反79伤害8双倍秒伤9序列升级a加一
15	35116 33163	   	250.28	紫1基础对甲2易伤2攻速2伤害	1双倍物品2核3基础对甲45攻速6a伤害7等级89易伤
16	35114 33214	 * 	250.26	紫2基础对甲2伤害1攻速2暴击1基地爆炸	1双倍物品2核38基础对甲4攻速58暴击68伤害7双倍秒伤8序列升级9时间a基地爆炸
17	35114 33261	   	250.26	紫2基础对甲2伤害1攻速2暴击1全技能	1双倍物品2核38基础对甲4攻速58暴击68伤害7双倍秒伤8序列升级9随机矿a全技能
18	35113 11146	 * 	248.13	紫1基础对甲2攻速2伤害2基地爆炸	1双倍物品2核3基础对甲4a攻速5策反6挖尘7a基地爆炸8时间9a伤害a序列升级
19	16214 62422	   	248.10	紫3易伤3攻速3伤害	189伤害289易伤3核4矿等5雷电6加一789攻速89序列升级a策反
20	16214 62423	   	248.10	紫3易伤3攻速3伤害	189伤害289易伤3核4矿等5雷电6加一789攻速89序列升级a敌人爆炸
21	35111 14125	   	248.06	紫1基础对甲2攻速1易伤1伤害1暴击1全技能	1双倍物品2核3基础对甲48攻速5易伤6低血量敌人7全技能9伤害a暴击
22	16214 62421	   	248.00	紫3易伤3攻速3伤害	189伤害289易伤3核4矿等5雷电6加一789攻速89序列升级a掉矿
23	35114 31162	 * 	247.61	紫2基础对甲2基地爆炸1攻速1伤害2暴击	1双倍物品2核3a基础对甲4攻速5a暴击6伤害7雷电8平台9a基地爆炸a序列升级
24	16222 37373	 * 	246.80	紫4易伤1基础对甲2伤害1全技能	17伤害2679易伤3核4随机矿5加一7序列升级8基础对甲a全技能
25	35111 24123	   	246.79	紫1基础对甲2攻速1易伤1伤害1基地爆炸1全技能	1双倍物品2核3基础对甲48攻速5易伤6时间7全技能9伤害a基地爆炸
26	35116 32313	   	246.75	紫1基础对甲2攻速2伤害1基地爆炸1全技能	1双倍物品2核3基础对甲45攻速6a伤害7全技能8基地爆炸9技能点
27	35111 63261	 * 	246.70	紫1基础对甲2攻速2基地爆炸1易伤2暴击	1双倍物品2核3基础对甲4a攻速5易伤6挖尘7a暴击8雷电9a基地爆炸a序列升级
28	35116 31123	   	246.69	紫1基础对甲2攻速1易伤1伤害1基地爆炸1全技能	1双倍物品2核3基础对甲45攻速6伤害7掉矿8易伤9全技能a基地爆炸
29	35116 33123	   	246.69	紫1基础对甲2攻速1易伤1伤害1基地爆炸1全技能	1双倍物品2核3基础对甲45攻速6伤害7等级8易伤9全技能a基地爆炸
30	35113 21563	   	245.23	紫2基础对甲2攻速2基地爆炸1伤害	1双倍物品2核39基础对甲49攻速5策反6低血量敌人79基地爆炸8随机矿9序列升级a伤害
31	35113 11563	   	245.13	紫2基础对甲2攻速2基地爆炸1伤害	1双倍物品2核39基础对甲49攻速5策反6挖尘79基地爆炸8随机矿9序列升级a伤害
32	35114 33212	   	244.91	紫2基础对甲2伤害1攻速2暴击	1双倍物品2核38基础对甲4攻速58暴击68伤害7双倍秒伤8序列升级9时间a技能
33	35114 33234	   	244.81	紫2基础对甲2伤害1攻速2暴击	1双倍物品2核38基础对甲4攻速58暴击68伤害79双倍秒伤8序列升级a技能
34	35116 32343	   	244.10	紫1基础对甲2攻速2基地爆炸1伤害1全技能	1双倍物品2核3基础对甲45攻速6伤害7全技能8a基地爆炸9时间
35	35112 15253	   	244.04	紫2基础对甲2伤害1攻速1基地爆炸1全技能	1双倍物品2核38基础对甲4攻速5平台68最后敌人78伤害8序列升级9全技能a基地爆炸
36	35113 66313	   	243.94	紫2基础对甲2攻速1伤害1全技能1基地爆炸	1双倍物品2核37基础对甲47攻速57策反6全技能7序列升级8基地爆炸9技能点a伤害
37	35114 33243	 * 	243.40	紫2基础对甲2伤害3暴击1攻速	1双倍物品2核38基础对甲4攻速58a暴击68伤害7双倍秒伤8序列升级9立即金币
38	35116 32331	   	242.91	紫1基础对甲2攻速1伤害1基地爆炸1暴击1全技能	1双倍物品2核3基础对甲45攻速6伤害7全技能8基地爆炸9暴击a低血量敌人
39	35116 32333	   	242.91	紫1基础对甲2攻速1伤害1基地爆炸1暴击1全技能	1双倍物品2核3基础对甲45攻速6伤害7全技能8基地爆炸9暴击a时间
40	35116 32521	   	242.91	紫1基础对甲2攻速1伤害1基地爆炸1暴击1全技能	1双倍物品2核3基础对甲45攻速6伤害7全技能8暴击9基地爆炸a低血量敌人
41	35116 32523	   	242.91	紫1基础对甲2攻速1伤害1基地爆炸1暴击1全技能	1双倍物品2核3基础对甲45攻速6伤害7全技能8暴击9基地爆炸a时间
42	35116 32335	   	242.81	紫1基础对甲2攻速1伤害1基地爆炸1全技能1暴击	1双倍物品2核3基础对甲45攻速6伤害7全技能8基地爆炸9暴击a挖尘
43	35116 32336	   	242.81	紫1基础对甲2攻速1伤害1基地爆炸1全技能1暴击	1双倍物品2核3基础对甲45攻速6伤害7全技能8基地爆炸9暴击a加一
44	35114 25211	   	242.75	紫1基础对甲1易伤1攻速1伤害1基地爆炸1全技能1暴击	1双倍物品2核3基础对甲4攻速5暴击6技能7基地爆炸8伤害9易伤a全技能
45	35114 35211	   	242.75	紫1基础对甲1易伤1攻速1伤害1基地爆炸1全技能1暴击	1双倍物品2核3基础对甲4攻速5暴击6伤害7基地爆炸8核弹9易伤a全技能
46	35114 33233	   	242.54	紫2基础对甲2伤害3暴击1攻速	1双倍物品2核38基础对甲4攻速58a暴击68伤害79双倍秒伤8序列升级
47	11621 46231	 * 	242.51	紫3伤害1基础对甲1易伤2全技能1暴击	128伤害3暴击47全技能5核6易伤9时间a基础对甲
48	35111 24623	   	242.50	紫2易伤1基础对甲1攻速1伤害1基地爆炸1全技能	1双倍物品2核3基础对甲4攻速58易伤6时间7全技能9伤害a基地爆炸
49	35111 45123	   	242.40	紫2易伤1基础对甲1攻速1伤害1基地爆炸1全技能	1双倍物品2核3基础对甲4攻速58易伤6掉矿7伤害9全技能a基地爆炸
50	35114 35313	 * 	241.46	紫1基础对甲2基地爆炸1攻速1伤害1易伤1暴击	1双倍物品2核3基础对甲4攻速5暴击6伤害7a基地爆炸8额外掉落9易伤
51	35113 62222	   	241.16	紫2基础对甲2易伤2攻速1全技能	1双倍物品2核39基础对甲49攻速5策反6全技能7雷电89易伤9序列升级a平台
52	35136 62221	   	241.16	紫2基础对甲2易伤2攻速1全技能	1双倍物品2核39基础对甲4随机矿5a攻速6全技能79雷电89易伤9序列升级
53	35113 62223	   	241.06	紫2基础对甲2易伤2攻速1全技能	1双倍物品2核39基础对甲49攻速5策反6全技能7雷电89易伤9序列升级a核弹
54	35113 62224	   	241.06	紫2基础对甲2易伤2攻速1全技能	1双倍物品2核39基础对甲49攻速5策反6全技能7雷电89易伤9序列升级a掉矿
55	35112 23261	   	240.82	紫2基础对甲3攻速2易伤	1双倍物品2核3a基础对甲48a攻速5平台6雷电7最后敌人9a易伤a序列升级
56	35114 34123	 * 	239.45	紫1基础对甲2攻速1易伤1伤害2暴击	1双倍物品2核3基础对甲49攻速5a暴击6伤害7易伤8时间
57	35111 14133	 * 	239.24	紫1基础对甲2攻速1易伤2全技能1基地爆炸	1双倍物品2核3基础对甲48攻速5易伤6低血量敌人79全技能a基地爆炸
58	35114 21162	   	238.72	紫2基础对甲2攻速2基地爆炸1暴击	1双倍物品2核3a基础对甲4a攻速5暴击6技能7雷电8平台9a基地爆炸a序列升级
59	35141 13522	   	238.62	紫3易伤2基础对甲2基地爆炸1全技能	1双倍物品2核39基础对甲4雷电579易伤69基地爆炸8全技能9序列升级a技能点
60	35141 13523	   	238.62	紫3易伤2基础对甲2基地爆炸1全技能	1双倍物品2核39基础对甲4雷电579易伤69基地爆炸8全技能9序列升级a挖尘
61	35134 33231	   	238.50	紫2基础对甲2伤害2暴击1全技能	1双倍物品2核38基础对甲4随机矿58暴击68伤害7双倍秒伤8序列升级9技能a全技能
62	35113 66331	   	237.63	紫2基础对甲2攻速1基地爆炸1全技能1暴击	1双倍物品2核37基础对甲47攻速57策反6全技能7序列升级8基地爆炸9暴击a低血量敌人
63	35113 66333	   	237.63	紫2基础对甲2攻速1基地爆炸1全技能1暴击	1双倍物品2核37基础对甲47攻速57策反6全技能7序列升级8基地爆炸9暴击a时间
64	35114 33632	   	237.46	紫1基础对甲2伤害1攻速1基地爆炸1暴击	1双倍物品2核3基础对甲4攻速5暴击69伤害7双倍秒伤8基地爆炸a技能
65	35114 33241	   	237.26	紫2基础对甲2伤害1攻速2暴击	1双倍物品2核38基础对甲4攻速58暴击68伤害7双倍秒伤8序列升级9立即金币a技能点
66	35114 33242	   	237.26	紫2基础对甲2伤害1攻速2暴击	1双倍物品2核38基础对甲4攻速58暴击68伤害7双倍秒伤8序列升级9立即金币a掉矿
67	35114 31263	   	236.79	紫1基础对甲1易伤1攻速1伤害2暴击1全技能	1双倍物品2核3基础对甲4攻速58暴击6伤害7雷电9易伤a全技能
68	35134 31111	 * 	236.70	紫2基础对甲2攻速1伤害2暴击	1双倍物品2核3a基础对甲4随机矿5a暴击6伤害7雷电8平台9a攻速a序列升级
69	35114 33211	   	236.60	紫2基础对甲2伤害1攻速2暴击	1双倍物品2核38基础对甲4攻速58暴击68伤害7双倍秒伤8序列升级9时间a平台
70	35114 33215	   	236.60	紫2基础对甲2伤害1攻速2暴击	1双倍物品2核38基础对甲4攻速58暴击68伤害7双倍秒伤8序列升级9时间a敌人爆炸
71	35114 33216	   	236.60	紫2基础对甲2伤害1攻速2暴击	1双倍物品2核38基础对甲4攻速58暴击68伤害7双倍秒伤8序列升级9时间a金币生成
72	35114 33213	   	236.50	紫2基础对甲2伤害1攻速2暴击	1双倍物品2核38基础对甲4攻速58暴击68伤害7双倍秒伤8序列升级9时间a挖尘
73	35114 33263	   	236.50	紫2基础对甲2伤害1攻速2暴击	1双倍物品2核38基础对甲4攻速58暴击68伤害7双倍秒伤8序列升级9随机矿a掉矿
74	35136 33611	 * 	236.43	紫2基础对甲3基地爆炸2攻速	1双倍物品2核3a基础对甲4随机矿5a攻速6雷电7最后敌人89a基地爆炸a序列升级
75	35114 33231	   	236.40	紫2基础对甲2伤害1攻速2暴击	1双倍物品2核38基础对甲4攻速58暴击68伤害79双倍秒伤8序列升级a技能点
76	35114 33232	   	236.40	紫2基础对甲2伤害1攻速2暴击	1双倍物品2核38基础对甲4攻速58暴击68伤害79双倍秒伤8序列升级a掉矿
77	35114 33235	   	236.40	紫2基础对甲2伤害1攻速2暴击	1双倍物品2核38基础对甲4攻速58暴击68伤害79双倍秒伤8序列升级a挖尘
78	35114 33221	   	236.36	紫2基础对甲2伤害1攻速2暴击1卖塔	1双倍物品2核38基础对甲4攻速58暴击68伤害7双倍秒伤8序列升级9卖塔a随机矿
79	35114 33222	   	236.36	紫2基础对甲2伤害1攻速2暴击1卖塔	1双倍物品2核38基础对甲4攻速58暴击68伤害7双倍秒伤8序列升级9卖塔a敌人爆炸
80	35114 33224	   	236.36	紫2基础对甲2伤害1攻速2暴击1卖塔	1双倍物品2核38基础对甲4攻速58暴击68伤害7双倍秒伤8序列升级9卖塔a金币生成
81	35114 33225	   	236.36	紫2基础对甲2伤害1攻速2暴击1卖塔	1双倍物品2核38基础对甲4攻速58暴击68伤害7双倍秒伤8序列升级9卖塔a最后敌人
82	35114 23223	   	236.26	紫2基础对甲2攻速1伤害2暴击1卖塔	1双倍物品2核38基础对甲48攻速58暴击6技能7双倍秒伤8序列升级9卖塔a伤害
83	35114 33226	   	236.26	紫2基础对甲2伤害1攻速2暴击1卖塔	1双倍物品2核38基础对甲4攻速58暴击68伤害7双倍秒伤8序列升级9卖塔a火球减费
84	35111 14633	 * 	236.00	紫2易伤1基础对甲2全技能1攻速1基地爆炸	1双倍物品2核3基础对甲4攻速58易伤6低血量敌人79全技能a基地爆炸
85	35114 35123	   	235.57	紫1基础对甲2攻速1伤害2暴击1基地爆炸	1双倍物品2核3基础对甲49攻速5a暴击6伤害7基地爆炸8时间
86	16222 37343	   	235.46	紫3易伤1基础对甲2伤害1全技能	17伤害267易伤3核4随机矿5加一7序列升级8基础对甲9立即金币a全技能
87	35114 31261	 * 	235.17	紫1基础对甲2易伤1攻速1伤害2暴击	1双倍物品2核3基础对甲4攻速58暴击6伤害7雷电9a易伤
