0	Index      	 *	Score 	Summary	Detail	
1	13513 62132	 * 	264.38	紫1基础对甲2攻速2伤害1易伤2基地爆炸	19掉矿2核3易伤49攻速5平台6基础对甲7a基地爆炸89伤害9序列升级
2	13513 62131	   	249.55	紫1基础对甲2攻速2伤害1易伤1基地爆炸	19掉矿2核3易伤49攻速5平台6基础对甲7基地爆炸89伤害9序列升级a随机矿
3	13513 62133	   	249.55	紫1基础对甲2攻速2伤害1易伤1基地爆炸	19掉矿2核3易伤49攻速5平台6基础对甲7基地爆炸89伤害9序列升级a敌人爆炸
4	13513 62135	   	249.55	紫1基础对甲2攻速2伤害1易伤1基地爆炸	19掉矿2核3易伤49攻速5平台6基础对甲7基地爆炸89伤害9序列升级a金币生成
5	13513 62136	   	249.55	紫1基础对甲2攻速2伤害1易伤1基地爆炸	19掉矿2核3易伤49攻速5平台6基础对甲7基地爆炸89伤害9序列升级a额外掉落
6	13513 64132	   	249.55	紫1基础对甲2攻速2伤害1易伤1基地爆炸	19掉矿2核3易伤49攻速5平台6基础对甲7低血量敌人89伤害9序列升级a基地爆炸
7	13513 62134	   	249.45	紫1基础对甲2攻速2伤害1易伤1基地爆炸	19掉矿2核3易伤49攻速5平台6基础对甲7基地爆炸89伤害9序列升级a挖青
8	13513 62122	   	245.40	紫1基础对甲2伤害1易伤2基地爆炸1攻速	1掉矿2核3易伤4攻速5平台6基础对甲7a基地爆炸89伤害
9	13362 13422	 * 	242.24	紫1基础对甲2易伤2伤害1暴击1全技能	1掉矿2核3全技能4技能点5基础对甲6a易伤7暴击89伤害
10	13362 33412	 * 	241.31	紫2基础对甲2伤害1易伤1全技能1暴击	19掉矿2核3全技能4技能点59基础对甲6低血量敌人7暴击89伤害9序列升级a易伤
11	13362 33612	 * 	241.31	紫2基础对甲2攻速1易伤1全技能1暴击	19掉矿2核3全技能4技能点59基础对甲6低血量敌人7暴击89攻速9序列升级a易伤
12	13362 13452	 * 	238.17	紫1基础对甲2易伤2全技能1伤害1暴击	1掉矿2核39全技能4技能点5基础对甲6a易伤7暴击8伤害
13	13362 13652	 * 	238.17	紫1基础对甲2易伤2全技能1攻速1暴击	1掉矿2核39全技能4技能点5基础对甲6a易伤7暴击8攻速
14	13362 13432	 * 	236.93	紫2基础对甲2易伤1伤害1暴击1全技能	1掉矿2核3全技能4技能点59基础对甲6a易伤7暴击8伤害
15	13623 62132	 * 	236.59	紫1基础对甲2易伤2伤害2基地爆炸	19掉矿2核3策反49易伤5平台6基础对甲7a基地爆炸89伤害9序列升级
16	13312 64251	 * 	236.55	紫3易伤2攻速2基地爆炸1全技能1暴击	156掉矿2核3全技能459易伤59序列升级79攻速89基地爆炸a暴击
17	13423 62132	   	236.49	紫1基础对甲2易伤2伤害2基地爆炸	19掉矿2核3技能49易伤5平台6基础对甲7a基地爆炸89伤害9序列升级
18	13513 64131	   	235.89	紫1基础对甲2攻速2伤害1易伤	19掉矿2核3易伤49攻速5平台6基础对甲7低血量敌人89伤害9序列升级a随机矿
19	13513 64133	   	235.89	紫1基础对甲2攻速2伤害1易伤	19掉矿2核3易伤49攻速5平台6基础对甲7低血量敌人89伤害9序列升级a时间
20	13362 33413	 * 	235.02	紫2基础对甲2伤害2全技能1暴击	19掉矿2核3a全技能4技能点59基础对甲6低血量敌人7暴击89伤害9序列升级
21	13362 33613	 * 	235.02	紫2基础对甲2攻速2全技能1暴击	19掉矿2核3a全技能4技能点59基础对甲6低血量敌人7暴击89攻速9序列升级
