0	Index      	 *	Score 	Summary	Detail	
1	15214 13421	 * 	244.37	紫3基地爆炸2攻速2伤害1易伤1暴击	17磁铁减费2核38伤害48攻速568基地爆炸8序列升级9暴击a易伤
2	15236 14222	 * 	242.34	紫3伤害2攻速1易伤2暴击1基地爆炸	1磁铁减费2核39a伤害4易伤5时间69暴击7基地爆炸89攻速9序列升级
3	15236 14223	 * 	242.34	紫3攻速2伤害1易伤2暴击1基地爆炸	1磁铁减费2核39伤害4易伤5时间69暴击7基地爆炸89a攻速9序列升级
4	15213 22433	 * 	234.40	紫2基础对甲3攻速1伤害	1a磁铁减费2核3伤害46a攻速5防空对甲7立即金币8最后敌人9a基础对甲a序列升级
5	15214 24123	 * 	232.80	紫2易伤2攻速2伤害1基地爆炸1暴击	1磁铁减费2核39伤害4a攻速5基地爆炸69易伤7暴击89挖尘9序列升级
6	15214 23362	 * 	230.87	紫3伤害2易伤1攻速1基地爆炸1暴击	17磁铁减费2核37a伤害4攻速5基地爆炸67易伤7序列升级8技能点9暴击
7	15214 24122	   	230.87	紫3伤害2易伤1攻速1基地爆炸1暴击	1磁铁减费2核39a伤害4攻速5基地爆炸69易伤7暴击89挖尘9序列升级
8	15214 13432	   	229.62	紫3基地爆炸2伤害2攻速1易伤	17磁铁减费2核38伤害48攻速568基地爆炸8序列升级9掉矿a易伤
9	23321 32513	 * 	229.03	紫2全技能1易伤2基地爆炸1攻速1伤害1暴击	1易伤2雷电3核4暴击59全技能6a基地爆炸7攻速8伤害
10	32321 32513	   	229.03	紫2全技能1易伤2基地爆炸1攻速1伤害1暴击	1雷电2易伤3核4暴击59全技能6a基地爆炸7攻速8伤害
11	15236 15222	   	228.69	紫3伤害2攻速1易伤2暴击	1磁铁减费2核39a伤害4易伤5时间69暴击7敌人爆炸89攻速9序列升级
12	15236 15223	   	228.69	紫3攻速2伤害1易伤2暴击	1磁铁减费2核39伤害4易伤5时间69暴击7敌人爆炸89a攻速9序列升级
13	15232 56213	   	228.55	紫2易伤3伤害1全技能1基地爆炸1暴击	1磁铁减费2核357伤害45易伤5序列升级6敌人爆炸8基地爆炸9全技能a暴击
14	15232 15224	 * 	228.52	紫2易伤2伤害1攻速1全技能1暴击1技能	1磁铁减费2核35伤害45易伤5序列升级6等级7暴击8全技能9技能a攻速
15	15223 11543	 * 	228.42	紫1基础对甲2易伤1攻速1伤害1暴击	1磁铁减费2核3伤害4低血量敌人5最后敌人6暴击79易伤8基础对甲a攻速
16	15232 13643	 * 	227.94	紫2易伤3伤害1基础对甲	1磁铁减费2核357伤害45易伤5序列升级6等级8雷电9低血量敌人a基础对甲
17	15232 13613	   	227.84	紫2易伤3伤害1基础对甲	1磁铁减费2核357伤害45易伤5序列升级6等级8雷电9挖尘a基础对甲
18	15214 23135	 * 	227.32	紫3易伤2伤害1攻速1全技能1基地爆炸	17磁铁减费2核37伤害4攻速5基地爆炸679易伤7序列升级8低血量敌人a全技能
19	15223 11525	   	226.02	紫1基础对甲1易伤1伤害1全技能1基地爆炸1暴击	1磁铁减费2核3伤害4低血量敌人5最后敌人6暴击7易伤8基础对甲9全技能a基地爆炸
20	15236 14221	   	225.68	紫2攻速2伤害1易伤2暴击1基地爆炸	1磁铁减费2核39伤害4易伤5时间69暴击7基地爆炸89攻速9序列升级a双倍矿
21	15142 22341	 * 	224.85	紫2基础对甲2伤害1攻速1技能	1a磁铁减费2核3金币生成4a基础对甲5技能6攻速7随机矿8掉矿9a伤害a序列升级
22	15214 13422	   	224.61	紫3基地爆炸2攻速2伤害1暴击	17磁铁减费2核38伤害48攻速568基地爆炸8序列升级9暴击a随机矿
23	15214 13423	   	224.51	紫3基地爆炸2攻速2伤害1暴击	17磁铁减费2核38伤害48攻速568基地爆炸8序列升级9暴击a挖青
24	23342 35313	   	224.44	紫1基础对甲1易伤1攻速1伤害1暴击1基地爆炸	1易伤2雷电3核4攻速5掉矿6平台7暴击8基地爆炸9伤害a基础对甲
25	32342 35313	   	224.44	紫1基础对甲1易伤1攻速1伤害1暴击1基地爆炸	1雷电2易伤3核4攻速5掉矿6平台7暴击8基地爆炸9伤害a基础对甲
26	15113 11652	 * 	223.94	紫1基础对甲2攻速2易伤1基地爆炸	1磁铁减费2核3金币生成4a攻速5a导弹对毒6最后敌人7a易伤8基地爆炸9基础对甲a序列升级
27	15142 23143	   	223.91	紫1基础对甲2伤害1攻速1基地爆炸1技能	1磁铁减费2核37金币生成4基础对甲5技能6攻速8基地爆炸9a伤害
28	15214 23361	   	223.22	紫3易伤2伤害1攻速1基地爆炸1暴击	17磁铁减费2核37伤害4攻速5基地爆炸67a易伤7序列升级8技能点9暴击
29	15142 25212	   	223.09	紫1基础对甲1易伤1攻速1伤害1基地爆炸1技能	1磁铁减费2核3金币生成4基础对甲5技能6攻速7易伤8额外掉落9基地爆炸a伤害
30	15142 23512	   	221.65	紫2基础对甲2攻速1易伤1技能	18磁铁减费2核37金币生成48基础对甲5技能68攻速8序列升级9雷电a易伤
31	15214 23151	 * 	221.63	紫2易伤2伤害1攻速2暴击1基地爆炸	17磁铁减费2核37伤害4攻速5基地爆炸67易伤7序列升级8低血量敌人9a暴击
32	15214 23341	 * 	221.41	紫3易伤2伤害2基地爆炸1攻速	17磁铁减费2核37伤害4攻速5a基地爆炸679易伤7序列升级8技能点
33	15214 22432	 * 	221.28	紫4易伤2伤害1攻速1基地爆炸1技能	18磁铁减费2核38伤害4攻速5基地爆炸6789易伤8序列升级a技能
34	15232 26161	 * 	221.25	紫2易伤3伤害2攻速	1磁铁减费2核357伤害45易伤5序列升级6低血量敌人89攻速a策反
35	15232 26163	   	221.25	紫2易伤3伤害2攻速	1磁铁减费2核357伤害45易伤5序列升级6低血量敌人89攻速a随机矿
36	15232 26162	   	221.15	紫2易伤3伤害2攻速	1磁铁减费2核357伤害45易伤5序列升级6低血量敌人89攻速a掉矿
37	15232 35224	   	220.31	紫2易伤2伤害1攻速1全技能1暴击	1磁铁减费2核35伤害45易伤5序列升级6策反7暴击8全技能9随机矿a攻速
38	15143 15121	 * 	219.78	紫3易伤1基础对甲2基地爆炸1暴击	1磁铁减费2核3金币生成4基础对甲567易伤8a基地爆炸9暴击
39	32353 11343	   	219.24	紫1基础对甲2易伤2攻速1基地爆炸	1雷电29易伤3核4基地爆炸5金币生成69攻速7敌人爆炸89低血量敌人9序列升级a基础对甲
40	15143 13142	 * 	219.19	紫2易伤1基础对甲2基地爆炸1伤害	1磁铁减费2核37金币生成4基础对甲56易伤8a基地爆炸9伤害
41	31621 12515	 * 	219.13	紫2攻速2全技能1易伤1伤害1暴击	1雷电2敌人爆炸3核4暴击59全技能6易伤7a攻速8伤害
42	32353 11643	   	219.04	紫1基础对甲2易伤2攻速1基地爆炸	1雷电29易伤3核4基地爆炸5金币生成69攻速7敌人爆炸89挖尘9序列升级a基础对甲
43	32351 31643	   	218.94	紫1基础对甲2易伤2伤害1基地爆炸	1雷电29易伤3核4基地爆炸5挖尘69技能点7敌人爆炸89伤害9序列升级a基础对甲
44	15232 26334	 * 	218.91	紫3易伤3伤害1基地爆炸1暴击	1磁铁减费2核357伤害458易伤5序列升级6低血量敌人9暴击a基地爆炸
45	15143 51223	   	218.60	紫1基础对甲2易伤2攻速1技能	1磁铁减费2核3金币生成4基础对甲57易伤6a攻速8平台9技能
46	15142 23522	   	218.43	紫2基础对甲2攻速1基地爆炸1技能	18磁铁减费2核37金币生成48基础对甲5技能68攻速8序列升级9加一a基地爆炸
47	15142 33141	   	218.43	紫2基础对甲2伤害1基地爆炸1技能	1a磁铁减费2核37金币生成4a基础对甲5技能6等级8基地爆炸9a伤害a序列升级
48	15142 26334	   	218.33	紫2基础对甲2攻速1基地爆炸1技能	19磁铁减费2核3金币生成49基础对甲5技能69攻速7双倍秒伤8加一9序列升级a基地爆炸
49	15142 23531	   	218.29	紫2基础对甲2攻速1基地爆炸1技能1卖塔	18磁铁减费2核37金币生成48基础对甲5技能68攻速8序列升级9卖塔a基地爆炸
50	15236 14212	   	218.17	紫2攻速2伤害1易伤1基地爆炸1暴击	1磁铁减费2核3a伤害4易伤5时间6暴击7基地爆炸89攻速
51	15214 24112	   	218.07	紫2攻速2伤害1易伤1基地爆炸1暴击	1磁铁减费2核3a伤害49攻速5基地爆炸6易伤7暴击8挖尘
52	15214 12231	 * 	217.72	紫3攻速2基地爆炸2暴击1伤害	1a磁铁减费2核3伤害48a攻速56基地爆炸7低血量敌人9a暴击a序列升级
53	15232 15223	 * 	217.46	紫3易伤2伤害1全技能1暴击1技能	1磁铁减费2核35伤害45a易伤5序列升级6等级7暴击8全技能9技能
54	15223 11533	   	217.39	紫1基础对甲1易伤1攻速1伤害1暴击	1磁铁减费2核3伤害4低血量敌人5最后敌人6暴击7易伤8基础对甲9立即金币a攻速
55	15232 26151	   	217.32	紫2易伤3伤害1攻速1暴击	1磁铁减费2核357伤害45易伤5序列升级6低血量敌人8攻速9暴击a平台
56	15232 26152	   	217.32	紫2易伤3伤害1攻速1暴击	1磁铁减费2核357伤害45易伤5序列升级6低血量敌人8攻速9暴击a雷电
57	15232 26153	   	217.32	紫2易伤3伤害1攻速1暴击	1磁铁减费2核357伤害45易伤5序列升级6a低血量敌人8攻速9暴击
58	15232 33161	   	217.32	紫2易伤3伤害1攻速1暴击	1磁铁减费2核357伤害45易伤5序列升级6策反8低血量敌人9攻速a暴击
59	15224 11533	   	217.29	紫1基础对甲1易伤1攻速1伤害1暴击	1磁铁减费2核3伤害4低血量敌人5挖青6暴击7易伤8基础对甲9立即金币a攻速
60	15214 23161	   	217.25	紫2易伤2攻速2伤害1基地爆炸	17磁铁减费2核37伤害49攻速5基地爆炸67易伤7序列升级8低血量敌人a平台
61	15232 13161	   	217.22	紫2易伤3伤害1攻速1暴击	1磁铁减费2核357伤害45易伤5序列升级6等级8低血量敌人9攻速a暴击
62	15232 35412	   	217.22	紫2易伤3伤害1攻速1暴击	1磁铁减费2核35a伤害45易伤5序列升级6策反7暴击8双倍秒伤9攻速
63	21315 13313	 * 	217.19	紫2易伤2攻速2伤害2基地爆炸	1a易伤2金币生成3双倍物品4a基地爆炸5核6敌人爆炸78伤害9a攻速a序列升级
64	21315 53513	   	217.19	紫2易伤2攻速2伤害2基地爆炸	1a易伤2金币生成3双倍物品4a基地爆炸5核6低血量敌人78伤害9a攻速a序列升级
65	15214 23162	   	217.15	紫2易伤2伤害2攻速1基地爆炸	17磁铁减费2核37伤害49攻速5基地爆炸67易伤7序列升级8低血量敌人a掉矿
66	15214 23163	   	217.15	紫2易伤2攻速2伤害1基地爆炸	17磁铁减费2核37伤害49攻速5基地爆炸67易伤7序列升级8低血量敌人a双倍秒伤
67	15112 36432	   	217.15	紫2攻速2伤害2易伤1基地爆炸	18磁铁减费2核3金币生成48攻速5等级6基地爆炸78伤害8序列升级9a易伤
68	15232 15412	   	217.12	紫2易伤3伤害1攻速1暴击	1磁铁减费2核35a伤害45易伤5序列升级6等级7暴击8双倍秒伤9攻速
69	15214 23115	   	216.31	紫2易伤2伤害1攻速1全技能1基地爆炸	17磁铁减费2核37伤害4攻速5基地爆炸67易伤7序列升级89低血量敌人a全技能
70	15236 14213	   	216.24	紫3攻速1易伤1伤害1基地爆炸1暴击	1磁铁减费2核3伤害4易伤5时间6暴击7基地爆炸89a攻速
71	15214 23312	   	216.21	紫2易伤2伤害1攻速1全技能1基地爆炸	17磁铁减费2核37伤害4攻速5基地爆炸67易伤7序列升级8技能点9平台a全技能
72	15214 24113	   	216.14	紫3攻速1易伤1伤害1基地爆炸1暴击	1磁铁减费2核3伤害49a攻速5基地爆炸6易伤7暴击8挖尘
73	15215 11513	   	215.79	紫1基础对甲1易伤1攻速1伤害1暴击	1磁铁减费2核3伤害4攻速5平台6随机矿7易伤8基础对甲9额外掉落a暴击
74	15215 11522	   	215.79	紫1基础对甲1易伤1攻速1伤害1暴击	1磁铁减费2核3伤害4攻速5平台6随机矿7易伤8基础对甲9敌人爆炸a暴击
75	15223 11513	   	215.79	紫1基础对甲1易伤1攻速1伤害1暴击	1磁铁减费2核3伤害4低血量敌人5最后敌人6暴击7易伤8基础对甲9敌人爆炸a攻速
76	15211 15613	   	215.69	紫1基础对甲1攻速1伤害1易伤1暴击	1磁铁减费2核3伤害4攻速5矿等6等级7暴击8基础对甲9金币生成a易伤
77	15211 15633	   	215.69	紫1基础对甲1攻速1伤害1易伤1暴击	1磁铁减费2核3伤害4攻速5矿等6等级7暴击8基础对甲9额外掉落a易伤
78	15224 11513	   	215.69	紫1基础对甲1易伤1攻速1伤害1暴击	1磁铁减费2核3伤害4低血量敌人5挖青6暴击7易伤8基础对甲9敌人爆炸a攻速
79	15232 26142	   	215.32	紫2易伤3伤害1攻速1基地爆炸	1磁铁减费2核357伤害45易伤5序列升级6低血量敌人8攻速9敌人爆炸a基地爆炸
80	15232 33165	   	215.32	紫2易伤3伤害1攻速1基地爆炸	1磁铁减费2核357伤害45易伤5序列升级6策反8低血量敌人9攻速a基地爆炸
81	15232 56112	   	215.32	紫2易伤3伤害1攻速1基地爆炸	1磁铁减费2核357伤害45易伤5序列升级6敌人爆炸8攻速9低血量敌人a基地爆炸
82	15232 13165	   	215.22	紫2易伤3伤害1攻速1基地爆炸	1磁铁减费2核357伤害45易伤5序列升级6等级8低血量敌人9攻速a基地爆炸
83	15215 11523	   	214.79	紫1基础对甲1易伤1攻速1伤害1基地爆炸	1磁铁减费2核3伤害4攻速5平台6随机矿7易伤8基础对甲9敌人爆炸a基地爆炸
84	15232 23461	   	214.77	紫3易伤2伤害1攻速1全技能	18磁铁减费2核35伤害458易伤58序列升级68低血量敌人7随机矿9全技能a攻速
85	15222 21652	   	214.69	紫1基础对甲1易伤1攻速1伤害1基地爆炸	1磁铁减费2核3伤害4低血量敌人5导弹对黄6金币生成7易伤8基地爆炸9基础对甲a攻速
86	15222 11652	   	214.59	紫1基础对甲1易伤1攻速1伤害1基地爆炸	1磁铁减费2核3伤害4低血量敌人5导弹对黄6易伤7技能点8基地爆炸9基础对甲a攻速
87	15222 31652	   	214.59	紫1基础对甲1易伤1伤害1攻速1基地爆炸	1磁铁减费2核3伤害4低血量敌人5导弹对黄6等级7易伤8基地爆炸9基础对甲a攻速
88	15236 11225	 * 	214.50	紫2易伤2伤害2基地爆炸2暴击	1磁铁减费2核3a伤害47易伤5时间6a暴击8金币生成9a基地爆炸a序列升级
89	15236 11325	   	214.40	紫2易伤2伤害2基地爆炸2暴击	1磁铁减费2核3a伤害47易伤5时间6a暴击8掉矿9a基地爆炸a序列升级
90	23314 26343	 * 	214.39	紫1基础对甲2易伤2基地爆炸1攻速	19易伤2雷电3核49金币生成5攻速6最后敌人79基地爆炸8挖青9序列升级a基础对甲
91	23353 15343	   	214.39	紫1基础对甲2易伤2基地爆炸1攻速	19易伤2雷电3核49基地爆炸5金币生成6攻速7挖青89低血量敌人9序列升级a基础对甲
