0	Index      	 *	Score 	Summary	Detail	
1	41132 43533	 * 	256.27	紫2基础对甲2易伤2全技能2基础对冰2技能	16技能29基础对甲39易伤4核5随机矿79基础对冰8a全技能9序列升级
2	41135 32432	 * 	249.82	紫2基础对甲2易伤1攻速1伤害2暴击	1技能2a基础对甲3a易伤4核5双倍矿6伤害7攻速8挖青9a暴击a序列升级
3	41132 43342	 * 	248.18	紫2基础对甲2伤害1易伤2基础对冰2技能	16技能2a基础对甲3易伤4核5随机矿7a基础对冰8a伤害9平台a序列升级
4	41532 32363	 * 	243.64	紫2基础对甲2攻速2基地爆炸1伤害	1技能29基础对甲36基地爆炸4核5随机矿79攻速89策反9序列升级a伤害
5	41634 32213	 * 	243.54	紫2基础对甲2伤害2基地爆炸1攻速	1技能2a基础对甲35时间4核6a伤害7攻速8等级9a基地爆炸a序列升级
6	41534 32321	 * 	243.30	紫2基础对甲2基地爆炸1易伤2暴击1全技能	1技能29基础对甲39基地爆炸4核5时间6全技能7易伤89暴击9序列升级a矿等
7	41534 32323	   	243.30	紫2基础对甲2基地爆炸1易伤2暴击1全技能	1技能29基础对甲39基地爆炸4核5时间6全技能7易伤89暴击9序列升级a最后敌人
8	41534 32322	   	243.20	紫2基础对甲2基地爆炸1易伤2暴击1全技能	1技能29基础对甲39基地爆炸4核5时间6全技能7易伤89暴击9序列升级a双倍秒伤
9	41136 11325	 * 	242.09	紫2基础对甲2易伤2暴击1全技能1基地爆炸	1技能29基础对甲39易伤4核5低血量敌人6全技能7最后敌人89暴击9序列升级a基地爆炸
10	41133 14325	   	241.99	紫2基础对甲2易伤2暴击1全技能1基地爆炸	1技能29基础对甲39易伤4核5最后敌人6全技能7挖尘89暴击9序列升级a基地爆炸
11	41135 33342	   	240.24	紫2基础对甲2伤害1易伤2基础对冰	1技能2a基础对甲3易伤4核5双倍矿6a伤害7a基础对冰8核弹9平台a序列升级
12	41132 43532	   	238.71	紫2基础对甲2易伤2基础对冰1全技能2技能	16技能29基础对甲39易伤4核5随机矿79基础对冰8全技能9序列升级a双倍秒伤
13	41532 52221	 * 	238.20	紫2基础对甲2基地爆炸1攻速1易伤1全技能	1技能26基础对甲36基地爆炸4核5随机矿6序列升级7攻速8等级9易伤a全技能
14	41135 33612	 * 	238.09	紫1基础对甲2伤害1易伤1攻速1基础对冰	1技能2基础对甲3易伤4核5双倍矿6a伤害7基础对冰8攻速9掉矿
15	41135 31523	 * 	237.19	紫1基础对甲2易伤2伤害2基地爆炸	1技能2基础对甲39易伤4核5双倍矿6a伤害78基地爆炸
16	41135 31215	 * 	236.20	紫2基础对甲1易伤2基地爆炸1伤害1暴击	1技能29基础对甲3易伤4核5双倍矿6伤害7a基地爆炸8暴击
17	41532 52223	   	236.20	紫2基础对甲2基地爆炸1攻速1易伤1暴击	1技能26基础对甲36基地爆炸4核5随机矿6序列升级7攻速8等级9易伤a暴击
18	41133 12212	 * 	234.68	紫2基础对甲1易伤1攻速1伤害1全技能	1技能28基础对甲3易伤4核5最后敌人6全技能7攻速9双倍秒伤a伤害
19	41132 36242	 * 	234.18	紫2基础对甲2易伤2基地爆炸2暴击	1技能2a基础对甲37易伤4核5随机矿6a基地爆炸8a暴击9核弹a序列升级
20	41135 33423	 * 	233.55	紫1基础对甲1易伤2全技能1伤害1基础对冰	1技能2基础对甲3易伤4核5双倍矿6伤害7基础对冰8立即金币9a全技能
21	41533 23125	   	233.25	紫1基础对甲2易伤2基地爆炸1伤害1暴击	1技能2基础对甲37基地爆炸4核5最后敌人6伤害8a易伤9暴击
22	41135 51123	 * 	232.83	紫3易伤1基础对甲1攻速1伤害1基地爆炸	1技能2基础对甲389易伤4核5双倍矿6攻速7基地爆炸a伤害
23	41133 12241	 * 	232.30	紫2基础对甲2攻速1易伤1全技能	1技能28基础对甲3易伤4核5最后敌人6全技能7a攻速9随机矿
24	41133 12251	   	232.20	紫2基础对甲2攻速1易伤1全技能	1技能28基础对甲3易伤4核5最后敌人6全技能7a攻速9技能点
25	41532 32361	   	231.42	紫2基础对甲2攻速2基地爆炸2技能	1a技能29基础对甲36基地爆炸4核5随机矿79攻速89策反9序列升级
26	31124 12246	 * 	230.98	紫2基础对甲3易伤2基地爆炸1攻速	12a易伤3双倍秒伤4核5平台6a基地爆炸7攻速8雷电9a基础对甲a序列升级
27	41132 42432	 * 	230.98	紫2基础对甲2易伤2攻速2技能1卖塔	16技能2a基础对甲3a易伤4核5随机矿7a攻速8挖青9卖塔a序列升级
28	41135 32523	 * 	230.76	紫1基础对甲2易伤2伤害1攻速	1技能2基础对甲39易伤4核5双倍矿6a伤害7攻速8随机矿
29	41135 32623	   	230.76	紫1基础对甲2易伤2伤害1攻速	1技能2基础对甲39易伤4核5双倍矿6a伤害7攻速8策反
30	41532 52213	 * 	230.48	紫3基础对甲3基地爆炸1攻速	1技能26a基础对甲36a基地爆炸4核5随机矿6a序列升级7攻速8等级9a敌人爆炸
31	41132 41242	   	230.39	紫2基础对甲1易伤2基地爆炸2暴击2技能	16技能2a基础对甲3易伤4核5随机矿7a基地爆炸8a暴击9核弹a序列升级
32	41135 31123	 * 	230.35	紫3易伤1基础对甲2伤害1基地爆炸	1技能2基础对甲389易伤4核5双倍矿6a伤害7基地爆炸
