0	Index      	 *	Score 	Summary	Detail	
1	22534 33526	 * 	230.92	橙3基础对甲2易伤2攻速2暴击1基地爆炸	19攻速25暴击3加一459基础对甲59序列升级6掉矿7基地爆炸89易伤a核
2	21355 42323	 * 	223.20	紫1基础对甲2攻速2伤害1暴击	18攻速28时间356挖尘4核78伤害8序列升级9暴击a基础对甲
3	22534 17713	 * 	214.04	橙2基础对甲1易伤1攻速1伤害2暴击1全技能	1攻速25暴击3加一45基础对甲5序列升级6伤害7全技能8易伤9立即金币a核
4	22534 17722	   	212.33	橙2基础对甲1易伤1攻速1伤害2暴击1全技能	1攻速25暴击3加一45基础对甲5序列升级6伤害7全技能8易伤9技能点a核
5	22534 17733	   	212.33	橙2基础对甲1易伤1攻速1伤害2暴击1全技能	1攻速25暴击3加一45基础对甲5序列升级6伤害7全技能8易伤9火球减费a核
6	22534 43141	 * 	212.14	3基础对甲2攻速2伤害1易伤2暴击1全技能	1a攻速25暴击3加一45a基础对甲5a序列升级6易伤7低血量敌人8全技能9a伤害
7	22534 17331	 * 	211.18	3基础对甲2易伤2攻速1伤害2暴击1全技能	1a攻速25暴击3加一45a基础对甲5a序列升级6伤害7全技能8时间9a易伤
8	22534 17831	   	211.18	3基础对甲2易伤2攻速1伤害2暴击1全技能	1a攻速25暴击3加一45a基础对甲5a序列升级6伤害7全技能8低血量敌人9a易伤
9	22534 16531	   	209.18	3基础对甲2易伤2攻速1伤害2暴击1全技能	1a攻速25暴击3加一45a基础对甲5a序列升级6伤害7最后敌人8a易伤9全技能
10	22532 44531	 * 	207.13	2基础对甲2易伤2攻速2伤害1全技能1暴击	1a攻速2暴击3加一4a基础对甲5最后敌人67伤害8a易伤9全技能a序列升级
11	22534 17532	   	205.32	橙2基础对甲1攻速1伤害2暴击1全技能1基地爆炸	1攻速25暴击3加一45基础对甲5序列升级6伤害7全技能8策反9基地爆炸a核
12	22534 17132	   	205.22	橙2基础对甲1攻速1伤害2暴击1全技能1基地爆炸	1攻速25暴击3加一45基础对甲5序列升级6伤害7全技能8掉矿9基地爆炸a核
13	22534 41851	 * 	203.09	2基础对甲2攻速1易伤2基地爆炸3暴击1全技能1技能	1a攻速25a暴击3加一45基础对甲5a序列升级6易伤7技能8全技能9a基地爆炸
