0	Index      	 *	Score 	Summary	Detail	
1	13311 12343	 * 	214.74	紫4易伤3伤害1全技能	1核27最后敌人3等级4579易伤67a伤害7序列升级8全技能
2	13511 12325	 * 	212.19	紫3易伤3伤害2全技能	1核27最后敌人3金币生成457易伤679伤害7序列升级8a全技能
3	13311 12525	   	212.14	紫4易伤2伤害1全技能1喷火对愈	1核27最后敌人3等级457a易伤67伤害7序列升级8喷火对愈9全技能
4	13411 12525	   	212.14	紫4易伤2伤害1全技能1喷火对愈	1核27最后敌人3掉矿457a易伤67伤害7序列升级8喷火对愈9全技能
5	13311 12325	   	212.09	紫3易伤3伤害2全技能	1核27最后敌人3等级457易伤679伤害7序列升级8a全技能
6	13511 12341	 * 	212.02	紫5易伤2伤害1全技能	1核27最后敌人3金币生成4579a易伤67伤害7序列升级8全技能
7	13311 12341	   	211.92	紫5易伤2伤害1全技能	1核27最后敌人3等级4579a易伤67伤害7序列升级8全技能
8	15623 33513	 * 	210.33	紫3易伤3伤害3时间1策反	1核2策反39a易伤4掉矿5挖尘69a时间7攻速89a伤害9a序列升级
9	13511 12321	   	207.68	紫3易伤3伤害1全技能	1核27最后敌人3金币生成457易伤679伤害7序列升级8全技能a攻速
10	13511 12323	   	207.68	紫3易伤3伤害1全技能	1核27最后敌人3金币生成457易伤679伤害7序列升级8全技能a时间
11	13311 12321	   	207.58	紫3易伤3伤害1全技能	1核27最后敌人3等级457易伤679伤害7序列升级8全技能a攻速
12	13311 12562	   	203.99	紫4易伤3伤害1喷火对愈	1核27最后敌人3等级4579易伤67a伤害7序列升级8喷火对愈
13	13411 12562	   	203.99	紫4易伤3伤害1喷火对愈	1核27最后敌人3掉矿4579易伤67a伤害7序列升级8喷火对愈
14	16233 74127	   	203.95	紫2易伤2伤害1全技能1暴击2时间	1核2a时间3平台4加一5全技能6a易伤7暴击8攻速9a伤害a序列升级
15	51314 12325	   	202.59	紫3易伤3伤害2全技能	127易伤27序列升级3最后敌人47矿等5核679伤害8a全技能
16	51314 12341	   	202.42	紫5易伤2伤害1全技能	1279a易伤27序列升级3最后敌人47矿等5核67伤害8全技能
17	13311 12566	   	201.99	紫4易伤2伤害1暴击1喷火对愈	1核27最后敌人3等级4579易伤67伤害7序列升级8喷火对愈a暴击
18	13511 12322	   	200.74	紫3易伤3伤害1全技能	1核27最后敌人3a金币生成457易伤679伤害7序列升级8全技能
19	13511 12324	   	200.74	紫3易伤3伤害1全技能	1核27最后敌人3金币生成457易伤679伤害7序列升级8全技能a基地爆炸
20	13311 12322	   	200.64	紫3易伤3伤害1全技能	1核27最后敌人3等级457易伤679伤害7序列升级8全技能a金币生成
21	13311 12323	   	200.64	紫3易伤3伤害1全技能	1核27最后敌人3等级457易伤679伤害7序列升级8全技能a基地爆炸
22	13311 12363	   	200.64	紫3易伤3伤害1全技能	1核27最后敌人3等级457易伤67a伤害7序列升级8全技能9金币生成
23	13511 12313	   	200.64	紫3易伤3伤害1全技能	1核27最后敌人3金币生成457易伤67a伤害7序列升级8全技能9掉矿
24	13511 12326	   	200.64	紫3易伤3伤害1全技能	1核27最后敌人3金币生成457易伤679伤害7序列升级8全技能a等级
25	13311 12313	   	200.54	紫3易伤3伤害1全技能	1核27最后敌人3等级457易伤67a伤害7序列升级8全技能9掉矿
26	13311 12326	   	200.54	紫3易伤3伤害1全技能	1核27最后敌人3a等级457易伤679伤害7序列升级8全技能
27	56361 33232	   	200.52	紫3易伤2伤害1全技能2时间1策反	18a易伤2雷电38伤害4核5金币生成6策反78时间8序列升级9全技能
28	13311 15343	   	200.44	紫3易伤3伤害1全技能	1核2最后敌人3等级459易伤67a伤害8全技能
29	15611 11421	 * 	200.34	紫3易伤2伤害1全技能2策反	1核28策反34a易伤5低血量敌人69伤害7全技能
30	13311 12521	   	199.34	紫3易伤2伤害1全技能1喷火对愈	1核27最后敌人3等级457易伤67伤害7序列升级8喷火对愈9全技能a立即金币
31	13411 12521	   	199.34	紫3易伤2伤害1全技能1喷火对愈	1核27最后敌人3掉矿457易伤67伤害7序列升级8喷火对愈9全技能a立即金币
32	13511 12334	   	199.19	紫4易伤2伤害1全技能	1核27最后敌人3金币生成457a易伤67伤害7序列升级8全技能9敌人爆炸
33	13511 12343	   	199.19	紫4易伤2伤害1全技能	1核27最后敌人3金币生成4579易伤67伤害7序列升级8全技能a随机矿
34	13511 12346	   	199.19	紫4易伤2伤害1全技能	1核27最后敌人3金币生成4579易伤67伤害7序列升级8全技能a基地爆炸
35	13511 12361	   	199.19	紫4易伤2伤害1全技能	1核27最后敌人39金币生成457a易伤67伤害7序列升级8全技能
36	13311 12334	   	199.09	紫4易伤2伤害1全技能	1核27最后敌人3等级457a易伤67伤害7序列升级8全技能9敌人爆炸
37	13311 12346	   	199.09	紫4易伤2伤害1全技能	1核27最后敌人3等级4579易伤67伤害7序列升级8全技能a基地爆炸
38	13311 12366	   	199.09	紫4易伤2伤害1全技能	1核27最后敌人3等级457a易伤67伤害7序列升级8全技能9金币生成
39	13511 12316	   	199.09	紫4易伤2伤害1全技能	1核27最后敌人3金币生成457a易伤67伤害7序列升级8全技能9掉矿
40	13511 12342	   	199.09	紫4易伤2伤害1全技能	1核27最后敌人3金币生成4579易伤67伤害7序列升级8全技能a等级
41	13511 12345	   	199.09	紫4易伤2伤害1全技能	1核27最后敌人3金币生成4579易伤67伤害7序列升级8全技能a激光对愈
42	13311 12316	   	198.99	紫4易伤2伤害1全技能	1核27最后敌人3等级457a易伤67伤害7序列升级8全技能9掉矿
43	13311 12342	   	198.99	紫4易伤2伤害1全技能	1核27最后敌人3a等级4579易伤67伤害7序列升级8全技能
44	13311 12345	   	198.99	紫4易伤2伤害1全技能	1核27最后敌人3等级4579易伤67伤害7序列升级8全技能a激光对愈
45	13511 15341	   	198.99	紫4易伤2伤害1全技能	1核2最后敌人3金币生成459a易伤67伤害8全技能
46	13311 15341	   	198.89	紫4易伤2伤害1全技能	1核2最后敌人3等级459a易伤67伤害8全技能
47	13511 12333	   	198.74	紫3易伤2伤害1全技能1暴击	1核27最后敌人3金币生成457易伤67伤害7序列升级8全技能9敌人爆炸a暴击
48	13311 12333	   	198.64	紫3易伤2伤害1全技能1暴击	1核27最后敌人3等级457易伤67伤害7序列升级8全技能9敌人爆炸a暴击
49	13311 12614	   	198.52	紫5易伤2伤害1策反	1核27最后敌人3等级4579a易伤67伤害7序列升级8策反
50	13411 12614	   	198.52	紫5易伤2伤害1策反	1核27最后敌人3掉矿4579a易伤67伤害7序列升级8策反
