0	Index      	 *	Score 	Summary	Detail	
1	55232 42333	 * 	268.69	橙橙2易伤1等级1时间	1风暴减费29易伤3掉矿4烈焰减费5随机技能6时间78核a等级
2	22413 15632	 * 	256.90	橙橙1易伤1伤害1时间1全技能1卖塔	1时间2基地爆炸3攻速4全技能5基础对愈6卖塔7伤害8易伤9a核
3	21321 13433	 * 	255.46	紫橙2易伤1等级1时间1暴击	1时间2导弹对绿3攻速4加一5a核6等级78易伤9暴击
4	26321 13433	   	255.46	紫橙2易伤1等级1时间1暴击	1时间2喷火对愈3攻速4加一5a核6等级78易伤9暴击
5	65224 22313	   	255.24	橙橙2易伤1等级	1低血量敌人2随机技能3敌人爆炸4掉矿5策反68核79易伤a等级
6	55232 12333	   	255.04	橙橙2易伤1等级	1风暴减费29易伤3掉矿4烈焰减费5随机技能6低血量敌人78核a等级
7	63232 62333	   	255.04	橙橙2易伤1等级	1低血量敌人2火球减费3掉矿4毒气减费5随机技能69易伤78核a等级
8	24322 52231	   	252.68	橙橙1易伤1矿等1时间1全技能	1时间2矿等3攻速4敌人爆炸5雷电6易伤7全技能8赏金塔9a核
9	24332 52231	   	252.68	橙橙1易伤1矿等1时间1全技能	1时间2矿等3攻速4雷电5基地爆炸6易伤7全技能8赏金塔9a核
10	24312 52251	   	252.58	橙橙1易伤1矿等1时间1全技能	1时间2矿等3攻速4挖尘5雷电6易伤7全技能8赏金塔9a核
11	52232 12333	 * 	251.18	橙橙3易伤	1a风暴减费2随机矿39a易伤4烈焰减费5随机技能6a低血量敌人78核a序列升级
12	24346 11211	 * 	250.30	橙2易伤3时间2矿等1伤害1全技能	149时间29矿等3攻速5全技能6伤害7头目89易伤9序列升级a核
13	55232 42332	   	249.43	橙橙2易伤1时间	1风暴减费29易伤3掉矿4烈焰减费5随机技能6时间78核a攻速
14	52232 12334	 * 	249.00	橙橙2易伤1伤害	1风暴减费2随机矿39易伤4烈焰减费5随机技能6低血量敌人78核a伤害
15	52232 62334	   	249.00	橙橙2易伤1伤害	1风暴减费2随机矿39易伤4烈焰减费5随机技能6敌人爆炸78核a伤害
16	55232 12334	   	248.90	橙橙2易伤1伤害	1风暴减费29易伤3掉矿4烈焰减费5随机技能6低血量敌人78核a伤害
17	63232 62334	   	248.90	橙橙2易伤1伤害	1低血量敌人2火球减费3掉矿4毒气减费5随机技能69易伤78核a伤害
18	24363 62132	 * 	248.60	橙3易伤1喷火对甲1伤害1矿等1时间	1时间2矿等3攻速48a易伤5伤害6喷火对甲7核9基地爆炸
19	24132 52231	   	245.74	橙橙1易伤1矿等1时间1全技能	1时间2矿等3头目4策反5基地爆炸6易伤7全技能8赏金塔9a核
20	51143 35113	 * 	245.64	橙3易伤3伤害2时间	17风暴减费2赏金塔3a时间467易伤57a伤害7a序列升级8核9a随机技能
21	54231 14243	   	245.64	橙橙1易伤1矿等1时间1暴击	1风暴减费2机枪对壮3加一4矿等5暴击6时间7a核8易伤9策反
22	56231 14243	   	245.54	橙橙1易伤1矿等1时间1暴击	1风暴减费2爆破对壮3加一4矿等5暴击6时间7a核8易伤9策反
23	41226 12334	 * 	244.64	橙橙1易伤2时间1矿等	1立即金币24随机技能34时间4序列升级5技能点6最后敌人78核9易伤a矿等
24	22242 35231	 * 	244.31	橙橙1等级1伤害1时间1全技能	1时间2基地爆炸3赏金邻近4雷电5全技能6低血量敌人7伤害8等级9a核
25	52232 62333	   	242.59	橙橙2易伤1技能	1风暴减费2随机矿39易伤4烈焰减费5随机技能6敌人爆炸78核a技能
26	55232 42331	   	242.49	橙橙2易伤1时间	1风暴减费29易伤3掉矿4烈焰减费5随机技能6时间78核a随机矿
27	24361 32163	 * 	242.08	橙3易伤1等级1矿等1时间1全技能	1时间2矿等3攻速48a易伤5散射对绿6等级7核9全技能
28	61321 13433	   	241.81	紫橙2易伤1等级1暴击	1低血量敌人2导弹对绿3攻速4加一5a核6等级78易伤9暴击
29	66321 13433	   	241.81	紫橙2易伤1等级1暴击	1低血量敌人2喷火对愈3攻速4加一5a核6等级78易伤9暴击
30	24361 32411	 * 	240.82	橙2喷火对甲1易伤2矿等1等级1时间	1时间29矿等3攻速4易伤59散射对绿6等级7核89喷火对甲9序列升级a随机技能
31	24361 32412	   	240.82	橙2喷火对甲1易伤2矿等1等级1时间	1时间29矿等3攻速4易伤59散射对绿6等级7核89喷火对甲9序列升级a低血量敌人
32	24361 32413	   	240.82	橙2喷火对甲1易伤2矿等1等级1时间	1时间29矿等3攻速4易伤59散射对绿6等级7核89喷火对甲9序列升级a基地爆炸
33	41226 12332	 * 	240.49	橙橙3时间1易伤	1立即金币24随机技能34a时间4序列升级5技能点6最后敌人78核9易伤
34	41226 52332	   	240.49	橙橙3时间1易伤	1立即金币24随机技能34a时间4序列升级5技能点6低血量敌人78核9易伤
35	41226 62332	   	240.49	橙橙3时间1易伤	1立即金币24随机技能34a时间4序列升级5技能点6敌人爆炸78核9易伤
36	25616 32332	   	240.39	橙橙3时间1易伤	13a时间26随机技能4基地爆炸5技能点78核9易伤
37	41224 62332	   	240.39	橙橙3时间1易伤	1立即金币24随机技能34a时间4序列升级5挖尘6技能点78核9易伤
38	25613 62332	   	240.29	橙橙3时间1易伤	13a时间2随机技能4基地爆炸5烈焰减费6技能点78核9易伤
39	25616 22332	   	240.29	橙橙3时间1易伤	13a时间2随机技能4基地爆炸5技能点6火球减费78核9易伤
40	24363 62131	   	240.11	橙2易伤1喷火对甲1伤害1矿等1时间1技能	1时间2矿等3攻速48易伤5伤害6喷火对甲7核9基地爆炸a技能
