0	Index      	 *	Score 	Summary	Detail	
1	33521 61622	 * 	384.22	橙2双倍秒伤1易伤2时间1全技能	19金币生成2雷电34时间5全技能6核7易伤8a双倍秒伤
2	33521 61632	   	384.22	橙2双倍秒伤1易伤2时间1全技能	1金币生成29雷电34时间5全技能6核7易伤8a双倍秒伤
3	26331 61622	   	371.76	橙2双倍秒伤1易伤1全技能1时间	1时间29金币生成3立即金币4雷电5全技能6核7易伤8a双倍秒伤
4	26331 61632	   	371.76	橙2双倍秒伤1易伤1全技能1时间	1时间2金币生成3立即金币49雷电5全技能6核7易伤8a双倍秒伤
5	31231 61622	   	371.76	橙2双倍秒伤1易伤1全技能1时间	19金币生成2立即金币3时间4雷电5全技能6核7易伤8a双倍秒伤
6	31231 61632	   	371.76	橙2双倍秒伤1易伤1全技能1时间	1金币生成2立即金币3时间49雷电5全技能6核7易伤8a双倍秒伤
7	23434 32611	 * 	360.13	5易伤1双倍秒伤2时间	18时间26最后敌人3雷电减费45689易伤68序列升级78散射对喷气a双倍秒伤
8	25114 53211	 * 	357.45	橙2易伤1双倍秒伤2时间1全技能	18时间2低血量敌人3随机矿4赏金塔58易伤68最后敌人7核8序列升级9全技能a双倍秒伤
9	43114 13211	   	357.45	橙2易伤1双倍秒伤2时间1全技能	18低血量敌人2最后敌人3随机矿4赏金塔58易伤68时间7核8序列升级9全技能a双倍秒伤
10	43514 13211	   	357.45	橙2易伤1双倍秒伤2时间1全技能	18低血量敌人2最后敌人3技能4赏金塔58易伤68时间7核8序列升级9全技能a双倍秒伤
11	53114 53211	   	357.45	橙2易伤1双倍秒伤2时间1全技能	1随机矿28时间3低血量敌人4赏金塔58易伤68最后敌人7核8序列升级9全技能a双倍秒伤
12	56114 13211	   	357.45	橙2易伤1双倍秒伤2时间1全技能	1随机矿28最后敌人3低血量敌人4赏金塔58易伤68时间7核8序列升级9全技能a双倍秒伤
13	65114 13211	   	357.45	橙2易伤1双倍秒伤2时间1全技能	18最后敌人2低血量敌人3随机矿4赏金塔58易伤68时间7核8序列升级9全技能a双倍秒伤
14	33532 24133	 * 	355.04	橙2易伤1双倍秒伤3时间	1金币生成2雷电359时间47易伤6爆破对冰8核a双倍秒伤
15	21232 24133	   	354.94	橙2易伤1双倍秒伤3时间	159时间2雷电3掉矿47易伤6爆破对冰8核a双倍秒伤
