0	Index      	 *	Score 	Summary	Detail	
1	22531 41323	 * 	371.52	橙2双倍秒伤1易伤1时间1全技能1卖塔	1最后敌人2卖塔3掉矿4全技能5时间6头目7核8易伤9a双倍秒伤
2	22461 31315	 * 	362.19	紫3易伤1双倍秒伤1暴击1时间1卖塔	1最后敌人2卖塔3平台469易伤5核7时间8暴击a双倍秒伤
3	21222 13533	 * 	358.64	橙2易伤1双倍秒伤1暴击1时间	1最后敌人2额外掉落3随机矿49易伤5雷电6暴击7时间8核a双倍秒伤
4	23125 25221	   	358.34	橙2易伤1双倍秒伤1暴击1时间	1最后敌人25暴雪减费3赏金塔45易伤5序列升级6核7暴击8掉矿9时间a双倍秒伤
5	23126 25144	   	358.34	橙2易伤1双倍秒伤1暴击1时间	1最后敌人2暴雪减费3赏金塔49易伤5时间6核7暴击8加一a双倍秒伤
6	51434 31311	   	358.34	橙2易伤1双倍秒伤1暴击1时间1挖怪	1平台28易伤3赏金邻近4暴击5加一6时间7核9挖怪a双倍秒伤
7	11123 23634	 * 	358.01	橙橙1双倍秒伤1易伤1时间	1挖尘2立即金币3赏金塔4易伤5基地爆炸68核7低血量敌人9时间a双倍秒伤
8	11123 24634	   	358.01	橙橙1双倍秒伤1易伤1时间	1挖尘2立即金币3赏金塔4易伤5基地爆炸68核7敌人爆炸9时间a双倍秒伤
9	12331 23634	   	358.01	橙橙1双倍秒伤1易伤1时间	1挖尘2易伤3随机矿4赏金邻近5金币生成68核7低血量敌人9时间a双倍秒伤
10	12331 24634	   	358.01	橙橙1双倍秒伤1易伤1时间	1挖尘2易伤3随机矿4赏金邻近5金币生成68核7基地爆炸9时间a双倍秒伤
11	13331 22634	   	358.01	橙橙1双倍秒伤1易伤1时间	1挖尘2基地爆炸3随机矿4赏金邻近5金币生成68核7易伤9时间a双倍秒伤
12	16331 22634	   	358.01	橙橙1双倍秒伤1易伤1时间	1挖尘2低血量敌人3随机矿4赏金邻近5金币生成68核7易伤9时间a双倍秒伤
