0	Index      	 *	Score 	Summary	Detail	
1	13123 34261	 * 	371.00	橙2易伤1双倍秒伤1暴击2时间	1最后敌人29易伤3技能点4低血量敌人58时间6暴击7核a双倍秒伤
2	13623 34251	   	371.00	橙2易伤1双倍秒伤1暴击2时间	1最后敌人29易伤3掉矿4低血量敌人58时间6暴击7核a双倍秒伤
3	42123 34261	   	370.90	橙2易伤1双倍秒伤1暴击2时间	1挖青29易伤3技能点4低血量敌人58时间6暴击7核a双倍秒伤
4	13233 13112	 * 	367.64	5易伤1双倍秒伤1伤害1时间	1最后敌人24578易伤3挖尘6伤害9时间a双倍秒伤
5	13233 13342	   	367.64	5易伤1双倍秒伤1伤害1时间	1最后敌人24579易伤3挖尘6伤害8时间a双倍秒伤
6	42233 13112	   	367.54	5易伤1双倍秒伤1伤害1时间	1挖青24578易伤3挖尘6伤害9时间a双倍秒伤
7	42233 13342	   	367.54	5易伤1双倍秒伤1伤害1时间	1挖青24579易伤3挖尘6伤害8时间a双倍秒伤
8	13113 34661	   	358.54	橙2易伤1双倍秒伤1暴击1时间	18最后敌人29易伤3技能点4敌人爆炸5时间6暴击7核a双倍秒伤
9	13123 34661	   	358.54	橙2易伤1双倍秒伤1暴击1时间	18最后敌人29易伤3技能点4低血量敌人5时间6暴击7核a双倍秒伤
10	25231 22523	 * 	357.94	3易伤1双倍秒伤2等级2暴击1时间1卖塔	19等级2赏金邻近349易伤5基地爆炸6时间79暴击8卖塔9序列升级a双倍秒伤
11	26231 22523	 * 	357.94	3易伤1双倍秒伤2等级2暴击1时间1卖塔	19等级2赏金塔349易伤5基地爆炸6时间79暴击8卖塔9序列升级a双倍秒伤
12	13335 42533	 * 	357.77	橙2双倍秒伤1易伤1时间1卖塔	1最后敌人2易伤3卖塔4时间5随机矿6赏金塔7核8a双倍秒伤9攻速
13	13336 42533	 * 	357.77	橙2双倍秒伤1易伤1时间1卖塔	1最后敌人2易伤3卖塔4时间5金币生成6赏金塔7核8a双倍秒伤9攻速
14	11541 31315	 * 	355.10	4易伤1双倍秒伤1暴击1时间1全技能	1最后敌人2烈焰减费3457易伤6暴击8全技能9时间a双倍秒伤
15	21543 13316	 * 	348.60	橙3易伤1暴击1等级1伤害1时间	1等级2挖尘3核弹457易伤6伤害8时间9暴击a核
16	25233 15323	 * 	345.25	5易伤3等级3时间1伤害	19a等级2赏金邻近3479a易伤5伤害6掉矿89a时间9a序列升级
17	26233 15323	   	345.25	5易伤3等级3时间1伤害	19a等级2赏金塔3479a易伤5伤害6掉矿89a时间9a序列升级
18	52521 41311	 * 	344.65	紫2易伤1双倍秒伤1暴击1等级1时间	1攻速2随机矿36易伤4核5时间7挖尘8暴击9等级a双倍秒伤
19	24521 41331	   	344.55	紫2易伤1双倍秒伤1暴击1等级1时间	1等级2攻速36易伤4核5时间7挖尘8暴击9掉矿a双倍秒伤
