0	Index      	 *	Score 	Summary	Detail	
1	13633 22838	 * 	279.87	橙橙1易伤1等级1攻速	1挖尘2额外掉落3加一4易伤5等级6a核7随机技能8全技能9攻速
2	53321 26124	 * 	274.49	橙3伤害2等级1易伤1矿等2暴击	124策反248序列升级348伤害5矿等68等级78暴击9核a易伤
3	45332 22335	 * 	270.18	橙3易伤2技能1等级1矿等	157易伤2基地爆炸3赏金邻近4等级6矿等89技能a核
4	53321 42124	 * 	268.66	橙3伤害2矿等1易伤2暴击1攻速	124策反247序列升级347伤害57矿等67暴击8攻速9核a易伤
5	24324 12251	 * 	264.36	橙5易伤2等级	15a低血量敌人26等级3a金币生成4579a易伤5a序列升级8核
6	11513 62512	   	262.13	橙橙1易伤1等级1暴击	1挖尘2敌人爆炸3雷电4赏金塔5等级6暴击7a核8散射对甲9易伤
7	11523 62512	   	262.13	橙橙1易伤1等级1暴击	1挖尘2敌人爆炸3雷电4赏金邻近5等级6暴击7a核8散射对甲9易伤
8	21513 62212	   	262.13	橙橙1易伤1等级1暴击	1低血量敌人2敌人爆炸3雷电4赏金塔5等级6暴击7a核8寒冰对黄9易伤
9	21523 62212	   	262.13	橙橙1易伤1等级1暴击	1低血量敌人2敌人爆炸3雷电4赏金邻近5等级6暴击7a核8寒冰对黄9易伤
10	31513 62512	   	262.13	橙橙1易伤1等级1暴击	1基地爆炸2敌人爆炸3雷电4赏金塔5等级6暴击7a核8散射对甲9易伤
11	31523 62512	   	262.13	橙橙1易伤1等级1暴击	1基地爆炸2敌人爆炸3雷电4赏金邻近5等级6暴击7a核8散射对甲9易伤
12	11513 62212	   	262.03	橙橙1易伤1等级1暴击	1挖尘2敌人爆炸3雷电4赏金塔5等级6暴击7a核8寒冰对黄9易伤
13	11523 62212	   	262.03	橙橙1易伤1等级1暴击	1挖尘2敌人爆炸3雷电4赏金邻近5等级6暴击7a核8寒冰对黄9易伤
14	22513 62212	   	262.03	橙橙1易伤1等级1暴击	1低血量敌人2挖尘3雷电4赏金塔5等级6暴击7a核8寒冰对黄9易伤
15	22523 62212	   	262.03	橙橙1易伤1等级1暴击	1低血量敌人2挖尘3雷电4赏金邻近5等级6暴击7a核8寒冰对黄9易伤
16	25513 62212	   	262.03	橙橙1易伤1等级1暴击	1低血量敌人2基地爆炸3雷电4赏金塔5等级6暴击7a核8寒冰对黄9易伤
17	25523 62212	   	262.03	橙橙1易伤1等级1暴击	1低血量敌人2基地爆炸3雷电4赏金邻近5等级6暴击7a核8寒冰对黄9易伤
18	31513 62212	   	262.03	橙橙1易伤1等级1暴击	1基地爆炸2敌人爆炸3雷电4赏金塔5等级6暴击7a核8寒冰对黄9易伤
19	31523 62212	   	262.03	橙橙1易伤1等级1暴击	1基地爆炸2敌人爆炸3雷电4赏金邻近5等级6暴击7a核8寒冰对黄9易伤
20	14126 62212	   	261.93	橙橙1易伤1等级1暴击	1挖尘2等级3雷电4雷电减费5赏金邻近6暴击7a核8多重对愈9易伤
21	45331 22335	 * 	260.89	橙2易伤2等级2技能1矿等	17易伤25基地爆炸3赏金邻近45等级5序列升级6矿等89技能a核
22	24324 12261	 * 	260.87	橙3易伤2等级1矿等	15低血量敌人26等级3金币生成457易伤5序列升级8核9矿等a时间
23	41111 23311	 * 	259.73	橙3易伤1等级2攻速	15a易伤2a敌人爆炸3随机矿4时间6等级7全技能8核9a攻速a序列升级
24	41122 23311	   	259.73	橙3易伤1等级2攻速	14a易伤2a敌人爆炸3随机矿5时间6等级7全技能8核9a攻速a序列升级
25	45332 22115	 * 	258.25	橙3易伤1等级1矿等1伤害	157易伤2基地爆炸3赏金邻近4等级6矿等8伤害9立即金币a核
26	41332 12155	   	258.25	橙3易伤1等级1矿等1伤害	157易伤2敌人爆炸3赏金邻近4等级6火球减费8矿等9伤害a核
27	42332 12155	   	258.15	橙3易伤1等级1矿等1伤害	157易伤2挖尘3赏金邻近4等级6火球减费8矿等9伤害a核
28	53326 53231	 * 	258.14	橙3易伤2伤害1等级	124策反24序列升级34伤害568易伤7全技能9核a等级
