0	Index      	 *	Score 	Summary	Detail	
1	12153 23635	 * 	306.43	紫橙3易伤2矿等1伤害	1a低血量敌人2随机技能38a易伤49核5伤害6烈焰减费7a矿等a序列升级
2	62352 26123	 * 	298.51	橙橙3矿等1易伤	1随机技能2赏金邻近347矿等5雷电6敌人爆炸89核a易伤
3	62352 16123	   	298.41	橙橙3矿等1易伤	1随机技能2赏金邻近347矿等5雷电6基地爆炸89核a易伤
4	12151 23635	   	297.32	紫橙2易伤2矿等3随机技能1伤害	1a低血量敌人25a随机技能38易伤49核6伤害7a矿等a序列升级
5	23243 54121	 * 	292.43	橙3易伤3攻速1等级1矿等1暴击	1暴击259易伤3赏金邻近458攻速5序列升级6等级7矿等a核
6	12156 23335	   	291.00	紫橙2易伤2矿等1伤害2随机技能	1a低血量敌人2a随机技能35易伤49核6伤害7a矿等8立即金币a序列升级
7	12133 23635	   	291.00	紫橙2易伤2矿等1伤害2随机技能	14a低血量敌人2a随机技能38易伤59核6伤害7a矿等a序列升级
8	12156 23631	   	288.83	紫橙3易伤1矿等1伤害	1低血量敌人2随机技能358易伤49核6伤害7矿等a全技能
9	23151 15126	 * 	287.64	橙橙1易伤1等级1伤害1暴击	1暴击2易伤3伤害4双倍秒伤5时间6敌人爆炸7a核8立即金币9等级
10	12153 23335	   	284.29	紫橙2易伤2矿等1伤害	1a低血量敌人2随机技能3a易伤49核5伤害6烈焰减费7a矿等8立即金币a序列升级
11	11223 12432	 * 	283.55	橙2易伤2矿等1等级1伤害1技能	1低血量敌人26易伤3等级4全技能59矿等7核8伤害a技能
12	43123 42263	   	283.55	橙2易伤2矿等1等级1伤害1技能	16易伤2掉矿3最后敌人4全技能56矿等6序列升级7核8技能9等级a伤害
13	11223 42311	 * 	283.01	橙3易伤2矿等2等级	16低血量敌人29a易伤38等级4全技能56矿等6序列升级7核
14	11223 12433	   	282.91	橙2易伤2矿等1等级1伤害1攻速	1低血量敌人26易伤3等级4全技能59矿等7核8伤害a攻速
15	62333 26123	 * 	281.15	橙橙1易伤1等级1矿等	1随机技能2赏金邻近3矿等4雷电5双倍秒伤6随机矿7等级89核a易伤
16	62333 56122	   	281.15	橙橙1易伤1等级1矿等	1随机技能2赏金邻近3矿等4雷电5双倍秒伤6技能点7等级89核a易伤
17	63432 12124	   	281.03	橙橙1易伤1等级1伤害	1随机技能2等级3赏金邻近4雷电5易伤6时间7敌人爆炸89核a伤害
18	63531 31224	   	281.03	橙橙1易伤1等级1伤害	1随机技能2等级3易伤4雷电5最后敌人69核7赏金塔8时间a伤害
