0	Index      	 *	Score 	Summary	Detail	
1	31213 36364	 * 	290.11	橙橙2易伤1等级1暴击	1敌人爆炸2最后敌人3火球减费4等级5基础对愈6暴击78核9a易伤
2	16622 21611	 * 	284.59	橙橙2易伤1伤害2暴击	15随机矿2立即金币3伤害47暴击6a核89易伤
3	25623 63312	 * 	284.15	橙2易伤3伤害2矿等1技能	1双倍秒伤2立即金币39矿等4随机技能569伤害7核89易伤9序列升级a技能
4	31213 36365	 * 	276.20	橙橙2等级1易伤1暴击	1敌人爆炸2最后敌人3火球减费4a等级5基础对愈6暴击78核9易伤
5	56161 11223	 * 	275.94	橙3易伤2伤害1等级1矿等	145易伤23伤害6核7金币生成8矿等9赏金邻近a等级
6	16132 15331	 * 	273.82	橙橙2等级1矿等1伤害1卖塔	1随机矿27立即金币35等级4伤害6a核8卖塔9矿等
7	13232 15331	 * 	273.72	橙橙2等级1矿等1伤害1卖塔	1随机矿2风暴减费35等级4伤害6a核7立即金币8卖塔9矿等
8	31513 36363	   	271.79	橙橙1易伤1等级1暴击1核弹	1敌人爆炸23最后敌人4等级5基础对愈6暴击78核9易伤a核弹
9	41213 36363	   	271.79	橙橙1易伤1等级1暴击1核弹	12最后敌人3敌人爆炸4等级5基础对愈6暴击78核9易伤a核弹
10	31213 36363	   	271.69	橙橙1易伤1等级1暴击1核弹	1敌人爆炸2最后敌人3火球减费4等级5基础对愈6暴击78核9易伤a核弹
11	61213 36363	   	271.59	橙橙1易伤1等级1暴击1核弹	1挖尘2最后敌人3火球减费4等级5基础对愈6暴击78核9易伤a核弹
12	31513 36361	   	270.43	橙橙1易伤1等级1暴击	1敌人爆炸23最后敌人4等级5基础对愈6暴击78核9易伤a时间
13	41213 36361	   	270.43	橙橙1易伤1等级1暴击	12最后敌人3敌人爆炸4等级5基础对愈6暴击78核9易伤a时间
14	31213 36344	   	270.33	橙橙1易伤1等级1暴击	1敌人爆炸2最后敌人3火球减费4等级5基础对愈6暴击78核9时间a易伤
15	31213 36361	   	270.33	橙橙1易伤1等级1暴击	1敌人爆炸2最后敌人3火球减费4等级5基础对愈6暴击78核9易伤a时间
16	42213 36314	   	270.33	橙橙1易伤1等级1暴击	1最后敌人2时间3火球减费4等级5基础对愈6暴击78核9敌人爆炸a易伤
17	61213 36361	   	270.23	橙橙1易伤1等级1暴击	1挖尘2最后敌人3火球减费4等级5基础对愈6暴击78核9易伤a时间
18	41413 36331	 * 	268.00	橙橙1等级1矿等2暴击	12最后敌人3时间4等级5基础对愈69暴击78核a矿等
19	42513 36331	   	268.00	橙橙1等级1矿等2暴击	13最后敌人2时间4等级5基础对愈69暴击78核a矿等
20	42213 36331	   	267.90	橙橙1等级1矿等2暴击	1最后敌人2时间3火球减费4等级5基础对愈69暴击78核a矿等
21	25623 63313	   	267.26	橙2易伤3伤害2矿等	1双倍秒伤2立即金币39矿等4随机技能569伤害7核89易伤9序列升级a最后敌人
22	25623 63311	   	267.16	橙2易伤3伤害2矿等	1双倍秒伤2立即金币39矿等4随机技能569伤害7核89易伤9序列升级a基地爆炸
23	52361 13252	 * 	265.85	橙4易伤1等级1伤害1暴击	1345易伤2金币生成6核7双倍秒伤8伤害9暴击a等级
24	31513 36352	   	262.13	橙橙1易伤1等级1暴击	1敌人爆炸23最后敌人4等级5基础对愈6暴击78核9雷电a易伤
25	31513 36362	   	262.13	橙橙1易伤1等级1暴击	1敌人爆炸23a最后敌人4等级5基础对愈6暴击78核9易伤
26	41113 36314	   	262.13	橙橙1易伤1等级1暴击	12最后敌人3低血量敌人4等级5基础对愈6暴击78核9敌人爆炸a易伤
27	41213 36352	   	262.13	橙橙1易伤1等级1暴击	12最后敌人3敌人爆炸4等级5基础对愈6暴击78核9雷电a易伤
28	41213 36362	   	262.13	橙橙1易伤1等级1暴击	12a最后敌人3敌人爆炸4等级5基础对愈6暴击78核9易伤
29	31213 36352	   	262.03	橙橙1易伤1等级1暴击	1敌人爆炸2最后敌人3火球减费4等级5基础对愈6暴击78核9雷电a易伤
30	31213 36362	   	262.03	橙橙1易伤1等级1暴击	1敌人爆炸2a最后敌人3火球减费4等级5基础对愈6暴击78核9易伤
31	31213 36366	   	261.93	橙橙1易伤1等级1暴击	1敌人爆炸2最后敌人3火球减费4等级5基础对愈6暴击78核9易伤a双倍秒伤
32	61213 36314	   	261.93	橙橙1易伤1等级1暴击	1挖尘2最后敌人3火球减费4等级5基础对愈6暴击78核9敌人爆炸a易伤
33	61213 36352	   	261.93	橙橙1易伤1等级1暴击	1挖尘2最后敌人3火球减费4等级5基础对愈6暴击78核9雷电a易伤
34	61213 36362	   	261.93	橙橙1易伤1等级1暴击	1挖尘2a最后敌人3火球减费4等级5基础对愈6暴击78核9易伤
35	42213 36341	   	261.59	橙橙1等级1矿等1暴击	1最后敌人2时间3火球减费4等级5基础对愈6暴击78核9立即金币a矿等
36	42213 36361	   	261.49	橙橙1等级1矿等1暴击	1最后敌人2时间3火球减费4等级5基础对愈6暴击78核9烈焰减费a矿等
37	56121 41123	   	260.22	橙2易伤3伤害2矿等	19易伤236伤害46矿等5赏金邻近6序列升级7敌人爆炸8挖青a核
