0	Index      	 *	Score 	Summary	Detail	
1	12465 21212	 * 	296.74	橙橙1易伤1等级1矿等1暴击	19低血量敌人2暴击3易伤4矿等5等级6时间7技能点8a核
2	63422 21312	 * 	290.21	橙橙2易伤1等级1暴击	1暴击2最后敌人37易伤4基地爆炸59低血量敌人6a核8等级
3	63422 21342	   	290.21	橙橙2易伤1等级1暴击	1暴击2最后敌人37易伤4基地爆炸5低血量敌人6a核8等级9立即金币
4	64422 21312	   	290.21	橙橙2易伤1等级1暴击	1暴击2敌人爆炸37易伤4基地爆炸59低血量敌人6a核8等级
5	66222 21312	   	290.21	橙橙2易伤1等级1暴击	1暴击27易伤3敌人爆炸4基地爆炸59低血量敌人6a核8等级
6	66222 21342	   	290.21	橙橙2易伤1等级1暴击	1暴击27易伤3敌人爆炸4基地爆炸5低血量敌人6a核8等级9立即金币
7	23556 21312	   	290.11	橙橙2易伤1等级1暴击	1雷电减费2基地爆炸37易伤49低血量敌人5暴击6a核8等级
8	23556 21112	   	290.01	橙橙2易伤1等级1暴击	1雷电减费28基地爆炸37易伤4低血量敌人5暴击6a核9等级
9	26626 31232	 * 	288.73	橙橙2矿等1易伤1暴击	1雷电减费24矿等3易伤5暴击69敌人爆炸7时间8a核
10	31213 32664	   	286.52	橙橙1等级1矿等1技能1攻速1暴击	1随机矿2技能3攻速4策反5等级6掉矿7矿等8暴击9a核
11	12415 31212	 * 	284.71	橙橙2等级1易伤1暴击	19低血量敌人2暴击3易伤45等级6敌人爆炸7时间8a核
12	12415 31242	   	284.71	橙橙2等级1易伤1暴击	1低血量敌人2暴击3易伤45等级6敌人爆炸7时间8a核9立即金币
13	63415 31232	   	284.71	橙橙2等级1易伤1暴击	1暴击2最后敌人3易伤45等级69敌人爆炸7时间8a核
14	66115 31212	   	284.71	橙橙2等级1易伤1暴击	1暴击2易伤39低血量敌人45等级6敌人爆炸7时间8a核
15	12415 21342	   	284.61	橙橙2等级1易伤1暴击	1低血量敌人2暴击3易伤45等级6立即金币7a核8挖尘9时间
16	44215 34123	   	283.29	橙橙2易伤1等级	1赏金塔2加农对壮3随机技能49易伤5等级6加一7a核8掉矿
17	66412 21212	 * 	281.58	橙橙3易伤1暴击	1暴击237易伤4双倍秒伤59低血量敌人6a核8随机矿
18	44215 34313	   	281.42	橙橙1易伤1等级1矿等	1赏金塔2加农对壮3随机技能4易伤5等级6加一7a核8暴雪减费9矿等
19	64322 13141	 * 	276.37	紫橙3等级2矿等3暴击	18a暴击2敌人爆炸3赏金邻近47核58a等级68暴雪减费8a序列升级9a矿等
20	12415 23212	   	276.30	橙橙2等级1易伤1暴击	19低血量敌人2暴击3易伤45等级6立即金币7双倍秒伤8a核
21	12415 23242	   	276.30	橙橙2等级1易伤1暴击	1低血量敌人2暴击3易伤45等级69立即金币7双倍秒伤8a核
22	66115 23212	   	276.30	橙橙2等级1易伤1暴击	1暴击2易伤39低血量敌人45等级6立即金币7双倍秒伤8a核
23	66215 23232	   	276.30	橙橙2等级1易伤1暴击	1暴击2易伤3敌人爆炸45等级69立即金币7双倍秒伤8a核
24	66214 33332	   	276.20	橙橙2等级1易伤1暴击	1暴击2易伤3敌人爆炸48等级5基地爆炸6挖尘7a核9立即金币
25	63423 23342	   	270.43	橙橙1易伤1等级1暴击	1暴击2最后敌人3易伤4基地爆炸59立即金币6时间7a核8等级
26	12416 31212	   	270.43	橙橙1易伤1等级1暴击	19低血量敌人2暴击3易伤4等级5毒气减费6敌人爆炸7时间8a核
27	12416 31242	   	270.43	橙橙1易伤1等级1暴击	1低血量敌人2暴击3易伤4等级5毒气减费6敌人爆炸7时间8a核9立即金币
28	63416 31232	   	270.43	橙橙1易伤1等级1暴击	1暴击2最后敌人3易伤4等级5毒气减费69敌人爆炸7时间8a核
29	66116 31212	   	270.43	橙橙1易伤1等级1暴击	1暴击2易伤39低血量敌人4等级5毒气减费6敌人爆炸7时间8a核
30	12145 31342	   	270.33	橙橙1易伤1等级1暴击	13低血量敌人2暴击4风暴减费5等级6易伤7a核8挖尘9时间
31	12411 11212	   	270.33	橙橙1易伤1等级1暴击	19低血量敌人2暴击3易伤4等级5雷电减费6毒气减费7时间8a核
32	12416 21342	   	270.33	橙橙1易伤1等级1暴击	1低血量敌人2暴击3易伤4等级5毒气减费6立即金币7a核8挖尘9时间
33	64411 11232	   	270.33	橙橙1易伤1等级1暴击	1暴击29敌人爆炸3易伤4等级5雷电减费6毒气减费7时间8a核
34	66111 11212	   	270.33	橙橙1易伤1等级1暴击	1暴击2易伤39低血量敌人4等级5雷电减费6毒气减费7时间8a核
35	66211 11232	   	270.33	橙橙1易伤1等级1暴击	1暴击2易伤39敌人爆炸4等级5雷电减费6毒气减费7时间8a核
36	66211 11242	   	270.33	橙橙1易伤1等级1暴击	1暴击2易伤3敌人爆炸4等级5雷电减费6毒气减费7时间8a核9立即金币
37	31533 12345	 * 	270.18	橙2易伤2矿等2等级1技能	18随机矿2技能39易伤4烈焰减费59等级6赏金邻近79矿等9序列升级a核
38	44211 41313	 * 	269.59	橙橙1易伤1矿等1伤害	1赏金塔2加农对壮3随机技能4易伤5伤害6策反7a核8金币生成9矿等
39	12315 24411	   	268.63	橙橙1等级1技能1攻速1暴击	1低血量敌人2暴击3赏金邻近4等级5攻速6时间7a核8毒液对黄9技能
40	31213 23664	   	268.63	橙橙1等级1技能1攻速1暴击	1随机矿2技能3攻速4策反5等级6时间7火球减费8暴击9a核
41	21215 24411	   	268.53	橙橙1等级1技能1攻速1暴击	1雷电减费2赏金塔3暴击4等级5攻速6时间7a核8导弹对绿9技能
42	12411 56232	 * 	268.44	橙橙1易伤1等级2暴击	1低血量敌人27暴击3易伤4等级5雷电减费6最后敌人8a核9立即金币
43	12414 53312	   	268.44	橙橙1易伤1等级2暴击	19低血量敌人28暴击3易伤4等级5基地爆炸6最后敌人7a核
44	63422 23312	   	268.44	橙橙1易伤1等级2暴击	17暴击2最后敌人3易伤4基地爆炸59低血量敌人6a核8等级
45	63422 23342	   	268.44	橙橙1易伤1等级2暴击	17暴击2最后敌人3易伤4基地爆炸5低血量敌人6a核8等级9立即金币
46	64422 23312	   	268.44	橙橙1易伤1等级2暴击	17暴击2敌人爆炸3易伤4基地爆炸59低血量敌人6a核8等级
47	66211 53332	   	268.44	橙橙1易伤1等级2暴击	18暴击2易伤39敌人爆炸4等级5雷电减费6最后敌人7a核
48	66222 23312	   	268.44	橙橙1易伤1等级2暴击	17暴击2易伤3敌人爆炸4基地爆炸59低血量敌人6a核8等级
49	66222 23342	   	268.44	橙橙1易伤1等级2暴击	17暴击2易伤3敌人爆炸4基地爆炸5低血量敌人6a核8等级9立即金币
50	12411 36212	   	268.34	橙橙1易伤1等级2暴击	19低血量敌人27暴击3易伤4等级5雷电减费6挖尘8a核
51	12411 36242	   	268.34	橙橙1易伤1等级2暴击	1低血量敌人27暴击3易伤4等级5雷电减费6挖尘8a核9立即金币
52	12414 16212	   	268.34	橙橙1易伤1等级2暴击	19低血量敌人27暴击3易伤4等级5基地爆炸6雷电减费8a核
53	12414 36212	   	268.34	橙橙1易伤1等级2暴击	19低血量敌人27暴击3易伤4等级5基地爆炸6挖尘8a核
54	66111 36212	   	268.34	橙橙1易伤1等级2暴击	17暴击2易伤39低血量敌人4等级5雷电减费6挖尘8a核
55	12411 33312	   	268.34	橙橙1易伤1等级2暴击	19低血量敌人28暴击3易伤4等级5雷电减费6挖尘7a核
56	12411 33342	   	268.34	橙橙1易伤1等级2暴击	1低血量敌人28暴击3易伤4等级5雷电减费6挖尘7a核9立即金币
57	12414 13312	   	268.34	橙橙1易伤1等级2暴击	19低血量敌人28暴击3易伤4等级5基地爆炸6雷电减费7a核
58	12414 13342	   	268.34	橙橙1易伤1等级2暴击	1低血量敌人28暴击3易伤4等级5基地爆炸6雷电减费7a核9立即金币
59	12414 33312	   	268.34	橙橙1易伤1等级2暴击	19低血量敌人28暴击3易伤4等级5基地爆炸6挖尘7a核
60	12414 33342	   	268.34	橙橙1易伤1等级2暴击	1低血量敌人28暴击3易伤4等级5基地爆炸6挖尘7a核9立即金币
61	23556 23312	   	268.34	橙橙1易伤1等级2暴击	1雷电减费2基地爆炸3易伤49低血量敌人57暴击6a核8等级
62	63411 33342	   	268.34	橙橙1易伤1等级2暴击	18暴击2最后敌人3易伤4等级5雷电减费6挖尘7a核9立即金币
63	66111 33312	   	268.34	橙橙1易伤1等级2暴击	18暴击2易伤39低血量敌人4等级5雷电减费6挖尘7a核
64	66111 33342	   	268.34	橙橙1易伤1等级2暴击	18暴击2易伤3低血量敌人4等级5雷电减费6挖尘7a核9立即金币
65	66114 13312	   	268.34	橙橙1易伤1等级2暴击	18暴击2易伤39低血量敌人4等级5基地爆炸6雷电减费7a核
66	66114 33312	   	268.34	橙橙1易伤1等级2暴击	18暴击2易伤39低血量敌人4等级5基地爆炸6挖尘7a核
67	66211 33342	   	268.34	橙橙1易伤1等级2暴击	18暴击2易伤3敌人爆炸4等级5雷电减费6挖尘7a核9立即金币
68	23556 23112	   	268.24	橙橙1易伤1等级2暴击	1雷电减费28基地爆炸3易伤4低血量敌人57暴击6a核9等级
69	35326 32121	 * 	266.83	橙3矿等2易伤1技能1暴击	1随机矿2暴击369矿等4随机技能5a易伤7技能8核
70	62326 32121	   	266.83	橙3矿等2易伤1技能1暴击	1暴击2随机矿369矿等4随机技能5a易伤7技能8核
