0	Index      	 *	Score 	Summary	Detail	
1	52324 32111	 * 	303.44	橙橙2等级1易伤1矿等2时间	1平台25时间35等级4随机矿5序列升级6a核7矿等8赏金塔9易伤
2	14323 14521	   	295.85	橙橙1易伤1等级1伤害1暴击	1暴雪减费2基地爆炸3时间4等级5伤害6全技能78核9暴击a易伤
3	41633 32213	   	292.08	橙橙1易伤1矿等1伤害1攻速1暴击	1伤害2敌人爆炸3矿等4攻速5暴击69核7双倍秒伤8策反a易伤
4	41633 36111	   	292.08	橙橙1易伤1矿等1伤害1攻速1暴击	1伤害2敌人爆炸3矿等4攻速5暴击6a核7基地爆炸8赏金塔9易伤
5	11411 61111	 * 	291.47	橙橙3矿等1易伤	1暴雪减费257矿等3双倍矿4赏金邻近6a核8平台9易伤
6	11611 61111	   	291.37	橙橙3矿等1易伤	1暴雪减费257矿等3风暴减费4赏金邻近6a核8平台9易伤
7	52323 32111	   	289.17	橙橙1易伤1等级1矿等2时间	1平台25时间3等级4随机矿6a核7矿等8赏金塔9易伤
8	14323 14511	   	289.14	橙橙1易伤1等级1伤害	1暴雪减费2基地爆炸3时间4等级5伤害6全技能78核9随机技能a易伤
9	51324 32111	   	288.58	橙橙2等级1易伤1矿等	1平台25低血量敌人35等级4随机矿5序列升级6a核7矿等8赏金塔9易伤
10	31211 66112	 * 	285.37	橙橙2易伤1等级1暴击	1额外掉落29易伤3平台4多重对愈5暴击6等级7a核8加一
11	65313 13211	   	282.52	橙橙1易伤1等级1矿等	1双倍秒伤2时间3等级4矿等5平台6a核7技能点8低血量敌人9易伤
12	12511 34212	   	282.52	橙橙1易伤1等级1矿等	1暴雪减费2最后敌人3时间4平台5易伤69核7等级8策反a矿等
13	25253 13521	   	281.33	橙橙3矿等1暴击	1时间2赏金塔3策反4核弹5暴击6a核789矿等
14	33162 33543	   	280.23	橙橙2易伤1等级	1额外掉落2随机矿37易伤4敌人爆炸5等级6时间89核a金币生成
15	33332 53543	   	280.23	橙橙2易伤1等级	1额外掉落2随机矿3时间4敌人爆炸5等级67易伤89核a金币生成
16	56153 12211	   	280.23	橙橙2易伤1等级	1平台2金币生成39易伤4时间5赏金邻近6a核7等级8随机矿
17	12511 34213	   	280.13	橙橙2易伤1等级	1暴雪减费2最后敌人3时间4平台5a易伤69核7等级8策反
18	33162 33541	   	280.13	橙橙2易伤1等级	1额外掉落2随机矿37易伤4敌人爆炸5等级6时间89核a风暴减费
19	33162 33542	   	280.13	橙橙2易伤1等级	1额外掉落2随机矿37易伤4敌人爆炸5等级6时间89核a挖尘
20	33332 53541	   	280.13	橙橙2易伤1等级	1额外掉落2随机矿3时间4敌人爆炸5等级67易伤89核a风暴减费
21	33332 53542	   	280.13	橙橙2易伤1等级	1额外掉落2随机矿3时间4敌人爆炸5等级67易伤89核a挖尘
22	33132 63543	   	280.13	橙橙2易伤1等级	1额外掉落2随机矿37易伤4挖尘5等级6时间89核a最后敌人
23	33322 53543	   	280.13	橙橙2易伤1等级	1额外掉落2随机矿3时间4挖青5等级67易伤89核a金币生成
24	33132 63541	   	280.03	橙橙2易伤1等级	1额外掉落2随机矿37易伤4挖尘5等级6时间89核a风暴减费
25	33132 63542	   	280.03	橙橙2易伤1等级	1额外掉落2随机矿37易伤4a挖尘5等级6时间89核
26	33322 53541	   	280.03	橙橙2易伤1等级	1额外掉落2随机矿3时间4挖青5等级67易伤89核a风暴减费
27	33322 53542	   	280.03	橙橙2易伤1等级	1额外掉落2随机矿3时间4挖青5等级67易伤89核a挖尘
28	26322 26611	   	278.35	橙橙2等级1矿等1暴击	1时间2金币生成34等级5赏金邻近6暴击7a核8矿等9寒冰对冰
29	26322 26621	   	278.25	橙橙2等级1矿等1暴击	1时间2金币生成34等级5赏金邻近6暴击7a核8矿等9加农对甲
30	41633 32316	   	276.88	橙橙1矿等1伤害1技能1攻速1暴击	1伤害2敌人爆炸3矿等4攻速5暴击6a核7双倍秒伤8随机矿9技能
31	41633 32214	 * 	274.57	橙橙2攻速1矿等1伤害1暴击	1伤害2敌人爆炸3矿等4a攻速5暴击69核7双倍秒伤8策反
32	55122 13521	   	274.23	橙橙3矿等2时间	1平台2赏金塔34时间5暴雪减费6a核789矿等
33	12211 34212	   	274.21	橙橙1易伤1等级1矿等	1暴雪减费2最后敌人3敌人爆炸4平台5易伤69核7等级8策反a矿等
34	63313 13211	   	274.11	橙橙1易伤1等级1矿等	1双倍秒伤2基地爆炸3等级4矿等5平台6a核7技能点8低血量敌人9易伤
35	64313 13211	   	274.11	橙橙1易伤1等级1矿等	1双倍秒伤2低血量敌人3等级4矿等5平台6a核7技能点8挖青9易伤
36	64313 13311	   	274.11	橙橙1易伤1等级1矿等	1双倍秒伤2低血量敌人3等级4矿等5平台6a核7技能点8基地爆炸9易伤
37	66313 13211	   	274.11	橙橙1易伤1等级1矿等	1双倍秒伤2挖尘3等级4矿等5平台6a核7技能点8低血量敌人9易伤
