0	Index      	 *	Score 	Summary	Detail	
1	32322 57146	 * 	299.62	橙橙2易伤1等级2时间	18时间2加一3全技能46易伤56暴雪减费6序列升级7等级9a核
2	32324 48346	 * 	293.83	橙橙2易伤1矿等2时间	16时间2加一3全技能47易伤5最后敌人8矿等9a核
3	32328 48346	   	293.83	橙橙2易伤1矿等2时间	16时间2加一3全技能47易伤5敌人爆炸8矿等9a核
4	32322 38346	   	287.18	橙橙2易伤1矿等	1时间2加一3全技能47易伤5暴雪减费6敌人爆炸8矿等9a核
5	32324 18346	   	287.18	橙橙2易伤1矿等	1时间2加一3全技能47易伤5最后敌人6暴雪减费8矿等9a核
6	32328 18346	   	287.18	橙橙2易伤1矿等	1时间2加一3全技能47易伤5敌人爆炸6暴雪减费8矿等9a核
7	32322 28346	   	287.08	橙橙2易伤1矿等	1时间2加一3全技能47易伤5暴雪减费6基地爆炸8矿等9a核
8	33513 33114	 * 	285.99	橙3矿等2易伤1等级1攻速	1时间27a矿等3敌人爆炸49易伤5攻速6核8等级
9	32328 47146	   	278.19	橙橙1易伤1等级2时间2全技能	16时间2加一38全技能4易伤5敌人爆炸7等级9a核
10	32326 74146	   	278.09	橙橙1易伤1等级2时间2全技能	17时间2加一38全技能4易伤5等级6基地爆炸9a核
11	25222 53337	 * 	277.67	橙2易伤2伤害1等级1矿等1技能	1全技能26易伤36伤害4技能5加一6序列升级7低血量敌人8矿等9核a等级
12	42431 41133	 * 	274.12	橙橙1易伤2攻速2暴击	16攻速28暴击3基地爆炸4金币生成5易伤7a核9随机技能
13	33513 33134	 * 	272.50	橙3矿等1易伤1等级2攻速	1时间27a矿等3敌人爆炸4易伤59攻速6核8等级
14	32328 47346	   	271.64	橙橙1易伤1等级2时间	16时间2加一3全技能4易伤5敌人爆炸7等级8双倍矿9a核
15	32322 37146	   	271.54	橙橙1易伤1等级2全技能	1时间2加一38全技能4易伤5暴雪减费6敌人爆炸7等级9a核
16	32322 37846	   	271.54	橙橙1易伤1等级2时间	18时间2加一3全技能4易伤5暴雪减费6敌人爆炸7等级9a核
17	32324 17146	   	271.54	橙橙1易伤1等级2时间	18时间2加一3全技能4易伤5最后敌人6暴雪减费7等级9a核
18	32324 47246	   	271.54	橙橙1易伤1等级2时间	16时间2加一3全技能4易伤5最后敌人7等级8风暴减费9a核
19	32326 35146	   	271.54	橙橙1易伤1等级2全技能	1时间2加一38全技能4易伤5等级6暴雪减费7敌人爆炸9a核
20	32326 64246	   	271.54	橙橙1易伤1等级2时间	17时间2加一3全技能4易伤5等级6最后敌人8风暴减费9a核
21	32326 74346	   	271.54	橙橙1易伤1等级2时间	17时间2加一3全技能4易伤5等级6基地爆炸8双倍矿9a核
22	32328 17146	   	271.54	橙橙1易伤1等级2全技能	1时间2加一38全技能4易伤5敌人爆炸6暴雪减费7等级9a核
23	32322 27146	   	271.44	橙橙1易伤1等级2全技能	1时间2加一38全技能4易伤5暴雪减费6基地爆炸7等级9a核
24	32326 31146	   	271.44	橙橙1易伤1等级2全技能	1时间2加一38全技能4易伤5等级6暴雪减费7基地爆炸9a核
25	32323 42513	 * 	271.15	紫橙1易伤1等级1矿等1技能	1时间2加一3全技能4易伤59核6矿等7技能8平台a等级
26	33513 33115	   	270.11	橙2易伤2矿等1等级1攻速2时间	1a时间27矿等3敌人爆炸49易伤5攻速6核8等级
