0	Index      	 *	Score 	Summary	Detail	
1	24423 15561	 * 	309.70	橙橙2易伤1等级1矿等	1加一28易伤3矿等4随机技能5雷电6等级7赏金塔9a核
2	24423 14661	 * 	305.81	橙橙2矿等1易伤1等级	1加一2易伤37矿等4随机技能5雷电6等级8赏金邻近9a核
3	24421 12216	 * 	303.79	橙2易伤2矿等2等级1伤害1技能2随机技能	1加一28易伤36矿等48随机技能58等级7技能8序列升级9伤害a核
4	25541 12216	   	303.79	橙2易伤2矿等2等级1伤害1技能2随机技能	1加一28随机技能36矿等48易伤58等级7技能8序列升级9伤害a核
5	24233 71883	 * 	303.16	橙橙2易伤2矿等	1加一27易伤35寒冰对甲45矿等5序列升级69核8挖尘a时间
6	24233 73386	   	298.97	橙橙2矿等1易伤1等级	1加一2易伤35寒冰对甲45矿等5序列升级69核7低血量敌人8金币生成a等级
7	24233 38386	   	298.87	橙橙2矿等1易伤1等级	1加一2易伤35寒冰对甲45矿等5序列升级6挖青79核8金币生成a等级
8	24263 74354	   	296.62	橙橙2易伤1等级1伤害	1加一24易伤3寒冰对甲5等级6a核7赏金塔8伤害9雷电
9	24234 68382	   	295.22	橙橙2易伤1矿等1攻速	1加一26易伤3寒冰对甲4矿等5时间79核8随机矿a攻速
10	24233 71881	   	294.85	橙橙2易伤2矿等	1加一27易伤35寒冰对甲45矿等5序列升级69核8挖尘a低血量敌人
11	24233 71882	   	294.85	橙橙2易伤2矿等	1加一27易伤35寒冰对甲45矿等5序列升级69核8挖尘a立即金币
12	24233 71884	   	294.85	橙橙2易伤2矿等	1加一27易伤35寒冰对甲45矿等5序列升级69核8挖尘a最后敌人
13	51613 36111	 * 	294.33	橙4易伤2等级2攻速1技能	1额外掉落278a易伤3平台48攻速58等级6技能8序列升级9核
14	24415 14182	 * 	293.54	橙3易伤2矿等2等级1技能	1加一26a易伤36矿等4技能5赏金塔6a序列升级7a掉矿8核9a等级
15	24263 73382	   	292.81	橙橙2易伤1等级1攻速	1加一24易伤3寒冰对甲5等级69核7低血量敌人8金币生成a攻速
16	24263 38382	   	292.71	橙橙2易伤1等级1攻速	1加一24易伤3寒冰对甲5等级6挖青79核8金币生成a攻速
17	24481 41861	   	291.70	橙3易伤2矿等2等级2时间	1加一279易伤37矿等49时间5基地爆炸67等级79序列升级89金币生成a核
18	24238 74354	   	290.73	橙橙2易伤1矿等1伤害	1加一25易伤3寒冰对甲4矿等6a核7赏金塔8伤害9雷电
19	24234 38386	   	289.54	橙橙1易伤1等级1矿等2时间	1加一2易伤3寒冰对甲4矿等56时间79核8随机矿a等级
20	24233 74354	   	286.94	橙橙2矿等1易伤1伤害	1加一2易伤35寒冰对甲45矿等5序列升级6a核7赏金塔8伤害9雷电
21	24238 73382	   	286.92	橙橙2易伤1矿等1攻速	1加一25易伤3寒冰对甲4矿等69核7低血量敌人8金币生成a攻速
22	24238 38382	   	286.82	橙橙2易伤1矿等1攻速	1加一25易伤3寒冰对甲4矿等6挖青79核8金币生成a攻速
23	24463 74354	   	286.74	橙橙2矿等1易伤1伤害	1加一2易伤35矿等45基础对冰5序列升级6a核7赏金塔8伤害9雷电
24	24234 68384	   	285.91	橙橙2易伤1矿等	1加一26易伤3寒冰对甲4矿等5时间79核8随机矿a随机技能
25	24431 81661	   	285.05	橙3易伤2矿等2等级	1加一279易伤37矿等49金币生成5时间67基地爆炸79序列升级89等级a核
26	24481 31671	 * 	284.97	橙2易伤2矿等2伤害1等级	1加一27易伤37矿等4时间5基地爆炸67伤害7序列升级8等级9最后敌人a核
27	24485 31121	   	284.97	橙2易伤2矿等2伤害1等级	1加一27易伤37矿等4时间5敌人爆炸67伤害7序列升级8挖青9等级a核
28	24481 31121	   	284.87	橙2易伤2矿等2伤害1等级	1加一27易伤37矿等4时间5基地爆炸67伤害7序列升级8挖青9等级a核
29	11433 32351	   	283.73	橙橙1等级1矿等1伤害1技能	1赏金邻近2随机技能3敌人爆炸4伤害5雷电6技能7等级8矿等9a核
30	24263 73831	   	283.68	橙3易伤2矿等2等级	1加一24a易伤3寒冰对甲5a等级6核7低血量敌人8随机技能9a矿等a序列升级
31	24263 73384	   	283.49	橙橙2易伤1等级	1加一24易伤3寒冰对甲5等级69核7低血量敌人8金币生成a随机技能
32	24743 13661	   	283.49	橙橙2易伤1等级	1加一27易伤3随机技能4金币生成5雷电6等级8赏金邻近9a核
33	24263 38384	   	283.39	橙橙2易伤1等级	1加一24易伤3寒冰对甲5等级6挖青79核8金币生成a随机技能
34	24121 43661	   	283.39	橙橙2易伤1等级	1加一27易伤3掉矿4随机技能5等级6雷电8赏金邻近9a核
35	24121 47561	   	283.39	橙橙2易伤1等级	1加一28易伤3掉矿4随机技能5等级6雷电7赏金邻近9a核
36	24123 13661	   	283.39	橙橙2易伤1等级	1加一27易伤3掉矿4随机技能5雷电6等级8赏金邻近9a核
37	24123 17561	   	283.39	橙橙2易伤1等级	1加一28易伤3掉矿4随机技能5雷电6等级7赏金邻近9a核
38	24711 43661	   	283.39	橙橙2易伤1等级	1加一27易伤3随机技能4掉矿5等级6雷电8赏金邻近9a核
39	24713 13661	   	283.39	橙橙2易伤1等级	1加一27易伤3随机技能4掉矿5雷电6等级8赏金邻近9a核
40	24233 73382	   	283.12	橙橙2矿等1易伤1攻速	1加一2易伤35寒冰对甲45矿等5序列升级69核7低血量敌人8金币生成a攻速
41	24233 78382	   	283.12	橙橙2矿等1易伤1攻速	1加一2易伤35寒冰对甲45矿等5序列升级69核7最后敌人8金币生成a攻速
42	24233 38382	   	283.02	橙橙2矿等1易伤1攻速	1加一2易伤35寒冰对甲45矿等5序列升级6挖青79核8金币生成a攻速
43	24233 75382	   	283.02	橙橙2矿等1易伤1攻速	1加一2易伤35寒冰对甲45矿等5序列升级69核7挖尘8金币生成a攻速
44	24463 73382	   	282.92	橙橙2矿等1易伤1攻速	1加一2易伤35矿等45基础对冰5序列升级69核7低血量敌人8金币生成a攻速
45	24463 38382	   	282.82	橙橙2矿等1易伤1攻速	1加一2易伤35矿等45基础对冰5序列升级6挖青79核8金币生成a攻速
46	24423 15161	   	281.62	橙橙1易伤1等级1矿等	1加一2易伤3矿等4随机技能5雷电6等级7赏金塔8立即金币9a核
47	24142 14835	 * 	281.27	紫橙3易伤2矿等	1加一24a易伤36掉矿59核7a矿等8a策反a序列升级
48	51643 31111	 * 	281.00	橙3易伤2等级2伤害1技能	1额外掉落28a易伤37平台48伤害58等级6技能8序列升级9核
