0	Index      	 *	Score 	Summary	Detail	
1	36232 13625	 * 	282.24	橙橙2易伤1伤害1攻速	1基地爆炸2技能3掉矿4伤害5金币生成6a易伤7攻速89核
2	13332 53625	   	271.80	橙橙1易伤1伤害1矿等1攻速	1最后敌人2技能3矿等4伤害5金币生成6基地爆炸7攻速89核a易伤
3	65242 32222	   	271.70	橙橙1易伤1伤害1矿等1攻速	1易伤2矿等3掉矿4赏金邻近5技能69核7攻速8伤害a金币生成
4	65242 32223	   	271.70	橙橙1易伤1伤害1矿等1攻速	1易伤2矿等3掉矿4赏金邻近5技能69核7攻速8伤害a最后敌人
5	36232 13621	   	271.70	橙橙1易伤1伤害1矿等1攻速	1基地爆炸2技能3掉矿4伤害5金币生成6易伤7攻速89核a矿等
6	65242 32221	   	271.60	橙橙1易伤1伤害1矿等1攻速	1易伤2矿等3掉矿4赏金邻近5技能69核7攻速8伤害a挖尘
7	64332 51221	   	268.59	橙橙2易伤1伤害	12易伤38基地爆炸4伤害5金币生成6a核7立即金币9喷火对黄
8	36232 13623	   	267.81	橙橙1易伤1伤害1攻速1暴击	1基地爆炸2技能3掉矿4伤害5金币生成6易伤7攻速89核a暴击
9	23232 64214	   	267.61	橙橙1易伤1伤害1矿等1平台	1散射对甲2伤害3易伤4加一5最后敌人6平台7a核8金币生成9矿等
10	23235 64214	   	267.61	橙橙1易伤1伤害1矿等1平台	1散射对甲2伤害3易伤4加一5低血量敌人6平台7a核8金币生成9矿等
11	62322 22662	 * 	266.52	紫橙2易伤2矿等1暴击	19易伤2挖尘39矿等48核5暴击6技能点79雷电9序列升级a喷火对愈
12	62322 22663	   	266.52	紫橙2易伤2矿等1暴击	19易伤2挖尘39矿等48核5暴击6技能点79雷电9序列升级a敌人爆炸
13	62322 22661	   	266.42	紫橙2易伤2矿等1暴击1挖怪	19易伤2挖尘39矿等48核5暴击6技能点79雷电9序列升级a挖怪
14	24232 43682	 * 	266.21	橙橙3攻速1易伤	1散射对甲2易伤389攻速4加一5最后敌人6时间7a核
15	64231 32622	 * 	265.01	橙4易伤2攻速1伤害2时间	1289易伤38时间4伤害5额外掉落6电塔对黄78攻速8序列升级a核
16	64232 12411	 * 	262.84	橙3易伤2伤害2矿等	126易伤3时间4a伤害57矿等8额外掉落9核
17	23232 46834	   	262.13	橙橙1易伤1伤害1暴击1策反	1散射对甲2伤害3易伤4加一5最后敌人6时间7策反8a核9暴击
18	23235 46834	   	262.13	橙橙1易伤1伤害1暴击1策反	1散射对甲2伤害3易伤4加一5低血量敌人6时间7策反8a核9暴击
19	63324 14112	 * 	261.65	橙4易伤2矿等2时间1平台	157a易伤2技能3双倍秒伤4a矿等6a时间8核9平台a序列升级
20	24232 64214	   	261.19	橙橙1易伤1矿等1攻速1平台	1散射对甲2易伤3攻速4加一5最后敌人6平台7a核8金币生成9矿等
21	24235 64214	   	261.19	橙橙1易伤1矿等1攻速1平台	1散射对甲2易伤3攻速4加一5低血量敌人6平台7a核8金币生成9矿等
22	12323 43235	 * 	260.28	紫橙2伤害1易伤1矿等1暴击	1最后敌人2挖尘3矿等48核5双倍秒伤6暴击79伤害a易伤
23	42323 43235	   	260.28	紫橙2伤害1易伤1矿等1暴击	1低血量敌人2挖尘3矿等48核5双倍秒伤6暴击79伤害a易伤
24	32263 31363	   	259.94	橙橙1易伤1矿等1暴击	1基地爆炸2易伤3敌人爆炸4时间5双倍秒伤6暴击7矿等8a核9喷火对愈
25	32263 31323	   	259.84	橙橙1易伤1矿等1暴击	1基地爆炸2易伤3敌人爆炸4时间5双倍秒伤6暴击7矿等8a核9爆破对冰
26	62263 31363	   	259.84	橙橙1易伤1矿等1暴击	1易伤2挖尘3敌人爆炸4时间5双倍秒伤6暴击7矿等8a核9喷火对愈
27	62263 31323	   	259.74	橙橙1易伤1矿等1暴击	1易伤2挖尘3敌人爆炸4时间5双倍秒伤6暴击7矿等8a核9爆破对冰
28	23232 43865	   	258.38	橙橙1易伤1伤害1平台	1散射对甲2伤害3易伤4加一5最后敌人6时间7a核8平台9赏金邻近
29	26235 13164	   	258.09	橙橙2易伤1平台	1散射对甲2随机矿39易伤4加一5低血量敌人6金币生成7a核8平台
30	23234 53714	 * 	257.80	橙橙2伤害1易伤	1散射对甲25伤害3易伤4加一6敌人爆炸7a核8挖尘9掉矿
31	23234 73714	   	257.80	橙橙2伤害1易伤	1散射对甲25伤害3易伤4加一6低血量敌人7a核8挖尘9掉矿
32	23231 63714	   	257.75	橙橙1易伤1伤害1矿等	1散射对甲2伤害3易伤4加一5等级6矿等7a核8挖尘9掉矿
33	26234 63714	   	257.75	橙橙1易伤1伤害1矿等	1散射对甲2随机矿3易伤4加一5伤害6矿等7a核8挖尘9掉矿
34	63321 61236	 * 	257.09	橙4易伤2矿等1伤害	1678易伤2技能3双倍秒伤47矿等5赏金邻近7序列升级9伤害a核
35	64232 13142	   	255.74	橙3易伤2攻速1伤害1矿等	126易伤3时间4伤害5矿等7随机矿8a攻速9核
36	24232 43334	   	255.71	橙橙1易伤1攻速1暴击1策反	1散射对甲2易伤3攻速4加一5最后敌人6时间7a核8策反9暴击
37	24235 44334	   	255.71	橙橙1易伤1攻速1暴击1策反	1散射对甲2易伤3攻速4加一5低血量敌人6时间7a核8策反9暴击
38	64332 12141	   	255.13	橙4易伤1伤害1矿等1攻速	126a易伤3基地爆炸4伤害5金币生成7矿等8攻速9核
39	66332 12141	   	255.13	橙4易伤1伤害1矿等1攻速	136a易伤2敌人爆炸4伤害5金币生成7矿等8攻速9核
40	64232 12216	   	254.91	橙3易伤2矿等1伤害1平台	126易伤3时间4伤害57矿等8低血量敌人9平台a核
41	23234 48381	 * 	254.37	橙3易伤3伤害1矿等	1散射对甲256伤害36a易伤4加一6序列升级7矿等8双倍物品9核
42	36232 13622	   	254.16	橙橙1易伤1伤害1攻速	1基地爆炸2技能3掉矿4伤害5金币生成6易伤7攻速89核a最后敌人
43	36232 13624	   	254.16	橙橙1易伤1伤害1攻速	1基地爆炸2技能3掉矿4伤害5金币生成6易伤7攻速89核a双倍矿
44	63245 32222	   	254.16	橙橙1易伤1伤害1攻速	1易伤2技能3掉矿4赏金邻近5随机矿69核7攻速8伤害a金币生成
45	63245 32223	   	254.16	橙橙1易伤1伤害1攻速	1易伤2技能3掉矿4赏金邻近5随机矿69核7攻速8伤害a最后敌人
46	63244 32222	   	254.06	橙橙1易伤1伤害1攻速	1易伤2技能3掉矿4赏金邻近5技能点69核7攻速8伤害a金币生成
47	63244 32223	   	254.06	橙橙1易伤1伤害1攻速	1易伤2技能3掉矿4赏金邻近5技能点69核7攻速8伤害a最后敌人
48	23232 72834	   	254.06	橙橙1易伤1伤害1暴击	1散射对甲2伤害3易伤4加一5最后敌人6技能7低血量敌人8a核9暴击
49	23235 72834	   	254.06	橙橙1易伤1伤害1暴击	1散射对甲2伤害3易伤4加一5低血量敌人6技能7最后敌人8a核9暴击
50	36232 13626	   	254.06	橙橙1易伤1伤害1攻速	1基地爆炸2技能3掉矿4伤害5金币生成6易伤7攻速89核a双倍秒伤
51	63245 32221	   	254.06	橙橙1易伤1伤害1攻速	1易伤2技能3掉矿4赏金邻近5随机矿69核7攻速8伤害a挖尘
52	63244 32221	   	253.96	橙橙1易伤1伤害1攻速	1易伤2技能3掉矿4赏金邻近5技能点69核7攻速8伤害a挖尘
53	32352 13521	   	252.95	橙3易伤1伤害1矿等1攻速1全技能	1基地爆炸25a易伤3矿等4全技能6时间7攻速8核9伤害
54	32353 13521	   	252.95	橙3易伤1伤害1矿等1攻速1全技能	1基地爆炸26a易伤3矿等4全技能5攻速7时间8核9伤害
55	62352 13521	   	252.85	橙3易伤1伤害1矿等1攻速1全技能	15a易伤2挖尘3矿等4全技能6时间7攻速8核9伤害
