0	Index      	 *	Score 	Summary	Detail	
1	35113 41336	 * 	276.65	紫橙2易伤1伤害1攻速1暴击1全技能	1技能点29易伤3伤害4攻速5a核6低血量敌人7暴击8全技能
2	11154 13333	 * 	266.25	橙4易伤2伤害2时间1平台	1a时间2金币生成3a伤害4赏金塔578a易伤6平台9核a序列升级
3	11614 13333	   	266.25	橙4易伤2伤害2时间1平台	1a时间2金币生成3赏金邻近4a伤害578a易伤6平台9核a序列升级
4	16121 11314	 * 	266.25	橙橙1易伤1伤害1矿等	1时间2雷电3基地爆炸4易伤5挖青68核7电塔对黄9矿等a伤害
5	22515 11361	   	266.25	橙橙1易伤1伤害1矿等	1双倍秒伤2矿等3雷电4时间5金币生成68核7电塔对黄9易伤a伤害
6	35113 41316	 * 	266.16	紫橙2伤害1易伤1攻速1暴击1全技能	1技能点2易伤39伤害4攻速5a核6低血量敌人7暴击8全技能
7	13326 36223	 * 	263.38	橙橙2易伤2时间	12时间3掉矿4低血量敌人5随机矿67核8a易伤9敌人爆炸
8	13335 36233	   	263.38	橙橙2易伤2时间	12时间3掉矿4随机矿5敌人爆炸67核8a易伤9金币生成
9	13335 36263	   	263.38	橙橙2易伤2时间	12时间3掉矿4随机矿5敌人爆炸67核8a易伤9低血量敌人
10	13326 36233	   	263.28	橙橙2易伤2时间	12时间3掉矿4低血量敌人5随机矿67核8a易伤9挖尘
11	16121 11363	   	263.28	橙橙2易伤2时间	1a时间2雷电3基地爆炸49易伤5挖青68核7电塔对黄
12	35133 41336	   	262.90	紫橙2易伤1伤害1暴击1全技能	1技能点29易伤3伤害4核弹5a核6低血量敌人7暴击8全技能
13	16121 11331	   	262.37	橙橙1易伤1伤害1攻速	1时间2雷电3基地爆炸4易伤5挖青68核7电塔对黄9攻速a伤害
14	13326 36342	 * 	260.38	橙橙1易伤3时间1伤害	129时间3掉矿4低血量敌人5随机矿67核8伤害a易伤
15	16121 11311	   	259.84	橙橙1易伤1矿等1攻速	1时间2雷电3基地爆炸4易伤5挖青68核7电塔对黄9矿等a攻速
16	32514 13333	   	259.51	橙4易伤2伤害1平台	1a技能点2赏金塔3时间4a伤害578a易伤6平台9核a序列升级
17	13313 76643	   	258.52	橙橙1易伤2时间1暴击1平台	12时间3掉矿4平台5加一6暴击7金币生成8易伤9a核
18	22325 11361	   	257.85	橙橙1易伤1伤害1矿等	1双倍秒伤2矿等3挖尘4随机矿5雷电68核7机枪对壮9易伤a伤害
19	16121 11361	   	256.73	橙橙2易伤	1时间2雷电3基地爆炸49易伤5挖青68核7电塔对黄a技能
20	16121 11362	   	256.73	橙橙2易伤	1时间2雷电3基地爆炸49易伤5挖青68核7电塔对黄a敌人爆炸
21	16121 11366	   	256.73	橙橙2易伤	1时间2雷电3基地爆炸49易伤5挖青68核7电塔对黄a随机矿
22	16121 11343	   	255.96	橙橙1易伤1攻速1暴击	1时间2雷电3基地爆炸4易伤5挖青68核7电塔对黄9暴击a攻速
23	22515 11363	   	255.85	橙橙1易伤1矿等1全技能	1双倍秒伤2矿等3雷电4时间5金币生成68核7电塔对黄9易伤a全技能
24	13326 36216	   	255.37	橙橙1易伤1伤害2时间	12时间3掉矿4低血量敌人5随机矿67核8易伤9赏金塔a伤害
25	13326 36325	   	255.37	橙橙1易伤1伤害2时间	12时间3掉矿4低血量敌人5随机矿67核8伤害9金币生成a易伤
26	13326 36335	   	255.37	橙橙1易伤1伤害2时间	12时间3掉矿4低血量敌人5随机矿67核8伤害9技能a易伤
27	13335 36216	   	255.37	橙橙1易伤1伤害2时间	12时间3掉矿4随机矿5敌人爆炸67核8易伤9赏金塔a伤害
28	13335 36325	   	255.37	橙橙1易伤1伤害2时间	12时间3掉矿4随机矿5敌人爆炸67核8伤害9金币生成a易伤
29	13335 36335	   	255.37	橙橙1易伤1伤害2时间	12时间3掉矿4随机矿5敌人爆炸67核8伤害9技能a易伤
30	13511 11361	   	255.27	橙橙1易伤1伤害2时间	12时间3双倍秒伤4雷电5低血量敌人68核7爆破对壮9易伤a伤害
31	13525 11361	   	255.27	橙橙1易伤1伤害2时间	12时间3双倍秒伤4敌人爆炸5雷电68核7爆破对壮9易伤a伤害
32	21315 11361	   	255.27	橙橙1易伤1伤害2时间	1双倍秒伤24时间3基地爆炸5雷电68核7爆破对壮9易伤a伤害
33	21411 11361	   	255.27	橙橙1易伤1伤害2时间	1双倍秒伤23时间4雷电5低血量敌人68核7爆破对壮9易伤a伤害
34	21425 11361	   	255.27	橙橙1易伤1伤害2时间	1双倍秒伤23时间4敌人爆炸5雷电68核7爆破对壮9易伤a伤害
35	13535 11361	   	255.17	橙橙1易伤1伤害2时间	12时间3双倍秒伤4挖尘5雷电68核7爆破对壮9易伤a伤害
36	21435 11361	   	255.17	橙橙1易伤1伤害2时间	1双倍秒伤23时间4挖尘5雷电68核7爆破对壮9易伤a伤害
