0	Index      	 *	Score 	Summary	Detail	
1	33163 11345	 * 	308.19	橙橙2易伤2伤害1攻速1卖塔	18最后敌人28易伤3卖塔4攻速5时间68伤害7a核8序列升级9额外掉落
2	33326 11233	 * 	305.54	橙橙2易伤1伤害1矿等	1最后敌人23易伤4平台5矿等6伤害79核8等级a全技能
3	43326 11233	   	305.54	橙橙2易伤1伤害1矿等	1低血量敌人23易伤4平台5矿等6伤害79核8等级a全技能
4	33326 11232	   	302.82	橙橙2易伤1伤害1矿等	1最后敌人23易伤4平台5矿等6伤害79核8等级a核弹
5	43326 11232	   	302.82	橙橙2易伤1伤害1矿等	1低血量敌人23易伤4平台5矿等6伤害79核8等级a核弹
6	33326 21233	 * 	299.28	橙橙3易伤1矿等	1最后敌人23a易伤4平台5矿等6技能79核8等级
7	43326 21233	   	299.28	橙橙3易伤1矿等	1低血量敌人23a易伤4平台5矿等6技能79核8等级
8	33326 11234	   	295.88	橙橙2易伤1伤害1矿等	1最后敌人23易伤4平台5矿等6伤害79核8等级a随机矿
9	33326 11235	   	295.88	橙橙2易伤1伤害1矿等	1最后敌人23易伤4平台5矿等6伤害79核8等级a赏金邻近
10	33326 21232	   	295.88	橙橙2易伤1伤害1矿等	1最后敌人23易伤4平台5矿等6技能79核8等级a伤害
11	43326 11234	   	295.88	橙橙2易伤1伤害1矿等	1低血量敌人23易伤4平台5矿等6伤害79核8等级a随机矿
12	43326 11235	   	295.88	橙橙2易伤1伤害1矿等	1低血量敌人23易伤4平台5矿等6伤害79核8等级a赏金邻近
13	43326 21232	   	295.88	橙橙2易伤1伤害1矿等	1低血量敌人23易伤4平台5矿等6技能79核8等级a伤害
14	33326 11231	   	295.78	橙橙2易伤1伤害1矿等	1最后敌人23易伤4平台5矿等6伤害79核8等级a挖青
15	33326 11236	   	295.78	橙橙2易伤1伤害1矿等	1最后敌人23易伤4平台5矿等6伤害79核8等级a加一
16	43326 11231	   	295.78	橙橙2易伤1伤害1矿等	1低血量敌人23易伤4平台5矿等6伤害79核8等级a挖青
17	43326 11236	   	295.78	橙橙2易伤1伤害1矿等	1低血量敌人23易伤4平台5矿等6伤害79核8等级a加一
18	33326 21236	   	289.47	橙橙2易伤1矿等1暴击	1最后敌人23易伤4平台5矿等6技能79核8等级a暴击
19	43326 21236	   	289.47	橙橙2易伤1矿等1暴击	1低血量敌人23易伤4平台5矿等6技能79核8等级a暴击
20	33163 11311	 * 	279.30	橙4易伤3伤害1攻速1卖塔	189最后敌人289a易伤3卖塔4攻速5时间689伤害7核89序列升级
