0	Index      	 *	Score 	Summary	Detail	
1	56113 53313	 * 	280.44	紫橙3易伤2暴击1矿等1卖塔	14暴击26a易伤37核5卖塔8矿等9金币生成
2	56113 53112	 * 	277.25	紫橙3易伤3暴击1卖塔	148暴击269易伤37核5卖塔a时间
3	56113 53111	 * 	268.94	紫橙3易伤3暴击1卖塔	148暴击269易伤37核5卖塔a金币生成
4	56113 53113	 * 	268.84	紫橙3易伤3暴击1卖塔	148暴击269易伤37核5卖塔a掉矿
5	35356 11333	 * 	268.59	橙橙2易伤1伤害	12a低血量敌人2序列升级34易伤5伤害69核7雷电8技能点
6	35356 11331	   	268.49	橙橙2易伤1伤害1挖怪	12低血量敌人2序列升级34易伤5伤害69核7雷电8技能点a挖怪
7	35356 11332	   	268.49	橙橙2易伤1伤害	12低血量敌人2序列升级34易伤5伤害69核7雷电8技能点a掉矿
8	21425 32221	   	266.59	橙橙2易伤1全技能	1基地爆炸2全技能3雷电4最后敌人5时间67核8a易伤9随机矿
9	21454 32221	   	266.59	橙橙2易伤1全技能	1基地爆炸2全技能3雷电4时间5低血量敌人67核8a易伤9随机矿
10	36435 32221	   	266.59	橙橙2易伤1全技能	1低血量敌人2全技能3雷电4敌人爆炸5时间67核8a易伤9随机矿
11	21425 32211	   	266.49	橙橙2易伤1全技能	1基地爆炸2全技能3雷电4最后敌人5时间67核8a易伤9掉矿
12	21454 32211	   	266.49	橙橙2易伤1全技能	1基地爆炸2全技能3雷电4时间5低血量敌人67核8a易伤9掉矿
13	36435 32211	   	266.49	橙橙2易伤1全技能	1低血量敌人2全技能3雷电4敌人爆炸5时间67核8a易伤9掉矿
14	61425 32221	   	266.49	橙橙2易伤1全技能	1挖尘2全技能3雷电4最后敌人5时间67核8a易伤9随机矿
15	61425 32211	   	266.39	橙橙2易伤1全技能	1挖尘2全技能3雷电4最后敌人5时间67核8a易伤9掉矿
16	21425 32241	   	266.35	橙橙2易伤1全技能1策反	1基地爆炸2全技能3雷电4最后敌人5时间67核8a易伤9策反
17	22532 16523	   	266.06	橙橙2易伤1矿等	1基地爆炸2双倍秒伤34易伤5最后敌人6低血量敌人7赏金邻近8矿等9a核
18	12423 11333	   	265.96	橙橙2易伤1矿等	1矿等2技能3掉矿45易伤69核7雷电8技能点a等级
19	12423 11334	   	265.96	橙橙2易伤1矿等	1矿等2技能3掉矿45易伤69核7雷电8技能点a立即金币
20	12423 11335	   	265.96	橙橙2易伤1矿等	1矿等2技能3掉矿45易伤69核7雷电8技能点a敌人爆炸
21	12423 11336	   	265.96	橙橙2易伤1矿等	1矿等2技能3掉矿45易伤69核7雷电8技能点a最后敌人
22	12423 11331	   	265.86	橙橙2易伤1矿等1挖怪	1矿等2技能3掉矿45易伤69核7雷电8技能点a挖怪
23	12423 11332	   	265.86	橙橙2易伤1矿等	1矿等2技能3a掉矿45易伤69核7雷电8技能点
24	56113 53331	 * 	265.28	紫橙2易伤2暴击1矿等1卖塔	14暴击26易伤37核5卖塔8矿等9敌人爆炸a时间
25	21425 32161	   	261.83	橙橙1易伤1暴击1全技能1平台	1基地爆炸2全技能3雷电4最后敌人5时间67核8暴击9平台a易伤
26	56233 26231	 * 	261.74	橙2易伤3伤害2攻速1暴击	1暴击29易伤3敌人爆炸4激光对愈589伤害6时间79攻速9序列升级a核
27	56113 53312	 * 	256.97	紫橙2易伤2暴击1矿等1卖塔	14暴击26易伤37核5卖塔8矿等9金币生成a随机矿
28	56113 53321	 * 	256.97	紫橙2易伤2暴击1矿等1卖塔	14暴击26易伤37核5卖塔8矿等9赏金塔a等级
29	56113 53322	 * 	256.97	紫橙2易伤2暴击1矿等1卖塔	14暴击26易伤37核5卖塔8矿等9赏金塔a随机矿
30	56113 53332	 * 	256.97	紫橙2易伤2暴击1矿等1卖塔	14暴击26易伤37核5卖塔8矿等9敌人爆炸a赏金塔
31	56113 53333	 * 	256.97	紫橙2易伤2暴击1矿等1卖塔	14暴击26易伤37核5卖塔8矿等9敌人爆炸a基地爆炸
32	56113 53311	 * 	256.87	紫橙2易伤2暴击1矿等1卖塔	14暴击26易伤37核5卖塔8矿等9金币生成a掉矿
33	56113 53323	 * 	256.87	紫橙2易伤2暴击1矿等1卖塔	14暴击26易伤37核5卖塔8矿等9赏金塔a掉矿
34	13621 65231	 * 	255.03	橙4易伤1伤害1矿等1暴击	1矿等2挖尘3伤害4赏金邻近567a易伤8暴击9核
35	56113 53221	 * 	254.30	紫橙2易伤2暴击2时间1卖塔	14暴击26易伤37核5卖塔8雷电9a时间
36	16123 16114	 * 	254.15	橙橙2矿等1攻速1暴击	19矿等2激光对绿3时间4防空对愈5攻速6雷电7a核8暴击
37	12416 11333	 * 	253.49	橙橙1易伤2矿等	14矿等2技能34掉矿4序列升级5易伤69核7雷电8技能点a等级
38	12416 11334	   	253.49	橙橙1易伤2矿等	14矿等2技能34掉矿4序列升级5易伤69核7雷电8技能点a立即金币
39	12416 11335	   	253.49	橙橙1易伤2矿等	14矿等2技能34掉矿4序列升级5易伤69核7雷电8技能点a敌人爆炸
40	12416 11336	   	253.49	橙橙1易伤2矿等	14矿等2技能34掉矿4序列升级5易伤69核7雷电8技能点a最后敌人
