0	Index      	 *	Score 	Summary	Detail	
1	31121 24431	 * 	261.76	紫橙2易伤1伤害1矿等1平台2策反	12策反3雷电48核5平台6伤害79易伤a矿等
2	31123 24431	 * 	255.35	紫橙2易伤1矿等1攻速1平台2策反	12策反3雷电48核5攻速6平台79易伤a矿等
3	31132 24431	 * 	255.35	紫橙2易伤1矿等1攻速1平台2策反	12策反3雷电4攻速58核6平台79易伤a矿等
4	25351 31623	 * 	253.31	橙橙2易伤1平台1卖塔	145基地爆炸2卖塔3平台45序列升级6a易伤78核9最后敌人
5	25351 31633	 * 	253.21	橙橙2易伤1平台1卖塔	145基地爆炸2卖塔3平台45序列升级6a易伤78核9毒液对冰
6	45331 31623	 * 	253.01	橙橙2易伤1平台1卖塔	145挖尘2卖塔3平台5序列升级6a易伤78核9最后敌人
7	45331 31633	 * 	252.91	橙橙2易伤1平台1卖塔	145挖尘2卖塔3平台5序列升级6a易伤78核9毒液对冰
8	31121 24435	 * 	252.53	紫橙2易伤1伤害1平台2策反	12策反3雷电48核5平台6伤害79易伤a时间
9	31134 26314	 * 	250.92	橙橙1易伤1伤害1攻速2策反	12策反3雷电4攻速5易伤6敌人爆炸7a核8赏金塔9伤害
10	33121 13465	 * 	249.84	橙橙1易伤1矿等2时间1策反	1策反2基地爆炸37时间4矿等5易伤6雷电8最后敌人9a核
11	12411 42413	 * 	248.69	紫5易伤3攻速3暴击	189攻速2雷电389暴击4689a易伤5核7核弹89序列升级
12	46331 21632	 * 	247.12	橙橙1易伤2暴击1平台	145挖尘25暴击3平台5序列升级6最后敌人78核9敌人爆炸a易伤
13	31123 24435	 * 	246.12	紫橙2易伤1攻速1平台2策反	12策反3雷电48核5攻速6平台79易伤a时间
14	31132 24435	 * 	246.12	紫橙2易伤1攻速1平台2策反	12策反3雷电4攻速58核6平台79易伤a时间
15	63411 52232	 * 	245.97	紫橙2易伤1矿等1攻速	12掉矿3额外掉落4赏金邻近56核79易伤8矿等a攻速
16	52236 23374	 * 	245.96	橙橙1易伤1伤害	1伤害2雷电3赏金塔4低血量敌人5时间69核7加一8敌人爆炸a易伤
17	52236 23474	   	245.96	橙橙1易伤1伤害	1伤害2雷电3赏金塔4低血量敌人5时间69核7加一8基地爆炸a易伤
18	26411 24234	   	245.85	橙橙1易伤2时间1暴击1策反	1基地爆炸2暴击3策反46时间5加一7最后敌人8a核9易伤
19	26411 27234	   	245.85	橙橙1易伤2时间1暴击1策反	1基地爆炸2暴击3策反46时间5加一7敌人爆炸8a核9易伤
20	46411 24234	   	245.75	橙橙1易伤2时间1暴击1策反	1挖尘2暴击3策反46时间5加一7最后敌人8a核9易伤
21	26411 14234	   	245.62	橙橙1易伤2暴击1策反	1基地爆炸26暴击3策反4时间5加一7最后敌人8a核9易伤
22	26411 17234	   	245.62	橙橙1易伤2暴击1策反	1基地爆炸26暴击3策反4时间5加一7敌人爆炸8a核9易伤
23	26421 11234	   	245.62	橙橙1易伤2暴击1策反	1基地爆炸26暴击3策反4敌人爆炸5加一7时间8a核9易伤
24	26421 24234	   	245.62	橙橙1易伤2暴击1策反	1基地爆炸27暴击3策反4敌人爆炸5加一6时间8a核9易伤
