0	Index      	 *	Score 	Summary	Detail	
1	52133 15612	 * 	296.51	橙橙3易伤2时间	1基地爆炸2技能点38时间45a易伤6全技能79核
2	31446 61141	   	295.20	橙橙3易伤1攻速	1全技能279易伤3加一4爆破对冰5攻速6赏金邻近8a核
3	42226 33363	 * 	294.48	橙橙2易伤2伤害	1雷电2时间3赏金塔49易伤5挖尘6a核78伤害
4	52133 15312	   	289.86	橙橙3易伤	1基地爆炸28技能点3时间45a易伤6全技能79核
5	52133 15611	   	286.69	橙橙2易伤2时间1暴击	1基地爆炸2技能点38时间45易伤6全技能79核a暴击
6	52133 15315	   	286.46	橙橙2易伤1伤害	1基地爆炸28技能点3时间45易伤6全技能79核a伤害
7	35452 34363	   	285.40	橙橙3易伤1暴击1卖塔	1全技能2加一38等级478易伤5卖塔6a核8序列升级9暴击
8	31216 15512	   	281.65	橙橙3易伤	1全技能24a易伤38最后敌人5技能点6低血量敌人79核
9	31216 15612	   	281.65	橙橙3易伤	1全技能24a易伤3最后敌人5技能点68低血量敌人79核
10	55233 15112	   	281.65	橙橙3易伤	1基地爆炸28敌人爆炸3掉矿45a易伤6全技能79核
11	31216 15312	   	281.55	橙橙3易伤	1全技能24a易伤3最后敌人58技能点6低血量敌人79核
12	31216 55312	   	281.55	橙橙3易伤	1全技能24a易伤3最后敌人58技能点6基地爆炸79核
13	31342 51131	   	281.50	橙橙2易伤1暴击	1全技能27易伤3平台4激光对绿5暴击6赏金邻近8a核9立即金币
14	31516 35312	   	281.45	橙橙3易伤	1全技能24a易伤3低血量敌人58技能点6挖尘79核
15	31342 51141	   	281.40	橙橙2易伤1暴击	1全技能27易伤3平台4激光对绿5暴击6赏金邻近8a核9激光减费
16	52133 15311	   	280.04	橙橙2易伤1暴击	1基地爆炸28技能点3时间45易伤6全技能79核a暴击
17	34233 15612	   	272.94	橙橙2易伤2时间	1全技能2激光减费38时间4掉矿5a易伤6低血量敌人79核
18	52133 15613	   	272.94	橙橙2易伤2时间	1基地爆炸2技能点38时间45易伤6全技能79核a喷火对黄
19	35113 32671	   	272.13	橙橙1易伤1伤害1暴击	1全技能2加一3暴击4最后敌人5等级69核7时间8易伤a伤害
20	31216 15511	   	271.84	橙橙2易伤1暴击	1全技能24易伤38最后敌人5技能点6低血量敌人79核a暴击
21	31216 15611	   	271.84	橙橙2易伤1暴击	1全技能24易伤3最后敌人5技能点68低血量敌人79核a暴击
22	55233 15111	   	271.84	橙橙2易伤1暴击	1基地爆炸28敌人爆炸3掉矿45易伤6全技能79核a暴击
23	31216 15311	   	271.74	橙橙2易伤1暴击	1全技能24易伤3最后敌人58技能点6低血量敌人79核a暴击
24	31216 55311	   	271.74	橙橙2易伤1暴击	1全技能24易伤3最后敌人58技能点6基地爆炸79核a暴击
25	31516 35311	   	271.64	橙橙2易伤1暴击	1全技能24易伤3低血量敌人58技能点6挖尘79核a暴击
26	31131 31112	 * 	268.92	紫橙3易伤2全技能	15全技能27a易伤3随机矿49核6时间8低血量敌人
27	31131 31412	   	268.92	紫橙3易伤2全技能	15全技能27a易伤3随机矿49核6时间8基地爆炸
28	31631 31112	   	268.92	紫橙3易伤2全技能	15全技能27a易伤3金币生成49核6时间8低血量敌人
29	31631 31412	   	268.92	紫橙3易伤2全技能	15全技能27a易伤3金币生成49核6时间8基地爆炸
30	43325 16212	 * 	268.59	橙橙2易伤2暴击	17雷电27易伤3敌人爆炸4基地爆炸57暴击6双倍秒伤7序列升级8掉矿9a核
31	42224 33363	   	266.51	橙橙2伤害1易伤	19雷电2时间3赏金塔4易伤5敌人爆炸6a核78伤害
