0	Index      	 *	Score 	Summary	Detail	
1	43122 61532	 * 	261.16	橙4易伤3矿等1全技能	1技能2全技能389金币生成4赏金邻近589矿等6核789a易伤89序列升级
2	66331 28341	 * 	259.89	橙2易伤2伤害2攻速3暴击1全技能	159暴击25攻速3赏金塔4全技能59序列升级6加一79伤害89易伤a核
3	45121 13123	 * 	254.63	橙3易伤2伤害2矿等	1技能28a易伤38伤害4低血量敌人5基地爆炸6核弹78矿等8序列升级9核
4	45121 34123	   	254.63	橙3易伤2伤害2矿等	1技能28a易伤38伤害4低血量敌人5基地爆炸68矿等7核弹8序列升级9核
5	45141 13123	   	254.63	橙3易伤2伤害2矿等	1技能28a易伤38伤害4最后敌人5基地爆炸6核弹78矿等8序列升级9核
6	66131 43123	 * 	253.62	橙橙2攻速1伤害1暴击	1暴击24攻速3时间5防空对甲6a核7雷电8最后敌人9伤害
7	45113 43123	 * 	253.23	橙2易伤2矿等2攻速1伤害1暴击	1技能28易伤3伤害45双倍秒伤68攻速78矿等8序列升级9核a暴击
8	51112 14132	 * 	252.75	紫橙3易伤1全技能	1激光减费2基地爆炸39核47a易伤5赏金塔6等级8全技能
9	52112 14132	   	252.75	紫橙3易伤1全技能	1激光减费2最后敌人39核47a易伤5赏金塔6等级8全技能
10	33623 13351	 * 	252.07	橙橙1易伤1攻速1全技能	1敌人爆炸2低血量敌人3攻速4时间5电塔对黄6易伤7a核8最后敌人9全技能
11	34623 13351	   	252.07	橙橙1易伤1攻速1全技能	1敌人爆炸2最后敌人3攻速4时间5电塔对黄6易伤7a核8低血量敌人9全技能
12	45121 43123	   	250.79	橙3易伤2矿等1伤害1攻速	1技能28a易伤3伤害48低血量敌人5基地爆炸6攻速78矿等8序列升级9核
13	12133 13556	 * 	248.62	橙橙1易伤1伤害	1基础对愈2敌人爆炸3双倍秒伤4挖尘5伤害6最后敌人7a核8时间9易伤
14	43122 61141	 * 	247.64	橙橙1易伤1矿等1全技能	1技能2全技能39金币生成4赏金邻近5矿等6a核7易伤8导弹对毒
15	65212 11343	 * 	247.49	橙3易伤2伤害3暴击	178暴击29最后敌人39伤害49a易伤5加一6核9序列升级
16	63141 43123	 * 	247.48	橙橙1伤害2暴击1攻速	13暴击2散射对绿4时间5攻速6a核7雷电8最后敌人9伤害
17	63131 43323	   	247.48	橙橙1伤害2暴击1攻速	13暴击2散射对绿4低血量敌人5攻速6a核7雷电8时间9伤害
18	12551 34131	 * 	247.06	紫橙2伤害1易伤1全技能	1基础对愈2敌人爆炸35伤害4a核6时间7双倍秒伤8全技能9易伤
19	52116 42332	 * 	246.72	紫橙2易伤1矿等1全技能	1激光减费2最后敌人39核4a易伤5双倍秒伤6全技能7矿等8低血量敌人
20	52116 42132	   	246.62	紫橙2易伤1矿等1全技能	1激光减费2最后敌人39核4a易伤5双倍秒伤6全技能7矿等8挖尘
21	63221 42153	 * 	244.95	橙橙2暴击1矿等1攻速	17暴击2散射对绿3金币生成4矿等5攻速69核8双倍矿a时间
22	63321 42153	   	244.85	橙橙2暴击1矿等1攻速	17暴击2散射对绿3掉矿4矿等5攻速69核8双倍矿a时间
23	45115 13123	   	244.72	橙2易伤2伤害2矿等1暴击	1技能28易伤38伤害4双倍秒伤5双倍矿6核弹78矿等8序列升级9核a暴击
24	12335 13245	   	244.70	橙3易伤3矿等1暴击	189基础对愈2敌人爆炸389矿等4基地爆炸5最后敌人689易伤7核89序列升级a暴击
25	45113 13123	   	244.62	橙2易伤2伤害2矿等1暴击	1技能28易伤38伤害45双倍秒伤6核弹78矿等8序列升级9核a暴击
26	45113 34123	   	244.62	橙2易伤2伤害2矿等1暴击	1技能28易伤38伤害45双倍秒伤68矿等7核弹8序列升级9核a暴击
27	63221 42151	 * 	242.69	橙橙3暴击1矿等1攻速	17a暴击2散射对绿3金币生成4矿等5攻速69核8双倍矿
28	63321 42151	   	242.59	橙橙3暴击1矿等1攻速	17a暴击2散射对绿3掉矿4矿等5攻速69核8双倍矿
29	66231 43123	   	241.17	橙橙1伤害1攻速1暴击	1暴击2攻速3立即金币4时间5防空对甲6a核7雷电8最后敌人9伤害
30	43122 61531	   	241.01	橙3易伤3矿等1全技能	1技能2全技能389金币生成4赏金邻近589矿等6核789易伤89序列升级a敌人爆炸
31	43122 61533	   	240.91	橙3易伤3矿等1全技能	1技能2全技能389金币生成4赏金邻近589矿等6核789易伤89序列升级a挖尘
32	45121 13124	   	240.83	橙2易伤2伤害2矿等1平台	1技能28易伤38伤害4低血量敌人5基地爆炸6核弹78矿等8序列升级9核a平台
33	12335 13244	   	240.71	橙3易伤3矿等1平台	189基础对愈2敌人爆炸389矿等4基地爆炸5最后敌人689易伤7核89序列升级a平台
34	45113 13124	   	240.63	橙2易伤2伤害2矿等1平台	1技能28易伤38伤害45双倍秒伤6核弹78矿等8序列升级9核a平台
35	41541 31123	   	240.08	橙2易伤2伤害2时间1攻速1暴击	1技能28伤害3攻速48时间5挖尘6掉矿78易伤8序列升级9核a暴击
36	41523 12252	 * 	239.78	橙2易伤3伤害2攻速	1技能24a伤害34攻速4a序列升级5a基地爆炸6双倍秒伤7a易伤8核9挖青
37	45113 43122	   	239.58	橙2易伤2矿等2攻速1伤害	1技能28易伤3伤害45双倍秒伤68攻速78矿等8序列升级9核a立即金币
38	45113 43121	   	239.48	橙2易伤2矿等2攻速1伤害	1技能28易伤3伤害45双倍秒伤68攻速78矿等8序列升级9核a挖青
39	45124 13121	   	239.47	橙2易伤2伤害2矿等	1技能28易伤38伤害4低血量敌人5时间6核弹78矿等8序列升级9核a双倍矿
40	45124 13122	   	239.47	橙2易伤2伤害2矿等	1技能28易伤38伤害4低血量敌人5时间6核弹78矿等8序列升级9核a基地爆炸
41	45124 13123	   	239.47	橙2易伤2伤害2矿等	1技能28易伤38伤害4低血量敌人5时间6核弹78矿等8序列升级9核a最后敌人
42	62112 33835	   	239.31	橙3易伤1伤害1攻速1暴击	1暴击2技能3时间468易伤5加一7攻速9伤害a核
43	66112 34435	   	239.21	橙3易伤1伤害1攻速1暴击	1暴击2攻速3时间468易伤5加一7掉矿9伤害a核
44	63131 43123	   	239.18	橙橙1伤害2暴击1攻速	13暴击2散射对绿4低血量敌人5攻速6a核7雷电8最后敌人9伤害
45	63131 43423	   	239.18	橙橙1伤害2暴击1攻速	13暴击2散射对绿4低血量敌人5攻速6a核7雷电8敌人爆炸9伤害
46	15551 32131	 * 	238.70	紫橙1易伤1伤害1矿等1全技能	1基础对愈2矿等3基地爆炸4a核5伤害6双倍秒伤7随机矿8全技能9易伤
47	63221 41153	   	238.64	橙橙1矿等1攻速1暴击	1暴击2散射对绿3金币生成4矿等5攻速69核7立即金币8双倍矿a时间
48	63221 43523	   	238.54	橙橙1矿等1攻速1暴击	1暴击2散射对绿3金币生成4矿等5攻速6a核7雷电8核弹9时间
49	63321 41153	   	238.54	橙橙1矿等1攻速1暴击	1暴击2散射对绿3掉矿4矿等5攻速69核7立即金币8双倍矿a时间
50	61133 12245	   	238.49	橙橙1矿等1攻速1暴击1策反	1暴击2策反3时间4攻速5金币生成6低血量敌人7a核8矿等9敌人爆炸
51	61133 12265	   	238.49	橙橙1矿等1攻速1暴击1策反	1暴击2策反3时间4攻速5金币生成6低血量敌人7a核8矿等9最后敌人
52	61133 32245	   	238.49	橙橙1矿等1攻速1暴击1策反	1暴击2策反3时间4攻速5金币生成6基地爆炸7a核8矿等9敌人爆炸
53	61133 32265	   	238.49	橙橙1矿等1攻速1暴击1策反	1暴击2策反3时间4攻速5金币生成6基地爆炸7a核8矿等9最后敌人
54	63321 43523	   	238.44	橙橙1矿等1攻速1暴击	1暴击2散射对绿3掉矿4矿等5攻速6a核7雷电8核弹9时间
55	61132 32245	   	238.39	橙橙1矿等1攻速1暴击1策反	1暴击2策反3时间4攻速5低血量敌人6掉矿7a核8矿等9敌人爆炸
56	61132 32265	   	238.39	橙橙1矿等1攻速1暴击1策反	1暴击2策反3时间4攻速5低血量敌人6掉矿7a核8矿等9最后敌人
57	61433 22225	   	238.39	橙橙1矿等1攻速1暴击1策反	1暴击2策反3挖尘4攻速5金币生成6时间7a核8矿等9低血量敌人
58	61533 22215	   	238.39	橙橙1矿等1攻速1暴击1策反	1暴击2策反3敌人爆炸4攻速5金币生成6时间7a核8矿等9挖尘
59	61133 12215	   	238.39	橙橙1矿等1攻速1暴击1策反	1暴击2策反3时间4攻速5金币生成6低血量敌人7a核8矿等9挖尘
60	61133 32215	   	238.39	橙橙1矿等1攻速1暴击1策反	1暴击2策反3时间4攻速5金币生成6基地爆炸7a核8矿等9挖尘
61	61132 32215	   	238.29	橙橙1矿等1攻速1暴击1策反	1暴击2策反3时间4攻速5低血量敌人6掉矿7a核8矿等9挖尘
62	61433 22235	   	238.29	橙橙1矿等1攻速1暴击1策反	1暴击2策反3挖尘4攻速5金币生成6时间7a核8矿等9挖青
63	62336 42233	   	238.15	橙橙1伤害1暴击1全技能1平台2策反	1暴击2技能3赏金塔4全技能56策反7伤害8a核9平台
64	33113 43623	   	237.69	紫橙2易伤1全技能	1敌人爆炸27低血量敌人39易伤4时间5a核6全技能8最后敌人
65	33113 44623	   	237.69	紫橙2易伤1全技能	1敌人爆炸2低血量敌人39易伤4时间5a核6全技能78最后敌人
66	34113 43623	   	237.69	紫橙2易伤1全技能	1敌人爆炸28最后敌人39易伤4时间5a核6全技能7低血量敌人
67	41522 33216	   	237.68	橙2易伤2伤害2攻速1暴击	1技能24伤害34攻速4序列升级5掉矿6核7基地爆炸8暴击9a易伤
68	33113 41123	   	237.59	紫橙2易伤1全技能	1敌人爆炸2低血量敌人39易伤4时间5a核6全技能7技能点8随机矿
69	33113 44532	   	237.59	紫橙2易伤1全技能	1敌人爆炸2低血量敌人3a易伤4时间59核6全技能7最后敌人8掉矿
70	33113 45532	   	237.59	紫橙2易伤1全技能	1敌人爆炸2低血量敌人3a易伤4时间59核6全技能7基地爆炸8掉矿
71	34113 41123	   	237.59	紫橙2易伤1全技能	1敌人爆炸2最后敌人39易伤4时间5a核6全技能7技能点8随机矿
72	34113 43532	   	237.59	紫橙2易伤1全技能	1敌人爆炸2最后敌人3a易伤4时间59核6全技能7低血量敌人8掉矿
73	41531 31123	   	237.58	橙2易伤2伤害2攻速1暴击	1技能28伤害34攻速5双倍秒伤68掉矿78易伤8序列升级9核a暴击
74	12451 51221	   	237.40	紫橙2伤害1易伤	1基础对愈2敌人爆炸3随机矿48核59伤害6掉矿7时间a易伤
