0	Index      	 *	Score 	Summary	Detail	
1	33133 33524	 * 	288.48	橙橙2易伤1伤害2时间1平台	1平台28时间3低血量敌人4技能59易伤67核a伤害
2	22133 63321	   	283.39	橙橙2易伤1矿等1暴击	1暴击2时间39易伤4随机矿5赏金塔6a核7矿等8基地爆炸
3	11221 15441	   	283.29	橙橙2易伤1矿等1暴击	1随机矿2挖尘3时间4暴击58易伤6矿等7a核9赏金邻近
4	11221 15451	   	283.29	橙橙2易伤1矿等1暴击	1随机矿2挖尘3时间4暴击58易伤6矿等7a核9赏金塔
5	33635 33512	   	282.06	橙橙2易伤2时间1攻速1平台	1平台28时间3a易伤4技能5敌人爆炸67核9攻速
6	62211 43314	   	276.67	橙橙2易伤1攻速1全技能1平台	12易伤3狙击对黄4最后敌人5平台6攻速7a核8掉矿9全技能
7	11321 15441	   	274.98	橙橙2易伤1矿等1暴击	1随机矿2挖尘3敌人爆炸4暴击58易伤6矿等7a核9赏金邻近
8	11321 15451	   	274.98	橙橙2易伤1矿等1暴击	1随机矿2挖尘3敌人爆炸4暴击58易伤6矿等7a核9赏金塔
9	62412 24224	 * 	274.24	橙橙3易伤	124易伤34雷电4序列升级5双倍秒伤6敌人爆炸7时间8a核9加一
10	62412 34224	   	274.14	橙橙3易伤	124易伤34雷电4序列升级5双倍秒伤6挖尘7时间8a核9加一
11	61432 33413	   	271.99	橙橙1易伤1矿等1攻速1暴击1平台	1易伤2技能点3平台4矿等5随机矿6爆破对壮78核9暴击a攻速
12	33133 33522	   	268.41	橙橙2易伤2时间1平台	1平台28时间3低血量敌人4技能59易伤67核a最后敌人
13	33133 33523	   	268.41	橙橙2易伤2时间1平台	1平台28时间3低血量敌人4技能59易伤67核a赏金塔
14	33133 33525	   	268.41	橙橙2易伤2时间1平台	1平台28时间3低血量敌人4技能59易伤67核a敌人爆炸
15	33635 33522	   	268.41	橙橙2易伤2时间1平台	1平台28时间39易伤4技能5敌人爆炸67核a最后敌人
16	33635 33523	   	268.41	橙橙2易伤2时间1平台	1平台28时间39易伤4技能5敌人爆炸67核a赏金塔
17	33133 33521	   	268.31	橙橙2易伤2时间1平台	1平台28时间3低血量敌人4技能59易伤67核a掉矿
18	33133 33526	   	268.31	橙橙2易伤2时间1平台	1平台28时间3低血量敌人4技能59易伤67核a狙击对毒
19	33635 33521	   	268.31	橙橙2易伤2时间1平台	1平台28时间39易伤4技能5敌人爆炸67核a掉矿
20	64121 83124	 * 	266.95	橙5易伤2矿等2暴击	1589a易伤2加一3技能4a暴击6a矿等7核a序列升级
21	22131 45241	   	265.85	橙橙2易伤1暴击	1暴击2时间35易伤4随机矿6金币生成7a核8低血量敌人9赏金邻近
22	22131 45251	   	265.85	橙橙2易伤1暴击	1暴击2时间35易伤4随机矿6金币生成7a核8低血量敌人9赏金塔
23	22133 65351	   	265.85	橙橙2易伤1暴击	1暴击2时间39易伤4随机矿5赏金塔6a核7金币生成8基地爆炸
