0	Index      	 *	Score 	Summary	Detail	
1	27441 23436	 * 	287.02	橙4易伤3伤害3时间1平台	1加一2立即金币3平台49a伤害589a易伤69a时间7核9a序列升级
2	33541 21226	 * 	280.10	橙橙1易伤1伤害1矿等1暴击	1时间2伤害3矿等4暴击5易伤6a核7低血量敌人8额外掉落9随机矿
3	21744 38124	 * 	276.80	橙橙2易伤1伤害	1加一2时间3伤害49易伤5毒液对黄6a核7低血量敌人8等级
4	21744 84124	   	276.80	橙橙2易伤1伤害	1加一2时间3伤害49易伤5毒液对黄6敌人爆炸7a核8等级
5	21744 31438	   	276.70	橙橙2易伤1伤害	1加一2时间3伤害48易伤5毒液对黄6a核7赏金邻近9双倍秒伤
6	21744 34438	   	276.70	橙橙2易伤1伤害	1加一2时间3伤害48易伤5毒液对黄6a核7赏金塔9双倍秒伤
7	21744 35124	   	276.70	橙橙2易伤1伤害	1加一2时间3伤害49易伤5毒液对黄6a核7挖青8等级
8	22764 44124	   	276.70	橙橙2易伤1伤害	1加一2挖尘3伤害4时间5加农对壮69易伤7a核8等级
9	21251 44571	   	270.28	橙橙2易伤1暴击	1加一2时间3激光减费4暴击58易伤6雷电7a核9多重对甲
10	33551 14122	 * 	261.92	橙2易伤3矿等1伤害2时间1全技能1平台	18时间2伤害389矿等4全技能58易伤6平台7额外掉落8序列升级a核
11	63635 32313	   	258.62	橙橙1易伤2时间1暴击1全技能	1防空对愈2全技能3易伤47时间5最后敌人6暴击8随机矿9a核
12	21744 36335	   	258.38	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6a核7平台8敌人爆炸9喷火对愈
13	21744 36435	   	258.38	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6a核7平台8低血量敌人9喷火对愈
14	21744 38435	   	258.38	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6a核7低血量敌人8平台9喷火对愈
15	21744 84435	   	258.38	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6敌人爆炸7a核8平台9喷火对愈
16	21744 35435	   	258.28	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6a核7挖青8平台9喷火对愈
17	21744 36315	   	258.28	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6a核7平台8敌人爆炸9基础对甲
18	21744 36415	   	258.28	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6a核7平台8低血量敌人9基础对甲
19	21744 38415	   	258.28	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6a核7低血量敌人8平台9基础对甲
20	21744 84415	   	258.28	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6敌人爆炸7a核8平台9基础对甲
21	22764 44435	   	258.28	橙橙1易伤1伤害1平台	1加一2挖尘3伤害4时间5加农对壮6易伤7a核8平台9喷火对愈
22	21744 35415	   	258.18	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6a核7挖青8平台9基础对甲
23	22764 44415	   	258.18	橙橙1易伤1伤害1平台	1加一2挖尘3伤害4时间5加农对壮6易伤7a核8平台9基础对甲
24	23543 63452	   	257.94	橙橙2易伤1全技能1策反	1加一2技能34易伤5赏金塔6全技能7a核8策反9随机矿
25	23543 63482	   	257.94	橙橙2易伤1全技能1策反	1加一2技能34易伤5赏金塔6全技能7a核8策反9金币生成
26	26727 12134	   	257.89	橙橙2易伤1平台	1加一2随机矿3双倍秒伤49易伤5爆破对壮68核7基础对愈a平台
