0	Index      	 *	Score 	Summary	Detail	
1	31232 21434	 * 	286.70	橙橙2易伤2矿等1全技能	19易伤23雷电45矿等6全技能7a核8技能
2	32321 25451	 * 	277.61	橙橙2易伤1伤害1暴击	14易伤2赏金塔3立即金币5低血量敌人69核7伤害8暴击a雷电
3	32321 25452	   	277.61	橙橙2易伤1伤害1暴击	14易伤2赏金塔3立即金币5低血量敌人69核7伤害8暴击a基地爆炸
4	32321 25453	   	277.61	橙橙2易伤1伤害1暴击	14易伤2赏金塔3立即金币5低血量敌人69核7伤害8暴击a金币生成
5	32323 25451	   	277.61	橙橙2易伤1伤害1暴击	14易伤2赏金塔3立即金币5最后敌人69核7伤害8暴击a雷电
6	32323 25452	   	277.61	橙橙2易伤1伤害1暴击	14易伤2赏金塔3立即金币5最后敌人69核7伤害8暴击a基地爆炸
7	32323 25453	   	277.61	橙橙2易伤1伤害1暴击	14易伤2赏金塔3立即金币5最后敌人69核7伤害8暴击a金币生成
8	23163 32227	   	273.28	橙橙2易伤1伤害1全技能1策反	1技能2全技能3金币生成47易伤5伤害6加一8a核9策反
9	23162 32257	   	273.28	橙橙2易伤1伤害1全技能1策反	1技能2全技能3金币生成47易伤5策反6加一8a核9伤害
10	31233 21434	   	271.09	橙橙2易伤1矿等1全技能	19易伤23雷电4矿等5立即金币6全技能7a核8技能
11	34213 23414	 * 	270.70	橙橙2矿等1易伤1伤害	1易伤2立即金币3伤害49矿等5金币生成6a核7技能点8加农对毒
12	23162 32237	   	266.86	橙橙2易伤1攻速1全技能1策反	1技能2全技能3金币生成47易伤5策反6加一8a核9攻速
13	53143 32124	 * 	265.75	橙橙1易伤2攻速1暴击	1赏金邻近2时间3暴击4雷电59攻速6a核7易伤8立即金币
14	32321 25151	   	263.71	橙橙2易伤1伤害1卖塔	14易伤2赏金塔3立即金币5低血量敌人69核7伤害8卖塔a雷电
15	32321 25152	   	263.71	橙橙2易伤1伤害1卖塔	14易伤2赏金塔3立即金币5低血量敌人69核7伤害8卖塔a基地爆炸
16	32321 25153	   	263.71	橙橙2易伤1伤害1卖塔	14易伤2赏金塔3立即金币5低血量敌人69核7伤害8卖塔a金币生成
17	32321 25155	   	263.71	橙橙2易伤1伤害1卖塔	14易伤2赏金塔3立即金币5a低血量敌人69核7伤害8卖塔
18	32321 25156	   	263.71	橙橙2易伤1伤害1卖塔	14易伤2赏金塔3立即金币5低血量敌人69核7伤害8卖塔a敌人爆炸
19	32323 25151	   	263.71	橙橙2易伤1伤害1卖塔	14易伤2赏金塔3立即金币5最后敌人69核7伤害8卖塔a雷电
20	32323 25152	   	263.71	橙橙2易伤1伤害1卖塔	14易伤2赏金塔3立即金币5最后敌人69核7伤害8卖塔a基地爆炸
21	32323 25153	   	263.71	橙橙2易伤1伤害1卖塔	14易伤2赏金塔3立即金币5最后敌人69核7伤害8卖塔a金币生成
22	32323 25155	   	263.71	橙橙2易伤1伤害1卖塔	14易伤2赏金塔3立即金币5最后敌人69核7伤害8卖塔a低血量敌人
23	32323 25156	   	263.71	橙橙2易伤1伤害1卖塔	14易伤2赏金塔3立即金币5最后敌人69核7伤害8卖塔a赏金邻近
24	32321 25154	   	263.61	橙橙2易伤1伤害1卖塔	14易伤2赏金塔3立即金币5低血量敌人69核7伤害8卖塔a挖尘
25	32323 25154	   	263.61	橙橙2易伤1伤害1卖塔	14易伤2赏金塔3立即金币5最后敌人69核7伤害8卖塔a挖尘
26	34113 22344	   	260.98	橙橙2易伤1矿等1策反	18易伤2立即金币3策反4矿等5金币生成6a核7寒冰对黄9掉矿
27	53143 32114	 * 	259.61	橙橙1易伤2暴击1攻速	1赏金邻近2时间39暴击4雷电5攻速6a核7易伤8立即金币
28	34461 22232	   	258.75	橙橙2易伤2时间	15易伤2立即金币35时间4技能5序列升级6a核7狙击对黄8敌人爆炸9赏金塔
29	35363 12316	   	258.75	橙橙2易伤2时间	13易伤23时间3序列升级4技能5双倍秒伤6赏金塔7a核8敌人爆炸9额外掉落
30	35363 22313	   	258.75	橙橙2易伤2时间	13易伤23时间3序列升级4技能5双倍秒伤6a核7基地爆炸8等级9额外掉落
31	35363 21151	   	258.51	橙橙2易伤2时间1卖塔	13易伤23时间3序列升级4技能5双倍秒伤69核7低血量敌人8卖塔a雷电
32	35363 21152	   	258.51	橙橙2易伤2时间1卖塔	13易伤23时间3序列升级4技能5双倍秒伤69核7低血量敌人8卖塔a基地爆炸
33	35363 21153	   	258.51	橙橙2易伤2时间1卖塔	13易伤23时间3序列升级4技能5双倍秒伤69核7低血量敌人8卖塔a金币生成
34	35363 22151	   	258.51	橙橙2易伤2时间1卖塔	13易伤23时间3序列升级4技能5双倍秒伤69核7基地爆炸8卖塔a雷电
35	35363 22152	   	258.51	橙橙2易伤2时间1卖塔	13易伤23时间3序列升级4技能5双倍秒伤69核7基地爆炸8卖塔a敌人爆炸
36	35363 22153	   	258.51	橙橙2易伤2时间1卖塔	13易伤23时间3序列升级4技能5双倍秒伤69核7基地爆炸8卖塔a金币生成
37	32112 32514	 * 	257.72	橙橙1易伤2暴击1伤害	1易伤2赏金塔39暴击4低血量敌人5立即金币6雷电7a核8伤害
38	31143 36114	   	257.62	橙橙1易伤2暴击1伤害	1易伤2雷电3赏金塔4挖尘59暴击6a核7伤害8立即金币
39	32143 32514	   	257.62	橙橙1易伤1伤害2暴击	1易伤2赏金塔39暴击4雷电5掉矿6金币生成7a核8伤害
40	13631 22246	   	257.55	橙橙2易伤1攻速	1等级23金币生成49易伤5攻速6a核7低血量敌人8赏金邻近
41	52143 32124	   	257.35	橙橙1易伤2攻速1暴击	1赏金邻近2挖尘3暴击4雷电59攻速6a核7易伤8立即金币
42	32144 32214	   	257.20	橙橙2易伤1暴击1策反	18易伤2赏金塔3暴击4雷电5策反6a核7激光减费9基地爆炸
43	33314 61322	   	257.20	橙橙2易伤1暴击1卖塔	18易伤2卖塔3低血量敌人4暴击5敌人爆炸6a核7导弹对毒9赏金邻近
44	33314 63322	   	257.20	橙橙2易伤1暴击1卖塔	18易伤2卖塔3低血量敌人4暴击5敌人爆炸6a核7激光对愈9赏金邻近
45	33414 61322	   	257.20	橙橙2易伤1暴击1卖塔	18易伤2卖塔3基地爆炸4暴击5敌人爆炸6a核7导弹对毒9赏金邻近
46	33414 63322	   	257.20	橙橙2易伤1暴击1卖塔	18易伤2卖塔3基地爆炸4暴击5敌人爆炸6a核7激光对愈9赏金邻近
47	33514 61322	   	257.10	橙橙2易伤1暴击1卖塔	18易伤2卖塔3挖尘4暴击5敌人爆炸6a核7导弹对毒9赏金邻近
48	33514 63322	   	257.10	橙橙2易伤1暴击1卖塔	18易伤2卖塔3挖尘4暴击5敌人爆炸6a核7激光对愈9赏金邻近
49	33341 63333	   	256.94	橙橙1易伤1矿等1攻速1卖塔	1易伤2卖塔3低血量敌人4基地爆炸5额外掉落6矿等7时间8攻速9a核
