0	Index      	 *	Score 	Summary	Detail	
1	13311 25234	 * 	280.81	橙橙2伤害3时间2暴击1矿等	18伤害2矿等378时间4双倍矿58暴击6a核8序列升级9最后敌人
2	32111 25234	 * 	278.83	橙橙2矿等3时间1伤害2暴击	178时间2伤害38矿等4双倍矿58暴击6a核8序列升级9最后敌人
3	11114 12415	 * 	264.24	橙2易伤2伤害2矿等1暴击1全技能1平台	1a伤害2a低血量敌人36矿等4全技能5平台7暴击8核9a易伤a序列升级
4	32323 31554	 * 	262.47	橙橙1易伤1伤害1暴击	1时间2伤害3基地爆炸4双倍秒伤5金币生成6敌人爆炸7易伤8a核9暴击
5	21132 52354	 * 	257.94	橙橙2易伤1平台1卖塔	1平台2雷电3最后敌人4激光减费56易伤7立即金币8卖塔9a核
6	21132 53354	 * 	257.94	橙橙2易伤1平台1卖塔	1平台27雷电3最后敌人4激光减费56易伤8卖塔9a核
7	32511 22114	   	256.61	橙橙3时间1伤害1矿等1暴击	138时间2伤害4掉矿5暴击6a核7矿等9金币生成
8	32531 22144	   	256.61	橙橙3时间1伤害1矿等1暴击	138时间2伤害4金币生成5暴击6a核7矿等9技能点
9	32511 22144	   	256.51	橙橙3时间1伤害1矿等1暴击	138时间2伤害4掉矿5暴击6a核7矿等9技能点
10	13263 16323	 * 	254.73	橙3易伤2伤害2矿等	17伤害26矿等3技能47最后敌人579易伤7序列升级8随机矿a核
11	13263 16513	   	254.73	橙3易伤2伤害2矿等	17伤害26矿等3技能47最后敌人578易伤7序列升级9等级a核
12	11114 11415	 * 	254.65	橙2易伤3矿等2伤害1全技能1平台1卖塔	1a伤害2低血量敌人36a矿等4全技能5平台7卖塔8核9a易伤a序列升级
13	11123 12441	   	254.63	橙3易伤2伤害2矿等	19伤害2低血量敌人39矿等4双倍物品5额外掉落6赏金塔79a易伤8核9序列升级
14	11123 32441	   	254.63	橙3易伤2伤害2矿等	19伤害2低血量敌人39矿等4双倍物品5额外掉落6赏金邻近79a易伤8核9序列升级
15	13232 14613	   	254.63	橙3易伤2伤害2矿等	18伤害28矿等3技能45金币生成6挖尘789易伤8序列升级a核
16	11124 11415	   	254.48	橙2易伤2伤害2矿等1暴击1平台	1a伤害2a低血量敌人36矿等4双倍物品5平台7暴击8核9a易伤a序列升级
17	11323 31554	   	254.16	橙橙1易伤1伤害1暴击	1伤害2低血量敌人3基地爆炸4双倍秒伤5金币生成6敌人爆炸7易伤8a核9暴击
18	13131 26352	   	252.26	橙橙2矿等1伤害1暴击	1伤害29矿等3技能点4金币生成5暴击6a核7核弹8随机矿
19	13411 22163	   	252.26	橙橙2矿等1伤害1暴击	1伤害27矿等3挖尘4双倍矿5暴击6a核8双倍秒伤9雷电
20	13111 26352	   	252.16	橙橙2矿等1伤害1暴击	1伤害29矿等3技能点4掉矿5暴击6a核7核弹8随机矿
21	45311 22132	   	251.46	橙橙1伤害1矿等2时间1暴击1策反	1金币生成2策反38时间4双倍矿5暴击6a核7矿等9伤害
