0	Index      	 *	Score 	Summary	Detail	
1	21252 31426	 * 	300.85	橙橙3易伤2暴击2时间	15a易伤2掉矿3a挖尘45时间5a序列升级68核7低血量敌人9a暴击
2	21232 32426	   	294.30	橙橙3易伤2暴击	15a易伤2掉矿3a挖尘45低血量敌人5a序列升级68核7时间9a暴击
3	21252 31425	 * 	292.37	橙橙2易伤1伤害2时间1暴击	15易伤2掉矿3挖尘45时间5序列升级68核7低血量敌人9暴击a伤害
4	21212 31426	   	286.00	橙橙3易伤2暴击	15a易伤2掉矿3a挖尘45基地爆炸5a序列升级68核7低血量敌人9a暴击
5	21232 34426	   	286.00	橙橙3易伤2暴击	15a易伤2掉矿3a挖尘45低血量敌人5a序列升级68核7敌人爆炸9a暴击
6	21252 31421	   	285.95	橙橙2易伤2时间1攻速1暴击	15易伤2掉矿3挖尘45时间5序列升级68核7低血量敌人9暴击a攻速
7	21232 32425	   	285.82	橙橙2易伤1伤害1暴击	15易伤2掉矿3挖尘45低血量敌人5序列升级68核7时间9暴击a伤害
8	21232 32466	   	280.65	橙橙3易伤2时间1卖塔	15a易伤2a掉矿3挖尘45低血量敌人5a序列升级68核7a时间9卖塔
9	21232 32421	   	279.40	橙橙2易伤1攻速1暴击	15易伤2掉矿3挖尘45低血量敌人5序列升级68核7时间9暴击a攻速
10	21252 31414	   	278.72	橙橙2易伤1伤害2时间	15易伤2掉矿3挖尘45时间5序列升级68核7低血量敌人9双倍矿a伤害
11	21252 31434	   	278.72	橙橙2易伤1伤害2时间	15易伤2掉矿3挖尘45时间5序列升级68核7低血量敌人9立即金币a伤害
12	21252 34431	   	278.72	橙橙2易伤1伤害2时间	15易伤2掉矿3挖尘45时间5序列升级68核7a敌人爆炸9伤害
13	21252 34432	   	278.72	橙橙2易伤1伤害2时间	15易伤2掉矿3挖尘45时间5序列升级68核7敌人爆炸9伤害a低血量敌人
14	21252 34433	   	278.72	橙橙2易伤1伤害2时间	15易伤2掉矿3挖尘45时间5序列升级68核7敌人爆炸9伤害a最后敌人
15	21212 32424	   	278.72	橙橙2易伤1伤害2时间	15易伤2掉矿3挖尘45基地爆炸5序列升级68核79时间a伤害
16	21212 31425	   	277.51	橙橙2易伤1伤害1暴击	15易伤2掉矿3挖尘45基地爆炸5序列升级68核7低血量敌人9暴击a伤害
17	21232 34425	   	277.51	橙橙2易伤1伤害1暴击	15易伤2掉矿3挖尘45低血量敌人5序列升级68核7敌人爆炸9暴击a伤害
18	21252 31423	 * 	277.31	橙橙2易伤3时间1暴击	15易伤2掉矿3挖尘45a时间5序列升级68核7低血量敌人9暴击
19	21531 35342	   	274.98	橙橙2易伤1矿等1暴击	16易伤2掉矿3技能4暴击5低血量敌人79核8等级a矿等
20	21113 32142	 * 	272.35	橙橙2矿等1易伤1攻速1卖塔	1易伤25掉矿3a矿等4攻速69核7时间8卖塔
21	21252 31424	   	272.30	橙橙2易伤2时间1暴击	15易伤2掉矿3挖尘45时间5序列升级68核7低血量敌人9暴击a最后敌人
