0	Index      	 *	Score 	Summary	Detail	
1	23521 16251	 * 	269.09	紫橙3易伤2攻速	1机枪对壮28核35a易伤47攻速6赏金塔9激光减费
2	21221 53523	 * 	265.08	橙橙1易伤2全技能1矿等1平台	1机枪对壮2金币生成3赏金邻近45全技能6平台78核9易伤a矿等
3	21521 53523	   	265.08	橙橙1易伤2全技能1矿等1平台	1机枪对壮2金币生成3赏金塔45全技能6平台78核9易伤a矿等
4	23521 16232	   	259.38	紫橙2易伤2攻速1暴击	1机枪对壮28核35易伤47攻速6赏金塔9暴击a立即金币
5	23521 16233	   	259.38	紫橙2易伤2攻速1暴击	1机枪对壮28核35易伤47攻速6赏金塔9暴击a金币生成
6	23521 16235	   	259.38	紫橙2易伤2攻速1暴击	1机枪对壮28核35易伤47攻速6赏金塔9暴击a最后敌人
7	62521 16232	   	259.38	紫橙2易伤2攻速1暴击	18核2激光对绿35易伤47攻速6赏金塔9暴击a立即金币
8	62521 16233	   	259.38	紫橙2易伤2攻速1暴击	18核2激光对绿35易伤47攻速6赏金塔9暴击a金币生成
9	23521 16231	   	259.28	紫橙2易伤2攻速1暴击	1机枪对壮28核35易伤47攻速6赏金塔9暴击a加一
10	23521 16234	   	259.28	紫橙2易伤2攻速1暴击	1机枪对壮28核35易伤47攻速6赏金塔9暴击a挖青
11	23521 16236	   	259.28	紫橙2易伤2攻速1暴击	1机枪对壮28核35易伤47攻速6赏金塔9暴击a挖尘
12	62521 16231	   	259.28	紫橙2易伤2攻速1暴击	18核2激光对绿35易伤47攻速6赏金塔9暴击a加一
13	66333 31221	 * 	257.27	紫橙2易伤2伤害	18核24伤害3电塔对甲5敌人爆炸6a易伤7基地爆炸9最后敌人
14	66333 31236	   	257.27	紫橙2易伤2伤害	18核24伤害3电塔对甲5敌人爆炸6a易伤7基地爆炸9赏金塔
15	66333 41231	   	257.27	紫橙2易伤2伤害	18核24伤害3电塔对甲5敌人爆炸6低血量敌人7基地爆炸9a易伤
16	66333 43221	   	257.27	紫橙2易伤2伤害	18核24伤害3电塔对甲5敌人爆炸6低血量敌人7a易伤9最后敌人
17	23321 61221	   	256.74	紫橙3易伤1攻速	1机枪对壮28核3敌人爆炸4攻速56a易伤7基地爆炸9最后敌人
18	23321 61236	   	256.74	紫橙3易伤1攻速	1机枪对壮28核3敌人爆炸4攻速56a易伤7基地爆炸9赏金塔
19	23521 41221	   	256.74	紫橙3易伤1攻速	1机枪对壮28核35a易伤4攻速6低血量敌人7基地爆炸9最后敌人
20	23521 41236	   	256.74	紫橙3易伤1攻速	1机枪对壮28核35a易伤4攻速6低血量敌人7基地爆炸9赏金塔
21	62321 61221	   	256.74	紫橙3易伤1攻速	18核2激光对绿3敌人爆炸4攻速56a易伤7基地爆炸9最后敌人
22	62321 61236	   	256.74	紫橙3易伤1攻速	18核2激光对绿3敌人爆炸4攻速56a易伤7基地爆炸9赏金塔
23	62521 41221	   	256.74	紫橙3易伤1攻速	18核2激光对绿35a易伤4攻速6低血量敌人7基地爆炸9最后敌人
24	64321 61221	   	256.74	紫橙3易伤1攻速	18核2基础对甲3敌人爆炸4攻速56a易伤7基地爆炸9最后敌人
25	65121 61221	   	256.74	紫橙3易伤1攻速	18核2敌人爆炸3导弹对毒4攻速56a易伤7基地爆炸9最后敌人
26	66213 62321	   	256.73	紫橙1易伤1伤害1攻速1暴击1平台1卖塔	1a核2伤害3时间4暴击5雷电6卖塔7平台8易伤9攻速
27	23214 58341	   	256.64	紫橙3易伤1暴击	1机枪对壮27核3额外掉落4暴击59a易伤6加一8赏金塔
28	23321 61264	   	256.64	紫橙3易伤1攻速	1机枪对壮28核3敌人爆炸4攻速56a易伤7基地爆炸9掉矿
29	23521 15251	   	256.64	紫橙3易伤1攻速	1机枪对壮28核35a易伤4攻速6赏金塔7立即金币9激光减费
30	63121 61221	   	256.64	紫橙3易伤1攻速	18核2挖尘3导弹对毒4攻速56a易伤7敌人爆炸9最后敌人
31	63121 61236	   	256.64	紫橙3易伤1攻速	18核2挖尘3导弹对毒4攻速56a易伤7敌人爆炸9赏金塔
32	63121 65221	   	256.64	紫橙3易伤1攻速	18核2挖尘3导弹对毒4攻速56a易伤7基地爆炸9最后敌人
33	23321 61243	   	256.58	紫橙2易伤1攻速1暴击1全技能	1机枪对壮28核3敌人爆炸4攻速56易伤7基地爆炸9全技能a暴击
34	23521 41243	   	256.58	紫橙2易伤1攻速1暴击1全技能	1机枪对壮28核35易伤4攻速6低血量敌人7基地爆炸9全技能a暴击
35	62321 61243	   	256.58	紫橙2易伤1攻速1暴击1全技能	18核2激光对绿3敌人爆炸4攻速56易伤7基地爆炸9全技能a暴击
36	63121 61243	   	256.48	紫橙2易伤1攻速1暴击1全技能	18核2挖尘3导弹对毒4攻速56易伤7敌人爆炸9全技能a暴击
37	21221 53525	   	255.85	橙橙1易伤2全技能1平台	1机枪对壮2金币生成3赏金邻近45全技能6平台78核9易伤a时间
38	66321 13221	   	254.54	紫橙2易伤1伤害2时间	18核2伤害3电塔对甲4低血量敌人5a易伤67时间9最后敌人
39	66321 13236	   	254.54	紫橙2易伤1伤害2时间	18核2伤害3电塔对甲4低血量敌人5a易伤67时间9赏金塔
40	66235 13221	   	254.44	紫橙2易伤1伤害2时间	18核2伤害36时间4挖尘5多重对甲7a易伤9最后敌人
41	66235 11231	   	254.44	紫橙2易伤1伤害2时间	18核2伤害36时间4挖尘5多重对甲7敌人爆炸9a易伤
42	22421 65122	 * 	254.37	橙橙1伤害1矿等1暴击1平台1策反	1机枪对壮2时间3矿等4暴击5平台6a核7策反8掉矿9伤害
43	23321 11221	   	254.03	紫橙2易伤2攻速	1机枪对壮28核3敌人爆炸47攻速5a易伤6时间9最后敌人
44	23321 11236	   	254.03	紫橙2易伤2攻速	1机枪对壮28核3敌人爆炸47攻速5a易伤6时间9赏金塔
45	62321 11221	   	254.03	紫橙2易伤2攻速	18核2激光对绿3敌人爆炸47攻速5a易伤6时间9最后敌人
46	62321 11236	   	254.03	紫橙2易伤2攻速	18核2激光对绿3敌人爆炸47攻速5a易伤6时间9赏金塔
47	64321 11221	   	254.03	紫橙2易伤2攻速	18核2基础对甲3敌人爆炸47攻速5a易伤6时间9最后敌人
48	64321 11236	   	254.03	紫橙2易伤2攻速	18核2基础对甲3敌人爆炸47攻速5a易伤6时间9赏金塔
49	65121 11221	   	254.03	紫橙2易伤2攻速	18核2敌人爆炸3导弹对毒47攻速5a易伤6时间9最后敌人
50	65121 11236	   	254.03	紫橙2易伤2攻速	18核2敌人爆炸3导弹对毒47攻速5a易伤6时间9赏金塔
51	23321 11264	   	253.93	紫橙2易伤2攻速	1机枪对壮28核3敌人爆炸47攻速5a易伤6时间9掉矿
52	62321 11264	   	253.93	紫橙2易伤2攻速	18核2激光对绿3敌人爆炸47攻速5a易伤6时间9掉矿
53	63121 11221	   	253.93	紫橙2易伤2攻速	18核2挖尘3导弹对毒47攻速5a易伤6时间9最后敌人
54	63121 11236	   	253.93	紫橙2易伤2攻速	18核2挖尘3导弹对毒47攻速5a易伤6时间9赏金塔
55	63121 11264	   	253.83	紫橙2易伤2攻速	18核2挖尘3导弹对毒47攻速5a易伤6时间9掉矿
56	66333 31243	   	252.51	紫橙2伤害1易伤1暴击1全技能	18核24伤害3电塔对甲5敌人爆炸6易伤7基地爆炸9全技能a暴击
57	23542 15113	   	251.39	紫橙3易伤	1机枪对壮27核39a易伤4金币生成5等级6时间8雷电
58	23321 61244	   	251.24	紫橙2易伤1攻速1全技能	1机枪对壮28核3敌人爆炸4攻速56易伤7基地爆炸9全技能a时间
59	23523 43632	   	250.80	紫橙2易伤1矿等1攻速	1机枪对壮27核38易伤4攻速5赏金塔6随机矿9雷电a矿等
60	66432 21243	 * 	250.70	紫橙2伤害2矿等1暴击1全技能	1a核29伤害39矿等4暴击5雷电69挖尘7全技能8加一9序列升级
61	23331 65231	   	250.46	紫橙2易伤1矿等1攻速1策反	1机枪对壮28核3敌人爆炸4策反56易伤7双倍秒伤9攻速a矿等
62	62331 65231	   	250.46	紫橙2易伤1矿等1攻速1策反	18核2激光对绿3敌人爆炸4策反56易伤7双倍秒伤9攻速a矿等
63	63131 65231	   	250.36	紫橙2易伤1矿等1攻速1策反	18核2挖尘3导弹对毒4策反56易伤7双倍秒伤9攻速a矿等
64	66321 13243	   	249.78	紫橙1易伤1伤害2时间1暴击1全技能	18核2伤害3电塔对甲4低血量敌人5易伤67时间9全技能a暴击
65	23321 11243	   	249.27	紫橙1易伤2攻速1暴击1全技能	1机枪对壮28核3敌人爆炸47攻速5易伤6时间9全技能a暴击
66	62321 11243	   	249.27	紫橙1易伤2攻速1暴击1全技能	18核2激光对绿3敌人爆炸47攻速5易伤6时间9全技能a暴击
67	64321 11243	   	249.27	紫橙1易伤2攻速1暴击1全技能	18核2基础对甲3敌人爆炸47攻速5易伤6时间9全技能a暴击
68	65121 11243	   	249.27	紫橙1易伤2攻速1暴击1全技能	18核2敌人爆炸3导弹对毒47攻速5易伤6时间9全技能a暴击
69	63121 11243	   	249.17	紫橙1易伤2攻速1暴击1全技能	18核2挖尘3导弹对毒47攻速5易伤6时间9全技能a暴击
70	66222 43221	   	247.99	紫橙2易伤1伤害	18核2伤害3时间4随机矿5等级6基础对甲7a易伤9最后敌人
71	66222 62122	   	247.85	紫橙2易伤1伤害1卖塔	16核2伤害3时间4随机矿5等级7卖塔8基地爆炸9a易伤
72	21221 53521	   	247.54	橙橙1易伤2全技能1平台	1机枪对壮2金币生成3赏金邻近45全技能6平台78核9易伤a基地爆炸
73	21221 53522	   	247.54	橙橙1易伤2全技能1平台	1机枪对壮2a金币生成3赏金邻近45全技能6平台78核9易伤
74	21521 53521	   	247.54	橙橙1易伤2全技能1平台	1机枪对壮2金币生成3赏金塔45全技能6平台78核9易伤a基地爆炸
75	21521 53522	   	247.54	橙橙1易伤2全技能1平台	1机枪对壮2a金币生成3赏金塔45全技能6平台78核9易伤
76	21221 53524	   	247.44	橙橙1易伤2全技能1平台1策反	1机枪对壮2金币生成3赏金邻近45全技能6平台78核9易伤a策反
77	23521 22115	 * 	247.11	紫5易伤2攻速1伤害	1机枪对壮2核3567a易伤46攻速6序列升级8伤害9时间
78	62521 22115	   	247.11	紫5易伤2攻速1伤害	1核2激光对绿3567a易伤46攻速6序列升级8伤害9时间
79	23521 15232	   	246.92	紫橙2易伤1攻速1暴击	1机枪对壮28核35易伤4攻速6赏金塔7a立即金币9暴击
80	23521 15233	   	246.92	紫橙2易伤1攻速1暴击	1机枪对壮28核35易伤4攻速6赏金塔7立即金币9暴击a金币生成
81	23521 15235	   	246.92	紫橙2易伤1攻速1暴击	1机枪对壮28核35易伤4攻速6赏金塔7立即金币9暴击a最后敌人
82	62521 15232	   	246.92	紫橙2易伤1攻速1暴击	18核2激光对绿35易伤4攻速6赏金塔7a立即金币9暴击
83	62521 15233	   	246.92	紫橙2易伤1攻速1暴击	18核2激光对绿35易伤4攻速6赏金塔7立即金币9暴击a金币生成
84	23521 15231	   	246.82	紫橙2易伤1攻速1暴击	1机枪对壮28核35易伤4攻速6赏金塔7立即金币9暴击a加一
85	23521 15234	   	246.82	紫橙2易伤1攻速1暴击	1机枪对壮28核35易伤4攻速6赏金塔7立即金币9暴击a挖青
86	23521 15236	   	246.82	紫橙2易伤1攻速1暴击	1机枪对壮28核35易伤4攻速6赏金塔7立即金币9暴击a挖尘
87	62521 15231	   	246.82	紫橙2易伤1攻速1暴击	18核2激光对绿35易伤4攻速6赏金塔7立即金币9暴击a加一
88	23321 61256	   	246.68	紫橙2易伤1攻速1暴击1卖塔	1机枪对壮28核3敌人爆炸4攻速56易伤7基地爆炸9卖塔a暴击
89	11613 32521	 * 	245.93	橙2易伤2攻速1伤害1矿等1暴击	1时间25攻速3矿等49易伤6最后敌人7伤害8暴击a核
90	11613 62521	   	245.83	橙2易伤2攻速1伤害1矿等1暴击	1时间25攻速3矿等49易伤6挖尘7伤害8暴击a核
91	23321 31221	   	245.73	紫橙2易伤2攻速	1机枪对壮28核3敌人爆炸47攻速5a易伤6低血量敌人9最后敌人
92	23321 31236	   	245.73	紫橙2易伤2攻速	1机枪对壮28核3敌人爆炸47攻速5a易伤6低血量敌人9赏金塔
93	23521 16211	   	245.73	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9额外掉落a敌人爆炸
94	23521 16212	   	245.73	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9额外掉落a激光对冰
95	23521 16213	   	245.73	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9额外掉落a最后敌人
96	23521 16214	   	245.73	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9额外掉落a基地爆炸
97	23521 16241	   	245.73	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9低血量敌人a激光对冰
98	23521 16242	   	245.73	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9低血量敌人a技能
99	23521 16261	   	245.73	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9最后敌人a激光对冰
100	23521 16262	   	245.73	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9最后敌人a技能
101	62321 31221	   	245.73	紫橙2易伤2攻速	18核2激光对绿3敌人爆炸47攻速5a易伤6低血量敌人9最后敌人
102	62321 31236	   	245.73	紫橙2易伤2攻速	18核2激光对绿3敌人爆炸47攻速5a易伤6低血量敌人9赏金塔
103	62521 16211	   	245.73	紫橙2易伤2攻速	18核2激光对绿35易伤47攻速6赏金塔9额外掉落a敌人爆炸
104	62521 16212	   	245.73	紫橙2易伤2攻速	18核2激光对绿35易伤47攻速6赏金塔9额外掉落a激光对冰
105	62521 16213	   	245.73	紫橙2易伤2攻速	18核2激光对绿35易伤47攻速6赏金塔9额外掉落a最后敌人
106	64321 31221	   	245.73	紫橙2易伤2攻速	18核2基础对甲3敌人爆炸47攻速5a易伤6低血量敌人9最后敌人
107	64321 31236	   	245.73	紫橙2易伤2攻速	18核2基础对甲3敌人爆炸47攻速5a易伤6低血量敌人9赏金塔
108	65121 31221	   	245.73	紫橙2易伤2攻速	18核2敌人爆炸3导弹对毒47攻速5a易伤6低血量敌人9最后敌人
109	65121 31236	   	245.73	紫橙2易伤2攻速	18核2敌人爆炸3导弹对毒47攻速5a易伤6低血量敌人9赏金塔
110	23551 51221	   	245.73	紫橙2易伤2攻速	1机枪对壮28核3a易伤4敌人爆炸5基地爆炸67攻速9最后敌人
111	23321 31264	   	245.63	紫橙2易伤2攻速	1机枪对壮28核3敌人爆炸47攻速5a易伤6低血量敌人9掉矿
112	23521 16215	   	245.63	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9额外掉落a挖青
113	23521 16216	   	245.63	紫橙2易伤2攻速1挖怪	1机枪对壮28核35易伤47攻速6赏金塔9额外掉落a挖怪
114	23521 16223	   	245.63	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9掉矿a基地爆炸
115	23521 16224	   	245.63	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9掉矿a赏金邻近
116	23521 16225	   	245.63	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9掉矿a雷电
117	23521 16226	   	245.63	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9掉矿a技能
118	23521 16243	   	245.63	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9低血量敌人a双倍物品
119	23521 16253	   	245.63	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9激光减费a赏金邻近
120	23521 16263	   	245.63	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9最后敌人a双倍物品
121	62321 31264	   	245.63	紫橙2易伤2攻速	18核2激光对绿3敌人爆炸47攻速5a易伤6低血量敌人9掉矿
122	62521 16223	   	245.63	紫橙2易伤2攻速	18核2激光对绿35易伤47攻速6赏金塔9掉矿a基地爆炸
123	63121 31221	   	245.63	紫橙2易伤2攻速	18核2挖尘3导弹对毒47攻速5a易伤6低血量敌人9最后敌人
124	63121 31236	   	245.63	紫橙2易伤2攻速	18核2挖尘3导弹对毒47攻速5a易伤6低血量敌人9赏金塔
125	23523 16251	   	245.63	紫橙2易伤2攻速	1机枪对壮28核3a易伤47攻速5赏金塔6立即金币9激光减费
126	23521 16221	   	245.53	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9掉矿a毒液对黄
127	23521 16222	   	245.53	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9掉矿a技能点
128	23521 16252	   	245.53	紫橙2易伤2攻速	1机枪对壮28核35易伤47攻速6赏金塔9激光减费a双倍秒伤
129	62521 16221	   	245.53	紫橙2易伤2攻速	18核2激光对绿35易伤47攻速6赏金塔9掉矿a毒液对黄
130	62521 16222	   	245.53	紫橙2易伤2攻速	18核2激光对绿35易伤47攻速6赏金塔9掉矿a技能点
131	63121 31264	   	245.53	紫橙2易伤2攻速	18核2挖尘3导弹对毒47攻速5a易伤6低血量敌人9掉矿
132	23562 35232	 * 	245.43	紫橙2易伤3暴击	1机枪对壮2a核36易伤479暴击5挖青8激光减费
133	11335 12623	   	244.22	橙3易伤2攻速2时间1全技能1平台	19时间29攻速359易伤4赏金塔6平台7技能8全技能9序列升级a核
134	11613 11165	 * 	244.14	橙2易伤2矿等2攻速2时间1全技能	1a时间25攻速3a矿等4a易伤6技能7全技能8核9加一a序列升级
135	23321 61241	   	242.93	紫橙2易伤1攻速1全技能	1机枪对壮28核3敌人爆炸4攻速56易伤7基地爆炸9全技能a最后敌人
136	23521 41241	   	242.93	紫橙2易伤1攻速1全技能	1机枪对壮28核35易伤4攻速6低血量敌人7基地爆炸9全技能a最后敌人
137	62321 61241	   	242.93	紫橙2易伤1攻速1全技能	18核2激光对绿3敌人爆炸4攻速56易伤7基地爆炸9全技能a最后敌人
138	23331 61221	   	242.84	紫橙3易伤1策反	1机枪对壮28核3敌人爆炸4策反56a易伤7基地爆炸9最后敌人
139	23331 61236	   	242.84	紫橙3易伤1策反	1机枪对壮28核3敌人爆炸4策反56a易伤7基地爆炸9赏金塔
140	23331 61264	   	242.84	紫橙3易伤1策反	1机枪对壮28核3敌人爆炸4策反56a易伤7基地爆炸9随机矿
141	23531 41221	   	242.84	紫橙3易伤1策反	1机枪对壮28核35a易伤4策反6低血量敌人7基地爆炸9最后敌人
142	23531 41236	   	242.84	紫橙3易伤1策反	1机枪对壮28核35a易伤4策反6低血量敌人7基地爆炸9赏金塔
143	62331 61221	   	242.84	紫橙3易伤1策反	18核2激光对绿3敌人爆炸4策反56a易伤7基地爆炸9最后敌人
144	62331 61236	   	242.84	紫橙3易伤1策反	18核2激光对绿3敌人爆炸4策反56a易伤7基地爆炸9赏金塔
145	62531 41221	   	242.84	紫橙3易伤1策反	18核2激光对绿35a易伤4策反6低血量敌人7基地爆炸9最后敌人
146	64331 61221	   	242.84	紫橙3易伤1策反	18核2基础对甲3敌人爆炸4策反56a易伤7基地爆炸9最后敌人
147	65131 61221	   	242.84	紫橙3易伤1策反	18核2敌人爆炸3导弹对毒4策反56a易伤7基地爆炸9最后敌人
148	23214 58343	   	242.83	紫橙2易伤1暴击1全技能	1机枪对壮27核3额外掉落4暴击59易伤6加一8赏金塔a全技能
149	23321 61242	   	242.83	紫橙2易伤1攻速1全技能1挖怪	1机枪对壮28核3敌人爆炸4攻速56易伤7基地爆炸9全技能a挖怪
150	23321 61246	   	242.83	紫橙2易伤1攻速1全技能	1机枪对壮28核3敌人爆炸4攻速56易伤7基地爆炸9全技能a挖尘
151	23521 41242	   	242.83	紫橙2易伤1攻速1全技能1挖怪	1机枪对壮28核35易伤4攻速6低血量敌人7基地爆炸9全技能a挖怪
152	62321 61242	   	242.83	紫橙2易伤1攻速1全技能1挖怪	18核2激光对绿3敌人爆炸4攻速56易伤7基地爆炸9全技能a挖怪
153	63121 61241	   	242.83	紫橙2易伤1攻速1全技能	18核2挖尘3导弹对毒4攻速56易伤7敌人爆炸9全技能a最后敌人
154	23523 43261	 * 	242.75	紫橙3攻速1易伤1暴击	1机枪对壮27核3易伤48a攻速5赏金塔6随机矿9暴击
155	63131 61221	   	242.74	紫橙3易伤1策反	18核2挖尘3导弹对毒4策反56a易伤7敌人爆炸9最后敌人
