0	Index      	 *	Score 	Summary	Detail	
1	21231 22645	 * 	287.83	橙橙2伤害1易伤2暴击1平台	1寒冰对甲2技能39伤害4易伤57暴击6平台8a核
2	62135 11136	 * 	285.84	橙橙3易伤1暴击	138易伤278敌人爆炸4掉矿5暴击68雷电8序列升级9a核
3	61411 31351	 * 	281.33	紫橙2易伤2矿等2暴击	19易伤2赏金塔37核49矿等5最后敌人6金币生成89暴击9序列升级a时间
4	63121 52423	   	280.30	橙橙3易伤	138易伤2低血量敌人4时间5双倍秒伤6随机矿7金币生成9a核
5	61411 31353	   	273.03	紫橙2易伤2矿等2暴击	19易伤2赏金塔37核49矿等5最后敌人6金币生成89暴击9序列升级a低血量敌人
6	61411 31352	   	272.93	紫橙2易伤2矿等2暴击	19易伤2赏金塔37核49矿等5最后敌人6金币生成89暴击9序列升级a毒液对毒
7	22522 21434	   	272.03	橙橙1易伤1伤害1攻速1平台	1寒冰对甲2易伤3狙击对黄4双倍秒伤5平台6伤害7攻速89核a时间
8	62111 26343	   	271.99	橙橙3易伤	139易伤2敌人爆炸4最后敌人5双倍秒伤6a核7低血量敌人8随机矿
9	63111 52423	   	271.99	橙橙3易伤	138易伤2低血量敌人4最后敌人5双倍秒伤6随机矿7金币生成9a核
10	22522 21435	   	270.66	橙橙1易伤1伤害1攻速1平台	1寒冰对甲2易伤3狙击对黄4双倍秒伤5平台6伤害7攻速89核a核弹
11	43322 36141	 * 	266.14	橙2易伤3伤害2矿等1全技能1平台	1核弹2平台39矿等459伤害69易伤7全技能8核9序列升级a等级
12	43322 36143	   	266.14	橙2易伤3伤害2矿等1全技能1平台	1核弹2平台39矿等459伤害69易伤7全技能8核9序列升级a随机矿
13	43322 36142	   	266.04	橙2易伤3伤害2矿等1全技能1平台	1核弹2平台39矿等459伤害69易伤7全技能8核9序列升级a挖尘
14	61423 31351	   	265.72	紫橙2易伤2暴击1矿等	19易伤2赏金塔37核49低血量敌人5矿等6金币生成89暴击9序列升级a时间
15	22522 21431	   	263.72	橙橙1易伤1伤害1攻速1平台	1寒冰对甲2易伤3狙击对黄4双倍秒伤5平台6伤害7攻速89核a基地爆炸
16	22522 21433	   	263.72	橙橙1易伤1伤害1攻速1平台	1寒冰对甲2易伤3狙击对黄4双倍秒伤5平台6伤害7攻速89核a雷电
17	22522 21436	   	263.72	橙橙1易伤1伤害1攻速1平台	1寒冰对甲2易伤3狙击对黄4双倍秒伤5平台6伤害7攻速89核a立即金币
18	22522 21432	   	263.62	橙橙1易伤1伤害1攻速1平台	1寒冰对甲2易伤3狙击对黄4双倍秒伤5平台6伤害7攻速89核a挖尘
19	65111 26133	   	263.38	橙橙2易伤2时间	13易伤28时间49最后敌人5双倍秒伤6a核7低血量敌人
20	65121 53123	   	263.38	橙橙2易伤2时间	13易伤24时间5挖尘6低血量敌人7最后敌人8基地爆炸9a核
21	61431 31421	 * 	263.15	紫橙3易伤3时间	15a易伤2赏金塔37核48a时间6a基地爆炸9挖青a序列升级
22	56413 21122	   	262.53	紫橙2易伤2矿等1全技能	1赏金邻近2低血量敌人37核49矿等5等级6a易伤8全技能
23	61413 51122	   	262.53	紫橙2易伤2矿等1全技能	1a易伤2赏金塔37核49矿等5等级6最后敌人8全技能
24	62135 11336	   	262.18	橙橙2易伤1暴击	13易伤278敌人爆炸4掉矿5暴击6雷电9a核
25	21331 22645	   	261.18	橙橙2伤害2暴击1平台	1寒冰对甲2技能3时间49伤害57暴击6平台8a核
26	61421 51123	   	260.57	紫橙2易伤1矿等1暴击1全技能	15易伤2赏金塔37核4低血量敌人6最后敌人8全技能9矿等a暴击
27	61411 31336	   	259.21	紫橙2易伤1矿等1暴击	1a易伤2赏金塔37核4矿等5最后敌人6金币生成8暴击9时间
28	61423 31336	   	259.21	紫橙2易伤1矿等1暴击	1a易伤2赏金塔37核4低血量敌人5矿等6金币生成8暴击9时间
29	61431 31411	   	258.24	紫橙3易伤2时间	15a易伤2赏金塔37核48时间6a基地爆炸9a敌人爆炸a序列升级
30	61431 51321	   	258.24	紫橙3易伤2时间	15a易伤2赏金塔37核49时间6a最后敌人8a敌人爆炸a序列升级
31	61421 31431	   	258.24	紫橙3易伤2时间	15a易伤2赏金塔37核4低血量敌人6a基地爆炸8a时间9立即金币a序列升级
32	61431 31121	   	258.14	紫橙3易伤2时间	15a易伤2赏金塔37核4a时间6a基地爆炸8双倍矿9挖青a序列升级
33	61431 31431	   	258.04	紫橙3易伤2时间	15a易伤2赏金塔37核48时间6a基地爆炸9a挖尘a序列升级
