0	Index      	 *	Score 	Summary	Detail	
1	12332 33222	 * 	260.67	紫橙3易伤1矿等1卖塔	18低血量敌人2卖塔38雷电4随机矿57核689易伤8序列升级a矿等
2	22312 33563	 * 	258.87	紫橙2易伤1矿等1攻速1卖塔	16易伤2卖塔3雷电4矿等59核7时间8挖青a攻速
3	16333 52212	 * 	254.02	橙橙1易伤1伤害1攻速1策反	12低血量敌人3雷电4伤害5策反6攻速7技能8a核9易伤
4	22312 33661	 * 	251.87	紫橙2易伤1矿等2时间1卖塔	16易伤2卖塔3雷电4矿等59核7a时间8敌人爆炸
5	62332 33223	 * 	251.45	紫橙3易伤1卖塔	18最后敌人2卖塔38雷电4随机矿57核689易伤8序列升级a时间
6	22332 23223	 * 	251.25	紫橙3易伤1卖塔	189易伤2卖塔38雷电4随机矿57核68挖尘8序列升级a时间
7	23235 53333	 * 	251.11	橙3易伤3矿等3时间	19a易伤2导弹对黄39a时间4敌人爆炸5低血量敌人69a矿等7核8赏金邻近9a序列升级
8	25133 33211	 * 	248.63	橙橙2易伤	19易伤2低血量敌人38敌人爆炸46雷电5立即金币7a核
9	25133 33411	   	248.63	橙橙2易伤	19易伤28低血量敌人3敌人爆炸46雷电5立即金币7a核
10	25134 33211	   	248.63	橙橙2易伤	19易伤25低血量敌人38敌人爆炸46雷电7a核
11	25134 33411	   	248.63	橙橙2易伤	19易伤258低血量敌人3敌人爆炸46雷电7a核
12	56214 33211	   	248.53	橙橙2易伤	1等级26雷电38敌人爆炸49易伤5掉矿7a核
13	23255 53323	 * 	248.47	橙4易伤1伤害2时间1全技能	1789易伤27导弹对黄37时间4全技能5随机矿6核7序列升级a伤害
14	23161 23412	 * 	247.34	橙橙1易伤1矿等1全技能	1易伤2导弹对黄3激光减费4额外掉落5技能点6多重对甲7a核8矿等9全技能
15	22653 42483	   	247.20	橙橙1易伤1矿等1平台1卖塔	1易伤2卖塔3赏金邻近4加一5平台6技能点7矿等8双倍秒伤9a核
16	13152 43522	 * 	247.13	橙3易伤2伤害1矿等	1低血量敌人2机枪对壮368易伤4时间5矿等7核9a伤害
17	23232 43522	   	247.13	橙3易伤2伤害1矿等	168易伤2导弹对黄3时间4敌人爆炸5矿等7核9a伤害
18	23342 43522	   	247.13	橙3易伤2伤害1矿等	168易伤2导弹对黄3敌人爆炸4时间5矿等7核9a伤害
19	12312 32164	 * 	246.67	紫橙2易伤1矿等1平台1卖塔	1低血量敌人2卖塔3雷电4矿等5a核67易伤8金币生成9平台
20	22312 34164	 * 	246.67	紫橙2易伤1矿等1平台1卖塔	16易伤2卖塔3雷电4矿等5a核7敌人爆炸8金币生成9平台
21	22312 35164	 * 	246.67	紫橙2易伤1矿等1平台1卖塔	16易伤2卖塔3雷电4矿等5a核7最后敌人8金币生成9平台
22	62312 32164	 * 	246.67	紫橙2易伤1矿等1平台1卖塔	1最后敌人2卖塔3雷电4矿等5a核67易伤8金币生成9平台
23	22312 22164	 * 	246.57	紫橙2易伤1矿等1平台1卖塔	17易伤2卖塔3雷电4矿等5a核6挖尘8金币生成9平台
24	22312 23463	 * 	246.57	紫橙2易伤1矿等1全技能1卖塔	19易伤2卖塔39雷电4矿等57核6挖尘89喷火对黄9序列升级a全技能
25	22312 23464	 * 	246.57	紫橙2易伤1矿等1平台1卖塔	19易伤2卖塔39雷电4矿等57核6挖尘89喷火对黄9序列升级a平台
26	22312 36164	 * 	246.57	紫橙2易伤1矿等1平台1卖塔	16易伤2卖塔3雷电4矿等5a核7挖尘8金币生成9平台
27	22312 23346	 * 	246.47	紫橙2易伤1矿等1全技能1卖塔	1a易伤2卖塔3雷电4矿等57核6挖尘8掉矿9全技能
28	22312 23451	 * 	246.47	紫橙2易伤1矿等1全技能1卖塔	1a易伤2卖塔3雷电4矿等57核6挖尘8喷火对黄9全技能
29	13152 52222	   	246.09	橙橙1易伤1矿等	1低血量敌人2机枪对壮3易伤4时间5矿等6电塔对甲7敌人爆炸8电塔对黄9a核
30	21142 54222	   	245.99	橙橙1易伤1矿等	1易伤2挖青3敌人爆炸4毒液对黄5矿等6电塔对甲7时间8电塔对黄9a核
31	21552 52222	   	245.99	橙橙1易伤1矿等	1易伤2挖青3基础对冰4时间5矿等6电塔对甲7敌人爆炸8电塔对黄9a核
32	21342 54222	   	245.89	橙橙1易伤1矿等	1易伤2挖青3挖尘4毒液对黄5矿等6电塔对甲7时间8电塔对黄9a核
33	31141 52532	 * 	245.85	橙3易伤2暴击1矿等2时间1全技能	14暴击24时间3额外掉落4序列升级578易伤6全技能9核a矿等
34	22312 33662	 * 	245.32	紫橙2易伤1矿等1卖塔	16易伤2卖塔3雷电4矿等59核7时间8敌人爆炸a赏金塔
35	22312 33663	 * 	245.32	紫橙2易伤1矿等1卖塔	16易伤2卖塔3雷电4矿等59核7时间8敌人爆炸a双倍矿
36	22312 33666	 * 	245.32	紫橙2易伤1矿等1卖塔	16易伤2卖塔3a雷电4矿等59核7时间8敌人爆炸
37	62312 33223	 * 	245.32	紫橙2易伤1矿等1卖塔	18最后敌人2卖塔3雷电4矿等57核69易伤a时间
