0	Index      	 *	Score 	Summary	Detail	
1	12211 31142	 * 	289.56	橙橙1易伤1伤害1矿等1攻速1全技能	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9伤害a全技能
2	12211 31155	   	289.56	橙橙1易伤1伤害1矿等1攻速1平台	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9平台a伤害
3	12211 31113	 * 	287.82	橙橙2易伤1矿等1攻速	1时间2a易伤3挖尘4矿等5攻速68核7散射对甲9电塔对黄
4	16612 31161	 * 	286.46	橙橙2易伤1伤害1全技能	1时间2伤害3挖尘4a易伤5随机矿68核7毒液对毒9全技能
5	12211 31143	   	279.90	橙橙1易伤1伤害1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9伤害a立即金币
6	12211 31146	   	279.90	橙橙1易伤1伤害1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9伤害a等级
7	12211 31112	   	279.80	橙橙1易伤1伤害1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9电塔对黄a伤害
8	12211 31141	   	279.80	橙橙1易伤1伤害1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9伤害a加一
9	12211 31144	   	279.80	橙橙1易伤1伤害1矿等1攻速1卖塔	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9伤害a卖塔
10	12211 31145	   	279.80	橙橙1易伤1伤害1矿等1攻速1挖怪	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9伤害a挖怪
11	12211 31111	 * 	275.35	橙橙1易伤2矿等1攻速	1时间2易伤3挖尘4a矿等5攻速68核7散射对甲9电塔对黄
12	13326 13335	   	273.69	橙橙1易伤1矿等1攻速1暴击	1时间2矿等3雷电4敌人爆炸5暴击6攻速7技能8a核9易伤
13	42332 22335	   	273.69	橙橙1易伤1矿等1攻速1暴击	1技能2雷电3暴击4时间5攻速6矿等7敌人爆炸8a核9易伤
14	52332 22335	   	273.59	橙橙1易伤1矿等1攻速1暴击	1核弹2雷电3暴击4时间5攻速6矿等7敌人爆炸8a核9易伤
15	33511 31142	   	272.03	橙橙1易伤1伤害1攻速1全技能	1金币生成2挖尘3时间4易伤5攻速68核7散射对甲9伤害a全技能
16	33511 31155	   	272.03	橙橙1易伤1伤害1攻速1平台	1金币生成2挖尘3时间4易伤5攻速68核7散射对甲9平台a伤害
17	23511 31142	   	271.93	橙橙1易伤1伤害1攻速1全技能	1技能点2挖尘3时间4易伤5攻速68核7散射对甲9伤害a全技能
18	23511 31155	   	271.93	橙橙1易伤1伤害1攻速1平台	1技能点2挖尘3时间4易伤5攻速68核7散射对甲9平台a伤害
19	12211 31154	   	269.50	橙橙1易伤1矿等1攻速1平台	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9平台a低血量敌人
20	12211 31156	   	269.50	橙橙1易伤1矿等1攻速1平台	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9平台a等级
21	12211 31135	   	269.40	橙橙1易伤1矿等1攻速1平台	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9技能点a平台
22	12211 31151	   	269.40	橙橙1易伤1矿等1攻速1平台	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9平台a技能点
23	12211 31152	   	269.40	橙橙1易伤1矿等1攻速1平台1挖怪	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9平台a挖怪
24	12211 31153	   	269.40	橙橙1易伤1矿等1攻速1平台	1时间2易伤3a挖尘4矿等5攻速68核7散射对甲9平台
25	12211 31134	   	266.68	橙橙1易伤1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9技能点a核弹
26	42213 12652	   	266.49	橙橙2易伤1平台	1技能2雷电36易伤4加农对毒5平台7基地爆炸8时间9a核
27	52213 12652	   	266.39	橙橙2易伤1平台	1核弹2雷电36易伤4加农对毒5平台7基地爆炸8时间9a核
28	16612 31142	 * 	266.31	橙橙2伤害1易伤	1时间29伤害3挖尘4易伤5随机矿68核7毒液对毒a基地爆炸
29	12211 31132	   	266.29	橙橙1易伤1矿等2时间1攻速	1a时间2易伤3挖尘4矿等5攻速68核7散射对甲9技能点
30	16612 31141	   	266.21	橙橙2伤害1易伤	1时间29伤害3a挖尘4易伤5随机矿68核7毒液对毒
31	16612 31143	   	266.21	橙橙2伤害1易伤	1时间29伤害3挖尘4易伤5随机矿68核7毒液对毒a双倍秒伤
32	16612 31111	   	266.15	橙橙1易伤1伤害1矿等	1时间2伤害3挖尘4易伤5随机矿68核7毒液对毒9多重对甲a矿等
33	42342 22335	   	265.38	橙橙1易伤1矿等1攻速1暴击	1技能2雷电3暴击4最后敌人5攻速6矿等7敌人爆炸8a核9易伤
34	52342 22335	   	265.28	橙橙1易伤1矿等1攻速1暴击	1核弹2雷电3暴击4最后敌人5攻速6矿等7敌人爆炸8a核9易伤
35	33451 31142	   	263.72	橙橙1易伤1伤害1攻速1全技能	1金币生成2挖尘3易伤4基地爆炸5攻速68核7散射对甲9伤害a全技能
36	23451 31142	   	263.62	橙橙1易伤1伤害1攻速1全技能	1技能点2挖尘3易伤4基地爆炸5攻速68核7散射对甲9伤害a全技能
37	33611 31155	   	263.62	橙橙1易伤1伤害1攻速1平台	1金币生成2挖尘3挖青4易伤5攻速68核7散射对甲9平台a伤害
38	23611 31155	   	263.52	橙橙1易伤1伤害1攻速1平台	1技能点2挖尘3挖青4易伤5攻速68核7散射对甲9平台a伤害
39	11336 21115	   	263.24	橙橙2易伤2时间1卖塔	16时间2基地爆炸3低血量敌人48易伤5卖塔7a核9雷电
40	15336 21115	   	263.24	橙橙2易伤2时间1卖塔	16时间2最后敌人3低血量敌人48易伤5卖塔7a核9雷电
41	12246 21115	   	263.14	橙橙2易伤2时间1卖塔	16时间28易伤3挖尘4低血量敌人5卖塔7a核9雷电
42	42353 33135	   	262.57	橙橙1易伤1伤害1暴击	1技能2雷电3暴击4敌人爆炸5伤害6时间7a核8易伤9金币生成
43	33111 31142	   	262.37	橙橙1易伤1伤害1攻速	1金币生成2挖尘3最后敌人4易伤5攻速68核7散射对甲9伤害a时间
44	33511 31143	   	262.37	橙橙1易伤1伤害1攻速	1金币生成2挖尘3时间4易伤5攻速68核7散射对甲9伤害a立即金币
45	23111 31142	   	262.27	橙橙1易伤1伤害1攻速	1技能点2挖尘3最后敌人4易伤5攻速68核7散射对甲9伤害a时间
46	23511 31143	   	262.27	橙橙1易伤1伤害1攻速	1技能点2挖尘3时间4易伤5攻速68核7散射对甲9伤害a立即金币
47	23511 31146	   	262.27	橙橙1易伤1伤害1攻速	1技能点2挖尘3时间4易伤5攻速68核7散射对甲9伤害a等级
48	33511 31141	   	262.27	橙橙1易伤1伤害1攻速	1金币生成2挖尘3时间4易伤5攻速68核7散射对甲9伤害a加一
49	33511 31144	   	262.27	橙橙1易伤1伤害1攻速1卖塔	1金币生成2挖尘3时间4易伤5攻速68核7散射对甲9伤害a卖塔
50	33511 31145	   	262.27	橙橙1易伤1伤害1攻速1挖怪	1金币生成2挖尘3时间4易伤5攻速68核7散射对甲9伤害a挖怪
51	33511 31146	   	262.27	橙橙1易伤1伤害1攻速	1金币生成2挖尘3时间4易伤5攻速68核7散射对甲9伤害a技能点
52	33611 31142	   	262.27	橙橙1易伤1伤害1攻速	1金币生成2挖尘3挖青4易伤5攻速68核7散射对甲9伤害a时间
53	23611 31142	   	262.17	橙橙1易伤1伤害1攻速	1技能点2挖尘3挖青4易伤5攻速68核7散射对甲9伤害a时间
54	23511 31141	   	262.17	橙橙1易伤1伤害1攻速	1技能点2挖尘3时间4易伤5攻速68核7散射对甲9伤害a加一
55	23511 31144	   	262.17	橙橙1易伤1伤害1攻速1卖塔	1技能点2挖尘3时间4易伤5攻速68核7散射对甲9伤害a卖塔
56	23511 31145	   	262.17	橙橙1易伤1伤害1攻速1挖怪	1技能点2挖尘3时间4易伤5攻速68核7散射对甲9伤害a挖怪
57	23451 31136	   	261.88	橙橙2易伤1攻速	19a技能点2挖尘3a易伤4基地爆炸5攻速68核7a散射对甲a序列升级
58	13332 11435	   	261.75	橙橙1易伤2矿等1卖塔	1时间24矿等3雷电5卖塔6低血量敌人7金币生成8易伤9a核
59	13332 14435	   	261.65	橙橙1易伤2矿等1卖塔	1时间24矿等3雷电5卖塔6低血量敌人7掉矿8易伤9a核
60	11251 31113	   	259.84	橙橙1易伤1矿等1攻速	1时间2基地爆炸3挖尘4矿等5攻速68核7寒冰对冰9爆破对壮a易伤
61	12211 31122	   	259.84	橙橙1易伤1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9最后敌人a技能
62	12211 31124	   	259.84	橙橙1易伤1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9最后敌人a双倍矿
63	12211 31125	   	259.84	橙橙1易伤1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9最后敌人a基地爆炸
64	12211 31162	   	259.84	橙橙1易伤1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9基地爆炸a技能
65	12211 31165	   	259.84	橙橙1易伤1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9a基地爆炸
66	12211 31166	   	259.84	橙橙1易伤1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9基地爆炸a敌人爆炸
67	13136 31113	   	259.84	橙橙1易伤1矿等1攻速	1时间2矿等3最后敌人4攻速5挖尘68核7寒冰对冰9爆破对壮a易伤
68	15251 31113	   	259.84	橙橙1易伤1矿等1攻速	1时间2最后敌人3挖尘4矿等5攻速68核7寒冰对冰9爆破对壮a易伤
69	12211 31115	   	259.74	橙橙1易伤1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9电塔对黄a敌人爆炸
70	12211 31116	   	259.74	橙橙1易伤1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9电塔对黄a低血量敌人
71	12211 31121	   	259.74	橙橙1易伤1矿等1攻速1策反	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9最后敌人a策反
72	12211 31123	   	259.74	橙橙1易伤1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9最后敌人a掉矿
73	12211 31133	   	259.74	橙橙1易伤1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9技能点a基地爆炸
74	12211 31136	   	259.74	橙橙1易伤1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9技能点a低血量敌人
75	12211 31161	   	259.74	橙橙1易伤1矿等1攻速1策反	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9基地爆炸a策反
76	12211 31163	   	259.74	橙橙1易伤1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9基地爆炸a掉矿
77	12211 31164	   	259.74	橙橙1易伤1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9基地爆炸a挖青
78	33511 31111	   	259.74	橙橙1易伤1矿等1攻速	1金币生成2挖尘3时间4易伤5攻速68核7散射对甲9电塔对黄a矿等
79	12113 51252	 * 	259.66	橙3易伤2伤害2时间1攻速1平台	19时间249易伤3技能5平台69伤害7双倍秒伤8核9序列升级a攻速
80	16413 21252	   	259.66	橙3易伤2伤害2时间1攻速1平台	19时间29伤害349易伤5平台6随机矿7双倍秒伤8核9序列升级a攻速
81	12211 31114	   	259.64	橙橙1易伤1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9电塔对黄a激光减费
82	12211 31131	   	259.64	橙橙1易伤1矿等1攻速	1时间2易伤3挖尘4矿等5攻速68核7散射对甲9技能点a加一
83	23511 31111	   	259.64	橙橙1易伤1矿等1攻速	1技能点2挖尘3时间4易伤5攻速68核7散射对甲9电塔对黄a矿等
