0	Index      	 *	Score 	Summary	Detail	
1	33345 45422	 * 	279.71	橙橙2易伤1矿等1暴击	1赏金塔2金币生成3最后敌人4加一5暴击68核79易伤a矿等
2	61521 16333	   	274.37	橙橙2易伤1矿等	13激光减费23易伤3序列升级4赏金邻近5敌人爆炸6矿等7a核8雷电9时间
3	61533 16333	   	274.27	橙橙2易伤1矿等	13激光减费23易伤3序列升级4挖尘5赏金塔6矿等7a核8雷电9时间
4	33345 45424	   	271.84	橙橙2易伤1暴击1平台	1赏金塔2金币生成3最后敌人4加一5暴击68核79易伤a平台
5	61161 21133	 * 	268.92	紫橙3易伤1矿等	1激光减费28a易伤36核4随机矿5敌人爆炸7矿等9时间
6	62161 12123	 * 	267.81	橙橙1易伤1伤害1攻速1暴击	1激光减费2攻速3双倍矿4低血量敌人5易伤6a核7额外掉落8暴击9伤害
7	62632 12123	   	267.81	橙橙1易伤1伤害1攻速1暴击	1激光减费2攻速3等级4易伤5金币生成6a核7额外掉落8暴击9伤害
8	61132 62313	 * 	266.99	紫橙2易伤1伤害1攻速1暴击	1激光减费26易伤3a核4伤害5低血量敌人7额外掉落8攻速9暴击
9	61521 16323	   	266.06	橙橙2易伤1矿等	13激光减费23易伤3序列升级4赏金邻近5敌人爆炸6矿等7a核8雷电9基地爆炸
10	61533 16323	   	265.96	橙橙2易伤1矿等	13激光减费23易伤3序列升级4挖尘5赏金塔6矿等7a核8雷电9基地爆炸
11	23523 55213	   	265.86	紫橙2易伤1矿等2时间1暴击	19核28雷电38易伤4最后敌人5挖青6矿等78时间8序列升级a暴击
12	21312 21225	   	264.56	紫橙2易伤1矿等1攻速1暴击	16核2金币生成35低血量敌人4a易伤7矿等8攻速9暴击
13	33345 45421	   	262.08	橙橙2易伤1暴击1挖怪	1赏金塔2金币生成3最后敌人4加一5暴击68核79易伤a挖怪
14	33345 45423	   	262.08	橙橙2易伤1暴击	1赏金塔2金币生成3最后敌人4加一5暴击68核79易伤a双倍秒伤
15	33145 45431	   	259.94	橙橙1易伤1矿等1暴击	1赏金塔2金币生成3时间4加一5暴击68核7易伤9矿等a随机矿
16	33145 45434	   	259.94	橙橙1易伤1矿等1暴击	1赏金塔2金币生成3时间4加一5暴击68核7易伤9矿等a技能
17	33145 45432	   	259.84	橙橙1易伤1矿等1暴击1策反	1赏金塔2金币生成3时间4加一5暴击68核7易伤9矿等a策反
18	33145 45433	   	259.84	橙橙1易伤1矿等1暴击	1赏金塔2金币生成3时间4加一5暴击68核7易伤9矿等a掉矿
19	21213 32643	   	258.14	紫橙3易伤2时间	19核2金币生成36时间46a易伤5赏金邻近6序列升级7寒冰对甲8最后敌人
20	26622 13243	   	258.04	紫橙3易伤2时间	19核2赏金邻近3毒液对毒46时间56a易伤6序列升级7最后敌人8金币生成
21	24212 21151	   	257.32	紫橙2易伤1伤害1矿等	16核2随机矿3低血量敌人48易伤5双倍矿7矿等9伤害a额外掉落
22	24212 21153	   	257.32	紫橙2易伤1伤害1矿等	16核2随机矿3低血量敌人48易伤5a双倍矿7矿等9伤害
23	24212 21156	   	257.32	紫橙2易伤1伤害1矿等	16核2随机矿3低血量敌人48易伤5双倍矿7矿等9伤害a敌人爆炸
24	24215 21151	   	257.32	紫橙2易伤1伤害1矿等	16核25随机矿3低血量敌人48易伤7矿等9伤害a额外掉落
25	24215 21153	   	257.32	紫橙2易伤1伤害1矿等	16核25随机矿3低血量敌人48易伤7矿等9伤害a双倍矿
26	61161 21151	   	257.22	紫橙2易伤1伤害1矿等	1激光减费28易伤36核4随机矿5敌人爆炸7矿等9伤害a立即金币
27	61161 21152	   	257.22	紫橙2易伤1伤害1矿等	1激光减费28易伤36核4随机矿5敌人爆炸7矿等9伤害a赏金邻近
28	61161 21153	   	257.22	紫橙2易伤1伤害1矿等	1激光减费28易伤36核4随机矿5敌人爆炸7矿等9伤害a激光对冰
29	61162 21151	   	257.22	紫橙2易伤1伤害1矿等	1激光减费28易伤36核4随机矿5低血量敌人7矿等9伤害a额外掉落
30	61162 21153	   	257.22	紫橙2易伤1伤害1矿等	1激光减费28易伤36核4随机矿5低血量敌人7矿等9伤害a双倍矿
