0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12452 32352	3	 * 	310.99	橙5易伤3伤害3时间	1678a易伤2敌人爆炸347伤害567时间67序列升级9核
2	11443 11135	6	 * 	307.99	橙5易伤3伤害1等级2雷电	1458a易伤258伤害3随机矿58序列升级6核78雷电9等级
3	13141 11144	6	 * 	305.49	橙5易伤2时间1等级1伤害2雷电	12458易伤38时间6核78雷电8序列升级9伤害a等级
4	13143 11622	6	   	303.65	橙5易伤3时间2伤害	1245a易伤35a时间5a序列升级6核7雷电8基地爆炸9a伤害
5	16143 11622	6	   	303.65	橙5易伤3时间2伤害	1245a易伤25a序列升级35a时间6核7雷电8基地爆炸9a伤害
6	11443 13341	9	 * 	299.12	橙4易伤3伤害2等级1时间	145a易伤25a伤害3随机矿5a序列升级6核7金币生成8时间9a等级
7	13143 11142	6	 * 	298.75	橙5易伤3时间1等级2雷电	12458易伤358时间58序列升级6核78雷电9基地爆炸a等级
8	13143 11152	6	   	298.75	橙5易伤3时间1等级2雷电	12458易伤358时间58序列升级6核78雷电9最后敌人a等级
9	16143 11113	6	   	298.75	橙5易伤3时间1等级2雷电	12458易伤258序列升级358时间6核78雷电9等级a策反
10	16143 11114	6	   	298.75	橙5易伤3时间1等级2雷电	12458易伤258序列升级358时间6核78雷电9等级a金币生成
11	16143 11115	6	   	298.75	橙5易伤3时间1等级2雷电	12458易伤258序列升级358时间6核78雷电9等级a基地爆炸
12	16143 11116	6	   	298.75	橙5易伤3时间1等级2雷电	12458易伤258序列升级358时间6核78雷电9等级a低血量敌人
13	16143 11122	6	   	298.75	橙5易伤3时间1等级2雷电	12458易伤258序列升级358时间6核78雷电9双倍矿a等级
14	13143 11162	6	   	298.65	橙5易伤3时间1等级2雷电	12458易伤358时间58序列升级6核78雷电9挖尘a等级
15	16143 11111	6	   	298.65	橙5易伤3时间1等级2雷电	12458易伤258序列升级358时间6核78雷电9等级a掉矿
16	16143 11112	6	   	298.65	橙5易伤3时间1等级2雷电	12458易伤258序列升级358时间6核78雷电9等级a赏金塔
17	11443 11133	6	   	294.66	橙4易伤3伤害1等级3雷电	1458易伤258伤害3随机矿58序列升级6核78a雷电9等级
18	12452 32252	3	   	292.65	橙4易伤3伤害3时间	167a易伤28敌人爆炸347伤害567时间67序列升级9核
19	12452 32351	3	   	292.65	橙4易伤3伤害3时间	1678易伤2敌人爆炸347伤害567时间67序列升级9核a策反
20	12452 32353	3	   	292.65	橙4易伤3伤害3时间	1678易伤2敌人爆炸347伤害567时间67序列升级9核a额外掉落
21	13143 11136	6	   	292.61	橙5易伤3时间1伤害2雷电	12458易伤358时间58序列升级6核78雷电9随机矿a伤害
22	13143 11126	6	   	292.51	橙5易伤3时间1伤害2雷电	12458易伤358时间58序列升级6核78雷电9掉矿a伤害
23	13143 11515	8	   	292.00	橙5易伤3时间1等级	1245a易伤358时间5序列升级6核7攻速9等级
24	13143 13121	9	 * 	291.97	橙5易伤3时间2等级	1245a易伤35a时间5a序列升级6核7金币生成8基地爆炸9a等级
