0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52132 42214	4	 * 	289.77	橙4易伤2伤害2时间1暴击	1平台27伤害3挖尘479a易伤57时间6核7序列升级8暴击
2	52233 53236	8	 * 	289.45	橙4易伤3时间2伤害	1平台28伤害3458易伤689时间7额外掉落8序列升级a核
3	52232 13355	3	 * 	288.45	橙3易伤2伤害2时间2攻速1暴击	1平台29伤害369易伤4赏金塔56攻速69序列升级7暴击89时间a核
4	55213 53122	6	 * 	282.85	橙4易伤2伤害2攻速1时间	1平台235a易伤4a攻速6时间7金币生成8核9a伤害a序列升级
5	52233 62124	5	 * 	278.38	橙5易伤2伤害1暴击	1平台26伤害34567易伤6序列升级8暴击9赏金邻近a核
6	36141 61212	6	   	277.57	橙3易伤3时间2伤害1攻速1卖塔	1随机矿247时间37伤害578易伤6卖塔7序列升级9核a攻速
7	36251 61212	6	   	277.57	橙3易伤3时间2伤害1攻速1卖塔	1随机矿237时间47伤害578易伤6卖塔7序列升级9核a攻速
8	55634 32223	10	   	276.40	橙4易伤2伤害1时间2雷电	1平台269a易伤3时间4加一5a伤害7a雷电8核a序列升级
9	36141 61211	6	   	276.23	橙3易伤3时间2伤害1全技能1卖塔	1随机矿247时间37伤害578易伤6卖塔7序列升级9核a全技能
10	36251 61211	6	   	276.23	橙3易伤3时间2伤害1全技能1卖塔	1随机矿237时间47伤害578易伤6卖塔7序列升级9核a全技能
11	52233 53224	8	   	276.22	橙4易伤2伤害2时间	1平台28伤害3458易伤68时间7额外掉落8序列升级9低血量敌人a核
12	52233 53224	9	   	276.22	橙4易伤2伤害2时间	1平台28伤害3458易伤68时间7额外掉落8序列升级9最后敌人a核
13	52231 23315	4	   	276.22	橙4易伤2伤害2时间	1平台27伤害3489易伤57时间67最后敌人7序列升级a核
14	52232 13315	4	   	276.22	橙4易伤2伤害2时间	1平台27伤害3489易伤57最后敌人67时间7序列升级a核
15	55233 35122	5	   	276.22	橙4易伤2伤害2时间	1平台235a易伤4金币生成6a时间7随机矿8核9a伤害a序列升级
16	52353 13315	5	   	276.22	橙4易伤2伤害2时间	1平台27伤害3立即金币4最后敌人5789易伤67时间7序列升级a核
17	52532 23315	4	   	276.22	橙4易伤2伤害2时间	1平台27伤害35时间4789易伤67最后敌人7序列升级a核
18	52132 42124	4	   	276.12	橙4易伤2伤害2时间	1平台27伤害3挖尘479a易伤57时间6核7序列升级8低血量敌人
19	52132 42334	4	   	276.12	橙4易伤2伤害2时间	1平台27伤害3挖尘479a易伤57时间6核7序列升级8基地爆炸
20	12226 61533	3	   	276.12	橙4易伤2伤害2时间	18低血量敌人28时间3掉矿4569易伤78伤害8序列升级a核
21	52132 42611	4	   	275.44	橙3易伤2伤害2时间1暴击	1平台27伤害3挖尘479易伤57时间6核7序列升级8雷电a暴击
22	52132 42216	4	   	275.44	橙3易伤2伤害2时间1暴击	1平台27伤害3挖尘479易伤57时间6核7序列升级8暴击a雷电
23	55211 13122	4	   	274.80	橙3易伤2伤害2时间2攻速	1平台23a易伤4a攻速56时间7金币生成8核9a伤害a序列升级
24	33661 23522	9	 * 	273.55	橙3易伤2伤害3攻速3雷电	1随机矿2额外掉落358雷电48a易伤6核78a攻速8a序列升级9a伤害
25	23534 12362	2	 * 	272.15	橙2易伤3伤害2时间2暴击1全技能	158敌人爆炸2a时间38暴击4全技能6核78a伤害8a序列升级9a易伤
26	43215 12362	1	   	271.85	橙2易伤3伤害2时间2暴击1全技能	128挖尘3全技能4a时间58暴击6核78a伤害8a序列升级9a易伤
27	55221 41111	8	 * 	271.14	橙5易伤3时间	1平台23478易伤4序列升级56a时间9核
28	51262 53333	6	   	269.83	橙3易伤2伤害2时间1等级	1平台27最后敌人358易伤47时间67伤害7序列升级9等级a核
29	52231 23333	4	   	269.83	橙3易伤2伤害2时间1等级	1平台27伤害348易伤57时间67最后敌人7序列升级9等级a核
30	52232 13333	4	   	269.83	橙3易伤2伤害2时间1等级	1平台27伤害348易伤57最后敌人67时间7序列升级9等级a核
