0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36235 26122	8	 * 	305.80	橙4易伤3时间2伤害1等级	167时间23基地爆炸47伤害5679易伤67序列升级8等级a核
2	33335 26513	8	   	297.86	橙4易伤3时间2伤害	167时间2策反3随机矿47伤害5678易伤67序列升级9核a雷电
3	33335 26115	10	   	291.47	橙3易伤3时间2伤害1等级	167时间2策反3随机矿47伤害567易伤67序列升级8等级9雷电a核
4	33335 26511	8	   	289.55	橙4易伤3时间2伤害	167时间2策反3随机矿47伤害5678易伤67序列升级9核a矿等
5	35335 21511	8	   	289.55	橙4易伤3时间2伤害	167时间2a矿等3随机矿4a伤害568a易伤6a序列升级9核
6	35335 22211	8	   	289.55	橙4易伤3时间2伤害	168时间2a矿等3随机矿4a伤害567a易伤6a序列升级9核
7	36235 26322	8	   	289.55	橙4易伤3时间2伤害	167时间23基地爆炸47伤害5679易伤67序列升级8矿等a核
8	33335 26512	8	   	289.45	橙4易伤3时间2伤害	167时间2策反3随机矿47伤害5678易伤67序列升级9核a赏金邻近
9	32222 33516	3	 * 	287.63	橙5易伤2时间2攻速	18时间2雷电3平台48攻速5789a易伤6核8序列升级
10	36121 63513	1	   	284.53	橙4易伤2伤害2时间	18时间28伤害3平台4基地爆炸5雷电6789易伤8序列升级a核
11	36131 63513	1	   	284.53	橙4易伤2伤害2时间	18时间28伤害3平台4敌人爆炸5雷电6789易伤8序列升级a核
12	33313 56223	7	   	283.06	橙3易伤3时间2伤害1等级	17a时间2策反3随机矿457易伤67伤害7序列升级8核9等级
13	36235 16122	8	   	283.06	橙3易伤3时间2伤害1等级	167时间23基地爆炸47伤害579易伤7序列升级8等级a核
14	23411 32223	2	   	281.60	橙4易伤2伤害2等级1时间	1a矿等257a易伤3时间49等级6a伤害8核a序列升级
15	32222 33563	3	   	279.16	橙3易伤2时间2攻速1伤害1暴击	18时间2雷电3平台48攻速578易伤6核8序列升级9伤害a暴击
16	13423 12223	9	 * 	278.10	橙4易伤3时间3暴击	19a策反248a易伤349暴击49a序列升级59a时间6核7额外掉落
17	23411 32263	2	   	277.89	橙4易伤2伤害1等级1时间	1a矿等257a易伤3时间4等级6a伤害8核9立即金币a序列升级
18	33335 26316	7	   	276.57	橙3易伤3时间2伤害	167时间28策反3随机矿47伤害567易伤67序列升级9核a全技能
19	33313 56216	8	   	276.47	橙3易伤3时间2伤害	178时间2策反3随机矿457易伤67伤害7序列升级9核a全技能
20	23156 23242	8	   	276.36	橙4易伤3时间1等级	1矿等2567易伤3立即金币456时间56序列升级8等级9雷电a核
21	33313 56212	7	   	276.22	橙4易伤2伤害2时间	17时间2策反3随机矿457a易伤67伤害7序列升级8核9平台
22	33313 56261	7	   	276.22	橙4易伤2伤害2时间	17时间2策反3随机矿457a易伤67伤害7序列升级8核9立即金币
